channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
NFL,UCDVYQ4Zhbm3S2dlz7P1GBDg,Texans vs. Chiefs Week 1 Highlights | NFL 2020,Texans vs. Chiefs Week 1 Highlights | NFL 2020,Tt94jkztAlY,0,17,1947983,2020-09-11 17:25:24,1,en,asr,17,Sports,True
YoungBoy Never Broke Again,UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again - Dead Trollz [Official Music Video],YoungBoy Never Broke Again - Dead Trollz [Official Music Video],--SvHNpSvpk,0,10,898477,2020-09-11 17:25:24,2,fr,asr,10,Music,True
Fredo Bang,UC8FHFLWe9KkG0eoxPMIgcpg,Fredo Bang - No Security Feat. Kevin Gates (Official Video),Fredo Bang - No Security Feat. Kevin Gates (Official Video),EyvVLFS_Qo4,0,10,232956,2020-09-11 17:25:24,3,nl,asr,10,Music,True
Jake Paul,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul - 23 (Official Music Video) Starring Logan Paul,Jake Paul - 23 (Official Music Video) Starring Logan Paul,53vz5pQH0Rg,0,22,4219032,2020-09-11 17:25:24,4,en,standard,22,People & Blogs,True
YoungBoy Never Broke Again - Topic,UCR28YDxjDE3ogQROaNdnRbQ,Drug Addiction,Drug Addiction,2MXD5eIINmE,0,10,366195,2020-09-11 17:25:24,5,en,asr,10,Music,True
Daddy Yankee,UC9TO_oo4c_LrOiKNaY6aysA,"Daddy Yankee, Anuel AA & Kendo Kaponi - Don Don (Video Oficial)","Daddy Yankee, Anuel AA & Kendo Kaponi - Don Don (Video Oficial)",bZMPz5lzb2U,0,10,4360908,2020-09-11 17:25:24,6,es,asr,10,Music,True
Daddy Yankee,UC9TO_oo4c_LrOiKNaY6aysA,"Daddy Yankee, Anuel AA & Kendo Kaponi - Don Don (Video Oficial)","Daddy Yankee, Anuel AA & Kendo Kaponi - Don Don (Video Oficial)",bZMPz5lzb2U,0,10,4360908,2020-09-11 17:25:24,6,es,standard,10,Music,True
LilBabyVEVO,UCM1gEqLPsgej7ZKzu9w8v7A,"Lil Baby, Rylo Rodriguez - Forget That","Lil Baby, Rylo Rodriguez - Forget That",Mxc_MUVjWR4,0,10,310324,2020-09-11 17:25:24,7,en,asr,10,Music,True
LilBabyVEVO,UCM1gEqLPsgej7ZKzu9w8v7A,"Lil Baby, Rylo Rodriguez - Forget That","Lil Baby, Rylo Rodriguez - Forget That",Mxc_MUVjWR4,0,10,310324,2020-09-11 17:25:24,7,en,standard,10,Music,True
Trippie Redd,UCstw-41J8syXgdJ8xWvaizA,Trippie Redd – I Got You ft. Busta Rhymes (Official Music Video),Trippie Redd – I Got You ft. Busta Rhymes (Official Music Video),No2FjGBcdhY,0,10,480681,2020-09-11 17:25:24,8,,,10,Music,True
CNBC Television,UCrp_UI8XtuYfpiqluWLD7Lw,New York City commemorates 9/11 terrorist attacks — 9/11/2020,New York City commemorates 9/11 terrorist attacks — 9/11/2020,8gDoW3X3MG4,0,25,337329,2020-09-11 17:25:24,9,,,25,News & Politics,True
Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Dune Official Trailer,Dune Official Trailer,n9xhJrPXop4,0,24,14687696,2020-09-11 17:25:24,10,en,asr,24,Entertainment,True
Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Dune Official Trailer,Dune Official Trailer,n9xhJrPXop4,0,24,14687696,2020-09-11 17:25:24,10,en-US,standard,24,Entertainment,True
2ChainzVEVO,UCeTDWSJawSuNbBEURTC6w_A,2 Chainz - Money Maker ft. Lil Wayne,2 Chainz - Money Maker ft. Lil Wayne,vy5AVymx_eo,0,10,99749,2020-09-11 17:25:24,11,nl,asr,10,Music,True
2ChainzVEVO,UCeTDWSJawSuNbBEURTC6w_A,2 Chainz - Money Maker ft. Lil Wayne,2 Chainz - Money Maker ft. Lil Wayne,vy5AVymx_eo,0,10,99749,2020-09-11 17:25:24,11,en,standard,10,Music,True
THE SHADE ROOM,UCzxG2q7N8jgMXaxjE6iVTDA,6ix9ine Tell All Part 1 - No Holds Barred,6ix9ine Tell All Part 1 - No Holds Barred,pb28GKB3E08,0,24,1339798,2020-09-11 17:25:24,12,en,asr,24,Entertainment,True
CaseyNeistat,UCtinbF-Q-fVthA0qrFQTgXQ,showing you what happened to me,showing you what happened to me,1PBmPN0tqys,0,22,672264,2020-09-11 17:25:24,13,en,asr,22,People & Blogs,True
Impaulsive Clips,UCE9ZKI1b_PhVm3gejYuilhw,6IX9INE EXPLAINS WHAT JAIL WAS LIKE,6IX9INE EXPLAINS WHAT JAIL WAS LIKE,6kPuvLqBPE4,0,24,787603,2020-09-11 17:25:24,14,en,asr,24,Entertainment,True
The Food Theorists,UCHYoe8kQ-7Gn9ASOlmI0k6Q,Food Theory: KFC and the Curse of Colonel Sanders,Food Theory: KFC and the Curse of Colonel Sanders,pkzQvXYa1ec,0,26,1567066,2020-09-11 17:25:24,15,en,asr,26,Howto & Style,True
CircleToonsHD,UCV6g95OBbVtFmN9uiJzkFqQ,Poison Damage in RPGs,Poison Damage in RPGs,ah7EdPmXGSo,0,1,550584,2020-09-11 17:25:24,16,en,asr,1,Film & Animation,True
THE SHADE ROOM,UCzxG2q7N8jgMXaxjE6iVTDA,6ix9ine Tell All Part 2: WHY I SNITCHED,6ix9ine Tell All Part 2: WHY I SNITCHED,TwT63p9D5vQ,0,24,1188312,2020-09-11 17:25:24,17,en,asr,24,Entertainment,True
Unbox Therapy,UCsTcErHg8oDvUnTzoqsYeNw,Xbox Series X and Xbox Series S Model Unboxing,Xbox Series X and Xbox Series S Model Unboxing,_7SAYpHCTpg,0,28,2094975,2020-09-11 17:25:24,18,en,asr,28,Science & Technology,True
Blondedy Ferdinand,UCVeN3M0xb6sjt0nuT446C4Q,Blondedy Ferdinand -POU OU  (Official Music Video),Blondedy Ferdinand -POU OU  (Official Music Video),qp2wDzPU0Xg,0,10,464286,2020-09-11 17:25:24,19,fr,asr,10,Music,True
XXL,UCbg_UMjlHJg_19SZckaKajg,"Fivio Foreign, Calboy, 24kGoldn and Mulatto's 2020 XXL Freshman Cypher","Fivio Foreign, Calboy, 24kGoldn and Mulatto's 2020 XXL Freshman Cypher",kNW-SO4nHco,0,10,1827538,2020-09-11 17:25:24,20,,,10,Music,True
Cardi B,UCxMAbVFmxKUVGAll0WVGpFw,Cardi B x Megan Thee Stallion - Inside the WAP (BTS) [Part 1],Cardi B x Megan Thee Stallion - Inside the WAP (BTS) [Part 1],FOm8LqH5lz8,0,10,6288565,2020-09-11 17:25:24,21,en,asr,10,Music,True
YoungBoy Never Broke Again - Topic,UCR28YDxjDE3ogQROaNdnRbQ,Cross Roads,Cross Roads,BYuFILKfZfA,0,10,193915,2020-09-11 17:25:24,22,,,10,Music,True
Call of Duty,UC9YydG57epLqxA9cTzZXSeQ,Call of Duty®: Black Ops Cold War - Multiplayer Reveal Trailer,Call of Duty®: Black Ops Cold War - Multiplayer Reveal Trailer,rXRQyd6_5j4,0,20,3425313,2020-09-11 17:25:24,23,en,asr,20,Gaming,True
Overly Sarcastic Productions,UCodbH5mUeF-m_BsNueRDjcw,Miscellaneous Myths: Ares' Abduction,Miscellaneous Myths: Ares' Abduction,kfnc-iARu48,0,27,195176,2020-09-11 17:25:24,24,en,asr,27,Education,True
Marshmello,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello & Demi Lovato - OK Not To Be OK (Official Music Video),Marshmello & Demi Lovato - OK Not To Be OK (Official Music Video),wAPlzt2L7wE,0,10,2343432,2020-09-11 17:25:24,25,en,asr,10,Music,True
ChristianNodalVEVO,UC8BcjeZ5Iz5hgmb_QgLRapQ,Christian Nodal - Nace Un Borracho (Video Oficial),Christian Nodal - Nace Un Borracho (Video Oficial),lCcaBN_97TQ,0,10,1488612,2020-09-11 17:25:24,26,es,asr,10,Music,True
ChristianNodalVEVO,UC8BcjeZ5Iz5hgmb_QgLRapQ,Christian Nodal - Nace Un Borracho (Video Oficial),Christian Nodal - Nace Un Borracho (Video Oficial),lCcaBN_97TQ,0,10,1488612,2020-09-11 17:25:24,26,es,standard,10,Music,True
Jelly Roll,UCtyzzW6rIQiGP7gfGTXkhDw,Jelly Roll - House of Cards - Official Music Video,Jelly Roll - House of Cards - Official Music Video,zq0iCh-Eink,0,10,243024,2020-09-11 17:25:24,27,en,asr,10,Music,True
