channelId,channelTitle,videoCategoryId,videoId,videoQueryTime,videoSearchCategoryId,videoTitle,videoTitleLoc,videoTrendingRank,videoViews,captionLang,captionType,assignable,id,videoCategory
UCE_M8A5yxnLfW0KghEeajjw,Apple,28,KR0g-1hnQPA,2020-10-14 01:00:05,0,Apple Event ? October 13,Apple Event ? October 13,1,16695140,en,asr,True,28,Science & Technology
UCE_M8A5yxnLfW0KghEeajjw,Apple,28,KR0g-1hnQPA,2020-10-14 01:00:05,0,Apple Event ? October 13,Apple Event ? October 13,1,16695140,en-US,standard,True,28,Science & Technology
UCE_M8A5yxnLfW0KghEeajjw,Apple,28,KR0g-1hnQPA,2020-10-14 01:00:05,0,Apple Event ? October 13,Apple Event ? October 13,1,16695140,es-419,standard,True,28,Science & Technology
UCE_M8A5yxnLfW0KghEeajjw,Apple,28,KR0g-1hnQPA,2020-10-14 01:00:05,0,Apple Event ? October 13,Apple Event ? October 13,1,16695140,ja,standard,True,28,Science & Technology
UCE_M8A5yxnLfW0KghEeajjw,Apple,28,KR0g-1hnQPA,2020-10-14 01:00:05,0,Apple Event ? October 13,Apple Event ? October 13,1,16695140,ko,standard,True,28,Science & Technology
UCE_M8A5yxnLfW0KghEeajjw,Apple,28,KR0g-1hnQPA,2020-10-14 01:00:05,0,Apple Event ? October 13,Apple Event ? October 13,1,16695140,ru,standard,True,28,Science & Technology
UCE_M8A5yxnLfW0KghEeajjw,Apple,28,KR0g-1hnQPA,2020-10-14 01:00:05,0,Apple Event ? October 13,Apple Event ? October 13,1,16695140,zh-Hans,standard,True,28,Science & Technology
UCOmcA3f_RrH6b9NmcNa4tdg,CNET,28,3uK-27Dm0HM,2020-10-14 01:00:05,0,Apple's entire iPhone 12 event in exactly 12 minutes (supercut),Apple's entire iPhone 12 event in exactly 12 minutes (supercut),2,589719,en,asr,True,28,Science & Technology
UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends,20,qkLTsJXn-0M,2020-10-14 01:00:05,0,Apex Legends Champion Edition Trailer,Apex Legends Champion Edition Trailer,3,1092585,nl,asr,True,20,Gaming
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,22,4K_94XFaEgY,2020-10-14 01:00:05,0,Kylie Jenner: My Mom Does My Makeup,Kylie Jenner: My Mom Does My Makeup,4,5052820,en,asr,True,22,People & Blogs
UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,24,xI_lxFv203I,2020-10-14 01:00:05,0,VP Fly Debate Cold Open - SNL,VP Fly Debate Cold Open - SNL,5,10498710,en,asr,True,24,Entertainment
UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,24,xI_lxFv203I,2020-10-14 01:00:05,0,VP Fly Debate Cold Open - SNL,VP Fly Debate Cold Open - SNL,5,10498710,en,standard,True,24,Entertainment
UCwtnkRZcvL4bfopzJ-Von8Q,merrelltwins,23,ihMYnsipT5E,2020-10-14 01:00:05,0,Our Room Tour! - Merrell Twins,Our Room Tour! - Merrell Twins,6,562596,,,True,23,Comedy
UCfLdIEPs1tYj4ieEdJnyNyw,Lauv,10,5qFVUYBWfGw,2020-10-14 01:00:05,0,Lauv & Conan Gray - Fake [Official Music Video],Lauv & Conan Gray - Fake [Official Music Video],7,1040381,,,True,10,Music
UCFlC8U0Uif2hF0FIgsSIIYQ,Grupo Firme,10,kcwkURkuLxw,2020-10-14 01:00:05,0,Grupo Firme & C-Kan - Se Te Acab? La Suerte (Video Oficial) 2020,Grupo Firme & C-Kan - Se Te Acab? La Suerte (Video Oficial) 2020,8,849544,es,asr,True,10,Music
UCI3H1FsjbdqGcLq93ZilV5g,NFVEVO,10,aqrr3Dj_Jn8,2020-10-14 01:00:05,0,NF - Chasing_(Demo) ft. Mikayla Sippel,NF - Chasing_(Demo) ft. Mikayla Sippel,9,1222615,en,asr,True,10,Music
UC8oimTPVHKiC7oL3QgdKbgg,Keeping Up With The Kardashians,24,C-LL7B2Jbm4,2020-10-14 01:00:05,0,Kardashian Sisters Aren't Picking Sides After Kendall & Kylie's Fight | KUWTK | E!,Kardashian Sisters Aren't Picking Sides After Kendall & Kylie's Fight | KUWTK | E!,10,789327,en,asr,True,24,Entertainment
UCenjunBhBhvKjfDAESnoppw,RodWave,10,F5UY0XQ8uIA,2020-10-14 01:00:05,0,Rod Wave - Shooting Star (Official Video),Rod Wave - Shooting Star (Official Video),11,1744021,nl,asr,True,10,Music
UCbpMy0Fg74eXXkvxJrtEn3w,Bon App?tit,26,qOESslaIPqA,2020-10-14 01:00:05,0,Chris Makes Meatballs | From the Home Kitchen | Bon App?tit,Chris Makes Meatballs | From the Home Kitchen | Bon App?tit,12,250491,en,asr,True,26,Howto & Style
UCGie8GMlUo3kBKIopdvumVQ,Netflix UK & Ireland,24,_hJ5CwsphdQ,2020-10-14 01:00:05,0,The Crown Season 4 | Official Teaser | Netflix,The Crown Season 4 | Official Teaser | Netflix,13,465347,en,asr,True,24,Entertainment
UCHlBaw2X5iYQGJhd5v718Zw,Brian Sutterer MD,17,W8pttQERu3g,2020-10-14 01:00:05,0,Dak Prescott SEVERE Ankle Injury - Doctor Explains NFL Injury,Dak Prescott SEVERE Ankle Injury - Doctor Explains NFL Injury,14,2227918,en,asr,True,17,Sports
UCPAk4rqVIwg1NCXh61VJxbg,ZHC Crafts,26,kzVmk7U80O8,2020-10-14 01:00:05,0,"Extreme $1,000 Custom Puzzle Competition | ZHC Crafts","Extreme $1,000 Custom Puzzle Competition | ZHC Crafts",15,1003459,en,asr,True,26,Howto & Style
UCGwu0nbY2wSkW8N-cghnLpA,Jaiden Animations,1,YEoCQSXl_EY,2020-10-14 01:00:05,0,I Attempted a Speedrun (and got a world record),I Attempted a Speedrun (and got a world record),16,5169124,en,asr,True,1,Film & Animation
UCbpMy0Fg74eXXkvxJrtEn3w,Bon App?tit,22,r5lZB-ecGsw,2020-10-14 01:00:05,0,Why We Joined Bon App?tit,Why We Joined Bon App?tit,17,288573,en,asr,True,22,People & Blogs
UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,25,m_NXdV0ZJ0Q,2020-10-14 01:00:05,0,WATCH: Sen. Amy Klobuchar?s full opening statement in Barrett Supreme Court confirmation hearing,WATCH: Sen. Amy Klobuchar?s full opening statement in Barrett Supreme Court confirmation hearing,18,833701,en,asr,True,25,News & Politics
