"video_id","min_timecode","max_timecode","text.user","text.auto"
"-PLHPmlRcmw","00:00:00","00:00:09","[BLANK_AUDIO]","[Applause]"
"-PLHPmlRcmw","00:00:10","00:00:19","","[Applause] okay"
"-PLHPmlRcmw","00:00:25","00:00:29",">> Breonna Taylor.","[Applause] oh"
"-PLHPmlRcmw","00:00:29","00:00:33",">> [NOISE]","[Applause]"
"-PLHPmlRcmw","00:00:38","00:00:41",">> [NOISE]","[Music] [Applause] [Music] [Applause]"
"-PLHPmlRcmw","00:00:42","00:01:24","","oh [Applause] oh foreign they need justice right but at the same time of just"
"-PLHPmlRcmw","00:01:25","00:01:28","And they","they're right"
"-PLHPmlRcmw","00:01:37","00:02:33","","here other than that listen the reason the reason we're here is because we were originally in front park we were then moved to south central park and then we were moved down here the whole the whole reason they did that was to keep us and was to keep us and themselves and we don't need them to have a peaceful we had no"
"-PLHPmlRcmw","00:02:34","00:02:36","[BLANK_AUDIO]","clue let's go"
"-PLHPmlRcmw","00:02:37","00:02:47","Let's go, that way!","that way let's"
"-PLHPmlRcmw","00:02:47","00:02:50","[BLANK_AUDIO]","go"
"-PLHPmlRcmw","00:02:55","00:02:55","",""
