video_id,lang,text,timecode
-bZxO5Dn9x0,English (United States),,0:00 / 1:49
-bZxO5Dn9x0,English (United States),"♪ ""The Nutcracker Suite"" by Tchaikovsky ♪",0:01 / 1:49
-bZxO5Dn9x0,English (United States),"♪ ""The Nutcracker Suite"" by Tchaikovsky ♪",0:02 / 1:49
-bZxO5Dn9x0,English (United States),YODA 'Twas the night before Life Day.,0:03 / 1:49
-bZxO5Dn9x0,English (United States),YODA 'Twas the night before Life Day.,0:04 / 1:49
-bZxO5Dn9x0,English (United States),YODA 'Twas the night before Life Day.,0:05 / 1:49
-bZxO5Dn9x0,English (United States),"In a galaxy far, far away.",0:05 / 1:49
-bZxO5Dn9x0,English (United States),"In a galaxy far, far away.",0:06 / 1:49
-bZxO5Dn9x0,English (United States),"In a galaxy far, far away.",0:07 / 1:49
-bZxO5Dn9x0,English (United States),"POE DAMERON Looking good. Tree, food, decorations.",0:08 / 1:49
-bZxO5Dn9x0,English (United States),"POE DAMERON Looking good. Tree, food, decorations.",0:09 / 1:49
-bZxO5Dn9x0,English (United States),"POE DAMERON Looking good. Tree, food, decorations.",0:10 / 1:49
-bZxO5Dn9x0,English (United States),CHEWBACCA [speaking Shyriiwook],0:11 / 1:49
-bZxO5Dn9x0,English (United States),CHEWBACCA [speaking Shyriiwook],0:12 / 1:49
-bZxO5Dn9x0,English (United States),"YODA Coming together, heroes were,",0:12 / 1:49
-bZxO5Dn9x0,English (United States),"YODA Coming together, heroes were,",0:13 / 1:49
-bZxO5Dn9x0,English (United States),to celebrate the day.,0:14 / 1:49
-bZxO5Dn9x0,English (United States),to celebrate the day.,0:15 / 1:49
-bZxO5Dn9x0,English (United States),"LANDO CALRISSIAN Please be a cape, please be a cape!",0:15 / 1:49
-bZxO5Dn9x0,English (United States),"LANDO CALRISSIAN Please be a cape, please be a cape!",0:16 / 1:49
-bZxO5Dn9x0,English (United States),"LANDO CALRISSIAN Please be a cape, please be a cape!",0:17 / 1:49
-bZxO5Dn9x0,English (United States),ADMIRAL ACKBAR It’s a wrap!,0:18 / 1:49
-bZxO5Dn9x0,English (United States),"YODA For Rey, adventure called.",0:19 / 1:49
-bZxO5Dn9x0,English (United States),"YODA For Rey, adventure called.",0:20 / 1:49
-bZxO5Dn9x0,English (United States),And she thought it would be fast.,0:21 / 1:49
-bZxO5Dn9x0,English (United States),And she thought it would be fast.,0:22 / 1:49
-bZxO5Dn9x0,English (United States),REY Wow.,0:23 / 1:49
-bZxO5Dn9x0,English (United States),"YODA But there, she found a key",0:24 / 1:49
-bZxO5Dn9x0,English (United States),"YODA But there, she found a key",0:25 / 1:49
-bZxO5Dn9x0,English (United States),,0:26 / 1:49
-bZxO5Dn9x0,English (United States),to the galaxy’s past.,0:26 / 1:49
-bZxO5Dn9x0,English (United States),to the galaxy’s past.,0:27 / 1:49
-bZxO5Dn9x0,English (United States),to the galaxy’s past.,0:28 / 1:49
-bZxO5Dn9x0,English (United States),,0:28 / 1:49
-bZxO5Dn9x0,English (United States),LUKE SKYWALKER Ahh!,0:29 / 1:49
-bZxO5Dn9x0,English (United States),"REY Sorry! Oh, Master Luke?",0:30 / 1:49
-bZxO5Dn9x0,English (United States),"REY Sorry! Oh, Master Luke?",0:31 / 1:49
-bZxO5Dn9x0,English (United States),LUKE SKYWALKER What are you doing?,0:31 / 1:49
-bZxO5Dn9x0,English (United States),LUKE SKYWALKER What are you doing?,0:32 / 1:49
-bZxO5Dn9x0,English (United States),♪♪,0:33 / 1:49
-bZxO5Dn9x0,English (United States),REY This is so cool! We've seen my master...,0:34 / 1:49
-bZxO5Dn9x0,English (United States),REY This is so cool! We've seen my master...,0:35 / 1:49
-bZxO5Dn9x0,English (United States),[Luke grunts],0:35 / 1:49
-bZxO5Dn9x0,English (United States),[Luke grunts],0:36 / 1:49
-bZxO5Dn9x0,English (United States),REY ...my master’s master...,0:36 / 1:49
-bZxO5Dn9x0,English (United States),YODA Concentrate.,0:37 / 1:49
-bZxO5Dn9x0,English (United States),YODA Concentrate.,0:38 / 1:49
-bZxO5Dn9x0,English (United States),REY ...my master’s father...,0:38 / 1:49
-bZxO5Dn9x0,English (United States),DARTH VADER Impressive.,0:39 / 1:49
-bZxO5Dn9x0,English (United States),REY ...my master’s father’s master...,0:40 / 1:49
-bZxO5Dn9x0,English (United States),KYLO REN Emperor Palpatine?,0:41 / 1:49
-bZxO5Dn9x0,English (United States),KYLO REN Emperor Palpatine?,0:42 / 1:49
-bZxO5Dn9x0,English (United States),PALPATINE Hmm?,0:43 / 1:49
-bZxO5Dn9x0,English (United States),KYLO REN I don’t believe it!,0:43 / 1:49
-bZxO5Dn9x0,English (United States),KYLO REN I don’t believe it!,0:44 / 1:49
-bZxO5Dn9x0,English (United States),PALPATINE Uh...,0:45 / 1:49
-bZxO5Dn9x0,English (United States),you think maybe you could put a shirt on?,0:45 / 1:49
-bZxO5Dn9x0,English (United States),you think maybe you could put a shirt on?,0:46 / 1:49
-bZxO5Dn9x0,English (United States),,0:47 / 1:49
-bZxO5Dn9x0,English (United States),"DARTH VADER It’s a key,",0:48 / 1:49
-bZxO5Dn9x0,English (United States),to travel across space and time.,0:49 / 1:49
-bZxO5Dn9x0,English (United States),to travel across space and time.,0:50 / 1:49
-bZxO5Dn9x0,English (United States),PALPATINE [laughter] I will change the future!,0:51 / 1:49
-bZxO5Dn9x0,English (United States),PALPATINE [laughter] I will change the future!,0:52 / 1:49
-bZxO5Dn9x0,English (United States),[Lightsabers ignite],0:53 / 1:49
-bZxO5Dn9x0,English (United States),"YODA So sure, are you?",0:53 / 1:49
-bZxO5Dn9x0,English (United States),"YODA So sure, are you?",0:54 / 1:49
-bZxO5Dn9x0,English (United States),"PALPATINE Mhm, less talky-talky, more fighty-fighty.",0:55 / 1:49
-bZxO5Dn9x0,English (United States),"PALPATINE Mhm, less talky-talky, more fighty-fighty.",0:56 / 1:49
-bZxO5Dn9x0,English (United States),"PALPATINE Mhm, less talky-talky, more fighty-fighty.",0:57 / 1:49
-bZxO5Dn9x0,English (United States),,0:57 / 1:49
-bZxO5Dn9x0,English (United States),,0:58 / 1:49
-bZxO5Dn9x0,English (United States),REY Ahh!,0:59 / 1:49
-bZxO5Dn9x0,English (United States),,1:00 / 1:49
-bZxO5Dn9x0,English (United States),"CLONE TROOPERS Podraces... Jinx! Oh, double jinx!",1:01 / 1:49
-bZxO5Dn9x0,English (United States),"CLONE TROOPERS Podraces... Jinx! Oh, double jinx!",1:02 / 1:49
-bZxO5Dn9x0,English (United States),"CLONE TROOPERS Podraces... Jinx! Oh, double jinx!",1:03 / 1:49
-bZxO5Dn9x0,English (United States),,1:04 / 1:49
-bZxO5Dn9x0,English (United States),[The Child coos],1:05 / 1:49
-bZxO5Dn9x0,English (United States),[The Child coos],1:06 / 1:49
-bZxO5Dn9x0,English (United States),DARTH VADER Aw.,1:06 / 1:49
-bZxO5Dn9x0,English (United States),REY So cute.,1:07 / 1:49
-bZxO5Dn9x0,English (United States),REY So cute.,1:08 / 1:49
-bZxO5Dn9x0,English (United States),♪♪,1:09 / 1:49
-bZxO5Dn9x0,English (United States),♪♪,1:10 / 1:49
-bZxO5Dn9x0,English (United States),,1:10 / 1:49
