"video_id","min_timecode","max_timecode","text.user","text.auto"
"-bZxO5Dn9x0","00:00:00","00:00:00","",""
"-bZxO5Dn9x0","00:00:01","00:00:02","♪ ""The Nutcracker Suite"" by Tchaikovsky ♪","[Music]"
"-bZxO5Dn9x0","00:00:03","00:00:05","YODA 'Twas the night before Life Day.","was the night before life day in a galaxy"
"-bZxO5Dn9x0","00:00:05","00:00:07","In a galaxy far, far away.","far far away"
"-bZxO5Dn9x0","00:00:08","00:00:10","POE DAMERON Looking good. Tree, food, decorations.","looking good tree food decorations"
"-bZxO5Dn9x0","00:00:11","00:00:12","CHEWBACCA [speaking Shyriiwook]","coming together"
"-bZxO5Dn9x0","00:00:12","00:00:13","YODA Coming together, heroes were,","heroes were"
"-bZxO5Dn9x0","00:00:14","00:00:15","to celebrate the day.","to celebrate the day"
"-bZxO5Dn9x0","00:00:15","00:00:17","LANDO CALRISSIAN Please be a cape, please be a cape!","please be okay please be a cape"
"-bZxO5Dn9x0","00:00:18","00:00:18","ADMIRAL ACKBAR It’s a wrap!","that's a wrap"
"-bZxO5Dn9x0","00:00:19","00:00:20","YODA For Rey, adventure called.","for ray adventure"
"-bZxO5Dn9x0","00:00:21","00:00:22","And she thought it would be fast.","called and she thought it would be fast"
"-bZxO5Dn9x0","00:00:23","00:00:23","REY Wow.","wow"
"-bZxO5Dn9x0","00:00:24","00:00:25","YODA But there, she found a key","but there she found"
"-bZxO5Dn9x0","00:00:26","00:00:26","","a key to"
"-bZxO5Dn9x0","00:00:26","00:00:28","to the galaxy’s past.","the galaxy's past"
"-bZxO5Dn9x0","00:00:28","00:00:28","",""
"-bZxO5Dn9x0","00:00:31","00:00:32","LUKE SKYWALKER What are you doing?","what are you doing"
"-bZxO5Dn9x0","00:00:33","00:00:33","♪♪","this is so"
"-bZxO5Dn9x0","00:00:34","00:00:35","REY This is so cool! We've seen my master...","cool we've seen my master"
"-bZxO5Dn9x0","00:00:35","00:00:36","[Luke grunts]","my master's"
"-bZxO5Dn9x0","00:00:37","00:00:38","YODA Concentrate.","master concentrate my master's"
"-bZxO5Dn9x0","00:00:39","00:00:39","DARTH VADER Impressive.","father impressive"
"-bZxO5Dn9x0","00:00:40","00:00:40","REY ...my master’s father’s master...","my master's father's"
"-bZxO5Dn9x0","00:00:41","00:00:42","KYLO REN Emperor Palpatine?","master dipper or palpatine"
"-bZxO5Dn9x0","00:00:43","00:00:43","PALPATINE Hmm?","i don't believe it"
"-bZxO5Dn9x0","00:00:43","00:00:44","KYLO REN I don’t believe it!","uh"
"-bZxO5Dn9x0","00:00:45","00:00:45","PALPATINE Uh...","you think"
"-bZxO5Dn9x0","00:00:45","00:00:46","you think maybe you could put a shirt on?","maybe you could put a shirt"
"-bZxO5Dn9x0","00:00:47","00:00:47","","on"
"-bZxO5Dn9x0","00:00:48","00:00:48","DARTH VADER It’s a key,","it's a key"
"-bZxO5Dn9x0","00:00:49","00:00:50","to travel across space and time.","to travel for space and time"
"-bZxO5Dn9x0","00:00:51","00:00:52","PALPATINE [laughter] I will change the future!","i will change to the"
"-bZxO5Dn9x0","00:00:53","00:00:53","[Lightsabers ignite]","future"
"-bZxO5Dn9x0","00:00:53","00:00:54","YODA So sure, are you?","so sure are you"
"-bZxO5Dn9x0","00:00:55","00:00:57","PALPATINE Mhm, less talky-talky, more fighty-fighty.","less talky talky more fighty fighting"
"-bZxO5Dn9x0","00:00:57","00:00:58","",""
"-bZxO5Dn9x0","00:01:00","00:01:00","",""
"-bZxO5Dn9x0","00:01:01","00:01:03","CLONE TROOPERS Podraces... Jinx! Oh, double jinx!","races"
"-bZxO5Dn9x0","00:01:04","00:01:04","",""
"-bZxO5Dn9x0","00:01:05","00:01:06","[The Child coos]","oh"
"-bZxO5Dn9x0","00:01:07","00:01:08","REY So cute.","so"
"-bZxO5Dn9x0","00:01:10","00:01:10","",""
"-bZxO5Dn9x0","00:01:11","00:01:11","HAN SOLO Yahoo!","cute"
"-bZxO5Dn9x0","00:01:12","00:01:13","",""
"-bZxO5Dn9x0","00:01:18","00:01:18","",""
"-bZxO5Dn9x0","00:01:20","00:01:20","FINN You thinkin' what I’m thinkin'?","you thinking what i'm thinking"
"-bZxO5Dn9x0","00:01:21","00:01:21","POE DAMERON Music!","music"
"-bZxO5Dn9x0","00:01:23","00:01:24","YODA A time of joy, this is.","in time of joy this"
"-bZxO5Dn9x0","00:01:25","00:01:25","FINN Rey!","is"
"-bZxO5Dn9x0","00:01:25","00:01:27","YODA Of friendship. Of family.","a family"
"-bZxO5Dn9x0","00:01:28","00:01:30","",""
"-bZxO5Dn9x0","00:01:31","00:01:32","LUKE SKYWALKER Who are you guys?","who are you guys master"
"-bZxO5Dn9x0","00:01:32","00:01:33","REY Master Skywalker!","skywalker my"
"-bZxO5Dn9x0","00:01:33","00:01:34","DARTH VADER My son!","son"
"-bZxO5Dn9x0","00:01:35","00:01:38","I mean... my, these binary suns!","i mean my these binary"
"-bZxO5Dn9x0","00:01:38","00:01:39","LUKE SKYWALKER [Slurping]","sons"
"-bZxO5Dn9x0","00:01:42","00:01:44","GREEDO [speaking Rodian] ... Solos?","you want"
"-bZxO5Dn9x0","00:01:44","00:01:45","HAN SOLO (Ep. VII) You wanna shoot first?","to shoot first after"
"-bZxO5Dn9x0","00:01:47","00:01:49","","you"
