video_id,lang,text,timecode
-fxi9fqYx74,English (United Kingdom),,0:00 / 0:30
-fxi9fqYx74,English (United Kingdom),,0:01 / 0:30
-fxi9fqYx74,English (United Kingdom),They thought he was just another kid from Chicago.,0:01 / 0:30
-fxi9fqYx74,English (United Kingdom),They thought he was just another kid from Chicago.,0:02 / 0:30
-fxi9fqYx74,English (United Kingdom),[Ninja] Just starting my very first vlog.,0:03 / 0:30
-fxi9fqYx74,English (United Kingdom),[Ninja] Just starting my very first vlog.,0:04 / 0:30
-fxi9fqYx74,English (United Kingdom),But he saw the world differently.,0:05 / 0:30
-fxi9fqYx74,English (United Kingdom),But he saw the world differently.,0:06 / 0:30
-fxi9fqYx74,English (United Kingdom),He saw possibilities.,0:07 / 0:30
-fxi9fqYx74,English (United Kingdom),He saw possibilities.,0:08 / 0:30
-fxi9fqYx74,English (United Kingdom),To be more than just a gamer.,0:09 / 0:30
-fxi9fqYx74,English (United Kingdom),To be more than just a gamer.,0:10 / 0:30
-fxi9fqYx74,English (United Kingdom),,0:11 / 0:30
-fxi9fqYx74,English (United Kingdom),To be more than Tyler Blevins.,0:12 / 0:30
-fxi9fqYx74,English (United Kingdom),To be more than Tyler Blevins.,0:13 / 0:30
-fxi9fqYx74,English (United Kingdom),That as Ninja,0:13 / 0:30
-fxi9fqYx74,English (United Kingdom),That as Ninja,0:14 / 0:30
-fxi9fqYx74,English (United Kingdom),That as Ninja,0:15 / 0:30
-fxi9fqYx74,English (United Kingdom),"he could redefine what it means to be a gamer,",0:15 / 0:30
-fxi9fqYx74,English (United Kingdom),"he could redefine what it means to be a gamer,",0:16 / 0:30
-fxi9fqYx74,English (United Kingdom),[Ninja] One giant step for gaming.,0:17 / 0:30
-fxi9fqYx74,English (United Kingdom),[Ninja] One giant step for gaming.,0:18 / 0:30
-fxi9fqYx74,English (United Kingdom),and unleash an entire generation,0:19 / 0:30
-fxi9fqYx74,English (United Kingdom),and unleash an entire generation,0:20 / 0:30
-fxi9fqYx74,English (United Kingdom),to see their own possibilities.,0:21 / 0:30
-fxi9fqYx74,English (United Kingdom),to see their own possibilities.,0:22 / 0:30
-fxi9fqYx74,English (United Kingdom),to see their own possibilities.,0:23 / 0:30
-fxi9fqYx74,English (United Kingdom),To continue to change sport,0:24 / 0:30
-fxi9fqYx74,English (United Kingdom),,0:25 / 0:30
-fxi9fqYx74,English (United Kingdom),and minds forever.,0:25 / 0:30
-fxi9fqYx74,English (United Kingdom),and minds forever.,0:26 / 0:30
-fxi9fqYx74,English (United Kingdom),[Boy] Ninja power!,0:27 / 0:30
-fxi9fqYx74,English (United Kingdom),,0:28 / 0:30
-fxi9fqYx74,English (United Kingdom),,0:29 / 0:30
-fxi9fqYx74,English (United Kingdom),,0:30 / 0:30
-fxi9fqYx74,English (United States),,0:00 / 0:30
-fxi9fqYx74,English (United States),,0:01 / 0:30
-fxi9fqYx74,English (United States),They thought he was just another kid from Chicago.,0:01 / 0:30
-fxi9fqYx74,English (United States),They thought he was just another kid from Chicago.,0:02 / 0:30
-fxi9fqYx74,English (United States),[Ninja] Just starting my very first vlog.,0:03 / 0:30
-fxi9fqYx74,English (United States),[Ninja] Just starting my very first vlog.,0:04 / 0:30
-fxi9fqYx74,English (United States),But he saw the world differently.,0:05 / 0:30
-fxi9fqYx74,English (United States),But he saw the world differently.,0:06 / 0:30
-fxi9fqYx74,English (United States),He saw possibilities.,0:07 / 0:30
-fxi9fqYx74,English (United States),He saw possibilities.,0:08 / 0:30
-fxi9fqYx74,English (United States),To be more than just a gamer.,0:08 / 0:30
-fxi9fqYx74,English (United States),To be more than just a gamer.,0:09 / 0:30
-fxi9fqYx74,English (United States),To be more than just a gamer.,0:10 / 0:30
-fxi9fqYx74,English (United States),,0:11 / 0:30
-fxi9fqYx74,English (United States),To be more than Tyler Blevins.,0:11 / 0:30
-fxi9fqYx74,English (United States),To be more than Tyler Blevins.,0:12 / 0:30
-fxi9fqYx74,English (United States),To be more than Tyler Blevins.,0:13 / 0:30
-fxi9fqYx74,English (United States),That as Ninja,0:13 / 0:30
-fxi9fqYx74,English (United States),That as Ninja,0:14 / 0:30
-fxi9fqYx74,English (United States),"he could redefine what it means to be a gamer,",0:15 / 0:30
-fxi9fqYx74,English (United States),"he could redefine what it means to be a gamer,",0:16 / 0:30
-fxi9fqYx74,English (United States),[Ninja] One giant step for gaming.,0:17 / 0:30
-fxi9fqYx74,English (United States),[Ninja] One giant step for gaming.,0:18 / 0:30
-fxi9fqYx74,English (United States),[Ninja] One giant step for gaming.,0:19 / 0:30
-fxi9fqYx74,English (United States),and unleash an entire generation,0:19 / 0:30
-fxi9fqYx74,English (United States),and unleash an entire generation,0:20 / 0:30
-fxi9fqYx74,English (United States),to see their own possibilities.,0:20 / 0:30
-fxi9fqYx74,English (United States),to see their own possibilities.,0:21 / 0:30
-fxi9fqYx74,English (United States),to see their own possibilities.,0:22 / 0:30
-fxi9fqYx74,English (United States),to see their own possibilities.,0:23 / 0:30
-fxi9fqYx74,English (United States),To continue to change sports,0:23 / 0:30
-fxi9fqYx74,English (United States),To continue to change sports,0:24 / 0:30
-fxi9fqYx74,English (United States),To continue to change sports,0:25 / 0:30
-fxi9fqYx74,English (United States),and minds forever.,0:25 / 0:30
-fxi9fqYx74,English (United States),and minds forever.,0:26 / 0:30
-fxi9fqYx74,English (United States),[Boy] Ninja power!,0:26 / 0:30
-fxi9fqYx74,English (United States),[Boy] Ninja power!,0:27 / 0:30
-fxi9fqYx74,English (United States),,0:28 / 0:30
-fxi9fqYx74,English (United States),,0:29 / 0:30
-fxi9fqYx74,English (United States),,0:30 / 0:30
-fxi9fqYx74,English (auto-generated),,0:00 / 0:30
-fxi9fqYx74,English (auto-generated),they,0:01 / 0:30
-fxi9fqYx74,English (auto-generated),they thought he was,0:01 / 0:30
-fxi9fqYx74,English (auto-generated),they thought he was just another kid,0:02 / 0:30
-fxi9fqYx74,English (auto-generated),they thought he was just another kid from chicago,0:02 / 0:30
-fxi9fqYx74,English (auto-generated),from chicago just starting,0:03 / 0:30
-fxi9fqYx74,English (auto-generated),from chicago just starting my very,0:04 / 0:30
-fxi9fqYx74,English (auto-generated),from chicago just starting my very first vlog,0:04 / 0:30
-fxi9fqYx74,English (auto-generated),from chicago just starting my very first vlog but he saw,0:05 / 0:30
-fxi9fqYx74,English (auto-generated),just starting my very first vlog but he saw the world differently,0:06 / 0:30
-fxi9fqYx74,English (auto-generated),saw the world differently he saw,0:07 / 0:30
-fxi9fqYx74,English (auto-generated),saw the world differently he saw possibilities,0:07 / 0:30
-fxi9fqYx74,English (auto-generated),saw the world differently he saw possibilities,0:08 / 0:30
-fxi9fqYx74,English (auto-generated),saw the world differently he saw possibilities to be,0:09 / 0:30
-fxi9fqYx74,English (auto-generated),saw the world differently he saw possibilities to be more,0:09 / 0:30
-fxi9fqYx74,English (auto-generated),he saw possibilities to be more than just,0:10 / 0:30
-fxi9fqYx74,English (auto-generated),he saw possibilities to be more than just a gamer,0:10 / 0:30
-fxi9fqYx74,English (auto-generated),he saw possibilities to be more than just a gamer,0:11 / 0:30
-fxi9fqYx74,English (auto-generated),just a gamer to be more,0:12 / 0:30
-fxi9fqYx74,English (auto-generated),just a gamer to be more than tyler blevins,0:12 / 0:30
-fxi9fqYx74,English (auto-generated),just a gamer to be more than tyler blevins,0:13 / 0:30
-fxi9fqYx74,English (auto-generated),just a gamer to be more than tyler blevins that as ninja,0:14 / 0:30
-fxi9fqYx74,English (auto-generated),to be more than tyler blevins that as ninja he can,0:15 / 0:30
-fxi9fqYx74,English (auto-generated),ninja he can redefine,0:15 / 0:30
-fxi9fqYx74,English (auto-generated),ninja he can redefine what it means,0:16 / 0:30
-fxi9fqYx74,English (auto-generated),~~~ !!! ERROR IN PARSING !!! ~~~,0:16 / 0:30
-fxi9fqYx74,English (auto-generated),he can redefine what it means to be a gamer one,0:17 / 0:30
-fxi9fqYx74,English (auto-generated),he can redefine what it means to be a gamer one giant,0:18 / 0:30
-fxi9fqYx74,English (auto-generated),he can redefine what it means to be a gamer one giant stab for,0:18 / 0:30
-fxi9fqYx74,English (auto-generated),he can redefine what it means to be a gamer one giant stab for gaming and at,0:19 / 0:30
-fxi9fqYx74,English (auto-generated),gamer one giant stab for gaming and at least an entire,0:19 / 0:30
-fxi9fqYx74,English (auto-generated),gamer one giant stab for gaming and at least an entire generation,0:20 / 0:30
-fxi9fqYx74,English (auto-generated),least an entire generation to,0:21 / 0:30
-fxi9fqYx74,English (auto-generated),least an entire generation to see their,0:21 / 0:30
-fxi9fqYx74,English (auto-generated),least an entire generation to see their own possibilities,0:22 / 0:30
-fxi9fqYx74,English (auto-generated),least an entire generation to see their own possibilities,0:23 / 0:30
-fxi9fqYx74,English (auto-generated),least an entire generation to see their own possibilities to,0:23 / 0:30
-fxi9fqYx74,English (auto-generated),to see their own possibilities to continue,0:24 / 0:30
-fxi9fqYx74,English (auto-generated),to see their own possibilities to continue to change sport,0:24 / 0:30
-fxi9fqYx74,English (auto-generated),to see their own possibilities to continue to change sport and,0:25 / 0:30
-fxi9fqYx74,English (auto-generated),continue to change sport and minds,0:26 / 0:30
-fxi9fqYx74,English (auto-generated),continue to change sport and minds,0:27 / 0:30
-fxi9fqYx74,English (auto-generated),continue to change sport and minds,0:28 / 0:30
-fxi9fqYx74,English (auto-generated),continue to change sport and minds forever,0:29 / 0:30
-fxi9fqYx74,English (auto-generated),,0:30 / 0:30
