video_id,lang,text,timecode
-l61NE0eqkw,English,♪ “Diamon  ,0:00 / 1:08
-l61NE0eqkw,English,♪ “Diamonds cutting Diamonds” by Lydia Ain ,0:01 / 1:08
-l61NE0eqkw,English,♪ “Diamonds cutting Diamonds” by Lydia Ainsworth ♪,0:01 / 1:08
-l61NE0eqkw,English,,0:02 / 1:08
-l61NE0eqkw,English,I browsed eight sites for divorce attorneys today.,0:02 / 1:08
-l61NE0eqkw,English,I browsed eight sites for divorce attorneys today.,0:03 / 1:08
-l61NE0eqkw,English,I browsed eight sites for divorce attorneys today.,0:04 / 1:08
-l61NE0eqkw,English,,0:04 / 1:08
-l61NE0eqkw,English,I browsed eight sites for divorce attorneys today!,0:05 / 1:08
-l61NE0eqkw,English,I browsed eight sites for divorce attorneys today!,0:06 / 1:08
-l61NE0eqkw,English,I browsed eight sites for divorce attorneys today!,0:07 / 1:08
-l61NE0eqkw,English,My log in for everything is Pauline@paulinephu.com,0:07 / 1:08
-l61NE0eqkw,English,My log in for everything is Pauline@paulinephu.com,0:08 / 1:08
-l61NE0eqkw,English,My log in for everything is Pauline@paulinephu.com,0:09 / 1:08
-l61NE0eqkw,English,My log in for everything is Pauline@paulinephu.com,0:10 / 1:08
-l61NE0eqkw,English,My log in for everything is Pauline@paulinephu.com,0:11 / 1:08
-l61NE0eqkw,English,♪,0:12 / 1:08
-l61NE0eqkw,English,♪,0:13 / 1:08
-l61NE0eqkw,English,I love working with you!,0:14 / 1:08
-l61NE0eqkw,English,I love working with you!,0:15 / 1:08
-l61NE0eqkw,English,Red heart emoji!,0:15 / 1:08
-l61NE0eqkw,English,Red heart emoji!,0:16 / 1:08
-l61NE0eqkw,English,Pink heart emoji!,0:17 / 1:08
-l61NE0eqkw,English,Yellow heart emoji!,0:17 / 1:08
-l61NE0eqkw,English,Blue heart emoji!,0:18 / 1:08
-l61NE0eqkw,English,I hate Lee though.,0:19 / 1:08
-l61NE0eqkw,English,- Puke emoji. - Puke emoji.,0:20 / 1:08
-l61NE0eqkw,English,- Puke emoji. - Puke emoji.,0:21 / 1:08
-l61NE0eqkw,English,I am currently reading an article titled,0:22 / 1:08
-l61NE0eqkw,English,I am currently reading an article titled,0:23 / 1:08
-l61NE0eqkw,English,I am currently reading an article titled,0:24 / 1:08
-l61NE0eqkw,English,“Ten Ways to Keep Sweaty Hands from Holding You Back.”,0:24 / 1:08
-l61NE0eqkw,English,“Ten Ways to Keep Sweaty Hands from Holding You Back.”,0:25 / 1:08
-l61NE0eqkw,English,“Ten Ways to Keep Sweaty Hands from Holding You Back.”,0:26 / 1:08
-l61NE0eqkw,English,“Ten Ways to Keep Sweaty Hands from Holding You Back.”,0:27 / 1:08
-l61NE0eqkw,English,My home is in one thousand feet.,0:28 / 1:08
-l61NE0eqkw,English,My home is in one thousand feet.,0:29 / 1:08
-l61NE0eqkw,English,"My heart rate is currently 150, 151, 152, and back down to 150!",0:30 / 1:08
-l61NE0eqkw,English,"My heart rate is currently 150, 151, 152, and back down to 150!",0:31 / 1:08
-l61NE0eqkw,English,"My heart rate is currently 150, 151, 152, and back down to 150!",0:32 / 1:08
-l61NE0eqkw,English,"My heart rate is currently 150, 151, 152, and back down to 150!",0:33 / 1:08
-l61NE0eqkw,English,"My heart rate is currently 150, 151, 152, and back down to 150!",0:34 / 1:08
-l61NE0eqkw,English,"My heart rate is currently 150, 151, 152, and back down to 150!",0:35 / 1:08
-l61NE0eqkw,English,On March fifteenth at 9:16 am,0:35 / 1:08
-l61NE0eqkw,English,On March fifteenth at 9:16 am,0:36 / 1:08
-l61NE0eqkw,English,I purchased prenatal vitamins and four pregnancy tests.,0:37 / 1:08
-l61NE0eqkw,English,I purchased prenatal vitamins and four pregnancy tests.,0:38 / 1:08
