"video_id","min_timecode","max_timecode","text.user","text.auto"
"094y1Z2wpJg","00:00:00","00:00:03","- This is the most dangerous problem in mathematics,","this is the most dangerous problem in mathematics"
"094y1Z2wpJg","00:00:04","00:00:05","one that young mathematicians are warned","one that young mathematicians are warned"
"094y1Z2wpJg","00:00:06","00:00:07","not to waste their time on.","not to waste their time on"
"094y1Z2wpJg","00:00:08","00:00:09","It's a simple conjecture","it's a simple conjecture that not"
"094y1Z2wpJg","00:00:09","00:00:11","that not even the world's best mathematicians","even the world's best mathematicians"
"094y1Z2wpJg","00:00:12","00:00:12","have been able to solve.","have been able to solve"
"094y1Z2wpJg","00:00:13","00:00:15","Paul Erdos, a famous mathematician, said,","paul erdosh a famous mathematician said"
"094y1Z2wpJg","00:00:16","00:00:19","""Mathematics is not yet ripe enough for such questions.""","mathematics paul erdosh a famous mathematician said mathematics is not yet ripe enough for such questions"
"094y1Z2wpJg","00:00:20","00:00:21","","here's how"
"094y1Z2wpJg","00:00:21","00:00:22","Here's how it works.","it works"
"094y1Z2wpJg","00:00:23","00:00:25","Pick a number, any number.","pick a number any number seven"
"094y1Z2wpJg","00:00:26","00:00:26","Good choice.","good choice"
"094y1Z2wpJg","00:00:27","00:00:29","Okay, we're gonna apply two rules.","okay we're going to apply two rules if the"
"094y1Z2wpJg","00:00:29","00:00:32","If the number is odd, we multiply by three and add one.","number is odd we multiply by three and add one"
"094y1Z2wpJg","00:00:33","00:00:36","So three times seven is 21, plus one is 22.","so three times seven is twenty-one plus one is twenty-two"
"094y1Z2wpJg","00:00:37","00:00:40","If the number is even, we divide by two.","if the number is even we divide by two so twenty-two"
"094y1Z2wpJg","00:00:40","00:00:43","So 22 divided by two is 11.","divided by two is eleven now we"
"094y1Z2wpJg","00:00:43","00:00:45","Now, we keep applying these two rules.","keep applying these two rules"
"094y1Z2wpJg","00:00:46","00:00:50","11 is odd, so we multiply by 3, 33, and add 1, 34.","11 is odd so we multiply by 3 33 and add one 34 even"
"094y1Z2wpJg","00:00:50","00:00:53","Even, divide by two, 17, odd.","divide by 2 17 odd"
"094y1Z2wpJg","00:00:54","00:00:57","Multiply by 3, 51, add 1, 52, even.","multiply by 3 51 add 1 52 even"
"094y1Z2wpJg","00:00:58","00:01:00","Divide by two, 26, still even.","divide by 2 26 still even"
"094y1Z2wpJg","00:01:01","00:01:03","Divide by two, 13, odd.","divide by 2 13 odd so"
"094y1Z2wpJg","00:01:04","00:01:06","So we multiply by 3, 39, add one, and that's 40,","we multiply by 3 39 add 1 and that's 40"
"094y1Z2wpJg","00:01:07","00:01:09","which is even, so we divide by two, 20,","which is even so we divide by 2 20"
"094y1Z2wpJg","00:01:10","00:01:13","divide by two, 10, divide by two, five, odd.","divide by 2 10 divided by 2 5 odd divide by 2 10 divided by 2 5 odd"
"094y1Z2wpJg","00:01:14","00:01:16","Multiply by three, 15, add one, 16,","multiply by 3 15 add 1 16"
"094y1Z2wpJg","00:01:17","00:01:21","divide by two that's eight, and then four, two, and one.","divide by 2 that's 8 and then 4 2 and 1."
"094y1Z2wpJg","00:01:22","00:01:24","Now, one is odd, so we multiply by three and add one,","now 1 is odd so we multiply by 3 and add 1"
"094y1Z2wpJg","00:01:25","00:01:26","which equals four.","which equals four but four"
"094y1Z2wpJg","00:01:27","00:01:28","But four goes to two, goes to one,","goes to two goes to one"
"094y1Z2wpJg","00:01:29","00:01:32","so we're in a loop, and the lowest number is one.","so we're in a loop and the lowest number is one"
"094y1Z2wpJg","00:01:33","00:01:35","Now, the conjecture is this:","now the conjecture is this every positive"
"094y1Z2wpJg","00:01:35","00:01:38","every positive integer, if you apply these rules,","integer if you apply these rules will eventually"
"094y1Z2wpJg","00:01:38","00:01:42","will eventually end up in the four, two, one loop.","end up in the 4-2-1 loop this"
"094y1Z2wpJg","00:01:43","00:01:45","This is commonly called the Collatz conjecture","is commonly called the collats conjecture after german"
"094y1Z2wpJg","00:01:45","00:01:47","after German mathematician, Luther Collatz,","mathematician lother collats who may have come"
"094y1Z2wpJg","00:01:47","00:01:49","who may have come up with it in the 1930s.","up with it in the 1930s"
"094y1Z2wpJg","00:01:50","00:01:53","But the problem has many origin stories and many names.","but the problem has many origin stories and many names it's also known"
