"video_id","min_timecode","max_timecode","text.user","text.auto"
"0V7ki-zFd5A","00:00:00","00:00:01","- [Dan] Push the button.","push the button imagine"
"0V7ki-zFd5A","00:00:01","00:00:02","Imagine if the world ended,","if the world ended what"
"0V7ki-zFd5A","00:00:03","00:00:04","what does your $18 million get you?","does your 18 million dollars"
"0V7ki-zFd5A","00:00:05","00:00:06","If you were somebody that bought this,","get you if you were somebody that bought this"
"0V7ki-zFd5A","00:00:07","00:00:08","thank you to AMC's The Walking Dead World Beyond","thank you to amc's the walking dead"
"0V7ki-zFd5A","00:00:09","00:00:10","for sponsoring this video.","world beyond for sponsoring this video"
"0V7ki-zFd5A","00:00:10","00:00:12","",""
"0V7ki-zFd5A","00:00:13","00:00:14","- Welcome back to What's Inside, I'm Lincoln, this is Dan.","welcome back to what's inside i'm lincoln this is"
"0V7ki-zFd5A","00:00:15","00:00:15","And today we are going to see","dan and today we're going to see"
"0V7ki-zFd5A","00:00:16","00:00:19","what's inside an $18 million underground bunker house.","what's inside an 18 million dollar underground bunker house"
"0V7ki-zFd5A","00:00:20","00:00:21","We are in Las Vegas, Nevada right now,","that's right we are in las vegas nevada right now"
"0V7ki-zFd5A","00:00:22","00:00:24","just miles from the strip, and underneath this house,","just miles from the strip and underneath this house"
"0V7ki-zFd5A","00:00:25","00:00:27","and underneath this dirt that doesn't look like much","and underneath this dirt that doesn't look like much is an"
"0V7ki-zFd5A","00:00:27","00:00:29","is an $18 million underground bunker","18 million underground bunker that's been"
"0V7ki-zFd5A","00:00:29","00:00:30","that's been there since the Cold War.","there since the cold war"
"0V7ki-zFd5A","00:00:31","00:00:33","Before we show you the inside of this house,","before we show you the inside of this house i think it's very"
"0V7ki-zFd5A","00:00:33","00:00:35","I think it's very important that we show you the outside,","important that we show you the outside"
"0V7ki-zFd5A","00:00:36","00:00:38","because out here you would never think that","because out here you would never think that this is an"
"0V7ki-zFd5A","00:00:38","00:00:40","this is an $18 million bunker.","18 million bunker i mean"
