"video_id","min_timecode","max_timecode","text.user","text.auto"
"0dYMRj9whp4","00:00:00","00:00:04","Welcome to the Colin Furze tunnel project  where i am digging a secret underground tunnel  ","or welcome to the conference tunnel project where i am digging a secret underground tunnel from my shed"
"0dYMRj9whp4","00:00:04","00:00:09","from my shed to my house and eventually on to  the bunker in my back garden now if you like the  ","to my house and eventually on to the bunker in my back garden now if you like the sound of any of"
"0dYMRj9whp4","00:00:09","00:00:14","sound of any of that subscribe ,this is an awesome  project ,now this is video two in the last video  ","that subscribe this is an awesome project now this is video two in the last video we chopped"
"0dYMRj9whp4","00:00:14","00:00:18","we chopped the floor up and we put in our secret  entrance now as you're probably thinking this is  ","the floor up and we put in our secret entrance now as you're probably thinking this is an"
"0dYMRj9whp4","00:00:19","00:00:23","an expensive and a time-consuming project but  we have a sponsor in free trade so if you want  ","expensive and a time-consuming project but we have a sponsor in free trade so if you want to grow your"
"0dYMRj9whp4","00:00:23","00:00:43","to grow your wealth rather than your shed space  there's more about them later right we need today","wealth rather than your shed space there's more about them later right we need today"
"0dYMRj9whp4","00:00:44","00:01:01","","[Music] right"
"0dYMRj9whp4","00:01:02","00:01:11","right so i've got a load more tubs so  hopefully get a bit more out this time","so i've got a load more tubs so hopefully get a bit more out this time"
"0dYMRj9whp4","00:01:12","00:01:15","",""
"0dYMRj9whp4","00:01:16","00:01:21","that's got through the face now into actual  soil but i know what you're thinking then  ","that's got through the face now into actual soil but i know what you're thinking"
"0dYMRj9whp4","00:01:22","00:01:29","we're gonna put all this i have a plan you fill  these bags with the dirt from the tunnel then  ","then we're gonna put all this i have a plan you fill these bags with the dirt from the tunnel then"
"0dYMRj9whp4","00:01:30","00:01:34","wearing them inside your trousers  you wander out into the compound  ","wearing them inside your trousers you wander out into the compound"
"0dYMRj9whp4","00:01:34","00:01:35","",""
"0dYMRj9whp4","00:01:35","00:01:53","all you have to do is kick it in unless you're a  complete fool the ferrets will never see a thing","all you have to do is kick it in unless you're a complete fool the ferrets will never see a thing"
"0dYMRj9whp4","00:01:54","00:02:05","",""
"0dYMRj9whp4","00:02:06","00:02:07","hahaha","hahaha"
"0dYMRj9whp4","00:02:08","00:02:41","","[Music] [Music]"
"0dYMRj9whp4","00:02:41","00:02:46","now one problem i have got is i've not got  a lot of room to swing my spade around with  ","now one problem i have got is i've not got a lot of room to swing my spade around with"
"0dYMRj9whp4","00:02:46","00:02:49","so bought a new spade i'm  gonna chop it down six inches  ","so bought a new spade i'm gonna chop it down six"
"0dYMRj9whp4","00:02:50","00:02:54","and do the same with a shovel it's  even got its own little tool kit","inches and do the same with a shovel it's even got its own little tool kit"
"0dYMRj9whp4","00:02:54","00:02:57","","oh"
"0dYMRj9whp4","00:02:57","00:03:03","oh my body's out of control","my body's out of control"
"0dYMRj9whp4","00:03:04","00:03:12","","[Music]"
"0dYMRj9whp4","00:03:13","00:03:17","let dig 4 commence","let you commence"
"0dYMRj9whp4","00:03:17","00:03:30","","[Music] now"
"0dYMRj9whp4","00:03:30","00:03:35","now i've been digging this hole with loud music  on so no one can hear the sound of me digging  ","i've been digging this hole with loud music on so no one can hear the sound of me"
"0dYMRj9whp4","00:03:36","00:03:36","","digging"
"0dYMRj9whp4","00:03:37","00:03:41","but tonight tom wants to come and help  me and i thought it would be a bit weird  ","but tonight tom wants to come and help me and i thought it would be a bit weird if two"
"0dYMRj9whp4","00:03:42","00:03:43","if two people were in the shed really  loud music on because we wouldn't be  ","people were in the shed really loud music"
"0dYMRj9whp4","00:03:44","00:03:59","able to talk to each other so to cover the  noise tonight it's band practice night atom","on because we wouldn't be able to talk to each other so able to talk to each other so to cover the noise tonight it's band practice night atom"
"0dYMRj9whp4","00:03:59","00:04:02","",""
"0dYMRj9whp4","00:04:03","00:04:13","uh","[Music] [Applause] [Music] [Applause] [Music] uh"
"0dYMRj9whp4","00:04:14","00:04:15","",""
"0dYMRj9whp4","00:04:15","00:04:27","ah","[Music] ah"
"0dYMRj9whp4","00:04:28","00:04:39","","[Music]"
"0dYMRj9whp4","00:04:40","00:04:44","oh this is getting hard work this, bit okay our  sponsor now don't skip this bit no because you've  ","oh this is getting our work this bit okay our sponsor now don't skip this bit no"
"0dYMRj9whp4","00:04:45","00:04:49","only got to download free trade fund your account  with at least two pounds and you will all get a  ","because you've only got to download free trade fund your account with at least two pound and you will all get a share"
"0dYMRj9whp4","00:04:49","00:04:53","share worth between three and two hundred pounds  and five lucky people will get one worth five  ","worth between three and two hundred pound and five lucky people will get one worth five hundred"
"0dYMRj9whp4","00:04:54","00:04:59","hundred pounds oh i just keep giving. free trade  is a really simple and easy to use app where you  ","pounds oh i just keep giving free trade is a really simple and easy to use app"
"0dYMRj9whp4","00:05:00","00:05:05","can keep an eye on all stocks performance past  and present to help you make an informed decision  ","where you can keep an eye on all stocks performance past and present to help you make an informed decision on which stocks"
"0dYMRj9whp4","00:05:05","00:05:09","on which stocks to invest in but it doesn't just  stop at the app they also have a website with all  ","to invest in but it doesn't just stop at the app they also have a website"
"0dYMRj9whp4","00:05:10","00:05:15","sorts of tutorial pages basics lessons so you can  make even better decisions on what to invest in  ","with all sorts of tutorial pages basics lessons so you can make even better decisions on what to invest"
"0dYMRj9whp4","00:05:16","00:05:17","","in where's your"
"0dYMRj9whp4","00:05:17","00:05:21","where's your jet engine and if there's a  stock that takes your particular interest  ","jet engine and if there's a stock that takes your particular interest you"
"0dYMRj9whp4","00:05:22","00:05:24","you can scroll up the page click on the  community tab and see how other people  ","can scroll up the page click on the community tab and see how other"
"0dYMRj9whp4","00:05:25","00:05:29","have been doing with the stock and if there's  any news on the company free trade is all about  ","people have been doing with the stock and if there's any news on the company free trade is all about investing"
"0dYMRj9whp4","00:05:30","00:05:33","investing your money over time not just  buying and selling stocks in the same day  ","your money over time not just buying and selling stocks in the same day"
"0dYMRj9whp4","00:05:33","00:05:34","","and"
"0dYMRj9whp4","00:05:34","00:05:38","and because free trade updates in real time  you can check the performance of your portfolio  ","because free trade updates in real time you can check the performance of your portfolio at any"
"0dYMRj9whp4","00:05:39","00:05:42","at any point in the day any place  anywhere no matter what you're doing  ","point in the day any place anywhere no matter what you're doing"
"0dYMRj9whp4","00:05:43","00:05:46","now you've got to be sensible people your capital  is at risk of course your value of a portfolio can  ","now you've got to be sensible people your capital is at risk of course your value of"
"0dYMRj9whp4","00:05:47","00:05:52","go up as well as down so to get free trade click  the link in the description fund your account  ","a portfolio can go up as well as down so to get free trade click the link in the description fund your account everybody"
"0dYMRj9whp4","00:05:52","00:05:56","everybody that does that will receive a free share  worth between three pound and two hundred pound  ","that does that will receive a free share worth between three pound and two hundred pound"
"0dYMRj9whp4","00:05:57","00:06:01","into the 31st of july five of you will get one  worth 500 pounds so it's worth doing it's free  ","into the 31st of july five of you will get one worth 500 pounds so it's worth doing it's"
"0dYMRj9whp4","00:06:02","00:06:07","money support them they're supporting the channel  right then the project digging it's getting tough  ","free money support them they're supporting the channel right then the project digging it's getting tough i need a solution"
"0dYMRj9whp4","00:06:07","00:06:11","i need a solution now as we're getting a little  bit deeper things are starting to get a lot harder  ","now as we're getting a little bit deeper things are starting to get a lot harder"
"0dYMRj9whp4","00:06:12","00:06:19","now under normal circumstances a spade a pickaxe  or a jackhammer all perfectly fine but it's all  ","now under normal circumstances a spade a pickaxe or a jackhammer all perfectly fine but perfectly fine but it's all high"
"0dYMRj9whp4","00:06:19","00:06:28","high impact it's going to make a noise can't do  it so we need a quiet system of removing stuff.  ","impact it's going to make a noise can't do it so we need a quiet system of removing stuff"
"0dYMRj9whp4","00:06:28","00:06:30","","240"
"0dYMRj9whp4","00:06:30","00:06:35","240 volt hydraulic pump big fat hydraulic  cylinder fix this on the end of it  ","volt hydraulic pump big fat hydraulic cylinder fix this on the end of"
"0dYMRj9whp4","00:06:36","00:06:37","","it [Music] fix this on the end of it [Music]"
"0dYMRj9whp4","00:06:38","00:06:47","right i'm not gonna explain  too much just gonna build it","right i'm not gonna explain too much just gonna build it"
"0dYMRj9whp4","00:06:48","00:06:55","","[Music]"
"0dYMRj9whp4","00:06:56","00:07:01","things","things"
"0dYMRj9whp4","00:07:02","00:07:08","","[Music] nice"
"0dYMRj9whp4","00:07:08","00:07:12","nice and solid now i shall stick a handle on  it once i've got all the hydraulic hoses and  ","and solid now i shall stick a handle on it once i've got all the hydraulic hoses and stuff mounted"
"0dYMRj9whp4","00:07:13","00:07:17","stuff mounted but before that i've got to sort  my pump at i'm going to shove it under here  ","but before that i've got to sort my pump at i'm going to shove it under here uh it's"
"0dYMRj9whp4","00:07:18","00:07:22","uh it's a good excuse basically to tidy  all this rubbish up there's still bits of  ","a good excuse basically to tidy all this rubbish up there's still bits"
"0dYMRj9whp4","00:07:23","00:07:30","christmas tree under here from the undecor 500c  oh look at that look i mean that that's a fit  ","of christmas tree under here from the undecor 500c under here from the undecor 500c oh look at that look i mean that that's a fit that"
"0dYMRj9whp4","00:07:30","00:07:43","that is cable will come out there thingy will  come out there yes yes yes let's bolt it down","is cable will come out there that's a fit that is cable will come out there thingy will come out there yes yes yes let's bolt it down"
"0dYMRj9whp4","00:07:44","00:07:48","","[Applause] now"
"0dYMRj9whp4","00:07:48","00:07:57","now we've got power.","we've got power"
"0dYMRj9whp4","00:07:57","00:08:19","","see [Music] i got a brand new [Music] i got a brand new [Music]"
"0dYMRj9whp4","00:08:20","00:08:24","right i think this system is going to work i've  tidied it up a little bit i've reduced the length  ","right i think this system is going to work i've tidied it up a little bit i've reduced the length of the"
"0dYMRj9whp4","00:08:25","00:08:28","of the hydraulic hoses on the ram  and also i've installed these little  ","hydraulic hoses on the ram and also i've installed these little"
"0dYMRj9whp4","00:08:28","00:08:29","","uh gate"
"0dYMRj9whp4","00:08:29","00:08:35","gate valve things these little lever  valves so i can swap between the ram and  ","valve thing these little lever valves so i can swap between the ram and this wedgy"
"0dYMRj9whp4","00:08:36","00:08:38","this wedgy thing whatever you want  to call it is also we haven't got  ","thing whatever you want to call it is also we haven't got"
"0dYMRj9whp4","00:08:39","00:08:43","i say we haven't got hydraulic hoses and cables  everywhere look i still have got hydraulic hoses  ","i say we haven't got hydraulic hoses and cables everywhere look i still have got hydraulic hoses and cables"
"0dYMRj9whp4","00:08:43","00:08:48","and cables everywhere it doesn't do digging  down particularly well but it does force  ","everywhere it doesn't do digging down particularly well but it does force"
"0dYMRj9whp4","00:08:49","00:08:53","the rest of the muck into the hole quite well  which is a lot easier than using your spade","the rest of the muck into the hole quite well which is a lot easier than checking your spade [Music]"
"0dYMRj9whp4","00:08:53","00:09:24","","your spade [Music] ladies and here [Music]"
"0dYMRj9whp4","00:09:24","00:09:27","like literally scrape the surface  off this this is solid rock  ","like literally scrape the surface off this this is solid"
"0dYMRj9whp4","00:09:28","00:09:29","you whack in the pickaxe in and it's like","rock you whack in the pickaxe in"
"0dYMRj9whp4","00:09:30","00:09:32","","and it's like it is"
"0dYMRj9whp4","00:09:32","00:09:38","it is one big plate so i think now we've actually  hit the limestone seam i was kind of hoping  ","one big plate so i think now we've actually hit the limestone seam i"
"0dYMRj9whp4","00:09:39","00:09:39","","was kind of hoping"
"0dYMRj9whp4","00:09:40","00:09:43","it would be a bit deeper than this because the  bunker at the bottom although we hit it there  ","it would be a bit deeper than this because the bunker at the bottom although we hit it there"
"0dYMRj9whp4","00:09:44","00:09:47","the garden slopes down a bit so i was hoping  that the limestone would be a bit level and  ","the garden slopes down a bit so i was hoping that the limestone would be a bit level and"
"0dYMRj9whp4","00:09:48","00:09:51","then this would just be well whatever  all this is just nonsense on top of it  ","then this would just be well whatever all this is just nonsense on top of it"
"0dYMRj9whp4","00:09:51","00:09:52","",""
"0dYMRj9whp4","00:09:53","00:09:56","so neighbours are away today they're  coming back tomorrow so i'm going to  ","so neighbours are away today they're coming back tomorrow so i'm going to take"
"0dYMRj9whp4","00:09:57","00:10:02","take this opportunity to get the big breaker  in here smash as much of this up as possible  ","this opportunity to get the big breaker in here smash as much of this up as possible"
"0dYMRj9whp4","00:10:03","00:10:06","because that's going to be really difficult to  do with anyone else in because let's face it  ","because that's going to be really difficult to do with anyone else in because let's face"
"0dYMRj9whp4","00:10:07","00:10:13","that's going to make a lot of noise it's blooming  exciting this is this this is a perfect furze","it that's going to make a lot of noise it's blooming exciting this is this this is the perfect first"
"0dYMRj9whp4","00:10:14","00:10:17","project","project"
"0dYMRj9whp4","00:10:18","00:10:23","","right"
"0dYMRj9whp4","00:10:23","00:10:27","right something quite remarkable has happened i'm  digging down look i'm getting quite deep and all  ","something quite remarkable has happened i'm digging down look i'm getting quite deep and all"
"0dYMRj9whp4","00:10:28","00:10:32","of a sudden i like felt a draft i'm like where's  that draft coming from there's a little crack  ","of a sudden i like felt a draft i'm like where's that draft coming from there's a"
"0dYMRj9whp4","00:10:33","00:10:34","","little crack down"
"0dYMRj9whp4","00:10:34","00:10:40","down here i can get my fingers right underneath  there if i put this look there's literally a draft  ","here i can get my fingers right underneath there if i put this look there's literally a draft coming out of"
"0dYMRj9whp4","00:10:40","00:10:46","coming out of it come on wind if the wind blows  outside it okay i don't know where that crack goes  ","it come on wind if the wind blows outside it okay i don't know where that crack goes to"
"0dYMRj9whp4","00:10:46","00:10:54","to but it obviously must be connected to outside  somewhere are we gonna wear some secret cave that  ","but it obviously must be connected to outside somewhere are we gonna wear some secret cave that could save"
"0dYMRj9whp4","00:10:54","00:11:13","could save us a lot of digging the cracks getting  deeper that might even be the depth we need to go","us a lot of digging the cracks getting deeper that might even be the depth we need to go"
"0dYMRj9whp4","00:11:14","00:11:21","","[Music]"
"0dYMRj9whp4","00:11:22","00:11:27","look at that here we go corners all nice  and square next thing you want to do is  ","look at that here we go corners all nice and square next thing you want to do is put some framework"
"0dYMRj9whp4","00:11:27","00:11:30","put some framework around the outside  a to stop any collapses but also we  ","around the outside a to stop any collapses but"
"0dYMRj9whp4","00:11:31","00:11:35","definitely know we're digging vertical  level horizontal everything so we don't  ","also we definitely know we're digging vertical level horizontal everything so we don't wander"
"0dYMRj9whp4","00:11:35","00:11:41","wander off and we end up with like some  bent tunnel. it's middle of september now  ","off and we end up with like some scuff tunnel it's middle of september now"
"0dYMRj9whp4","00:11:42","00:11:55","so we're nearly what two and a half months  away or something from it being a year old","so we're nearly what two and a half months away or something from it being a year old"
"0dYMRj9whp4","00:11:56","00:11:57","",""
"0dYMRj9whp4","00:11:58","00:12:02","nice the chassis nice and solid got these little  pins in here and the corners to help it in  ","nice the chassis nice and solid got these little pins in here and the corners to help it"
"0dYMRj9whp4","00:12:03","00:12:03","","in"
"0dYMRj9whp4","00:12:04","00:12:05","put a bit of mesh up and just keep","put a bit of mesh up and just keep"
"0dYMRj9whp4","00:12:05","00:12:09","digging","digging"
"0dYMRj9whp4","00:12:10","00:12:13","",""
"0dYMRj9whp4","00:12:14","00:12:23","hmm","[Music] hmm"
"0dYMRj9whp4","00:12:24","00:12:50","","[Music]"
"0dYMRj9whp4","00:12:51","00:12:55","okay here we are we're down to maximum depth  we've got all the mesh on the wall we've got  ","okay here we are we're down to maximum depth we've got all the mesh on the wall we've got all the framing"
"0dYMRj9whp4","00:12:55","00:13:01","all the framing on the wall but it's actually  april 2021 now a whole year and three months  ","on the wall but it's actually april 2021 now a whole year and three months has passed"
"0dYMRj9whp4","00:13:02","00:13:05","has passed since i properly come down here and  actually did any work on this because of course  ","since i properly come down here and actually did any work on this because of course it's"
"0dYMRj9whp4","00:13:05","00:13:09","it's been Covid and all that malarkey and i would  normally work on it when the neighbors are out or  ","been covered and all that malarkey and i would normally work on it when the neighbors are out"
"0dYMRj9whp4","00:13:10","00:13:13","on holiday of course they've not been anywhere  and i want to get on with it basically  ","or on holiday of course they've not been anywhere and i want to get on with it basically"
"0dYMRj9whp4","00:13:14","00:13:17","so next video we need to start going  sideways but i want to do it in complete  ","so next video we need to start going sideways but i want to do it in complete"
"0dYMRj9whp4","00:13:18","00:13:22","silence so i'm not disturbing anyone and  it's not causing any issues so similar to  ","silence so i'm not disturbing anyone and it's not causing any issues so similar to"
