"video_id","min_timecode","max_timecode","text.user","text.auto"
"0unFO7Wak-o","00:00:00","00:00:01"," Where you going?","where you going"
"0unFO7Wak-o","00:00:01","00:00:05"," Girl, go do some maiding, OK?","girl go do some mating okay you're not going"
"0unFO7Wak-o","00:00:05","00:00:06"," You're not going up there.","up there"
"0unFO7Wak-o","00:00:07","00:00:07"," Watch me.","watch me"
"0unFO7Wak-o","00:00:08","00:00:09"," Veronica.","veronica"
"0unFO7Wak-o","00:00:10","00:00:11"," Hanna.","hannah"
"0unFO7Wak-o","00:00:12","00:00:15"," You're not going up there.","you're not going up there looks"
"0unFO7Wak-o","00:00:16","00:00:17"," Looks like I am.","like i am veronica"
"0unFO7Wak-o","00:00:17","00:00:21"," Veronica, you think I won't drag your ass down these steps?","you think i won't drag your ass down these steps oh i would"
"0unFO7Wak-o","00:00:21","00:00:22"," Oh, I would love to see that.","love to see that then i would have"
"0unFO7Wak-o","00:00:23","00:00:23","Then I would have to sue you.","to sue you"
"0unFO7Wak-o","00:00:24","00:00:27","Of course, all I would get is a mop and a bucket, but-- hm.","of course all i would get is a mop and a bucket but"
"0unFO7Wak-o","00:00:28","00:00:31"," Well, you apparently already have a broom.","well you apparently already have a broom veronica"
"0unFO7Wak-o","00:00:31","00:00:33","Veronica.","that's my name"
"0unFO7Wak-o","00:00:33","00:00:35"," That's my name.","i"
"0unFO7Wak-o","00:00:35","00:00:37","I wear it well, don't I?","wear it well don't you"
"0unFO7Wak-o","00:00:38","00:00:41"," Bring your ass down these stairs.","bring your ass down these stairs"
"0unFO7Wak-o","00:00:42","00:00:42"," I hear you, Miss Hanna.","i hear you miss hannah"
"0unFO7Wak-o","00:00:43","00:00:43","I hear you.","i hear"
"0unFO7Wak-o","00:00:44","00:00:44"," Now!","you now"
"0unFO7Wak-o","00:00:45","00:00:47"," [LAUGHING] I'm so ""scurred.""","i'm so scared"
"0unFO7Wak-o","00:00:48","00:00:48","I'm ""scurred.""","i'm scared"
"0unFO7Wak-o","00:00:49","00:00:50","Isn't that how you say it, Miss country Hanna?","and that's how you say it miss country hannah"
"0unFO7Wak-o","00:00:51","00:00:51"," Veronica!","veronica"
"0unFO7Wak-o","00:00:52","00:00:53"," Hanna!","hannah"
"0unFO7Wak-o","00:00:54","00:00:54"," You don't listen, do you?","you can listen"
"0unFO7Wak-o","00:00:55","00:00:57","","dude"
"0unFO7Wak-o","00:00:58","00:00:58","Veronica!","veronica hannah you can listen dude veronica"
"0unFO7Wak-o","00:00:59","00:01:00"," Oh, watch me, Hanna.","oh watch me"
"0unFO7Wak-o","00:01:01","00:01:10","","hannah"
"0unFO7Wak-o","00:01:12","00:01:13","","tacky"
"0unFO7Wak-o","00:01:13","00:01:15","Tacky pink, tacky pink.","pink tacky"
"0unFO7Wak-o","00:01:16","00:01:17"," Veronica!","pink veronica hannah"
"0unFO7Wak-o","00:01:17","00:01:19"," Hanna!","what the hell"
"0unFO7Wak-o","00:01:19","00:01:20"," What the hell do you think you're doing?","do you think you're doing"
"0unFO7Wak-o","00:01:20","00:01:22"," I'm looking for something.","i'm looking for something"
"0unFO7Wak-o","00:01:24","00:01:26"," Get your hands off that damn woman's dresser.","get your hands off that damn woman's dresser why"
"0unFO7Wak-o","00:01:27","00:01:28"," Why you so protective, honey?","are you so protective honey"
"0unFO7Wak-o","00:01:29","00:01:31"," Veronica, are you not listening to me?","veronica are you not listening to"
"0unFO7Wak-o","00:01:32","00:01:35"," Hanna, this ain't your shit, OK?","me hannah this ain't your"
"0unFO7Wak-o","00:01:36","00:01:36"," OK, no problem.","okay okay no problem"
"0unFO7Wak-o","00:01:36","00:01:37","I'm calling the police.","i'm calling the police"
"0unFO7Wak-o","00:01:38","00:01:38"," Calling the police?","calling the"
"0unFO7Wak-o","00:01:39","00:01:40"," Mm-hmm.","police oh"
"0unFO7Wak-o","00:01:40","00:01:42"," [SIGHS] Go maid something in there, Hanna.","go made something in there"
"0unFO7Wak-o","00:01:43","00:01:45","",""
"0unFO7Wak-o","00:01:46","00:01:50"," Yes, I need the police at 7431 Drummond, Savannah, Georgia.","yes i need the police at 7431 drummond savannah georgia there's"
"0unFO7Wak-o","00:01:50","00:01:51","There's a trespasser here.","a trespasser here"
"0unFO7Wak-o","00:01:52","00:01:53","[DRAWERS CLATTERING]","yeah"
"0unFO7Wak-o","00:01:55","00:01:57"," [SIGHS] You are so dramatic.","oh you are so dramatic"
"0unFO7Wak-o","00:01:58","00:01:58","OK, thank you.","yes okay thank you"
"0unFO7Wak-o","00:01:59","00:02:01","",""
"0unFO7Wak-o","00:02:01","00:02:04"," What, you just called the po-po on the Black woman, huh?","what'd you just call the po-po on the black woman huh huh that's"
"0unFO7Wak-o","00:02:04","00:02:06","Well, that's the way the help should act.","the way the help should act"
"0unFO7Wak-o","00:02:07","00:02:08","Got you, Hanna.","gotcha hannah"
"0unFO7Wak-o","00:02:09","00:02:09"," Mm-hmm, OK.","um okay just"
"0unFO7Wak-o","00:02:09","00:02:11","Just open one more drawer, Veronica.","open one more drawer of around here"
"0unFO7Wak-o","00:02:12","00:02:14"," One more drawer opened.","one more drive open"
"0unFO7Wak-o","00:02:15","00:02:17"," I will drag your ass out of this house.","i will drag your ass out of this house i really"
"0unFO7Wak-o","00:02:17","00:02:18"," I really want to see that.","want to see"
"0unFO7Wak-o","00:02:19","00:02:19"," Yeah.","that okay yeah"
"0unFO7Wak-o","00:02:20","00:02:20","Yes.","yes"
"0unFO7Wak-o","00:02:21","00:02:22","I need the police.","i need the police"
"0unFO7Wak-o","00:02:23","00:02:24","There is a trespasser here.","there is a trespasser here"
"0unFO7Wak-o","00:02:25","00:02:26","Yeah.","yeah"
"0unFO7Wak-o","00:02:27","00:02:29","7431 Drummond.","7431 drummond yeah"
"0unFO7Wak-o","00:02:29","00:02:30","Yeah.","you have someone"
"0unFO7Wak-o","00:02:31","00:02:31","You have someone in the neighborhood?","in the neighborhood"
"0unFO7Wak-o","00:02:32","00:02:33","OK, great.","okay great"
"0unFO7Wak-o","00:02:34","00:02:35","Thank you.","thank you"
"0unFO7Wak-o","00:02:36","00:02:39"," Damn, Katheryn, you need a keto diet instead--","damn kathleen you need a keto diet"
"0unFO7Wak-o","00:02:40","00:02:40","but Hanna!","hannah"
"0unFO7Wak-o","00:02:42","00:02:42","",""
"0unFO7Wak-o","00:02:43","00:02:44","Move.","move"
"0unFO7Wak-o","00:02:45","00:02:47"," You need to go.","you need to go i"
"0unFO7Wak-o","00:02:47","00:02:50"," I said move, girl.","said move girl"
"0unFO7Wak-o","00:02:51","00:02:52"," Move me.","move me"
"0unFO7Wak-o","00:02:52","00:02:54"," OK.","okay"
"0unFO7Wak-o","00:02:55","00:02:56","Damn. Ow!","damn i"
"0unFO7Wak-o","00:02:57","00:02:58"," I said, stay out of it.","said stay out of it"
"0unFO7Wak-o","00:03:05","00:03:05","",""
"0unFO7Wak-o","00:03:10","00:03:23","","[Music]"
