video_id,lang,text,timecode
1PIoiV2dp1c,English,,0:00 / 19:08
1PIoiV2dp1c,English,,0:01 / 19:08
1PIoiV2dp1c,English,,0:02 / 19:08
1PIoiV2dp1c,English,,0:03 / 19:08
1PIoiV2dp1c,English,,0:04 / 19:08
1PIoiV2dp1c,English,,0:05 / 19:08
1PIoiV2dp1c,English,,0:06 / 19:08
1PIoiV2dp1c,English,,0:07 / 19:08
1PIoiV2dp1c,English,Hey guys! Welcome back :D,0:07 / 19:08
1PIoiV2dp1c,English,Hey guys! Welcome back :D,0:08 / 19:08
1PIoiV2dp1c,English,Hey guys! Welcome back :D,0:09 / 19:08
1PIoiV2dp1c,English,,0:10 / 19:08
1PIoiV2dp1c,English,,0:11 / 19:08
1PIoiV2dp1c,English,,0:12 / 19:08
1PIoiV2dp1c,English,,0:13 / 19:08
1PIoiV2dp1c,English,,0:14 / 19:08
1PIoiV2dp1c,English,,0:15 / 19:08
1PIoiV2dp1c,English,,0:16 / 19:08
1PIoiV2dp1c,English,,0:17 / 19:08
1PIoiV2dp1c,English,,0:18 / 19:08
1PIoiV2dp1c,English,,0:19 / 19:08
1PIoiV2dp1c,English,,0:20 / 19:08
1PIoiV2dp1c,English,,0:21 / 19:08
1PIoiV2dp1c,English,,0:22 / 19:08
1PIoiV2dp1c,English,,0:23 / 19:08
1PIoiV2dp1c,English,,0:24 / 19:08
1PIoiV2dp1c,English,,0:25 / 19:08
1PIoiV2dp1c,English,,0:26 / 19:08
1PIoiV2dp1c,English,,0:27 / 19:08
1PIoiV2dp1c,English,,0:28 / 19:08
1PIoiV2dp1c,English,,0:29 / 19:08
1PIoiV2dp1c,English,,0:30 / 19:08
1PIoiV2dp1c,English,,0:31 / 19:08
1PIoiV2dp1c,English,,0:32 / 19:08
1PIoiV2dp1c,English,,0:33 / 19:08
1PIoiV2dp1c,English,,0:34 / 19:08
1PIoiV2dp1c,English,,0:35 / 19:08
1PIoiV2dp1c,English,,0:36 / 19:08
1PIoiV2dp1c,English,,0:37 / 19:08
1PIoiV2dp1c,English,,0:38 / 19:08
1PIoiV2dp1c,English,,0:39 / 19:08
1PIoiV2dp1c,English,,0:40 / 19:08
1PIoiV2dp1c,English,,0:41 / 19:08
1PIoiV2dp1c,English,,0:42 / 19:08
1PIoiV2dp1c,English,,0:43 / 19:08
1PIoiV2dp1c,English,,0:44 / 19:08
1PIoiV2dp1c,English,,0:45 / 19:08
1PIoiV2dp1c,English,,0:46 / 19:08
1PIoiV2dp1c,English,,0:47 / 19:08
1PIoiV2dp1c,English,,0:48 / 19:08
1PIoiV2dp1c,English,,0:49 / 19:08
1PIoiV2dp1c,English,,0:50 / 19:08
1PIoiV2dp1c,English,,0:51 / 19:08
1PIoiV2dp1c,English,,0:52 / 19:08
1PIoiV2dp1c,English,,0:53 / 19:08
1PIoiV2dp1c,English,,0:54 / 19:08
1PIoiV2dp1c,English,,0:55 / 19:08
1PIoiV2dp1c,English,,0:56 / 19:08
1PIoiV2dp1c,English,,0:57 / 19:08
1PIoiV2dp1c,English,,0:58 / 19:08
1PIoiV2dp1c,English,,0:59 / 19:08
1PIoiV2dp1c,English,,1:00 / 19:08
1PIoiV2dp1c,English,,1:01 / 19:08
1PIoiV2dp1c,English,,1:02 / 19:08
1PIoiV2dp1c,English,,1:03 / 19:08
1PIoiV2dp1c,English,,1:04 / 19:08
1PIoiV2dp1c,English,,1:05 / 19:08
1PIoiV2dp1c,English,,1:06 / 19:08
1PIoiV2dp1c,English,,1:07 / 19:08
1PIoiV2dp1c,English,,1:08 / 19:08
1PIoiV2dp1c,English,,1:09 / 19:08
1PIoiV2dp1c,English,,1:10 / 19:08
1PIoiV2dp1c,English,,1:11 / 19:08
1PIoiV2dp1c,English,,1:12 / 19:08
1PIoiV2dp1c,English,,1:13 / 19:08
1PIoiV2dp1c,English,,1:14 / 19:08
1PIoiV2dp1c,English,,1:15 / 19:08
1PIoiV2dp1c,English,,1:16 / 19:08
1PIoiV2dp1c,English,,1:17 / 19:08
1PIoiV2dp1c,English,,1:18 / 19:08
1PIoiV2dp1c,English,,1:19 / 19:08
1PIoiV2dp1c,English,,1:20 / 19:08
1PIoiV2dp1c,English,this video is looong overdue :),1:21 / 19:08
1PIoiV2dp1c,English,this video is looong overdue :),1:22 / 19:08
1PIoiV2dp1c,English,this video is looong overdue :),1:23 / 19:08
1PIoiV2dp1c,English,,1:24 / 19:08
1PIoiV2dp1c,English,,1:25 / 19:08
1PIoiV2dp1c,English,,1:26 / 19:08
1PIoiV2dp1c,English,,1:27 / 19:08
1PIoiV2dp1c,English,,1:28 / 19:08
1PIoiV2dp1c,English,,1:29 / 19:08
1PIoiV2dp1c,English,,1:30 / 19:08
1PIoiV2dp1c,English,,1:31 / 19:08
1PIoiV2dp1c,English,,1:32 / 19:08
1PIoiV2dp1c,English,,1:33 / 19:08
1PIoiV2dp1c,English,,1:34 / 19:08
1PIoiV2dp1c,English,,1:35 / 19:08
1PIoiV2dp1c,English,,1:36 / 19:08
1PIoiV2dp1c,English,,1:37 / 19:08
1PIoiV2dp1c,English,,1:38 / 19:08
1PIoiV2dp1c,English,,1:39 / 19:08
1PIoiV2dp1c,English,,1:40 / 19:08
1PIoiV2dp1c,English,,1:41 / 19:08
1PIoiV2dp1c,English,,1:42 / 19:08
1PIoiV2dp1c,English,,1:43 / 19:08
1PIoiV2dp1c,English,,1:44 / 19:08
1PIoiV2dp1c,English,,1:45 / 19:08
1PIoiV2dp1c,English,,1:46 / 19:08
1PIoiV2dp1c,English,,1:47 / 19:08
1PIoiV2dp1c,English,now onto the video :D,1:47 / 19:08
1PIoiV2dp1c,English,now onto the video :D,1:48 / 19:08
1PIoiV2dp1c,English,now onto the video :D,1:49 / 19:08
1PIoiV2dp1c,English,now onto the video :D,1:50 / 19:08
1PIoiV2dp1c,English,,1:51 / 19:08
1PIoiV2dp1c,English,,1:52 / 19:08
1PIoiV2dp1c,English,,1:53 / 19:08
1PIoiV2dp1c,English,,1:54 / 19:08
1PIoiV2dp1c,English,,1:55 / 19:08
1PIoiV2dp1c,English,,1:56 / 19:08
1PIoiV2dp1c,English,,1:57 / 19:08
1PIoiV2dp1c,English,,1:58 / 19:08
1PIoiV2dp1c,English,,1:59 / 19:08
1PIoiV2dp1c,English,,2:00 / 19:08
1PIoiV2dp1c,English,,2:01 / 19:08
1PIoiV2dp1c,English,blocked mozzarella cheese,2:02 / 19:08
1PIoiV2dp1c,English,blocked mozzarella cheese,2:03 / 19:08
1PIoiV2dp1c,English,blocked mozzarella cheese,2:04 / 19:08
1PIoiV2dp1c,English,blocked mozzarella cheese,2:05 / 19:08
1PIoiV2dp1c,English,,2:06 / 19:08
1PIoiV2dp1c,English,,2:07 / 19:08
1PIoiV2dp1c,English,,2:08 / 19:08
1PIoiV2dp1c,English,,2:09 / 19:08
1PIoiV2dp1c,English,,2:10 / 19:08
1PIoiV2dp1c,English,,2:11 / 19:08
1PIoiV2dp1c,English,,2:12 / 19:08
1PIoiV2dp1c,English,,2:13 / 19:08
1PIoiV2dp1c,English,,2:14 / 19:08
1PIoiV2dp1c,English,,2:15 / 19:08
1PIoiV2dp1c,English,,2:16 / 19:08
1PIoiV2dp1c,English,,2:17 / 19:08
1PIoiV2dp1c,English,,2:18 / 19:08
1PIoiV2dp1c,English,,2:19 / 19:08
1PIoiV2dp1c,English,,2:20 / 19:08
1PIoiV2dp1c,English,,2:21 / 19:08
1PIoiV2dp1c,English,,2:22 / 19:08
1PIoiV2dp1c,English,,2:23 / 19:08
1PIoiV2dp1c,English,,2:24 / 19:08
1PIoiV2dp1c,English,,2:25 / 19:08
1PIoiV2dp1c,English,,2:26 / 19:08
1PIoiV2dp1c,English,,2:27 / 19:08
1PIoiV2dp1c,English,,2:28 / 19:08
