video_id,lang,text,timecode
1Q0SVnv_jwk,English,"Hello and welcome to Brawlidays. -Brawlidays? Does that mean gifts, Ryan?",0:00 / 4:01
1Q0SVnv_jwk,English,"Hello and welcome to Brawlidays. -Brawlidays? Does that mean gifts, Ryan?",0:01 / 4:01
1Q0SVnv_jwk,English,"Hello and welcome to Brawlidays. -Brawlidays? Does that mean gifts, Ryan?",0:02 / 4:01
1Q0SVnv_jwk,English,"Hello and welcome to Brawlidays. -Brawlidays? Does that mean gifts, Ryan?",0:03 / 4:01
1Q0SVnv_jwk,English,"That’s right! We have 13 free gifts and two Brawlers,",0:04 / 4:01
1Q0SVnv_jwk,English,"That’s right! We have 13 free gifts and two Brawlers,",0:05 / 4:01
1Q0SVnv_jwk,English,"That’s right! We have 13 free gifts and two Brawlers,",0:06 / 4:01
1Q0SVnv_jwk,English,"That’s right! We have 13 free gifts and two Brawlers,",0:07 / 4:01
1Q0SVnv_jwk,English,,0:08 / 4:01
1Q0SVnv_jwk,English,and one of those Brawlers is free!,0:08 / 4:01
1Q0SVnv_jwk,English,and one of those Brawlers is free!,0:09 / 4:01
1Q0SVnv_jwk,English,,0:10 / 4:01
1Q0SVnv_jwk,English,,0:11 / 4:01
1Q0SVnv_jwk,English,BRAWLIDAY IS HERE!!,0:12 / 4:01
1Q0SVnv_jwk,English,BRAWLIDAY IS HERE!!,0:13 / 4:01
1Q0SVnv_jwk,English,BRAWLIDAY IS HERE!!,0:14 / 4:01
1Q0SVnv_jwk,English,,0:14 / 4:01
1Q0SVnv_jwk,English,"Let’s start right off the bat with our newest Brawler, Byron.",0:15 / 4:01
1Q0SVnv_jwk,English,"Let’s start right off the bat with our newest Brawler, Byron.",0:16 / 4:01
1Q0SVnv_jwk,English,"Let’s start right off the bat with our newest Brawler, Byron.",0:17 / 4:01
1Q0SVnv_jwk,English,He is a sinister salesman. Who is also a support Brawler.,0:18 / 4:01
1Q0SVnv_jwk,English,He is a sinister salesman. Who is also a support Brawler.,0:19 / 4:01
1Q0SVnv_jwk,English,He is a sinister salesman. Who is also a support Brawler.,0:20 / 4:01
1Q0SVnv_jwk,English,He is a sinister salesman. Who is also a support Brawler.,0:21 / 4:01
1Q0SVnv_jwk,English,He is a sinister salesman. Who is also a support Brawler.,0:22 / 4:01
1Q0SVnv_jwk,English,,0:22 / 4:01
1Q0SVnv_jwk,English,"He is going to be the third member of Piper’s and Barley’s trio,",0:23 / 4:01
1Q0SVnv_jwk,English,"He is going to be the third member of Piper’s and Barley’s trio,",0:24 / 4:01
1Q0SVnv_jwk,English,"He is going to be the third member of Piper’s and Barley’s trio,",0:25 / 4:01
1Q0SVnv_jwk,English,"He is going to be the third member of Piper’s and Barley’s trio,",0:26 / 4:01
1Q0SVnv_jwk,English,and he can sell you whatever you need to boost you up or damage your enemies.,0:26 / 4:01
1Q0SVnv_jwk,English,and he can sell you whatever you need to boost you up or damage your enemies.,0:27 / 4:01
1Q0SVnv_jwk,English,and he can sell you whatever you need to boost you up or damage your enemies.,0:28 / 4:01
1Q0SVnv_jwk,English,and he can sell you whatever you need to boost you up or damage your enemies.,0:29 / 4:01
1Q0SVnv_jwk,English,and he can sell you whatever you need to boost you up or damage your enemies.,0:30 / 4:01
1Q0SVnv_jwk,English,Byron plays a little bit differently than previous support Brawlers.,0:31 / 4:01
1Q0SVnv_jwk,English,Byron plays a little bit differently than previous support Brawlers.,0:32 / 4:01
1Q0SVnv_jwk,English,Byron plays a little bit differently than previous support Brawlers.,0:33 / 4:01
1Q0SVnv_jwk,English,Byron plays a little bit differently than previous support Brawlers.,0:34 / 4:01
1Q0SVnv_jwk,English,"His attacks either harm the enemy with damage over time,",0:34 / 4:01
1Q0SVnv_jwk,English,"His attacks either harm the enemy with damage over time,",0:35 / 4:01
1Q0SVnv_jwk,English,"His attacks either harm the enemy with damage over time,",0:36 / 4:01
1Q0SVnv_jwk,English,"His attacks either harm the enemy with damage over time,",0:37 / 4:01
1Q0SVnv_jwk,English,or they heal his friends with a heal over time.,0:38 / 4:01
1Q0SVnv_jwk,English,or they heal his friends with a heal over time.,0:39 / 4:01
1Q0SVnv_jwk,English,or they heal his friends with a heal over time.,0:40 / 4:01
1Q0SVnv_jwk,English,or they heal his friends with a heal over time.,0:41 / 4:01
1Q0SVnv_jwk,English,Exactly what you need in the right situation.,0:41 / 4:01
1Q0SVnv_jwk,English,Exactly what you need in the right situation.,0:42 / 4:01
1Q0SVnv_jwk,English,"And for his Super, Byron throws a vial on the floor that will damage",0:43 / 4:01
1Q0SVnv_jwk,English,"And for his Super, Byron throws a vial on the floor that will damage",0:44 / 4:01
1Q0SVnv_jwk,English,"And for his Super, Byron throws a vial on the floor that will damage",0:45 / 4:01
1Q0SVnv_jwk,English,"And for his Super, Byron throws a vial on the floor that will damage",0:46 / 4:01
1Q0SVnv_jwk,English,"And for his Super, Byron throws a vial on the floor that will damage",0:47 / 4:01
1Q0SVnv_jwk,English,"or heal a Brawler, depending on whether it’s an enemy or a friend.",0:47 / 4:01
1Q0SVnv_jwk,English,"or heal a Brawler, depending on whether it’s an enemy or a friend.",0:48 / 4:01
1Q0SVnv_jwk,English,"or heal a Brawler, depending on whether it’s an enemy or a friend.",0:49 / 4:01
1Q0SVnv_jwk,English,"or heal a Brawler, depending on whether it’s an enemy or a friend.",0:50 / 4:01
