video_id,lang,text,timecode
27rLZ16BTFY,English (United States) - Captions,"- I used to wear glasses, glasses,",0:00 / 6:30
27rLZ16BTFY,English (United States) - Captions,"- I used to wear glasses, glasses,",0:01 / 6:30
27rLZ16BTFY,English (United States) - Captions,but I wore glasses so long in my life,0:02 / 6:30
27rLZ16BTFY,English (United States) - Captions,but I wore glasses so long in my life,0:03 / 6:30
27rLZ16BTFY,English (United States) - Captions,that I decided I just didn't want to wear them anymore.,0:04 / 6:30
27rLZ16BTFY,English (United States) - Captions,that I decided I just didn't want to wear them anymore.,0:05 / 6:30
27rLZ16BTFY,English (United States) - Captions,that I decided I just didn't want to wear them anymore.,0:06 / 6:30
27rLZ16BTFY,English (United States) - Captions,- [Interviewer] So how do you see?,0:07 / 6:30
27rLZ16BTFY,English (United States) - Captions,"- I just, I have one bad eye,",0:08 / 6:30
27rLZ16BTFY,English (United States) - Captions,I just look through the other one.,0:09 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],0:10 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],0:11 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],0:12 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],0:13 / 6:30
27rLZ16BTFY,English (United States) - Captions,"What's up GQ,",0:13 / 6:30
27rLZ16BTFY,English (United States) - Captions,"this is Jack Harlow,",0:14 / 6:30
27rLZ16BTFY,English (United States) - Captions,and these are my 10 essentials.,0:15 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],0:16 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],0:17 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],0:18 / 6:30
27rLZ16BTFY,English (United States) - Captions,,0:18 / 6:30
27rLZ16BTFY,English (United States) - Captions,,0:19 / 6:30
27rLZ16BTFY,English (United States) - Captions,,0:20 / 6:30
27rLZ16BTFY,English (United States) - Captions,Gray 990s.,0:21 / 6:30
27rLZ16BTFY,English (United States) - Captions,I think it's one of the greatest silhouettes,0:22 / 6:30
27rLZ16BTFY,English (United States) - Captions,I think it's one of the greatest silhouettes,0:23 / 6:30
27rLZ16BTFY,English (United States) - Captions,in shoe history.,0:23 / 6:30
27rLZ16BTFY,English (United States) - Captions,in shoe history.,0:24 / 6:30
27rLZ16BTFY,English (United States) - Captions,My dad wore New Balances like a lot of dads growing up.,0:24 / 6:30
27rLZ16BTFY,English (United States) - Captions,My dad wore New Balances like a lot of dads growing up.,0:25 / 6:30
27rLZ16BTFY,English (United States) - Captions,My dad wore New Balances like a lot of dads growing up.,0:26 / 6:30
27rLZ16BTFY,English (United States) - Captions,My dad wore New Balances like a lot of dads growing up.,0:27 / 6:30
27rLZ16BTFY,English (United States) - Captions,"But in high school,",0:28 / 6:30
27rLZ16BTFY,English (United States) - Captions,I started wearing New Balance.,0:29 / 6:30
27rLZ16BTFY,English (United States) - Captions,Not a lot of kids in Louisville,0:30 / 6:30
27rLZ16BTFY,English (United States) - Captions,Not a lot of kids in Louisville,0:31 / 6:30
27rLZ16BTFY,English (United States) - Captions,were wearing New Balance at the time.,0:32 / 6:30
27rLZ16BTFY,English (United States) - Captions,were wearing New Balance at the time.,0:33 / 6:30
27rLZ16BTFY,English (United States) - Captions,"You know, it's kind of bigger on the East Coast,",0:33 / 6:30
27rLZ16BTFY,English (United States) - Captions,"You know, it's kind of bigger on the East Coast,",0:34 / 6:30
27rLZ16BTFY,English (United States) - Captions,like the DMV.,0:34 / 6:30
27rLZ16BTFY,English (United States) - Captions,like the DMV.,0:35 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I just wanted to wear something different,",0:36 / 6:30
27rLZ16BTFY,English (United States) - Captions,"and I liked the way they felt,",0:37 / 6:30
27rLZ16BTFY,English (United States) - Captions,so I just kind of ran with it.,0:37 / 6:30
27rLZ16BTFY,English (United States) - Captions,so I just kind of ran with it.,0:38 / 6:30
27rLZ16BTFY,English (United States) - Captions,so I just kind of ran with it.,0:39 / 6:30
27rLZ16BTFY,English (United States) - Captions,"And now it's a little more official,",0:39 / 6:30
27rLZ16BTFY,English (United States) - Captions,"And now it's a little more official,",0:40 / 6:30
27rLZ16BTFY,English (United States) - Captions,"And now it's a little more official,",0:41 / 6:30
27rLZ16BTFY,English (United States) - Captions,and I'm working with them.,0:41 / 6:30
27rLZ16BTFY,English (United States) - Captions,and I'm working with them.,0:42 / 6:30
27rLZ16BTFY,English (United States) - Captions,And I probably get a new pair of these,0:43 / 6:30
27rLZ16BTFY,English (United States) - Captions,And I probably get a new pair of these,0:44 / 6:30
27rLZ16BTFY,English (United States) - Captions,from New Balance once a month.,0:45 / 6:30
27rLZ16BTFY,English (United States) - Captions,from New Balance once a month.,0:46 / 6:30
27rLZ16BTFY,English (United States) - Captions,from New Balance once a month.,0:47 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I'm not really even a sneakerhead,",0:48 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I'm not really even a sneakerhead,",0:49 / 6:30
27rLZ16BTFY,English (United States) - Captions,to be honest.,0:50 / 6:30
27rLZ16BTFY,English (United States) - Captions,I don't love shoes that much.,0:51 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I have a few pairs that I'm not gonna wear to a concert,",0:52 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I have a few pairs that I'm not gonna wear to a concert,",0:53 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I have a few pairs that I'm not gonna wear to a concert,",0:54 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I have a few pairs that I'm not gonna wear to a concert,",0:55 / 6:30
27rLZ16BTFY,English (United States) - Captions,"or if I knew I was going to be walking in grass,",0:55 / 6:30
27rLZ16BTFY,English (United States) - Captions,"or if I knew I was going to be walking in grass,",0:56 / 6:30
27rLZ16BTFY,English (United States) - Captions,"or if I knew I was going to be walking in grass,",0:57 / 6:30
27rLZ16BTFY,English (United States) - Captions,"but these,",0:57 / 6:30
27rLZ16BTFY,English (United States) - Captions,"but these,",0:58 / 6:30
27rLZ16BTFY,English (United States) - Captions,I wear them anywhere.,0:59 / 6:30
27rLZ16BTFY,English (United States) - Captions,I wear them anywhere.,1:00 / 6:30
27rLZ16BTFY,English (United States) - Captions,These are being mass produced.,1:00 / 6:30
27rLZ16BTFY,English (United States) - Captions,These are being mass produced.,1:01 / 6:30
27rLZ16BTFY,English (United States) - Captions,These are being mass produced.,1:02 / 6:30
27rLZ16BTFY,English (United States) - Captions,It's just a great shoe.,1:03 / 6:30
27rLZ16BTFY,English (United States) - Captions,It's just a great shoe.,1:04 / 6:30
27rLZ16BTFY,English (United States) - Captions,It's classic.,1:04 / 6:30
27rLZ16BTFY,English (United States) - Captions,It can go with a lot of things.,1:05 / 6:30
27rLZ16BTFY,English (United States) - Captions,And this is the type of thing I put on with a sweatsuit,1:06 / 6:30
27rLZ16BTFY,English (United States) - Captions,And this is the type of thing I put on with a sweatsuit,1:07 / 6:30
27rLZ16BTFY,English (United States) - Captions,in the middle of the night and go on a mission.,1:08 / 6:30
27rLZ16BTFY,English (United States) - Captions,in the middle of the night and go on a mission.,1:09 / 6:30
27rLZ16BTFY,English (United States) - Captions,in the middle of the night and go on a mission.,1:10 / 6:30
27rLZ16BTFY,English (United States) - Captions,Yeah I wear these constantly.,1:11 / 6:30
27rLZ16BTFY,English (United States) - Captions,Yeah I wear these constantly.,1:12 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I mean,",1:12 / 6:30
27rLZ16BTFY,English (United States) - Captions,this is a shoe I would tap into the rest of my life.,1:13 / 6:30
27rLZ16BTFY,English (United States) - Captions,this is a shoe I would tap into the rest of my life.,1:14 / 6:30
27rLZ16BTFY,English (United States) - Captions,this is a shoe I would tap into the rest of my life.,1:15 / 6:30
27rLZ16BTFY,English (United States) - Captions,"About a year ago,",1:15 / 6:30
27rLZ16BTFY,English (United States) - Captions,I probably wouldn't have been able,1:16 / 6:30
27rLZ16BTFY,English (United States) - Captions,I probably wouldn't have been able,1:17 / 6:30
27rLZ16BTFY,English (United States) - Captions,"to bring as many things in here,",1:17 / 6:30
27rLZ16BTFY,English (United States) - Captions,"to bring as many things in here,",1:18 / 6:30
27rLZ16BTFY,English (United States) - Captions,"cause you know,",1:19 / 6:30
27rLZ16BTFY,English (United States) - Captions,I don't have a lot of items,1:19 / 6:30
27rLZ16BTFY,English (United States) - Captions,I don't have a lot of items,1:20 / 6:30
27rLZ16BTFY,English (United States) - Captions,I feel like I can't live without.,1:20 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I'm not materialistic,",1:21 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I'm not materialistic,",1:22 / 6:30
27rLZ16BTFY,English (United States) - Captions,but I got this recently and I'm in love with it.,1:22 / 6:30
27rLZ16BTFY,English (United States) - Captions,but I got this recently and I'm in love with it.,1:23 / 6:30
27rLZ16BTFY,English (United States) - Captions,but I got this recently and I'm in love with it.,1:24 / 6:30
27rLZ16BTFY,English (United States) - Captions,"That's the Sky-Dweller,",1:25 / 6:30
27rLZ16BTFY,English (United States) - Captions,stainless steel Rolex.,1:26 / 6:30
27rLZ16BTFY,English (United States) - Captions,stainless steel Rolex.,1:27 / 6:30
27rLZ16BTFY,English (United States) - Captions,I like the color of it.,1:28 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I don't really like yellow gold,",1:28 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I don't really like yellow gold,",1:29 / 6:30
27rLZ16BTFY,English (United States) - Captions,so for me this can go with so much.,1:30 / 6:30
27rLZ16BTFY,English (United States) - Captions,so for me this can go with so much.,1:31 / 6:30
27rLZ16BTFY,English (United States) - Captions,so for me this can go with so much.,1:32 / 6:30
27rLZ16BTFY,English (United States) - Captions,"And the blue face like,",1:32 / 6:30
27rLZ16BTFY,English (United States) - Captions,"And the blue face like,",1:33 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I mean especially right now,",1:33 / 6:30
27rLZ16BTFY,English (United States) - Captions,"I mean especially right now,",1:34 / 6:30
27rLZ16BTFY,English (United States) - Captions,this hits right now just because of my fit.,1:35 / 6:30
27rLZ16BTFY,English (United States) - Captions,"But I didn't fantasize about watches growing up,",1:36 / 6:30
27rLZ16BTFY,English (United States) - Captions,"But I didn't fantasize about watches growing up,",1:37 / 6:30
27rLZ16BTFY,English (United States) - Captions,"But I didn't fantasize about watches growing up,",1:38 / 6:30
27rLZ16BTFY,English (United States) - Captions,"but now that I have one,",1:38 / 6:30
27rLZ16BTFY,English (United States) - Captions,"but now that I have one,",1:39 / 6:30
27rLZ16BTFY,English (United States) - Captions,"but now that I have one,",1:40 / 6:30
27rLZ16BTFY,English (United States) - Captions,I really could see myself building a collection.,1:40 / 6:30
27rLZ16BTFY,English (United States) - Captions,I really could see myself building a collection.,1:41 / 6:30
27rLZ16BTFY,English (United States) - Captions,I really could see myself building a collection.,1:42 / 6:30
27rLZ16BTFY,English (United States) - Captions,But this is the only watch I have right now.,1:42 / 6:30
27rLZ16BTFY,English (United States) - Captions,But this is the only watch I have right now.,1:43 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],1:44 / 6:30
27rLZ16BTFY,English (United States) - Captions,[upbeat music],1:45 / 6:30
27rLZ16BTFY,English (United States) - Captions,So these are condoms.,1:46 / 6:30
27rLZ16BTFY,English (United States) - Captions,So these are condoms.,1:47 / 6:30
27rLZ16BTFY,English (United States) - Captions,So these are condoms.,1:48 / 6:30
27rLZ16BTFY,English (United States) - Captions,I really like the grip on them and they're just effective.,1:48 / 6:30
27rLZ16BTFY,English (United States) - Captions,I really like the grip on them and they're just effective.,1:49 / 6:30
27rLZ16BTFY,English (United States) - Captions,I really like the grip on them and they're just effective.,1:50 / 6:30
