"video_id","min_timecode","max_timecode","text.user","text.auto"
"2EGuVKx_MXA","00:00:00","00:00:02","If the ostriches can't be here by 3:00, we can't use them.","if the ostriches can't be here by three we can't use them okay"
"2EGuVKx_MXA","00:00:03","00:00:04","Dude, what happened to you?","dude what happened to you motorcycle"
"2EGuVKx_MXA","00:00:04","00:00:05","Motorcycle wreck?","wreck huh oh oh"
"2EGuVKx_MXA","00:00:05","00:00:07","Oh, oh, cracked my phone over the weekend.","crack my phone over the weekend"
"2EGuVKx_MXA","00:00:08","00:00:08","Oh.","oh yeah"
"2EGuVKx_MXA","00:00:08","00:00:09","Yeah, still got to use it though.","still gotta"
"2EGuVKx_MXA","00:00:10","00:00:14","[MUSIC PLAYING]","use it though [Applause]"
"2EGuVKx_MXA","00:00:15","00:00:15","",""
"2EGuVKx_MXA","00:00:15","00:00:16","It's really not as bad as it looks.","it's really not as bad as it looks"
"2EGuVKx_MXA","00:00:17","00:00:17","You can still hold it.","you can still hold it you can touch"
"2EGuVKx_MXA","00:00:18","00:00:18","You can touch it.","it but definitely"
"2EGuVKx_MXA","00:00:18","00:00:19","But definitely don't swipe it.","don't swipe it eight's"
"2EGuVKx_MXA","00:00:19","00:00:21","Eight's the seven, the six is the five.","the seven the six is the five every"
"2EGuVKx_MXA","00:00:21","00:00:24","Every other button's the same.","other button's the same"
"2EGuVKx_MXA","00:00:24","00:00:25","Congratulations.","congratulations you've"
"2EGuVKx_MXA","00:00:25","00:00:27","You've just won a free cruise.","just won"
"2EGuVKx_MXA","00:00:28","00:00:28","Well, gee whiz.","well gee whiz"
"2EGuVKx_MXA","00:00:28","00:00:30","Let's board the boat.","let's board the boat"
"2EGuVKx_MXA","00:00:31","00:00:33","Hi, I'm Jennifer calling about your car's extended warranty.","hi i'm jennifer calling about your car's extended warranty"
"2EGuVKx_MXA","00:00:34","00:00:34","Well, good golly.","well good golly"
"2EGuVKx_MXA","00:00:35","00:00:35","Let's extend it.","let's extend"
"2EGuVKx_MXA","00:00:36","00:00:45","","it"
"2EGuVKx_MXA","00:00:46","00:00:54","","[Music]"
"2EGuVKx_MXA","00:00:54","00:00:55","I'm sorry.","i'm so"
"2EGuVKx_MXA","00:00:55","00:00:59","I'm so sorry, man.","sorry [Music]"
"2EGuVKx_MXA","00:01:04","00:01:07","","[Music]"
"2EGuVKx_MXA","00:01:20","00:01:22","","[Music]"
"2EGuVKx_MXA","00:01:24","00:01:27","",""
"2EGuVKx_MXA","00:01:28","00:01:28","No.","no"
"2EGuVKx_MXA","00:01:29","00:01:30","Oh, no.","oh no"
"2EGuVKx_MXA","00:01:31","00:01:33","Oh what are the chances?","oh what are the chances oh"
"2EGuVKx_MXA","00:01:33","00:01:35","Oh, please tell me it didn't crack the front?","please tell me you didn't crack the front"
"2EGuVKx_MXA","00:01:36","00:01:43","","no i like funny"
"2EGuVKx_MXA","00:01:43","00:01:44","I like funny things.","things"
"2EGuVKx_MXA","00:01:45","00:01:45","Oh, sorry man.","oh sorry man you had"
"2EGuVKx_MXA","00:01:45","00:01:46","You had to be here.","to be here [Music]"
"2EGuVKx_MXA","00:01:46","00:01:48","","i"
"2EGuVKx_MXA","00:01:49","00:01:49","I am here.","i am"
"2EGuVKx_MXA","00:01:50","00:01:51","I already scrolled it.","here i just it's i already scrolled this into the abyss"
"2EGuVKx_MXA","00:01:51","00:01:52","It's into the abyss now.","now you"
"2EGuVKx_MXA","00:01:52","00:01:54","You can't just go back.","can't just go back gone forever"
"2EGuVKx_MXA","00:01:54","00:01:55","Gone forever, dude.","dude"
"2EGuVKx_MXA","00:01:55","00:01:58","",""
"2EGuVKx_MXA","00:01:58","00:02:00","I cannot believe that just-- no way.","i cannot believe that just no way"
"2EGuVKx_MXA","00:02:01","00:02:03","","what what what"
"2EGuVKx_MXA","00:02:03","00:02:04","What was it?","was it"
"2EGuVKx_MXA","00:02:05","00:02:05","Huh, oh dude.","huh oh"
"2EGuVKx_MXA","00:02:06","00:02:06","Sorry.","dude"
"2EGuVKx_MXA","00:02:06","00:02:08","","sorry"
"2EGuVKx_MXA","00:02:09","00:02:10","I don't even know where I put it.","i just i don't even know where i put it can you"
"2EGuVKx_MXA","00:02:11","00:02:11","We're calling it.","call it please we're calling"
"2EGuVKx_MXA","00:02:12","00:02:13","Don't all call it at once.","it don't call it at once"
"2EGuVKx_MXA","00:02:14","00:02:14","Ty look underneath.","i look underneath"
"2EGuVKx_MXA","00:02:15","00:02:15","Are we good?","are we good it's"
"2EGuVKx_MXA","00:02:16","00:02:18","It's not under there, but it is remarkable what is under there.","not under there but it is remarkable what is under there oh it's"
"2EGuVKx_MXA","00:02:19","00:02:19","Oh, it's on silent.","on silent"
"2EGuVKx_MXA","00:02:19","00:02:20","Guys, going to take your shoes off you're","guys you gotta take your shoes off"
"2EGuVKx_MXA","00:02:21","00:02:21","going to feel the vibration.","if you're gonna feel the vibration oh"
"2EGuVKx_MXA","00:02:22","00:02:22","Oh, I found it.","i found it"
"2EGuVKx_MXA","00:02:23","00:02:24","Bang.","yes ah"
"2EGuVKx_MXA","00:02:24","00:02:25","Ah, N64 Rumble Pack.","n64"
"2EGuVKx_MXA","00:02:26","00:02:27","It has the same vibration patterns though.","rumble pack has same vibration pattern so"
"2EGuVKx_MXA","00:02:28","00:02:28","I'll meet you in the car dude.","i'm eating"
"2EGuVKx_MXA","00:02:29","00:02:31","We only gave it an hour.","the car did we only gave it an"
"2EGuVKx_MXA","00:02:32","00:02:38","[TEXTING SOUNDS]","hour"
"2EGuVKx_MXA","00:02:39","00:02:39","Dude.","dude"
"2EGuVKx_MXA","00:02:39","00:02:43","","[Music] what"
"2EGuVKx_MXA","00:02:43","00:02:45","What?","[Music] what oh man"
"2EGuVKx_MXA","00:02:45","00:02:47","Oh man, I cannot thank you enough for recommending that","i cannot thank you enough for recommending"
"2EGuVKx_MXA","00:02:48","00:02:48","hemorrhoid cream.","that hemorrhoid cream has"
"2EGuVKx_MXA","00:02:49","00:02:51","Has helped out tremendously.","helped out tremendously my sister"
"2EGuVKx_MXA","00:02:51","00:02:52","My sister has 15 warts on her hand.","has like 15"
"2EGuVKx_MXA","00:02:53","00:02:54","We're trying to figure out how to get rid of those.","warts on her hand we're trying to figure out how to get rid of those"
"2EGuVKx_MXA","00:02:55","00:02:55","Floor two, please.","or two"
"2EGuVKx_MXA","00:02:56","00:02:57","Dude, another crazy thing I found out--","please dude another crazy thing i found out are"
"2EGuVKx_MXA","00:02:58","00:02:59","are you listening to my phone call right now?","you listening to my phone call right now you know"
"2EGuVKx_MXA","00:03:00","00:03:00","You know that's illegal.","that's"
"2EGuVKx_MXA","00:03:01","00:03:04","","illegal"
"2EGuVKx_MXA","00:03:05","00:03:06","What's up?","hey man what's up hey"
"2EGuVKx_MXA","00:03:06","00:03:07","Hey.","wait"
"2EGuVKx_MXA","00:03:07","00:03:09","Wait, are you in the bathroom right now?","are you in the bathroom right now what"
"2EGuVKx_MXA","00:03:09","00:03:11","What?","[Music]"
"2EGuVKx_MXA","00:03:12","00:03:12","Yeah, no.","yeah no definitely"
"2EGuVKx_MXA","00:03:13","00:03:13","Definitely not.","not happy"
"2EGuVKx_MXA","00:03:14","00:03:15","Hey is that water running?","hey is that water running"
"2EGuVKx_MXA","00:03:16","00:03:17","Yeah.","yeah uh"
"2EGuVKx_MXA","00:03:18","00:03:19","Left the office early to go fish.","left the office early to go fish can you"
"2EGuVKx_MXA","00:03:20","00:03:20","Can you send me a picture of the fish?","see me picture the fish no"
"2EGuVKx_MXA","00:03:21","00:03:23","No.","no [Music]"
"2EGuVKx_MXA","00:03:24","00:03:26","FaceTime?","face time just kidding"
"2EGuVKx_MXA","00:03:26","00:03:27","Hey, big dog.","hey brother"
"2EGuVKx_MXA","00:03:27","00:03:29","What's good, good looking?","oh what do you"
"2EGuVKx_MXA","00:03:30","00:03:30","What do you need?","need i"
"2EGuVKx_MXA","00:03:34","00:03:35","My phone is at 1%.","my phone's at one percent if i lose"
"2EGuVKx_MXA","00:03:35","00:03:38","If I lose you any time--","you any time [Music]"
"2EGuVKx_MXA","00:03:38","00:03:41","Hey, don't you do that brother.","don't you do that brother don't you hey real"
"2EGuVKx_MXA","00:03:41","00:03:42","Don't you-- hey, real quick.","quick gotta let"
"2EGuVKx_MXA","00:03:43","00:03:44","Don't move a muscle.","the dog out don't move a muscle be right back you"
"2EGuVKx_MXA","00:03:45","00:03:45","You called me by the way.","called me by the way"
"2EGuVKx_MXA","00:03:46","00:03:50","Dude this is like his fifth time calling today.","dude this is like his fifth time calling today dude this is like his fifth time calling today"
"2EGuVKx_MXA","00:03:51","00:03:53","Are you underwater?","are you under water it's"
"2EGuVKx_MXA","00:03:53","00:03:54","That's actually kind of impressive.","actually kind of impressive i"
"2EGuVKx_MXA","00:03:55","00:03:58","I know you can't hear me, but never call me again.","know you can't hear me but never call me again"
"2EGuVKx_MXA","00:03:59","00:04:00","Oh bag of diapers.","oh bag of diapers"
"2EGuVKx_MXA","00:04:01","00:04:02","4:54 on a Saturday the 13th.","4 54 on saturday the"
"2EGuVKx_MXA","00:04:03","00:04:05","I have some illegal dumping activity happening right now.","13th i have some illegal dumping activity happening right now hey"
"2EGuVKx_MXA","00:04:06","00:04:06","These gentlemen are tresspassing!","gentlemen"
"2EGuVKx_MXA","00:04:08","00:04:10","","[Music]"
"2EGuVKx_MXA","00:04:11","00:04:14","[INTERPOSING VOICES]","i did"
"2EGuVKx_MXA","00:04:20","00:04:28","[INTERPOSING VOICES]","great"
"2EGuVKx_MXA","00:04:29","00:04:30","Looking for the best coffee shop, boom.","looking for the best coffee shop boom"
"2EGuVKx_MXA","00:04:31","00:04:33","Hashtag, sponsored.","right there hashtag sponsored"
