"video_id","min_timecode","max_timecode","text.user","text.auto"
"3AiDa3ZD20Y","00:00:00","00:00:01","- What is your skin type?","what is your skin type"
"3AiDa3ZD20Y","00:00:02","00:00:02","- Handsome.","handsome"
"3AiDa3ZD20Y","00:00:03","00:00:04","",""
"3AiDa3ZD20Y","00:00:07","00:00:10","- Hey GQ it's Rihanna and I'm going face to face","hey gq it's rihanna and i'm going face to face"
"3AiDa3ZD20Y","00:00:11","00:00:13","with A$AP Rocky.","with to face with asap"
"3AiDa3ZD20Y","00:00:13","00:00:16","[light upbeat music]","rocky all right"
"3AiDa3ZD20Y","00:00:17","00:00:17","- A'ight ring ring, ring ring.","ring ring ring"
"3AiDa3ZD20Y","00:00:18","00:00:19","What's up Ri Ri?","ring what's up riri"
"3AiDa3ZD20Y","00:00:19","00:00:20","",""
"3AiDa3ZD20Y","00:00:20","00:00:22","- What's up Rocky?","what's up right hey how"
"3AiDa3ZD20Y","00:00:23","00:00:23","- How you?","are you"
"3AiDa3ZD20Y","00:00:24","00:00:25","- I'm good, how you doing?","i'm good how are you doing i'm chilling"
"3AiDa3ZD20Y","00:00:25","00:00:26","- I'm chillin' - So I need to ask you","so i need"
"3AiDa3ZD20Y","00:00:27","00:00:28","the same stuff.","to ask you the same stuff what is your favorite"
"3AiDa3ZD20Y","00:00:31","00:00:31","[beeps]","i just wanted"
"3AiDa3ZD20Y","00:00:31","00:00:34","I just wanted to say the same thing.","to say the same thing it means so"
"3AiDa3ZD20Y","00:00:34","00:00:36","It means so much in four letters.","much in four letters"
"3AiDa3ZD20Y","00:00:37","00:00:37","- Yeah. - But it's also like--","yeah it's also"
"3AiDa3ZD20Y","00:00:38","00:00:40","- It could mean like, - really offensive.","i mean like really mean like really no but it can mean"
"3AiDa3ZD20Y","00:00:40","00:00:41","- Nah but it could mean like, [beeps]","like"
"3AiDa3ZD20Y","00:00:42","00:00:44","you know I just like drop my, you know.","like you know i just like dropped my you know"
"3AiDa3ZD20Y","00:00:44","00:00:46","My glass of juice or like.","my glasses juice so like yeah it could mean"
"3AiDa3ZD20Y","00:00:46","00:00:47","- Yeah it could mean that.","that it could"
"3AiDa3ZD20Y","00:00:47","00:00:48","[blow whistles] could also mean that.","also mean that"
"3AiDa3ZD20Y","00:00:49","00:00:50","- True but I like [beeps] better.","true but i like better like"
"3AiDa3ZD20Y","00:00:51","00:00:52","Like, [beeps] like.","like uh"
"3AiDa3ZD20Y","00:00:53","00:00:53","- Aw yes.","yes a"
"3AiDa3ZD20Y","00:00:54","00:00:58","A food that you would never eat under any circumstance.","food that you would never eat under any circumstance"
"3AiDa3ZD20Y","00:00:59","00:00:59","- Chitlins.","chitlins i just"
