video_id,lang,text,timecode
3F0eyrZhuHs,English - en,,0:00 / 0:47
3F0eyrZhuHs,English - en,,0:01 / 0:47
3F0eyrZhuHs,English - en,THEY’RE GOING TO START THE,0:01 / 0:47
3F0eyrZhuHs,English - en,THEY’RE GOING TO START THE,0:02 / 0:47
3F0eyrZhuHs,English - en,THEY’RE GOING TO START THE,0:03 / 0:47
3F0eyrZhuHs,English - en,"SEASON IN TAMPA, FLORIDA,",0:04 / 0:47
3F0eyrZhuHs,English - en,INSTEAD.,0:04 / 0:47
3F0eyrZhuHs,English - en,>>> THIS MORNING THE TEEN,0:05 / 0:47
3F0eyrZhuHs,English - en,>>> THIS MORNING THE TEEN,0:06 / 0:47
3F0eyrZhuHs,English - en,CHARGED WITH KILLING TWO MEN IN,0:07 / 0:47
3F0eyrZhuHs,English - en,CHARGED WITH KILLING TWO MEN IN,0:08 / 0:47
3F0eyrZhuHs,English - en,CHARGED WITH KILLING TWO MEN IN,0:09 / 0:47
3F0eyrZhuHs,English - en,WISCONSIN DURING THE JACOB BLAKE,0:09 / 0:47
3F0eyrZhuHs,English - en,WISCONSIN DURING THE JACOB BLAKE,0:10 / 0:47
3F0eyrZhuHs,English - en,WISCONSIN DURING THE JACOB BLAKE,0:11 / 0:47
3F0eyrZhuHs,English - en,WISCONSIN DURING THE JACOB BLAKE,0:12 / 0:47
3F0eyrZhuHs,English - en,PROTEST IS OUT OF JAIL.,0:13 / 0:47
3F0eyrZhuHs,English - en,PROTEST IS OUT OF JAIL.,0:14 / 0:47
3F0eyrZhuHs,English - en,PROTEST IS OUT OF JAIL.,0:15 / 0:47
3F0eyrZhuHs,English - en,KYLE WRITRITTENHOUSE POSTED $2,0:16 / 0:47
3F0eyrZhuHs,English - en,KYLE WRITRITTENHOUSE POSTED $2,0:17 / 0:47
3F0eyrZhuHs,English - en,MILLION BAIL COMING UP WITH THE,0:18 / 0:47
3F0eyrZhuHs,English - en,MILLION BAIL COMING UP WITH THE,0:19 / 0:47
3F0eyrZhuHs,English - en,MILLION BAIL COMING UP WITH THE,0:20 / 0:47
3F0eyrZhuHs,English - en,MONEY FROM MY PILLOW FOUNDER,0:20 / 0:47
3F0eyrZhuHs,English - en,MONEY FROM MY PILLOW FOUNDER,0:21 / 0:47
3F0eyrZhuHs,English - en,MONEY FROM MY PILLOW FOUNDER,0:22 / 0:47
3F0eyrZhuHs,English - en,MONEY FROM MY PILLOW FOUNDER,0:23 / 0:47
3F0eyrZhuHs,English - en,MICHAEL LINDELL.,0:23 / 0:47
3F0eyrZhuHs,English - en,MICHAEL LINDELL.,0:24 / 0:47
3F0eyrZhuHs,English - en,MICHAEL LINDELL.,0:25 / 0:47
3F0eyrZhuHs,English - en,ALSO RICKY SCHROEDER.,0:26 / 0:47
3F0eyrZhuHs,English - en,ALSO RICKY SCHROEDER.,0:27 / 0:47
3F0eyrZhuHs,English - en,,0:27 / 0:47
3F0eyrZhuHs,English - en,,0:28 / 0:47
3F0eyrZhuHs,English - en,,0:29 / 0:47
3F0eyrZhuHs,English - en,,0:30 / 0:47
3F0eyrZhuHs,English - en,,0:31 / 0:47
