"video_id","min_timecode","max_timecode","text.user","text.auto"
"3gJ4cBdUkPo","00:00:00","00:00:02","(mystical sound)","[Music]"
"3gJ4cBdUkPo","00:00:03","00:00:04","","yo you're"
"3gJ4cBdUkPo","00:00:04","00:00:05","- [Man] Yo, you're flying.","flying what"
"3gJ4cBdUkPo","00:00:05","00:00:06","- What do you think?","do you think dude"
"3gJ4cBdUkPo","00:00:07","00:00:07","- [Man] Dude. That's awesome.","that's awesome cool"
"3gJ4cBdUkPo","00:00:08","00:00:10","- [Man] Oh, I see what you did there. It's a mirror.","huh oh i see what you did there it's a mirror wait don't don't"
"3gJ4cBdUkPo","00:00:10","00:00:12","Wait, Nate. Don't reveal it.","reveal it"
"3gJ4cBdUkPo","00:00:13","00:00:15","- So it's always been a dream of mine to attend Hogwarts","so it's always been a dream of mine to attend hogwarts which"
"3gJ4cBdUkPo","00:00:16","00:00:16","which is why I'm in the Wizarding world","is why i'm in the wizarding world"
"3gJ4cBdUkPo","00:00:17","00:00:18","of Harry Potter at Universal Orlando Resort","of harry potter at universal orlando"
"3gJ4cBdUkPo","00:00:19","00:00:22","and I'm gonna stir up a little magical mischief","resort and i'm going to stir up a little magical mischief but hogwarts"
"3gJ4cBdUkPo","00:00:23","00:00:24","but Hogwarts, if you're watching this comment below","if you're watching this comment below cuz i can start"
"3gJ4cBdUkPo","00:00:24","00:00:27","'cause I can start next semester.","next"
"3gJ4cBdUkPo","00:00:27","00:00:30","(upbeat music)","semester all right first"
"3gJ4cBdUkPo","00:00:31","00:00:31","All right. First things first.","things first"
"3gJ4cBdUkPo","00:00:32","00:00:33","If I wanna get into Hogwarts,","if i want to get into hogwarts i need to look the part"
"3gJ4cBdUkPo","00:00:36","00:00:37","Hey, this might work.","hey this might work"
"3gJ4cBdUkPo","00:00:37","00:00:39","Let's give it a try.","let's give it a try"
"3gJ4cBdUkPo","00:00:39","00:00:42","","what"
"3gJ4cBdUkPo","00:00:43","00:00:43","What do you think?","do you think"
"3gJ4cBdUkPo","00:00:44","00:00:46","","hey let's"
"3gJ4cBdUkPo","00:00:47","00:00:48","- [Man] Nate, let's go get a wand.","go get a wand welcome to"
"3gJ4cBdUkPo","00:00:48","00:00:49","- Welcome to All About Wand.","all about us i"
"3gJ4cBdUkPo","00:00:50","00:00:50","- Oh I want this one.","want this one"
"3gJ4cBdUkPo","00:00:51","00:00:51","Let's see if it works.","let's see if it works"
"3gJ4cBdUkPo","00:00:52","00:00:52","- [Man] Wait, Nate. Careful.","wait be careful"
"3gJ4cBdUkPo","00:00:55","00:00:56","Oh my bad.","my bad"
"3gJ4cBdUkPo","00:00:57","00:00:59","- Here the wand chooses the wizard.","here the one chooses the wizard"
"3gJ4cBdUkPo","00:00:59","00:01:00","- Right, like this.","right like this"
"3gJ4cBdUkPo","00:01:01","00:01:02","(speaks foreign language)","lumos wait what"
"3gJ4cBdUkPo","00:01:02","00:01:03","- [Nate] Wait, what?","oh"
"3gJ4cBdUkPo","00:01:04","00:01:04","Oh, it's just your phone.","it's just your phone you had"
"3gJ4cBdUkPo","00:01:05","00:01:05","You had me there for a second.","me there for a second give"
"3gJ4cBdUkPo","00:01:06","00:01:07","- Wait. Give me a moment.","me a moment"
"3gJ4cBdUkPo","00:01:08","00:01:09","","all right so it's"
"3gJ4cBdUkPo","00:01:10","00:01:12","So it's (speaks foreign language).","wingardium leviosa oh"
"3gJ4cBdUkPo","00:01:13","00:01:13","(chuckles)","i got"
"3gJ4cBdUkPo","00:01:13","00:01:14","I got it.","it whoa"
"3gJ4cBdUkPo","00:01:15","00:01:17","- [Nate] Oh, cool. Let me try.","cool let me try when guardian leviosa"
"3gJ4cBdUkPo","00:01:18","00:01:20","(speaks foreign language)","when guardium leviosa"
"3gJ4cBdUkPo","00:01:21","00:01:21","Whoa, Whoa.","whoa"
"3gJ4cBdUkPo","00:01:22","00:01:22","- You did it.","hey you did it zach"
"3gJ4cBdUkPo","00:01:23","00:01:23","- [Nate] Zach!","it's working nate [Music]"
"3gJ4cBdUkPo","00:01:25","00:01:26","It's working. I'm floating.","it's working i'm floating"
"3gJ4cBdUkPo","00:01:27","00:01:28","This is so cool.","this is so cool"
"3gJ4cBdUkPo","00:01:28","00:01:29","- [Nate] Oh, come on Zach.","ah come on"
"3gJ4cBdUkPo","00:01:30","00:01:31","I really thought I had that.","zach i really thought i had that ah come on zach i really thought i had that"
"3gJ4cBdUkPo","00:01:32","00:01:34","(upbeat music)","[Music]"
"3gJ4cBdUkPo","00:01:34","00:01:36","","thank"
"3gJ4cBdUkPo","00:01:37","00:01:37","Thank you.","you"
"3gJ4cBdUkPo","00:01:38","00:01:39","","what's his"
"3gJ4cBdUkPo","00:01:39","00:01:40","Watch this Nate.","name"
"3gJ4cBdUkPo","00:01:41","00:01:42","(speaks foreign language)","and gorgio well that didn't work"
"3gJ4cBdUkPo","00:01:43","00:01:45","Wait, what? How did you-","wait what how did you oh come"
"3gJ4cBdUkPo","00:01:45","00:01:46","- Come on. Let's go.","on let's go"
"3gJ4cBdUkPo","00:01:47","00:01:47","(laughs)","oh my gosh"
"3gJ4cBdUkPo","00:01:48","00:01:48","- How much butterbeer do you think we can buy?","how much butterbeer do you think we"
"3gJ4cBdUkPo","00:01:49","00:01:50","- So much. So much.","can buy so much it's so much"
"3gJ4cBdUkPo","00:01:51","00:01:53","","all right if green god's"
"3gJ4cBdUkPo","00:01:53","00:01:54","- All right. If green gods bank is over there,","bank is over there"
"3gJ4cBdUkPo","00:01:55","00:01:55","that means- Whoa.","that means"
"3gJ4cBdUkPo","00:01:56","00:01:57","","oh my gosh"
"3gJ4cBdUkPo","00:02:00","00:02:00","- Okay. That way.","okay that way"
"3gJ4cBdUkPo","00:02:01","00:02:04","","the"
"3gJ4cBdUkPo","00:02:05","00:02:06","The screaming yo-yo.","screaming"
"3gJ4cBdUkPo","00:02:06","00:02:08","(screams)","yo-yo"
"3gJ4cBdUkPo","00:02:09","00:02:09","","[Applause]"
"3gJ4cBdUkPo","00:02:10","00:02:10","All right.","all right this is called the extendable"
"3gJ4cBdUkPo","00:02:11","00:02:11","This is called the extendable ear.","ear whisper"
"3gJ4cBdUkPo","00:02:11","00:02:12","Whisper something.","something what do"
"3gJ4cBdUkPo","00:02:13","00:02:13","- [Nate] What I say?","i say nosebleed"
"3gJ4cBdUkPo","00:02:14","00:02:15","- Nose bleed nougat.","nougat"
"3gJ4cBdUkPo","00:02:17","00:02:18","","nope"
"3gJ4cBdUkPo","00:02:19","00:02:20","All aboard.","on the board we're taking the"
"3gJ4cBdUkPo","00:02:20","00:02:22","We're taking the train to Hogsmeade.","train to hogsmeade"
"3gJ4cBdUkPo","00:02:25","00:02:25","","oh dude we should"
"3gJ4cBdUkPo","00:02:26","00:02:26","Oh dude. We should ride this.","ride this"
"3gJ4cBdUkPo","00:02:26","00:02:28","- [Nate] You go, I'll just take a photo.","hugo i'll just take a photo will you"
"3gJ4cBdUkPo","00:02:29","00:02:29","- [Nate] Sure.","me sure"
"3gJ4cBdUkPo","00:02:30","00:02:32","(people screaming)","whoa"
"3gJ4cBdUkPo","00:02:32","00:02:34","- Woo. That was awesome.","that was"
"3gJ4cBdUkPo","00:02:35","00:02:36","","awesome hey let's go to honeydukes"
"3gJ4cBdUkPo","00:02:36","00:02:38","Hey, let's go to Honeydukes.","all right we're gonna get some sweets"
"3gJ4cBdUkPo","00:02:41","00:02:43","","oh fudge flies"
"3gJ4cBdUkPo","00:02:44","00:02:45","Fudge flies. You love fudge, right?","you love fudge right"
"3gJ4cBdUkPo","00:02:46","00:02:47","Oh, dude they have chocolate frogs?","oh dude they have chocolate frogs no way here's"
"3gJ4cBdUkPo","00:02:47","00:02:48","- [Nate] No way.","earwax"
"3gJ4cBdUkPo","00:02:49","00:02:49","- [Nate] Ear wax. What-","earwax what oh"
"3gJ4cBdUkPo","00:02:50","00:02:51","Oh, Zach, I think we have enough.","zack i think we have enough just a few more"
"3gJ4cBdUkPo","00:02:52","00:02:55","- [Nate] You need to calm down. Chill.","you need to calm down chill oh [Music] oh [Music]"
"3gJ4cBdUkPo","00:02:55","00:02:56","","all right"
"3gJ4cBdUkPo","00:02:57","00:02:58","- All right. What next?","what next let's get some"
"3gJ4cBdUkPo","00:02:58","00:03:00","- [Nate] Let's get some butterbeer.","butter beer thank you"
"3gJ4cBdUkPo","00:03:00","00:03:01","- Thank you.","so nate"
"3gJ4cBdUkPo","00:03:01","00:03:03","So, Nate, what do you think?","what do you think am i getting into"
"3gJ4cBdUkPo","00:03:03","00:03:04","Am I getting into Hogwarts?","hogwarts i think you got a"
"3gJ4cBdUkPo","00:03:05","00:03:06","Dude!","pretty good shot whoa dude"
"3gJ4cBdUkPo","00:03:06","00:03:07","","oh no"
"3gJ4cBdUkPo","00:03:07","00:03:09","(dramatic music)","what oh hey move"
"3gJ4cBdUkPo","00:03:10","00:03:10","- Move out of the way.","out of the way get"
"3gJ4cBdUkPo","00:03:11","00:03:12","Move out of the way.","out of the way let's go"
"3gJ4cBdUkPo","00:03:12","00:03:13","Let's go.","okay"
"3gJ4cBdUkPo","00:03:13","00:03:15","Okay. I don't think they saw us.","head on through this sauce"
"3gJ4cBdUkPo","00:03:16","00:03:17","Hope you guys enjoyed the video.","hope you guys enjoyed the video comment below your favorite"
"3gJ4cBdUkPo","00:03:18","00:03:18","Comment below your favorite trick","trick and"
"3gJ4cBdUkPo","00:03:19","00:03:19","and don't forget to subscr-","don't forget to subscribe"
"3gJ4cBdUkPo","00:03:20","00:03:20","Oh, shoot. They're coming.","oh shoot they're coming"
"3gJ4cBdUkPo","00:03:24","00:03:26","","until next time"
"3gJ4cBdUkPo","00:03:27","00:03:28","Mischief managed.","bishop managed [Music]"
"3gJ4cBdUkPo","00:03:29","00:03:31","","all"
"3gJ4cBdUkPo","00:03:32","00:03:32","All right.","right it's been fun but"
"3gJ4cBdUkPo","00:03:32","00:03:35","It's been fun, but it's time to go home.","it's time to go home"
"3gJ4cBdUkPo","00:03:36","00:03:38","- [Nate] Wait. Zach. Dude.","wait zach dude not again"
"3gJ4cBdUkPo","00:03:39","00:03:39","",""
"3gJ4cBdUkPo","00:03:40","00:03:42","He's always doing this.","he's always doing this"
"3gJ4cBdUkPo","00:03:42","00:03:42","",""
