"video_id","min_timecode","max_timecode","text.user","text.auto"
"3lTt8eZBb5M","00:00:00","00:00:06","",""
"3lTt8eZBb5M","00:00:06","00:00:07","Val is dead.","val is dead"
"3lTt8eZBb5M","00:00:08","00:00:10","I heard.","i heard"
"3lTt8eZBb5M","00:00:11","00:00:13","I'm sorry.","i'm sorry deluca"
"3lTt8eZBb5M","00:00:13","00:00:15","DeLuca was okay and now he might not be.","was okay and now he might not be"
"3lTt8eZBb5M","00:00:16","00:00:22","",""
"3lTt8eZBb5M","00:00:23","00:00:25","I spent so many years pretending to be someone else.","i spent so many years pretending to be someone else"
"3lTt8eZBb5M","00:00:26","00:00:27","","so"
"3lTt8eZBb5M","00:00:28","00:00:29","So many years afraid of what my mother thought,","many years afraid of what my mother thought"
"3lTt8eZBb5M","00:00:30","00:00:31","neighbors thought, what I thought.","neighbors thought what i thought"
"3lTt8eZBb5M","00:00:32","00:00:35","","i"
"3lTt8eZBb5M","00:00:35","00:00:38","I wasted so much time.","wasted so much time and"
"3lTt8eZBb5M","00:00:38","00:00:43","And now we're all just working and surviving and waiting.","now we're all just working and surviving and now we're all just working and surviving and waiting"
"3lTt8eZBb5M","00:00:45","00:00:46","For what?","for what"
"3lTt8eZBb5M","00:00:46","00:00:48","",""
"3lTt8eZBb5M","00:00:48","00:00:50","Is this all just gonna end one day?","is this all just gonna end one day"
"3lTt8eZBb5M","00:00:51","00:00:53","Like, one day we're all gonna get a memo","like one day we're all gonna get a memo"
"3lTt8eZBb5M","00:00:54","00:00:56","that says, ""COVID's over. Everyone back to normal""?","that says kovid's over everyone back to"
"3lTt8eZBb5M","00:00:57","00:00:58","","normal i think i wasted"
"3lTt8eZBb5M","00:00:59","00:01:01","I think I wasted all the time I was supposed to be happy.","all the time i was supposed to be"
"3lTt8eZBb5M","00:01:02","00:01:04","",""
"3lTt8eZBb5M","00:01:06","00:01:15","♪","happy"
"3lTt8eZBb5M","00:01:18","00:01:19","",""
"3lTt8eZBb5M","00:01:19","00:01:21","How long have I been asleep?","how long have i been asleep"
"3lTt8eZBb5M","00:01:22","00:01:23","Richard: Uh, most of the day.","huh most of the"
"3lTt8eZBb5M","00:01:24","00:01:25","[ Grunts ]","day"
"3lTt8eZBb5M","00:01:26","00:01:27","Bailey, something's happened.","bailey the day bailey something's"
