"video_id","min_timecode","max_timecode","text.user","text.auto"
"3v8a5Vd0lk8","00:00:00","00:00:15","","[Music] [Applause] and then touched in it's his centre-back partner bonucci"
"3v8a5Vd0lk8","00:00:16","00:00:18","INSIGNE.","yeah"
"3v8a5Vd0lk8","00:00:19","00:00:32","CHIELLINI!","but now the question is when that ball's delivered right in front of courtois ball's delivered right in front of courtois is there an italian player that touches it before bonucci on the back post that could overturn this in an offside position a wonderful ball in whipped in with pace on that near"
"3v8a5Vd0lk8","00:00:33","00:00:33","CHIELLINI!T","post"
"3v8a5Vd0lk8","00:00:34","00:00:34","CHIELLINI!T BEFORE","kealini's"
"3v8a5Vd0lk8","00:00:35","00:00:56","CHIELLINI!T BEFORE BONUCCI?","in an offside position is that ball touched there by d lorenzo because if it is bonucci's ahead of him and the ball then it may be offside and indeed that is the interpretation and the cheers belong to the belgian supporters who have just seen that flashed up on"
"3v8a5Vd0lk8","00:00:57","00:00:57","CHIELLINI!T BEFORE BONUCCI?  THE ","the giant video"
"3v8a5Vd0lk8","00:00:58","00:00:58","INTERPRETATION. AND THE CHEERS","board quarterfinal"
"3v8a5Vd0lk8","00:00:59","00:00:59","INTERPRETATION. AND THE CHEERS BELONG TO T","was the end of the road for both"
"3v8a5Vd0lk8","00:01:00","00:01:00","AND THE CHEERS BELONG TO THE  BELGIUM SUPPORTERS","these teams"
"3v8a5Vd0lk8","00:01:00","00:01:12","AND THE CHEERS BELONG TO THE  BELGIUM SUPPORTERS W","at the last european championship belgium unseated by wales this is de bruyne though it's still the brighter [Applause]"
"3v8a5Vd0lk8","00:01:14","00:01:14","BELGIUM SUPPORTERS W CHAMPIONSH. BELG","[Music]"
"3v8a5Vd0lk8","00:01:15","00:01:15","BELGIUM SUPPORTERS W CHAMPIONSH. BELGIUM UNSEATED BY","[Applause] [Music]"
"3v8a5Vd0lk8","00:01:16","00:01:16","BELGIUM SUPPORTERS W CHAMPIONSH. BELGIUM UNSEATED BY WALE","open"
"3v8a5Vd0lk8","00:01:16","00:01:25","BELGIUM SUPPORTERS W CHAMPIONSH. BELGIUM UNSEATED BY WALES.","up this space for de bruyne to come inside and what a fantastic save that is from donnarumma a rare blend of power reflexes"
"3v8a5Vd0lk8","00:01:26","00:01:26","BELGIUM UNSEATED BY WALES. WHAT A","and maturity"
"3v8a5Vd0lk8","00:01:27","00:01:27","BELGIUM UNSEATED BY WALES. WHAT A FANTASTIC","for a 22 year old"
"3v8a5Vd0lk8","00:01:28","00:01:28","BELGIUM UNSEATED BY WALES. WHAT A FANTASTIC SAVE THAT IS","try to lay it off"
"3v8a5Vd0lk8","00:01:29","00:01:29","FROM DONNARUMMA.","to barely"
"3v8a5Vd0lk8","00:01:29","00:01:42","FROM DONNARUMMA. A RARE BLEND OF","instead it's a dexterous turn by de bruyne options either side lukaku keolini has the issue donnarumma has the save"
"3v8a5Vd0lk8","00:01:46","00:01:55","CHIELLINI HAS THE ISSUE.","to play we've seen three penetrating runs with pace with the ball at his feet in open space where he's drawn defenders to him and laid it off for taking a shot himself"
"3v8a5Vd0lk8","00:01:57","00:01:57"," WITH TT HIS FEET IN OPE","[Applause]"
"3v8a5Vd0lk8","00:01:59","00:01:59","HIS FEET IN OPEN SPACE WHERE  HE'S DRAWN DEFENDERS TOO HIM AND","now until they have a launch pad with"
"3v8a5Vd0lk8","00:02:00","00:02:00","HE'S DRAWN DEFENDERS TOO HIM AND","the speedy spin"
"3v8a5Vd0lk8","00:02:00","00:02:12","HE'S DRAWN DEFENDERS TOO HIM AND PLAYED IT OFF","at solar and ahead of him is kiezer immorally pointing where he wants it kieza went himself and we nearly had yet another own goal"
"3v8a5Vd0lk8","00:02:13","00:02:13","HE'S DRAWN DEFENDERS TOO HIM AND PLAYED IT OFF WANTS","him overlay"
"3v8a5Vd0lk8","00:02:16","00:02:30","CHIESA WENT HIMSELF. WE NEARLY HAD","setting himself as if for the overhead and also goes down as if clipped it do they get on with it chance goal brilliant it do they get on with it chance goal brilliant just fantastic by nicola barello"
"3v8a5Vd0lk8","00:02:32","00:02:34","WE NEARLY HAD BRILLIANT!","they try to catch"
"3v8a5Vd0lk8","00:02:35","00:03:01","BRILLIANT!","belgium on a quick set piece but watch marco verratti immediately piece but watch marco verratti immediately when this ball turns over where does he turn him over and then find the space great turn here from barrel in a tight space and a definitive finish but that all happens from marco ferratti great spot great recognition turn them over 1-0 the italians here in munich well from day one of this tournament italy have looked something special"
"3v8a5Vd0lk8","00:03:02","00:03:04","BRILLIANT!  THE ITALIANS IN","first belgium have to defend this"
"3v8a5Vd0lk8","00:03:04","00:03:10","BRILLIANT!  THE ITALIANS IN MU","which mernier does in part only as far as"
