"video_id","min_timecode","max_timecode","text.user","text.auto"
"4itx6mXEJ6c","00:00:00","00:00:02","Couple of quick things before we wrap things up here.","a couple of quick things before we wrap things up here uh"
"4itx6mXEJ6c","00:00:03","00:00:04","First of all, I am the beneficiary","first of all i am the beneficiary"
"4itx6mXEJ6c","00:00:05","00:00:06","of literally hundreds and hundreds","of literally hundreds and hundreds"
"4itx6mXEJ6c","00:00:07","00:00:09","of really talented, amazing people","of really talented amazing people uh"
"4itx6mXEJ6c","00:00:10","00:00:11","and then I'm just the nose cone of the rocket,","and then i'm just the nose cone of the rocket and"
"4itx6mXEJ6c","00:00:12","00:00:13","and there's so many people to thank.","there's so many people to thank eleven"
"4itx6mXEJ6c","00:00:14","00:00:17","11 years ago, I made the decision to come to TBS.","years ago uh i made the decision to come to tbs at the time"
"4itx6mXEJ6c","00:00:17","00:00:20","At the time, people were really surprised that I did that.","people were really surprised that i did that they didn't think that would be"
"4itx6mXEJ6c","00:00:20","00:00:21","They didn't think that would be the move.","the move"
"4itx6mXEJ6c","00:00:22","00:00:25","I did it for one reason, a guy named Steve Koonin came to me","i did it for one reason a guy named steve kunin came to me and"
"4itx6mXEJ6c","00:00:26","00:00:26","and he's one of the loveliest people","he's one of the loveliest people"
"4itx6mXEJ6c","00:00:27","00:00:28","I've ever met in show business.","i've ever met in show business he's"
"4itx6mXEJ6c","00:00:28","00:00:30","He's what the Irish call a mensch","what the irish call a mensch and uh"
"4itx6mXEJ6c","00:00:32","00:00:34","and we take words that we like.","we take words that we like uh"
"4itx6mXEJ6c","00:00:34","00:00:35","",""
"4itx6mXEJ6c","00:00:36","00:00:39","Anyway, he came to me and he said, ""I will protect you,","anyway he came to me and he said uh i will protect you i will let you"
"4itx6mXEJ6c","00:00:39","00:00:41","I will let you and your people do whatever you want,","and your people do whatever you want"
"4itx6mXEJ6c","00:00:41","00:00:43","I'll never interfere","i'll never interfere and will"
"4itx6mXEJ6c","00:00:44","00:00:45","and we'll support you a hundred percent.""","support you 100"
"4itx6mXEJ6c","00:00:46","00:00:47","They did that.","they did that"
"4itx6mXEJ6c","00:00:47","00:00:49","They did that in every single way.","they did that in every single way"
"4itx6mXEJ6c","00:00:50","00:00:51","They never went back on their word.","they never went back on their word"
"4itx6mXEJ6c","00:00:52","00:00:54","They were extraordinary and lovely.","they were extraordinary and lovely the people"
"4itx6mXEJ6c","00:00:54","00:00:57","The people at TBS were nothing short of remarkable.","at tbs were nothing short of remarkable"
"4itx6mXEJ6c","00:00:57","00:00:59","None of this would have happened.","none of this would have happened i'd have gone away a long"
"4itx6mXEJ6c","00:00:59","00:01:01","I'd have gone away a long time ago if it weren't for them.","time ago if it weren't for them so"
"4itx6mXEJ6c","00:01:01","00:01:03","So Steve Koonin, I thank you.","steve kuhn and i thank you david"
"4itx6mXEJ6c","00:01:03","00:01:05","David Levy, Kevin Reilly, Dave Wolkis,","levy kevin riley dave wolcus"
"4itx6mXEJ6c","00:01:06","00:01:08","Sandra Dewey, Brett Weitz, Jen Cohen.","sandra dewey brett weiss jen cohen"
"4itx6mXEJ6c","00:01:09","00:01:09","We love you.","we love you"
"4itx6mXEJ6c","00:01:10","00:01:12","Thank you all so much for making this happen.","thank you all so much for making this happen"
"4itx6mXEJ6c","00:01:12","00:01:17","They're really good people. (audience applauding)","uh i want to thank"
