video_id,lang,text,timecode
4pUfu96WXHw,English,,0:00 / 7:54
4pUfu96WXHw,English,,0:01 / 7:54
4pUfu96WXHw,English,[traffic],0:01 / 7:54
4pUfu96WXHw,English,[traffic],0:02 / 7:54
4pUfu96WXHw,English,,0:03 / 7:54
4pUfu96WXHw,English,,0:04 / 7:54
4pUfu96WXHw,English,,0:05 / 7:54
4pUfu96WXHw,English,,0:06 / 7:54
4pUfu96WXHw,English,,0:07 / 7:54
4pUfu96WXHw,English,,0:08 / 7:54
4pUfu96WXHw,English,,0:09 / 7:54
4pUfu96WXHw,English,,0:10 / 7:54
4pUfu96WXHw,English,,0:11 / 7:54
4pUfu96WXHw,English,,0:12 / 7:54
4pUfu96WXHw,English,,0:13 / 7:54
4pUfu96WXHw,English,[Christmas music playing],0:14 / 7:54
4pUfu96WXHw,English,[Christmas music playing],0:15 / 7:54
4pUfu96WXHw,English,[Christmas music playing],0:16 / 7:54
4pUfu96WXHw,English,,0:16 / 7:54
4pUfu96WXHw,English,,0:17 / 7:54
4pUfu96WXHw,English,,0:18 / 7:54
4pUfu96WXHw,English,,0:19 / 7:54
4pUfu96WXHw,English,,0:20 / 7:54
4pUfu96WXHw,English,">> I've seen you before, haven't I?",0:21 / 7:54
4pUfu96WXHw,English,>> Yeah. Yeah. >> I thought so.,0:22 / 7:54
4pUfu96WXHw,English,>> Yeah. Yeah. >> I thought so.,0:23 / 7:54
4pUfu96WXHw,English,>> He's everywhere all the time.,0:24 / 7:54
4pUfu96WXHw,English,,0:24 / 7:54
4pUfu96WXHw,English,>> It's hard with these masks.,0:25 / 7:54
4pUfu96WXHw,English,>> It's hard with these masks.,0:26 / 7:54
4pUfu96WXHw,English,,0:27 / 7:54
4pUfu96WXHw,English,,0:28 / 7:54
4pUfu96WXHw,English,You're my third group out of Atlanta tonight.,0:29 / 7:54
4pUfu96WXHw,English,You're my third group out of Atlanta tonight.,0:30 / 7:54
4pUfu96WXHw,English,You're my third group out of Atlanta tonight.,0:31 / 7:54
4pUfu96WXHw,English,You guys must be a major hub for fighters.,0:32 / 7:54
4pUfu96WXHw,English,You guys must be a major hub for fighters.,0:33 / 7:54
4pUfu96WXHw,English,You guys must be a major hub for fighters.,0:34 / 7:54
4pUfu96WXHw,English,You guys must be a major hub for fighters.,0:35 / 7:54
4pUfu96WXHw,English,You guys must be a major hub for fighters.,0:36 / 7:54
4pUfu96WXHw,English,>> Yeah.,0:36 / 7:54
