"video_id","min_timecode","max_timecode","text.user","text.auto"
"5480ugZXn_I","00:00:00","00:00:09","","those moments when everything fades away you're at your best but there's"
"5480ugZXn_I","00:00:10","00:00:12"," But there's a problem with  disappearing into the work --","a problem with disappearing into the work"
"5480ugZXn_I","00:00:13","00:00:14"," you can't save every patient.","you can't save every patient"
"5480ugZXn_I","00:00:15","00:00:17","Maggie: It was Richard and Winston's idea.","it was richard and winston's idea"
"5480ugZXn_I","00:00:18","00:00:20","♪ The winds are changing ♪","[Music]"
"5480ugZXn_I","00:00:22","00:00:24","It's a good idea.","it's a good idea"
"5480ugZXn_I","00:00:25","00:00:27","And when I was checking Ellis' homework,","and when i was checking ellis's homework"
"5480ugZXn_I","00:00:27","00:00:30","she was actually doing pretty well.","she was actually doing pretty well"
"5480ugZXn_I","00:00:30","00:00:31","I'm scared.","scared"
"5480ugZXn_I","00:00:33","00:00:34","Bailey: Me, too.","me too"
"5480ugZXn_I","00:00:34","00:00:36","I need this year to get better.","i need this year to get better"
"5480ugZXn_I","00:00:38","00:00:42","♪ The darkness won't hurt us any longer ♪","what happened is"
"5480ugZXn_I","00:00:43","00:00:44","Yes. Yeah, she's the same.","she okay yes yes she's the same"
"5480ugZXn_I","00:00:45","00:00:46","What?","what"
"5480ugZXn_I","00:00:47","00:00:47","Why -- Why'd you bring Zola?","why why'd she bring"
"5480ugZXn_I","00:00:48","00:00:49","I couldn't think of a better idea.","saul i couldn't think of a better idea"
"5480ugZXn_I","00:00:50","00:00:52","Oh, my God.","oh my god i can't"
"5480ugZXn_I","00:00:53","00:00:56","♪ I'm ready ♪","breathe oh i'm"
"5480ugZXn_I","00:00:56","00:00:57","I'm so sorry. I-I should've told you.","so sorry i"
"5480ugZXn_I","00:00:58","00:01:00","You were in surgery.","should have told you you were in surgery i need her"
"5480ugZXn_I","00:01:01","00:01:01","I need her to live.","to live"
"5480ugZXn_I","00:01:02","00:01:04","I need her to live.","i need her to live"
"5480ugZXn_I","00:01:04","00:01:07","♪","[Music]"
"5480ugZXn_I","00:01:08","00:01:09","Oh, my God.","oh my god please"
"5480ugZXn_I","00:01:09","00:01:10","Please, I need her to live.","i needed really"
"5480ugZXn_I","00:01:10","00:01:11","Richard: What? Did something happen? What?","what"
"5480ugZXn_I","00:01:21","00:01:23"," And if surgery  is all you have,","and if surgery is all you have"
"5480ugZXn_I","00:01:23","00:01:25"," no matter how great you are,","no matter how great you are"
"5480ugZXn_I","00:01:25","00:01:26"," eventually,  you're going to disintegrate.","eventually you're going to"
"5480ugZXn_I","00:01:27","00:01:28","[ Seagulls calling ]","disintegrate"
"5480ugZXn_I","00:01:29","00:01:33","♪","[Music]"
"5480ugZXn_I","00:01:33","00:01:35","It's not time yet.","it's not time yet"
"5480ugZXn_I","00:01:35","00:01:36","♪","[Music]"
"5480ugZXn_I","00:01:37","00:01:38","There's no pain here.","there's no pain"
"5480ugZXn_I","00:01:38","00:01:39","Mm.","here"
"5480ugZXn_I","00:01:40","00:01:41","You want to know a secret?","you want to know a secret there's no pain here you want to know a secret"
"5480ugZXn_I","00:01:42","00:01:44","",""
"5480ugZXn_I","00:01:44","00:01:46","I even miss the pain.","i even miss the"
"5480ugZXn_I","00:01:47","00:01:53","♪","pain"
"5480ugZXn_I","00:01:54","00:01:56","You have to go.","you have to go"
"5480ugZXn_I","00:01:56","00:01:58","♪","i'm"
"5480ugZXn_I","00:01:58","00:02:00","I'm so tired.","so tired"
"5480ugZXn_I","00:02:01","00:02:02","It's not your time yet.","it's not your time yet"
"5480ugZXn_I","00:02:05","00:02:06","Our kids need you.","our kids need you"
"5480ugZXn_I","00:02:17","00:02:19","At first, I thought it was annoying,","at first i thought it was annoying"
"5480ugZXn_I","00:02:19","00:02:23","but now, I tell her she can come in my bed whenever she wants.","but now i tell her she can come in my bed whenever she wants"
"5480ugZXn_I","00:02:24","00:02:27","And sometimes, I let Bailey come in, too.","and sometimes i let bailey come in too"
"5480ugZXn_I","00:02:27","00:02:30","But he sleeps on pillows on the floor,","but he sleeps on pillows on the floor"
"5480ugZXn_I","00:02:30","00:02:32","but I always cover him with a blanket.","but i always cover him with a blanket"
"5480ugZXn_I","00:02:34","00:02:35","That's so nice of you, Zozo.","it's so nice of you salsa"
"5480ugZXn_I","00:02:48","00:02:52","♪ Yes, I'm, yes, I'm ready ♪","mommy [Music]"
"5480ugZXn_I","00:02:55","00:02:57"," As nice as it is to lose  all your worries,","as nice as it is to lose all your worries"
"5480ugZXn_I","00:02:57","00:03:00"," you also lose the good.","you also lose the good"
"5480ugZXn_I","00:03:00","00:03:02","I love you so much, Mommy.","we love you so much we"
"5480ugZXn_I","00:03:02","00:03:07","We love you so much.","love you so much we love you so much"
"5480ugZXn_I","00:03:08","00:03:10","You're awake.","you're awake"
"5480ugZXn_I","00:03:10","00:03:13","♪ Ah ♪","[Music] [Applause] [Music]"
"5480ugZXn_I","00:03:15","00:03:16"," And if you hope to have any  kind of life worth living...","and if you hope to have any kind of life"
"5480ugZXn_I","00:03:17","00:03:20","We love you, Zozo.","worth living [Music] worth living [Music] you're"
"5480ugZXn_I","00:03:20","00:03:24"," ...you're definitely  going to need the good.","definitely going to need the"
"5480ugZXn_I","00:03:27","00:03:32","♪ 00:03:33.755,00:00:00.000 ♪","good"
"5480ugZXn_I","00:03:33","00:03:45","","[Music]"
