video_id,lang,text,timecode
5JC2trEXxhE,English,,0:00 / 9:04
5JC2trEXxhE,English,,0:01 / 9:04
5JC2trEXxhE,English,,0:02 / 9:04
5JC2trEXxhE,English,,0:03 / 9:04
5JC2trEXxhE,English,,0:04 / 9:04
5JC2trEXxhE,English,,0:05 / 9:04
5JC2trEXxhE,English,,0:06 / 9:04
5JC2trEXxhE,English,,0:07 / 9:04
5JC2trEXxhE,English,,0:08 / 9:04
5JC2trEXxhE,English,,0:09 / 9:04
5JC2trEXxhE,English,>>>,0:10 / 9:04
5JC2trEXxhE,English,>>> WE'RE,0:10 / 9:04
5JC2trEXxhE,English,>>> WE'RE FOLLOWING THIS,0:11 / 9:04
5JC2trEXxhE,English,BREAKING NEWS.,0:11 / 9:04
5JC2trEXxhE,English,BREAKING NEWS. SEATTLE POLICE,0:12 / 9:04
5JC2trEXxhE,English,BREAKING NEWS. SEATTLE POLICE,0:13 / 9:04
5JC2trEXxhE,English,BREAKING NEWS. SEATTLE POLICE,0:14 / 9:04
5JC2trEXxhE,English,BREAKING NEWS. SEATTLE POLICE,0:15 / 9:04
5JC2trEXxhE,English,BREAKING NEWS. SEATTLE POLICE CHIEF IS,0:16 / 9:04
5JC2trEXxhE,English,SEATTLE POLICE CHIEF IS GOING,0:16 / 9:04
5JC2trEXxhE,English,TO RESIGN. THIS,0:17 / 9:04
5JC2trEXxhE,English,TO RESIGN. THIS COMES AFTER THE CITY,0:17 / 9:04
5JC2trEXxhE,English,THIS COMES AFTER THE CITY COUNCIL DECIDED,0:18 / 9:04
5JC2trEXxhE,English,THIS COMES AFTER THE CITY COUNCIL DECIDED YESTERDAY TO,0:19 / 9:04
5JC2trEXxhE,English,COUNCIL DECIDED YESTERDAY TO CUT MORE THAN 100,0:19 / 9:04
5JC2trEXxhE,English,COUNCIL DECIDED YESTERDAY TO CUT MORE THAN 100 JOBS FROM THE,0:20 / 9:04
5JC2trEXxhE,English,CUT MORE THAN 100 JOBS FROM THE POLICE,0:21 / 9:04
5JC2trEXxhE,English,POLICE DEPARTMENT. OUR REPORTER,0:22 / 9:04
