"video_id","min_timecode","max_timecode","text.user","text.auto"
"62tPTgpmT1U","00:00:00","00:00:15","","[Music] [Music]"
"62tPTgpmT1U","00:00:16","00:00:20","In the last episode of the Aliens Powerloader  we built our first prototype of the roll cage.","in the last episode of the aliens power loader we built our first prototype of the roll cage but as"
"62tPTgpmT1U","00:00:20","00:00:22","But as you can tell there are  some areas for improvement.","you can tell there are some areas for improvement"
"62tPTgpmT1U","00:00:23","00:00:25","","after"
"62tPTgpmT1U","00:00:26","00:00:29","After doing a bit of analysis we had realized the  model of the pilot we were using in Solidworks","doing a bit of analysis we had realized the model of the pilot we were using in solidworks"
"62tPTgpmT1U","00:00:30","00:00:32","is actually a little bit taller than me and James.","is actually a little bit taller than me and james which meant that"
"62tPTgpmT1U","00:00:32","00:00:34","Which meant that these two bars  were in their field of view.","these two bars were in their field of"
"62tPTgpmT1U","00:00:35","00:00:36","So after doing a little bit of redesign,","view so after doing a little bit of redesign"
"62tPTgpmT1U","00:00:37","00:00:39","moving these two bars down and  moving these two bars closer,","moving these two bars down and moving these two bars closer"
"62tPTgpmT1U","00:00:40","00:00:43","we now have optimal visual and  elbow clearance for the pilot.","we now have optimal visual and elbow clearance for the pilot"
"62tPTgpmT1U","00:00:44","00:00:45","In order to get the new roll  cage design manufactured,","in order to get the new roll cage design manufactured in order to get the new roll cage design manufactured"
"62tPTgpmT1U","00:00:46","00:00:47","I'm going to enlist the help of Tyler,","i'm going to enlist the help of tyler"
"62tPTgpmT1U","00:00:47","00:00:49","since he did such a great job building this one.","since he did such a great job building this one"
"62tPTgpmT1U","00:00:50","00:00:51","Sounds good Bogdan, I'll take it from here.","sounds good bogdan i'll take it from here"
"62tPTgpmT1U","00:00:51","00:00:55","","[Music]"
"62tPTgpmT1U","00:00:56","00:00:59","The last roll cage was a lot of  cutting, grinding, and welding.","the last roll cage was a lot of cutting grinding and welding but now"
"62tPTgpmT1U","00:00:59","00:01:02","But now that Rogue Fabrication  sent us this tube bender,","that rogue fabrication sent us the two bender it'll"
