"video_id","min_timecode","max_timecode","text.user","text.auto"
"6FrQfONE5zk","00:00:00","00:00:13","","a florida dog owner didn't think twice when he rushed into the water to save his three-month-old puppy from an alligator's grip now a warning some of you may find the dramatic encounter disturbing you can see here retiree richard wilbanks you can see here retiree richard wilbanks"
"6FrQfONE5zk","00:00:14","00:00:14",">> SOME OUT I MAY FIND T","wrestling with the gator to"
"6FrQfONE5zk","00:00:14","00:00:19",">> SOME OUT I MAY FIND THE VIDEO","free his pet this is remarkable will banks pried open the gator's mouth to save his"
"6FrQfONE5zk","00:00:20","00:00:20",">> SOME OUT I MAY FIND THE VIDEO DISTUR","dog gunner the cavalier"
"6FrQfONE5zk","00:00:20","00:00:23","DISTURBING. AND HE PRIED OPEN THE GATORS","king charles spaniel is now doing just fine"
"6FrQfONE5zk","00:00:24","00:00:24","AND HE PRIED OPEN THE GATORS  MOUTH TO FREE HIS DOG, A","i was"
"6FrQfONE5zk","00:00:25","00:00:27","AND HE PRIED OPEN THE GATORS  MOUTH TO FREE HIS DOG, AND THE ","able to save gunner's life he had one"
"6FrQfONE5zk","00:00:28","00:00:28","MOUTH TO FREE HIS DOG, AND THE  SPANIEL IS DOING JUS","little puncture wound"
"6FrQfONE5zk","00:00:29","00:00:29","SPANIEL IS DOING JUST FINE.  >> HE HAD ONE ","my hands"
"6FrQfONE5zk","00:00:29","00:00:31","SPANIEL IS DOING JUST FINE.  >> HE HAD ONE LITTLE PUNCTURE ","were just chewed up"
"6FrQfONE5zk","00:00:33","00:00:33","WOUND. MY HAND WAS JUST CHEWED UP","unreal willbanks"
"6FrQfONE5zk","00:00:33","00:00:34","WOUND. MY HAND WAS JUST CHEWED UP. ","calls the rescue"
"6FrQfONE5zk","00:00:35","00:00:35","MY HAND WAS JUST CHEWED UP.  >> UNREA","a learning experience"
"6FrQfONE5zk","00:00:35","00:00:44","",""
"6FrQfONE5zk","00:00:35","00:00:44",">> UNREAL. HE CALLS THE","and he is keeping his pet firmly on a leash you"
