video_id,lang,text,timecode
6P5h87hF8RI,English,,0:00 / 8:15
6P5h87hF8RI,English,[ Cheers and applause ],0:01 / 8:15
6P5h87hF8RI,English,"-[ Laughs ] So -- So, Jennifer, obviously,",0:02 / 8:15
6P5h87hF8RI,English,"-[ Laughs ] So -- So, Jennifer, obviously,",0:03 / 8:15
6P5h87hF8RI,English,"-[ Laughs ] So -- So, Jennifer, obviously,",0:04 / 8:15
6P5h87hF8RI,English,"this is a different kind of year,",0:05 / 8:15
6P5h87hF8RI,English,"this is a different kind of year,",0:06 / 8:15
6P5h87hF8RI,English,"but I want to leave you with a few people who love you very much,",0:06 / 8:15
6P5h87hF8RI,English,"but I want to leave you with a few people who love you very much,",0:07 / 8:15
6P5h87hF8RI,English,"but I want to leave you with a few people who love you very much,",0:08 / 8:15
6P5h87hF8RI,English,"but I want to leave you with a few people who love you very much,",0:09 / 8:15
6P5h87hF8RI,English,"and they didn't want to miss anything, and they want to share this moment with you.",0:10 / 8:15
6P5h87hF8RI,English,"and they didn't want to miss anything, and they want to share this moment with you.",0:11 / 8:15
6P5h87hF8RI,English,"and they didn't want to miss anything, and they want to share this moment with you.",0:12 / 8:15
6P5h87hF8RI,English,So here we go.,0:13 / 8:15
6P5h87hF8RI,English,So here we go.,0:14 / 8:15
6P5h87hF8RI,English,So here we go.,0:15 / 8:15
6P5h87hF8RI,English,-Jennifer Lopez. -Ohh!,0:16 / 8:15
6P5h87hF8RI,English,-Jennifer Lopez. -Ohh!,0:17 / 8:15
6P5h87hF8RI,English,-Jennifer Lopez. -Ohh!,0:18 / 8:15
6P5h87hF8RI,English,-The People's Icon Award.,0:18 / 8:15
6P5h87hF8RI,English,-The People's Icon Award.,0:19 / 8:15
6P5h87hF8RI,English,-The People's Icon Award.,0:20 / 8:15
6P5h87hF8RI,English,-The People's Icon Award.,0:21 / 8:15
6P5h87hF8RI,English,"Congratulations, my friend.",0:21 / 8:15
6P5h87hF8RI,English,"Congratulations, my friend.",0:22 / 8:15
6P5h87hF8RI,English,"Congratulations, my friend.",0:23 / 8:15
6P5h87hF8RI,English,"Like everybody watching tonight, I am a fan, and I have long admired your work",0:23 / 8:15
