video_id,lang,text,timecode
6eyPPxywET0,English,,0:00 / 10:55
6eyPPxywET0,English,,0:01 / 10:55
6eyPPxywET0,English,863 suddenly becomes violent,0:02 / 10:55
6eyPPxywET0,English,863 suddenly becomes violent,0:03 / 10:55
6eyPPxywET0,English,863 suddenly becomes violent,0:04 / 10:55
6eyPPxywET0,English,and attempts to break his restraints.,0:05 / 10:55
6eyPPxywET0,English,and attempts to break his restraints.,0:06 / 10:55
6eyPPxywET0,English,Director Mandeville,0:07 / 10:55
6eyPPxywET0,English,Director Mandeville,0:08 / 10:55
6eyPPxywET0,English,activates the shock collar.,0:08 / 10:55
6eyPPxywET0,English,activates the shock collar.,0:09 / 10:55
6eyPPxywET0,English,,0:10 / 10:55
6eyPPxywET0,English,,0:11 / 10:55
6eyPPxywET0,English,You,0:12 / 10:55
6eyPPxywET0,English,You,0:13 / 10:55
6eyPPxywET0,English,I'll kill you.,0:13 / 10:55
6eyPPxywET0,English,I'll kill you.,0:14 / 10:55
6eyPPxywET0,English,You're the pervert.,0:15 / 10:55
6eyPPxywET0,English,Hello everybody,0:16 / 10:55
6eyPPxywET0,English,I'm TheRubber,0:17 / 10:55
6eyPPxywET0,English,"Today, we brings you SCP Foundation",0:18 / 10:55
6eyPPxywET0,English,"Today, we brings you SCP Foundation",0:19 / 10:55
6eyPPxywET0,English,KETER class object,0:20 / 10:55
6eyPPxywET0,English,KETER class object,0:21 / 10:55
6eyPPxywET0,English,SCP-1788,0:22 / 10:55
6eyPPxywET0,English,SCP-1788,0:23 / 10:55
6eyPPxywET0,English,,0:24 / 10:55
6eyPPxywET0,English,SCP-1788,0:24 / 10:55
6eyPPxywET0,English,SCP-1788,0:25 / 10:55
6eyPPxywET0,English,SCP-1788,0:26 / 10:55
6eyPPxywET0,English,also known as The Adults,0:26 / 10:55
6eyPPxywET0,English,also known as The Adults,0:27 / 10:55
6eyPPxywET0,English,also known as The Adults,0:28 / 10:55
6eyPPxywET0,English,is a process,0:29 / 10:55
6eyPPxywET0,English,is a process,0:30 / 10:55
6eyPPxywET0,English,treatment,0:30 / 10:55
6eyPPxywET0,English,treatment,0:31 / 10:55
6eyPPxywET0,English,or other means of biological transformation.,0:31 / 10:55
6eyPPxywET0,English,or other means of biological transformation.,0:32 / 10:55
6eyPPxywET0,English,or other means of biological transformation.,0:33 / 10:55
6eyPPxywET0,English,A prepubescent human being,0:34 / 10:55
6eyPPxywET0,English,A prepubescent human being,0:35 / 10:55
6eyPPxywET0,English,A prepubescent human being,0:36 / 10:55
6eyPPxywET0,English,subjected to 1788,0:36 / 10:55
6eyPPxywET0,English,subjected to 1788,0:37 / 10:55
6eyPPxywET0,English,will become an instance of SCP-1788-1.,0:38 / 10:55
6eyPPxywET0,English,will become an instance of SCP-1788-1.,0:39 / 10:55
6eyPPxywET0,English,will become an instance of SCP-1788-1.,0:40 / 10:55
6eyPPxywET0,English,will become an instance of SCP-1788-1.,0:41 / 10:55
6eyPPxywET0,English,will become an instance of SCP-1788-1.,0:42 / 10:55
6eyPPxywET0,English,On reaching adulthood,0:43 / 10:55
6eyPPxywET0,English,1788-1s will display a predatory behaviour,0:44 / 10:55
6eyPPxywET0,English,1788-1s will display a predatory behaviour,0:45 / 10:55
6eyPPxywET0,English,1788-1s will display a predatory behaviour,0:46 / 10:55
6eyPPxywET0,English,1788-1s will display a predatory behaviour,0:47 / 10:55
6eyPPxywET0,English,towards prepubescent humans.,0:48 / 10:55
6eyPPxywET0,English,towards prepubescent humans.,0:49 / 10:55
6eyPPxywET0,English,towards prepubescent humans.,0:50 / 10:55
6eyPPxywET0,English,Typically,0:50 / 10:55
6eyPPxywET0,English,they will settle in a large urban centre.,0:51 / 10:55
6eyPPxywET0,English,they will settle in a large urban centre.,0:52 / 10:55
6eyPPxywET0,English,they will settle in a large urban centre.,0:53 / 10:55
6eyPPxywET0,English,There,0:53 / 10:55
6eyPPxywET0,English,they will take on a form of,0:54 / 10:55
6eyPPxywET0,English,white-collar employment.,0:55 / 10:55
6eyPPxywET0,English,and begin tracking,0:56 / 10:55
6eyPPxywET0,English,and begin tracking,0:57 / 10:55
6eyPPxywET0,English,prepubescents in the area.,0:57 / 10:55
