video_id,lang,text,timecode
6i4We1K0Ju4,English (United States) - eng,"- Sorry, this is smoking.",0:00 / 18:07
6i4We1K0Ju4,English (United States) - eng,Scoop this right on top.,0:01 / 18:07
6i4We1K0Ju4,English (United States) - eng,Scoop this right on top.,0:02 / 18:07
6i4We1K0Ju4,English (United States) - eng,This is definitely wrong.,0:03 / 18:07
6i4We1K0Ju4,English (United States) - eng,This is definitely wrong.,0:04 / 18:07
6i4We1K0Ju4,English (United States) - eng,This is definitely wrong.,0:05 / 18:07
6i4We1K0Ju4,English (United States) - eng,This is definitely wrong.,0:06 / 18:07
6i4We1K0Ju4,English (United States) - eng,This is definitely wrong.,0:07 / 18:07
6i4We1K0Ju4,English (United States) - eng,(upbeat music),0:08 / 18:07
6i4We1K0Ju4,English (United States) - eng,(upbeat music),0:09 / 18:07
6i4We1K0Ju4,English (United States) - eng,(upbeat music),0:10 / 18:07
6i4We1K0Ju4,English (United States) - eng,,0:11 / 18:07
6i4We1K0Ju4,English (United States) - eng,Welcome back to Chef Out of Water.,0:12 / 18:07
6i4We1K0Ju4,English (United States) - eng,Welcome back to Chef Out of Water.,0:13 / 18:07
6i4We1K0Ju4,English (United States) - eng,"I'm Alexis, a chef who's always up for a challenge.",0:14 / 18:07
6i4We1K0Ju4,English (United States) - eng,"I'm Alexis, a chef who's always up for a challenge.",0:15 / 18:07
6i4We1K0Ju4,English (United States) - eng,"I've taken to the internet, you,",0:16 / 18:07
6i4We1K0Ju4,English (United States) - eng,"I've taken to the internet, you,",0:17 / 18:07
6i4We1K0Ju4,English (United States) - eng,"I've taken to the internet, you,",0:18 / 18:07
6i4We1K0Ju4,English (United States) - eng,to see what appliance I should make,0:19 / 18:07
6i4We1K0Ju4,English (United States) - eng,to see what appliance I should make,0:20 / 18:07
6i4We1K0Ju4,English (United States) - eng,a three course meal with.,0:20 / 18:07
6i4We1K0Ju4,English (United States) - eng,a three course meal with.,0:21 / 18:07
6i4We1K0Ju4,English (United States) - eng,"Okay, let's see what we have this time.",0:22 / 18:07
