video_id,lang,text,timecode
6mMt4BA7DHk,English,[EERIE MUSIC],0:00 / 7:47
6mMt4BA7DHk,English,[EERIE MUSIC],0:01 / 7:47
6mMt4BA7DHk,English,[EERIE MUSIC],0:02 / 7:47
6mMt4BA7DHk,English,[EERIE MUSIC],0:03 / 7:47
6mMt4BA7DHk,English,[EERIE MUSIC],0:04 / 7:47
6mMt4BA7DHk,English,[EERIE MUSIC],0:05 / 7:47
6mMt4BA7DHk,English,"[NARRATOR] Secrets. We all have them. For example, I secretly don't know anything about",0:05 / 7:47
6mMt4BA7DHk,English,"[NARRATOR] Secrets. We all have them. For example, I secretly don't know anything about",0:06 / 7:47
6mMt4BA7DHk,English,"[NARRATOR] Secrets. We all have them. For example, I secretly don't know anything about",0:07 / 7:47
6mMt4BA7DHk,English,"[NARRATOR] Secrets. We all have them. For example, I secretly don't know anything about",0:08 / 7:47
6mMt4BA7DHk,English,"[NARRATOR] Secrets. We all have them. For example, I secretly don't know anything about",0:09 / 7:47
6mMt4BA7DHk,English,"[NARRATOR] Secrets. We all have them. For example, I secretly don't know anything about",0:10 / 7:47
6mMt4BA7DHk,English,"[NARRATOR] Secrets. We all have them. For example, I secretly don't know anything about",0:11 / 7:47
6mMt4BA7DHk,English,"Minecraft, and shouldn't be introducing this show. ",0:12 / 7:47
6mMt4BA7DHk,English,"Minecraft, and shouldn't be introducing this show. ",0:13 / 7:47
6mMt4BA7DHk,English,"Minecraft, and shouldn't be introducing this show. ",0:14 / 7:47
6mMt4BA7DHk,English,"Actually, forget you heard that secret, bad example.",0:15 / 7:47
6mMt4BA7DHk,English,"Actually, forget you heard that secret, bad example.",0:16 / 7:47
6mMt4BA7DHk,English,"Actually, forget you heard that secret, bad example.",0:17 / 7:47
6mMt4BA7DHk,English,,0:17 / 7:47
6mMt4BA7DHk,English,,0:18 / 7:47
6mMt4BA7DHk,English,,0:19 / 7:47
6mMt4BA7DHk,English,"Greetings! My name is Narrator, because my parents didn't like me. ",0:19 / 7:47
6mMt4BA7DHk,English,"Greetings! My name is Narrator, because my parents didn't like me. ",0:20 / 7:47
6mMt4BA7DHk,English,"Greetings! My name is Narrator, because my parents didn't like me. ",0:21 / 7:47
6mMt4BA7DHk,English,"Greetings! My name is Narrator, because my parents didn't like me. ",0:22 / 7:47
6mMt4BA7DHk,English,"Greetings! My name is Narrator, because my parents didn't like me. ",0:23 / 7:47
6mMt4BA7DHk,English,"Greetings! My name is Narrator, because my parents didn't like me. ",0:24 / 7:47
6mMt4BA7DHk,English,I'll be your beautiful and dare I say handsome guide to The Secrets of Minecraft. ,0:25 / 7:47
6mMt4BA7DHk,English,I'll be your beautiful and dare I say handsome guide to The Secrets of Minecraft. ,0:26 / 7:47
6mMt4BA7DHk,English,I'll be your beautiful and dare I say handsome guide to The Secrets of Minecraft. ,0:27 / 7:47
6mMt4BA7DHk,English,I'll be your beautiful and dare I say handsome guide to The Secrets of Minecraft. ,0:28 / 7:47
6mMt4BA7DHk,English,I'll be your beautiful and dare I say handsome guide to The Secrets of Minecraft. ,0:29 / 7:47
6mMt4BA7DHk,English,I'll be your beautiful and dare I say handsome guide to The Secrets of Minecraft. ,0:30 / 7:47
6mMt4BA7DHk,English,I'll be your beautiful and dare I say handsome guide to The Secrets of Minecraft. ,0:31 / 7:47
6mMt4BA7DHk,English,,0:31 / 7:47
6mMt4BA7DHk,English,,0:32 / 7:47
6mMt4BA7DHk,English,"As you can see, I'm quite the Minecraft master. ",0:33 / 7:47
6mMt4BA7DHk,English,"As you can see, I'm quite the Minecraft master. ",0:34 / 7:47
6mMt4BA7DHk,English,"As you can see, I'm quite the Minecraft master. ",0:35 / 7:47
6mMt4BA7DHk,English,"As you can see, I'm quite the Minecraft master. ",0:36 / 7:47
6mMt4BA7DHk,English,One who's perfectly capable of hosting this new series solo.,0:36 / 7:47
6mMt4BA7DHk,English,One who's perfectly capable of hosting this new series solo.,0:37 / 7:47
6mMt4BA7DHk,English,One who's perfectly capable of hosting this new series solo.,0:38 / 7:47
6mMt4BA7DHk,English,One who's perfectly capable of hosting this new series solo.,0:39 / 7:47
6mMt4BA7DHk,English,One who's perfectly capable of hosting this new series solo.,0:40 / 7:47
6mMt4BA7DHk,English,"However, viewer feedback has found my personality is ... too sophisticated for some.",0:40 / 7:47
6mMt4BA7DHk,English,"However, viewer feedback has found my personality is ... too sophisticated for some.",0:41 / 7:47
6mMt4BA7DHk,English,"However, viewer feedback has found my personality is ... too sophisticated for some.",0:42 / 7:47
6mMt4BA7DHk,English,"However, viewer feedback has found my personality is ... too sophisticated for some.",0:43 / 7:47
6mMt4BA7DHk,English,"However, viewer feedback has found my personality is ... too sophisticated for some.",0:44 / 7:47
6mMt4BA7DHk,English,"However, viewer feedback has found my personality is ... too sophisticated for some.",0:45 / 7:47
6mMt4BA7DHk,English,"However, viewer feedback has found my personality is ... too sophisticated for some.",0:46 / 7:47
6mMt4BA7DHk,English,"However, viewer feedback has found my personality is ... too sophisticated for some.",0:47 / 7:47
6mMt4BA7DHk,English,"So, Mojang Studios have insisted that this time, I have a co-host. Meet my computer co-host,",0:48 / 7:47
6mMt4BA7DHk,English,"So, Mojang Studios have insisted that this time, I have a co-host. Meet my computer co-host,",0:49 / 7:47
6mMt4BA7DHk,English,"So, Mojang Studios have insisted that this time, I have a co-host. Meet my computer co-host,",0:50 / 7:47
6mMt4BA7DHk,English,"So, Mojang Studios have insisted that this time, I have a co-host. Meet my computer co-host,",0:51 / 7:47
6mMt4BA7DHk,English,"So, Mojang Studios have insisted that this time, I have a co-host. Meet my computer co-host,",0:52 / 7:47
6mMt4BA7DHk,English,"So, Mojang Studios have insisted that this time, I have a co-host. Meet my computer co-host,",0:53 / 7:47
6mMt4BA7DHk,English,"So, Mojang Studios have insisted that this time, I have a co-host. Meet my computer co-host,",0:54 / 7:47
6mMt4BA7DHk,English,M.A.R.I.L.L.A.,0:55 / 7:47
6mMt4BA7DHk,English,M.A.R.I.L.L.A.,0:56 / 7:47
6mMt4BA7DHk,English,[Whirring sound],0:57 / 7:47
6mMt4BA7DHk,English,[Whirring sound],0:58 / 7:47
6mMt4BA7DHk,English,[Whirring sound],0:59 / 7:47
6mMt4BA7DHk,English,[NARRATOR] Oh for goodness' sa---,1:00 / 7:47
6mMt4BA7DHk,English,"[MARILLA] Hello there! I'm the electronic Minecraft expert, Marilla. ",1:01 / 7:47
6mMt4BA7DHk,English,"[MARILLA] Hello there! I'm the electronic Minecraft expert, Marilla. ",1:02 / 7:47
6mMt4BA7DHk,English,"[MARILLA] Hello there! I'm the electronic Minecraft expert, Marilla. ",1:03 / 7:47
6mMt4BA7DHk,English,"[MARILLA] Hello there! I'm the electronic Minecraft expert, Marilla. ",1:04 / 7:47
6mMt4BA7DHk,English,"[MARILLA] Hello there! I'm the electronic Minecraft expert, Marilla. ",1:05 / 7:47
6mMt4BA7DHk,English,Ooh! I think I'm finally pronouncing that right!,1:06 / 7:47
6mMt4BA7DHk,English,Ooh! I think I'm finally pronouncing that right!,1:07 / 7:47
6mMt4BA7DHk,English,Ooh! I think I'm finally pronouncing that right!,1:08 / 7:47
6mMt4BA7DHk,English,Your own name? ,1:09 / 7:47
6mMt4BA7DHk,English,Your own name? ,1:10 / 7:47
6mMt4BA7DHk,English,Loyal viewers might remember me as the host of Ten Things You Probably Didn't Know About Minecraft.,1:10 / 7:47
6mMt4BA7DHk,English,Loyal viewers might remember me as the host of Ten Things You Probably Didn't Know About Minecraft.,1:11 / 7:47
6mMt4BA7DHk,English,Loyal viewers might remember me as the host of Ten Things You Probably Didn't Know About Minecraft.,1:12 / 7:47
6mMt4BA7DHk,English,Loyal viewers might remember me as the host of Ten Things You Probably Didn't Know About Minecraft.,1:13 / 7:47
6mMt4BA7DHk,English,Loyal viewers might remember me as the host of Ten Things You Probably Didn't Know About Minecraft.,1:14 / 7:47
