video_id,lang,text,timecode
6v2obWxuhbE,English - en,THE ROSTER TO RECEIVE MORE,0:00 / 1:55
6v2obWxuhbE,English - en,THE ROSTER TO RECEIVE MORE,0:01 / 1:55
6v2obWxuhbE,English - en,THE ROSTER TO RECEIVE MORE,0:02 / 1:55
6v2obWxuhbE,English - en,THE ROSTER TO RECEIVE MORE,0:03 / 1:55
6v2obWxuhbE,English - en,"PLAYING TIME, INCLUDING THIS",0:04 / 1:55
6v2obWxuhbE,English - en,YEAR'S SECOND-ROUND DRAFT PICK,0:04 / 1:55
6v2obWxuhbE,English - en,HOLL LAND.,0:05 / 1:55
6v2obWxuhbE,English - en,HOLL LAND.,0:06 / 1:55
6v2obWxuhbE,English - en,HOLL LAND.,0:07 / 1:55
6v2obWxuhbE,English - en,HOLL LAND.,0:08 / 1:55
6v2obWxuhbE,English - en,">>> ALL NEW AT 5:0 NOW, IT IS",0:08 / 1:55
6v2obWxuhbE,English - en,THE FIGHT TRENDING A MONTH,0:09 / 1:55
6v2obWxuhbE,English - en,THE FIGHT TRENDING A MONTH,0:10 / 1:55
6v2obWxuhbE,English - en,THE FIGHT TRENDING A MONTH,0:11 / 1:55
6v2obWxuhbE,English - en,THE FIGHT TRENDING A MONTH,0:12 / 1:55
6v2obWxuhbE,English - en,THE FIGHT TRENDING A MONTH,0:13 / 1:55
6v2obWxuhbE,English - en,YOUTUBEER LOGAN PAUL IS,0:13 / 1:55
6v2obWxuhbE,English - en,YOUTUBEER LOGAN PAUL IS,0:14 / 1:55
6v2obWxuhbE,English - en,FIGHTING FLOYD MAYWEATHER AT,0:15 / 1:55
6v2obWxuhbE,English - en,FIGHTING FLOYD MAYWEATHER AT,0:16 / 1:55
6v2obWxuhbE,English - en,FIGHTING FLOYD MAYWEATHER AT,0:17 / 1:55
6v2obWxuhbE,English - en,FIGHTING FLOYD MAYWEATHER AT,0:18 / 1:55
6v2obWxuhbE,English - en,ARE ALREADY THROWN.,0:19 / 1:55
6v2obWxuhbE,English - en,THE DETAILS.,0:20 / 1:55
6v2obWxuhbE,English - en,THE DETAILS.,0:21 / 1:55
6v2obWxuhbE,English - en,THE DETAILS.,0:22 / 1:55
6v2obWxuhbE,English - en,THE DETAILS.,0:23 / 1:55
6v2obWxuhbE,English - en,STARTED.,0:24 / 1:55
6v2obWxuhbE,English - en,>> YOU CAN'T MAKE IT UP.,0:25 / 1:55
6v2obWxuhbE,English - en,>> YOU CAN'T MAKE IT UP.,0:26 / 1:55
6v2obWxuhbE,English - en,>> YOU CAN'T MAKE IT UP.,0:27 / 1:55
6v2obWxuhbE,English - en,>> YOU CAN'T MAKE IT UP.,0:28 / 1:55
6v2obWxuhbE,English - en,>> Reporter: WHAT STARTED AS A,0:29 / 1:55
6v2obWxuhbE,English - en,PROMOTION BETWEEN MAYWEATHER,0:29 / 1:55
6v2obWxuhbE,English - en,AND PAUL TURNED INTO A PRE-,0:30 / 1:55
6v2obWxuhbE,English - en,FIGHT BATTLE BETWEEN PAUL'S,0:30 / 1:55
6v2obWxuhbE,English - en,FIGHT BATTLE BETWEEN PAUL'S,0:31 / 1:55
6v2obWxuhbE,English - en,FIGHT BATTLE BETWEEN PAUL'S,0:32 / 1:55
6v2obWxuhbE,English - en,FIGHT BATTLE BETWEEN PAUL'S,0:33 / 1:55
6v2obWxuhbE,English - en,BROTHER JAKE AND MAYWEATHER.,0:34 / 1:55
