"video_id","min_timecode","max_timecode","text.user","text.auto"
"7FWS98aj0Lw","00:00:00","00:00:01","- Oh. (giggles)","oh"
"7FWS98aj0Lw","00:00:02","00:00:03","Hello, Shane.","hello shine it is"
"7FWS98aj0Lw","00:00:04","00:00:04","It is me, your mental illness.","me your mental illness"
"7FWS98aj0Lw","00:00:09","00:00:10","(bell chiming)","[Applause]"
"7FWS98aj0Lw","00:00:10","00:00:12","(splatting)","have you"
"7FWS98aj0Lw","00:00:12","00:00:15","- Have you ever had that feeling where you try not to laugh?","ever been feeling when you try not to laugh because that's"
"7FWS98aj0Lw","00:00:16","00:00:16","This is ""Try Not To Laugh.""","what this is this is trying"
"7FWS98aj0Lw","00:00:17","00:00:19","Good old fashioned, trying not to laugh, with your boys.","to laugh good old-fashioned time to laugh with your boys"
"7FWS98aj0Lw","00:00:20","00:00:22","30 seconds in the stool, if you don't make the people laugh,","30 seconds in the stool if you don't make the people laugh you have"
"7FWS98aj0Lw","00:00:22","00:00:24","You have to leave.","to leave don't make the people laugh you have to leave forever"
"7FWS98aj0Lw","00:00:24","00:00:25","- Forever.","leave forever also"
"7FWS98aj0Lw","00:00:25","00:00:27","- Also, you gonna like the way you subscribe,","you're gonna like the way you subscribe"
"7FWS98aj0Lw","00:00:28","00:00:28","I guarantee it.","i guarantee it"
"7FWS98aj0Lw","00:00:29","00:00:29","All right. - Do it, do it.","all right do it let's let's"
"7FWS98aj0Lw","00:00:30","00:00:30","- Let's do it.","fill it up"
"7FWS98aj0Lw","00:00:32","00:00:34","(swooshing)","hey"
"7FWS98aj0Lw","00:00:35","00:00:35","- Hey Tommy, how you doin'?","tommy how you doing"
"7FWS98aj0Lw","00:00:36","00:00:37","","oh"
"7FWS98aj0Lw","00:00:37","00:00:40","Oh, (beep) I'm gettin' a call, I'm gonna pick this up","i'm gonna call i'm gonna pick this up and just put it on speaker"
"7FWS98aj0Lw","00:00:40","00:00:41","and just put it on speaker, let's see who it is.","let's see what it is hey kenny"
"7FWS98aj0Lw","00:00:42","00:00:42","[Phone Kimmy] Hey, Kimmy.","oh hi"
"7FWS98aj0Lw","00:00:43","00:00:43","- Oh, hi.","it's me"
"7FWS98aj0Lw","00:00:43","00:00:44","- [Phone Kimmy] It's me, Kimmy.","jimmy kimmy"
"7FWS98aj0Lw","00:00:46","00:00:46","- [Phone Kimmy] So, listen girl.","so listen girl"
"7FWS98aj0Lw","00:00:47","00:00:47","- Yeah, what's up?","what's up i"
"7FWS98aj0Lw","00:00:48","00:00:48","- [Phone Kimmy] I know your self-esteem has been","know your self-esteem has"
"7FWS98aj0Lw","00:00:49","00:00:50","a little low, recently. - yeah, that's private.","been a little low recently that's private i wrote"
"7FWS98aj0Lw","00:00:50","00:00:52","- [Phone Kimmy] So, I wrote you a super fire song","you a super fire"
"7FWS98aj0Lw","00:00:53","00:00:53","- Aw. - [Phone Kimmy] to hopefully","song to um hopefully"
"7FWS98aj0Lw","00:00:54","00:00:55","help boost your self-confidence.","help boost your"
"7FWS98aj0Lw","00:00:56","00:00:56","- So sweet of me. - [Phone Kimmy] And the song","self-confidence"
"7FWS98aj0Lw","00:00:57","00:01:00","is about what makes you, Kimmy Jimenez, so,","song to um hopefully help boost your self-confidence [Music]"
"7FWS98aj0Lw","00:01:08","00:01:11","- [Phone Kimmy] Bitch. - Oh, bitch. (laughing)","you got big old"
"7FWS98aj0Lw","00:01:11","00:01:13","- [Phone Kimmy] You got big ol' eyes, like a sexy fish,","eyes like a sexy fish and"
"7FWS98aj0Lw","00:01:14","00:01:14","and your hair is horse-girl like","your hair is horse-scrolling"
"7FWS98aj0Lw","00:01:15","00:01:16","- Oh, yeah.","i like that you're"
"7FWS98aj0Lw","00:01:16","00:01:17","- [Phone Kimmy] I like that you're tall,","tall and can reach stuff for"
"7FWS98aj0Lw","00:01:18","00:01:21","and it's hot that your car has those great windows.","me and it's hot that your car has those crank"
"7FWS98aj0Lw","00:01:22","00:01:23","(harmonica rings) (bell dinging)","[Music]"
"7FWS98aj0Lw","00:01:25","00:01:27","Literally don't have that anymore, but yours does.","have that windows but yours yeah"
"7FWS98aj0Lw","00:01:28","00:01:28","- Yeah, it does, but-","it does your left"
"7FWS98aj0Lw","00:01:28","00:01:29","- [Phone Kimmy] You made your left arm like super buff,","arm like"
"7FWS98aj0Lw","00:01:30","00:01:32","but your right arm is just real sad.","super buff but your right arm is just real sad hey"
"7FWS98aj0Lw","00:01:34","00:01:35","- Why are you still friends with her?!","why are you still friends with"
"7FWS98aj0Lw","00:01:38","00:01:42","","her"
"7FWS98aj0Lw","00:01:43","00:01:44","- You must be the new delivery boy.","you must be the new delivery boy"
"7FWS98aj0Lw","00:01:45","00:01:46","","listen"
"7FWS98aj0Lw","00:01:47","00:01:47","Listen up.","up"
"7FWS98aj0Lw","00:01:47","00:01:49","","this tony's"
"7FWS98aj0Lw","00:01:49","00:01:53","This Tony's Pizzeria is a (beep), God damn,","pizzeria is a"
"7FWS98aj0Lw","00:01:54","00:01:55","","goddamn tormenting"
"7FWS98aj0Lw","00:01:55","00:01:56","tormenting hellscape.","hellscape"
"7FWS98aj0Lw","00:01:57","00:01:59","I should warn you, though.","i should warn you though this phone is"
"7FWS98aj0Lw","00:01:59","00:02:01","This phone is going to ring","going to ring at"
"7FWS98aj0Lw","00:02:02","00:02:03","at least 600 times a day.","least 600 times a day"
"7FWS98aj0Lw","00:02:04","00:02:06","Maybe 200 of those will be people ordering pizzas.","maybe 200 of those will be people ordering pizzas"
"7FWS98aj0Lw","00:02:07","00:02:11","The other 400, is some frickin' douchebag","the other 400 is some freaking douchebag"
