video_id,lang,text,timecode
7py7NMMhE_M,English,Okay so I just got to work and there's...,0:00 / 10:27
7py7NMMhE_M,English,Okay so I just got to work and there's...,0:01 / 10:27
7py7NMMhE_M,English,Okay so I just got to work and there's...,0:02 / 10:27
7py7NMMhE_M,English,,0:03 / 10:27
7py7NMMhE_M,English,,0:04 / 10:27
7py7NMMhE_M,English,,0:05 / 10:27
7py7NMMhE_M,English,,0:06 / 10:27
7py7NMMhE_M,English,,0:07 / 10:27
7py7NMMhE_M,English,,0:08 / 10:27
7py7NMMhE_M,English,,0:09 / 10:27
7py7NMMhE_M,English,,0:10 / 10:27
7py7NMMhE_M,English,,0:11 / 10:27
7py7NMMhE_M,English,,0:12 / 10:27
7py7NMMhE_M,English,,0:13 / 10:27
7py7NMMhE_M,English,,0:14 / 10:27
7py7NMMhE_M,English,What the?,0:15 / 10:27
7py7NMMhE_M,English,,0:16 / 10:27
7py7NMMhE_M,English,,0:17 / 10:27
7py7NMMhE_M,English,,0:18 / 10:27
7py7NMMhE_M,English,,0:19 / 10:27
7py7NMMhE_M,English,,0:20 / 10:27
7py7NMMhE_M,English,,0:21 / 10:27
7py7NMMhE_M,English,Hey Darryl!,0:21 / 10:27
7py7NMMhE_M,English,,0:22 / 10:27
7py7NMMhE_M,English,,0:23 / 10:27
7py7NMMhE_M,English,,0:24 / 10:27
7py7NMMhE_M,English,Just grab a camera meet me in my office.,0:24 / 10:27
7py7NMMhE_M,English,Just grab a camera meet me in my office.,0:25 / 10:27
7py7NMMhE_M,English,Just grab a camera meet me in my office.,0:26 / 10:27
7py7NMMhE_M,English,,0:27 / 10:27
7py7NMMhE_M,English,This video is sponsored by Lord's Mobile and since  ,0:28 / 10:27
7py7NMMhE_M,English,This video is sponsored by Lord's Mobile and since  ,0:29 / 10:27
7py7NMMhE_M,English,This video is sponsored by Lord's Mobile and since  ,0:30 / 10:27
7py7NMMhE_M,English,"we're opening a giant safe we're  gonna be giving away $30,000 cash!",0:30 / 10:27
7py7NMMhE_M,English,"we're opening a giant safe we're  gonna be giving away $30,000 cash!",0:31 / 10:27
7py7NMMhE_M,English,"we're opening a giant safe we're  gonna be giving away $30,000 cash!",0:32 / 10:27
7py7NMMhE_M,English,"we're opening a giant safe we're  gonna be giving away $30,000 cash!",0:33 / 10:27
7py7NMMhE_M,English,,0:33 / 10:27
7py7NMMhE_M,English,,0:34 / 10:27
7py7NMMhE_M,English,I really hope that's what's inside.,0:34 / 10:27
7py7NMMhE_M,English,I really hope that's what's inside.,0:35 / 10:27
7py7NMMhE_M,English,,0:36 / 10:27
7py7NMMhE_M,English,Anyway stick around to the end of  the video for your chance to win!,0:36 / 10:27
7py7NMMhE_M,English,Anyway stick around to the end of  the video for your chance to win!,0:37 / 10:27
7py7NMMhE_M,English,Anyway stick around to the end of  the video for your chance to win!,0:38 / 10:27
7py7NMMhE_M,English,,0:39 / 10:27
7py7NMMhE_M,English,,0:40 / 10:27
7py7NMMhE_M,English,Alright what's up?,0:41 / 10:27
7py7NMMhE_M,English,Come take a look at this.,0:41 / 10:27
7py7NMMhE_M,English,Come take a look at this.,0:42 / 10:27
7py7NMMhE_M,English,I'm checking the security camera footage  ,0:43 / 10:27
7py7NMMhE_M,English,I'm checking the security camera footage  ,0:44 / 10:27
