"video_id","min_timecode","max_timecode","text.user","text.auto"
"7py7NMMhE_M","00:00:00","00:00:02","Okay so I just got to work and there's...","okay so i just got to work and there's"
"7py7NMMhE_M","00:00:03","00:00:14","",""
"7py7NMMhE_M","00:00:15","00:00:15","What the?","what the"
"7py7NMMhE_M","00:00:16","00:00:21","","hey daryl"
"7py7NMMhE_M","00:00:22","00:00:24","","just"
"7py7NMMhE_M","00:00:24","00:00:26","Just grab a camera meet me in my office.","grab a camera meet me in my office"
"7py7NMMhE_M","00:00:27","00:00:27","",""
"7py7NMMhE_M","00:00:28","00:00:30","This video is sponsored by Lord's Mobile and since  ","this video is sponsored by lord's mobile and since we're opening"
"7py7NMMhE_M","00:00:30","00:00:33","we're opening a giant safe we're  gonna be giving away $30,000 cash!","a giant safe we're gonna be giving away thirty thousand dollars cash"
"7py7NMMhE_M","00:00:33","00:00:34","","i really hope"
"7py7NMMhE_M","00:00:34","00:00:35","I really hope that's what's inside.","that's what's inside"
"7py7NMMhE_M","00:00:36","00:00:36","","anyway"
"7py7NMMhE_M","00:00:36","00:00:38","Anyway stick around to the end of  the video for your chance to win!","stick around to the end of the video for your chance to"
"7py7NMMhE_M","00:00:39","00:00:40","","win all right what's"
"7py7NMMhE_M","00:00:41","00:00:41","Alright what's up?","up"
"7py7NMMhE_M","00:00:43","00:00:44","I'm checking the security camera footage  ","take a look at this i'm checking the security camera"
"7py7NMMhE_M","00:00:45","00:00:57","and this random truck dropped that  safe off last night like 3 a.m.","footage and this random truck dropped that safe off last night like 3 a.m"
"7py7NMMhE_M","00:00:57","00:01:00","","there"
"7py7NMMhE_M","00:01:01","00:01:09","","we go"
"7py7NMMhE_M","00:01:10","00:01:11","Is it locked?","is it locked"
"7py7NMMhE_M","00:01:15","00:01:15","What do you uh...","what do you uh"
"7py7NMMhE_M","00:01:15","00:01:16","What do you want to do with it?","what do you want to do with it"
"7py7NMMhE_M","00:01:17","00:01:18","",""
"7py7NMMhE_M","00:01:18","00:01:19","We got to open it right?","we got to open it right"
"7py7NMMhE_M","00:01:20","00:01:20","",""
"7py7NMMhE_M","00:01:21","00:01:21","Alright setup some cameras.","all right stop"
"7py7NMMhE_M","00:01:22","00:01:22","Owen you come with me.","some cameras owen you come with me"
"7py7NMMhE_M","00:01:23","00:01:24","",""
"7py7NMMhE_M","00:01:25","00:01:25","Chris!","chris"
"7py7NMMhE_M","00:01:26","00:01:26","",""
"7py7NMMhE_M","00:01:27","00:01:27","Alright we just got a safe!","all right we just got to say"
"7py7NMMhE_M","00:01:27","00:01:28","","you got"
"7py7NMMhE_M","00:01:29","00:01:30","You got 12 hours of break into it alright?","12 hours of break into it all right"
"7py7NMMhE_M","00:01:30","00:01:32","You can use anything you can find in  the shop except for the lightsaber.","you can use anything you can find in the shop except for the"
"7py7NMMhE_M","00:01:33","00:01:33","Alright? Alright.","lightsaber all right"
"7py7NMMhE_M","00:01:34","00:01:34","Chris! Other Chris!","all right chris other chris"
"7py7NMMhE_M","00:01:35","00:01:35","Yes?","yes"
"7py7NMMhE_M","00:01:36","00:01:36","We got a safe.","we got a safe"
"7py7NMMhE_M","00:01:37","00:01:38","We're going to break into it!","we're going to break into it you can use"
"7py7NMMhE_M","00:01:38","00:01:41","You can use anything you can find in the  shop, except for the lightsaber that's mine.","anything you can find in the shop except for the lightsaber oh that's mine"
"7py7NMMhE_M","00:01:42","00:01:44","","okay"
"7py7NMMhE_M","00:01:45","00:01:46","Yeah? There's a safe.","gosh yeah look there's a safe"
"7py7NMMhE_M","00:01:47","00:01:47","",""
"7py7NMMhE_M","00:01:48","00:01:49","Someone dropped off a safe.","we someone dropped off with safe"
"7py7NMMhE_M","00:01:50","00:01:51","I don't know who, it's locked.","i don't know who it's locked"
