"video_id","min_timecode","max_timecode","text.user","text.auto"
"89PDADkT-ok","00:00:00","00:00:01","",""
"89PDADkT-ok","00:00:02","00:00:07","My Pride is not intended for children and contains mature themes and violence.","my pride is not intended for children and contains mature themes and violence yeah"
"89PDADkT-ok","00:00:07","00:00:09","Yeah I'm lookin' at you, kid.","i'm looking at you"
"89PDADkT-ok","00:00:10","00:00:18","","kid i miss you"
"89PDADkT-ok","00:00:18","00:00:20","I miss you, Nothing.","nothing everything's"
"89PDADkT-ok","00:00:21","00:00:25","Everything's felt so pointless since you've been gone.","felt so pointless since you've been gone"
"89PDADkT-ok","00:00:25","00:00:28","I'm not happy here...","i'm not happy here"
"89PDADkT-ok","00:00:29","00:00:34","But leaving doesn't seem much better.","but leaving doesn't seem much better [Music]"
"89PDADkT-ok","00:00:34","00:00:36","I'm just....","like just"
"89PDADkT-ok","00:00:37","00:00:40","",""
"89PDADkT-ok","00:00:45","00:00:46","",""
"89PDADkT-ok","00:00:46","00:00:51","I think about the look on your face when you left.","you think about the look on your face when you left"
"89PDADkT-ok","00:00:52","00:00:54","And all the things I said to you...","and all the things i said to you"
"89PDADkT-ok","00:00:55","00:01:01","If I hadn't gotten so angry that day maybe you'd still be here.","if i hadn't gotten so angry that day maybe you'd still be here"
"89PDADkT-ok","00:01:02","00:01:03","With me.","with me"
"89PDADkT-ok","00:01:03","00:01:06","Hey Longrun!","hey long run"
"89PDADkT-ok","00:01:06","00:01:08","What are you doing out here?","what are you doing out here ah"
"89PDADkT-ok","00:01:09","00:01:09","Ah, y'know.","you know"
"89PDADkT-ok","00:01:10","00:01:14","Sitting in a tree in the middle of the night staring unblinkingly at the moon.","sitting in a tree in the middle of the night staring unblinkingly at the moon"
"89PDADkT-ok","00:01:15","00:01:16","Normal Pride stuff.","normal pride stuff"
"89PDADkT-ok","00:01:17","00:01:20","Are you thinking about her?","are you thinking about her"
"89PDADkT-ok","00:01:21","00:01:21","",""
"89PDADkT-ok","00:01:21","00:01:24","Thought so.","thought so"
"89PDADkT-ok","00:01:25","00:01:28","I've seen that look on my mother's face since I was a cub.","i've seen that look on my mother's face since i was a cub no matter"
"89PDADkT-ok","00:01:28","00:01:30","No matter how perfect I was,","how perfect i was her"
"89PDADkT-ok","00:01:30","00:01:34","her attention always fell back to our troubled older sister.","attention always fell back to our troubled older sister i"
"89PDADkT-ok","00:01:34","00:01:37","I was first place in everything else,","was first place in everything else"
"89PDADkT-ok","00:01:38","00:01:39","but never that.","but never that"
"89PDADkT-ok","00:01:40","00:01:44","I hated Nothing so much for that...","i hated nothing so much for that"
"89PDADkT-ok","00:01:45","00:01:48","That must be hard.","that must be hard it is"
"89PDADkT-ok","00:01:52","00:01:52","",""
"89PDADkT-ok","00:01:53","00:01:54","Who's there?","who's there"
"89PDADkT-ok","00:01:54","00:01:59","","you're"
"89PDADkT-ok","00:01:59","00:02:01","You're on Pride Territory under the protection of","on pride territory under the protection"
"89PDADkT-ok","00:02:02","00:02:03","Proudmane and his Huntresses.","of proud men and huntresses protection of proud men and huntresses"
"89PDADkT-ok","00:02:04","00:02:05","Show yourself!","show yourself"
"89PDADkT-ok","00:02:06","00:02:07","Don't have a fit.","don't a fit i'm"
"89PDADkT-ok","00:02:08","00:02:10","I'm just an old traveller, looking for water.","just an old traveler looking for water"
"89PDADkT-ok","00:02:10","00:02:14","Our water is for Pride lions only.","our water surprise lions only move"
"89PDADkT-ok","00:02:14","00:02:17","Move along, Prideless.","along prideless you"
"89PDADkT-ok","00:02:17","00:02:21","You understand, don't you?","understand don't you"
"89PDADkT-ok","00:02:21","00:02:23","","oh come on farley"
"89PDADkT-ok","00:02:23","00:02:24","Ah, come on Farleap! She's harmless.","she's harmless"
"89PDADkT-ok","00:02:25","00:02:28","The water level's already low!","the water level's already low if proudmane"
"89PDADkT-ok","00:02:29","00:02:29","If Proudmane finds out--","finds out you won't"
"89PDADkT-ok","00:02:29","00:02:32","He won't find out. Just relax.","find out just relax dry season's"
"89PDADkT-ok","00:02:32","00:02:34","Dry season's tough for everyone.","tough for"
"89PDADkT-ok","00:02:35","00:02:35","Fine.","everyone"
"89PDADkT-ok","00:02:36","00:02:38","But you'll be supervised the whole time","fine but you'll be supervised the"
"89PDADkT-ok","00:02:39","00:02:41","and you'll leave our territory as soon as you've finished.","whole time and you'll leave our territory as soon as you finished"
"89PDADkT-ok","00:02:42","00:02:42","","mighty"
"89PDADkT-ok","00:02:42","00:02:44","Mighty kind of you.","kind of"
"89PDADkT-ok","00:02:45","00:03:02","","you she's"
"89PDADkT-ok","00:03:03","00:03:04","She's drinking a lot.","drinking a lot maybe"
"89PDADkT-ok","00:03:05","00:03:06","Maybe we should ask her to stop?","we should ask her to stop"
"89PDADkT-ok","00:03:07","00:03:10","Give her a break, life's hard on the Stretch.","give her a break life's hard on the stretch you're"
"89PDADkT-ok","00:03:10","00:03:12","You're not Hover anymore.","not hover anymore you're one"
"89PDADkT-ok","00:03:13","00:03:13","You're one of us.","of us"
"89PDADkT-ok","00:03:14","00:03:17","Your Pridemates should be your primary concern.","your pride mate should be your primary concern"
"89PDADkT-ok","00:03:18","00:03:19","","sorry to interrupt"
"89PDADkT-ok","00:03:19","00:03:22","[RAIN] Sorry to interrupt, but is one of you called Hover?","but is one of you called hover no"
"89PDADkT-ok","00:03:22","00:03:23","[FARLEAP] No! [HOVER] Yes!","yes"
"89PDADkT-ok","00:03:24","00:03:26","","when i"
"89PDADkT-ok","00:03:27","00:03:29","When I was Prideless, I was called Hover.","was prideless i was called hover she has"
"89PDADkT-ok","00:03:30","00:03:31","She has a proper Pride name now!","a proper pride name now"
"89PDADkT-ok","00:03:32","00:03:32","She's called Longrun.","she's called long run"
"89PDADkT-ok","00:03:33","00:03:34","Why do you ask?","why do you ask"
"89PDADkT-ok","00:03:35","00:03:38","I met a lioness on the Stretch a few weeks back","i met a lioness on the stretch a few weeks"
"89PDADkT-ok","00:03:39","00:03:41","who was lookin' for a ""Hover"".","back who was looking for a hover"
"89PDADkT-ok","00:03:41","00:03:43","Mistook me for her.","mistook me for her"
"89PDADkT-ok","00:03:44","00:03:46","Reckon that's you?","reckon that's you did this linus"
"89PDADkT-ok","00:03:46","00:03:48","Did this lioness, did she have an injured leg?!","did she have an injured leg"
"89PDADkT-ok","00:03:49","00:03:51","She did! Poor thing's out there wanderin' the Stretch","she did pour things out there wandering"
"89PDADkT-ok","00:03:52","00:03:54","alone with a cub to look after.","the stretch alone when the cub to look after the stretch alone when the cub to look after"
"89PDADkT-ok","00:03:55","00:03:56","That's Nothing! She's alive!","that's nothing she's"
"89PDADkT-ok","00:03:57","00:03:59","Don't get ahead of yourself.","alive don't get ahead"
"89PDADkT-ok","00:03:59","00:04:02","For one thing Nothing doesn't have cubs,","of yourself for one thing nothing doesn't have cubs"
"89PDADkT-ok","00:04:03","00:04:06","and for another, Proudmane said he killed her.","and for another proud man said he killed her why"
"89PDADkT-ok","00:04:06","00:04:08","Why would he lie about that?","would he lie about that you're"
"89PDADkT-ok","00:04:09","00:04:10","You're right...","right"
"89PDADkT-ok","00:04:11","00:04:12","Why WOULD he lie?","when would he lie let's"
"89PDADkT-ok","00:04:13","00:04:13","Let's go find out!","go find"
"89PDADkT-ok","00:04:14","00:04:17","Before we go accuse our Mane of anything,","out before we go accuse our main of anything let's"
"89PDADkT-ok","00:04:18","00:04:20","let's get more details!","get more details prideless"
"89PDADkT-ok","00:04:21","00:04:22","Prideless, do you remember anything else about--","do you remember anything"
"89PDADkT-ok","00:04:23","00:04:25","Where did she go?","else about where did she go"
"89PDADkT-ok","00:04:25","00:04:29","Eh, she probably ""moved along"".","huh she's probably moved along"
"89PDADkT-ok","00:04:30","00:04:32","Prideless aren't great at goodbyes.","right this aren't great at goodbyes let's"
"89PDADkT-ok","00:04:32","00:04:36","Let's get back to the Steppe.","get back to the step"
"89PDADkT-ok","00:04:37","00:04:41","","pardon the interruption"
