"video_id","min_timecode","max_timecode","text.user","text.auto"
"8M3WUaeIbOk","00:00:00","00:00:55","","[Music] so [Music] [Music] do [Music] do [Music]"
"8M3WUaeIbOk","00:01:01","00:01:01","",""
"8M3WUaeIbOk","00:01:01","00:01:03","No other answer is needed","because you're"
"8M3WUaeIbOk","00:01:03","00:01:06","because you’re my favorite","my"
"8M3WUaeIbOk","00:01:09","00:01:12","Whenever I'm with you, every day","favorite"
"8M3WUaeIbOk","00:01:16","00:01:16","",""
"8M3WUaeIbOk","00:01:17","00:01:21","Girl you’re so dangerous, dangerous, dangerous","[Music]"
"8M3WUaeIbOk","00:01:25","00:01:28","You’re my only Bambi Bambi","[Music]"
"8M3WUaeIbOk","00:01:29","00:01:29","",""
"8M3WUaeIbOk","00:01:32","00:01:32","",""
"8M3WUaeIbOk","00:01:36","00:01:40","Dripping down on us all night until the morning","[Music]"
"8M3WUaeIbOk","00:01:49","00:01:51","You're so precious, I can't take it ","you're so precious i can't take it"
"8M3WUaeIbOk","00:01:52","00:01:52","","you"
"8M3WUaeIbOk","00:01:52","00:01:55","You are dreamy Bambi Bambi","[Music]"
"8M3WUaeIbOk","00:02:03","00:02:08","I selfishly want only myself to be living in this fairytale called you","yo [Music]"
"8M3WUaeIbOk","00:02:15","00:02:18","I've been waiting for you, Tinkerbell ","[Music]"
"8M3WUaeIbOk","00:02:29","00:02:29","",""
"8M3WUaeIbOk","00:02:32","00:02:36","Come down, night rain night rain","me"
"8M3WUaeIbOk","00:02:36","00:02:41","Dripping down on us all night until the morning","[Music]"
"8M3WUaeIbOk","00:02:48","00:02:51","You're so precious, I can't take it","me"
"8M3WUaeIbOk","00:02:52","00:02:55","You are dreamy Bambi Bambi ","[Music]"
"8M3WUaeIbOk","00:02:56","00:02:56","",""
"8M3WUaeIbOk","00:02:56","00:03:00","The stars are twinkling in your pretty eyes all night","all"
"8M3WUaeIbOk","00:03:01","00:03:01","",""
"8M3WUaeIbOk","00:03:02","00:03:05","All I want is you and me","night"
"8M3WUaeIbOk","00:03:09","00:03:10","",""
"8M3WUaeIbOk","00:03:29","00:03:29","",""
"8M3WUaeIbOk","00:03:29","00:03:32","It's a night filled with a single stream of light","is"
"8M3WUaeIbOk","00:03:36","00:03:41","I don’t want to waste even a second of this night just being the two of us","[Music]"
"8M3WUaeIbOk","00:03:44","00:03:48","Bambi Bam Bambi Bambi Bambi ","me [Music]"
"8M3WUaeIbOk","00:03:55","00:03:57","","[Music]"
"8M3WUaeIbOk","00:04:01","00:04:04","",""
"8M3WUaeIbOk","00:04:09","00:04:26","","[Music] um"
