"video_id","min_timecode","max_timecode","text.user","text.auto"
"9BPMTr-NS9s","00:00:00","00:00:03","♪ ECHOING WAILING VOCAL ♪","[Applause]"
"9BPMTr-NS9s","00:00:03","00:00:03","",""
"9BPMTr-NS9s","00:00:04","00:00:09","♪ [Stringed Instrument Strumming] ♪","[Music]"
"9BPMTr-NS9s","00:00:10","00:00:10","",""
"9BPMTr-NS9s","00:00:14","00:00:17","",""
"9BPMTr-NS9s","00:00:17","00:00:18","♪ ECHOING WAILING VOCAL ♪","[Applause]"
"9BPMTr-NS9s","00:00:19","00:00:20","",""
"9BPMTr-NS9s","00:00:21","00:00:22","",""
"9BPMTr-NS9s","00:00:24","00:00:24","",""
"9BPMTr-NS9s","00:00:25","00:00:26","",""
"9BPMTr-NS9s","00:00:27","00:00:29","","clever"
"9BPMTr-NS9s","00:00:33","00:00:37","","[Applause]"
"9BPMTr-NS9s","00:00:40","00:00:40","RAYA [laughs] I gotcha.","i got"
"9BPMTr-NS9s","00:00:42","00:00:44","","you"
"9BPMTr-NS9s","00:00:48","00:00:48","",""
"9BPMTr-NS9s","00:00:49","00:00:52","",""
"9BPMTr-NS9s","00:00:54","00:00:57","","uh"
"9BPMTr-NS9s","00:00:58","00:00:59","RAYA Wow.","[Applause]"
"9BPMTr-NS9s","00:00:59","00:01:04","",""
"9BPMTr-NS9s","00:01:05","00:01:06","♪ ECHOING WAILING VOCAL ♪","[Applause]"
"9BPMTr-NS9s","00:01:07","00:01:08","","[Music]"
"9BPMTr-NS9s","00:01:10","00:01:11","","ah"
"9BPMTr-NS9s","00:01:12","00:01:13","RAYA My whole life, I trained","my whole life i trained"
"9BPMTr-NS9s","00:01:13","00:01:18","to become a guardian of the dragon gem, but this world has changed,","to become a guardian of the dragon gem but this world has changed"
"9BPMTr-NS9s","00:01:18","00:01:20","",""
"9BPMTr-NS9s","00:01:21","00:01:21","",""
"9BPMTr-NS9s","00:01:22","00:01:23","and its people are divided.","and its people are"
"9BPMTr-NS9s","00:01:24","00:01:27","","divided"
"9BPMTr-NS9s","00:01:28","00:01:29"," Now, to restore peace,","now to restore peace"
"9BPMTr-NS9s","00:01:30","00:01:30","","i must"
"9BPMTr-NS9s","00:01:31","00:01:32","I must find the last dragon.","find the last"
"9BPMTr-NS9s","00:01:33","00:01:34","",""
"9BPMTr-NS9s","00:01:36","00:01:39","","dragon"
"9BPMTr-NS9s","00:01:40","00:01:42","My name is Raya.","name is"
"9BPMTr-NS9s","00:01:53","00:01:53","","rayah"
"9BPMTr-NS9s","00:01:54","00:01:55","You're getting a little too big for this, bud.","you're getting a little too big for this"
"9BPMTr-NS9s","00:01:57","00:01:57","",""
"9BPMTr-NS9s","00:01:58","00:01:59","♪ ECHOING WAILING VOCAL ♪","[Music]"
"9BPMTr-NS9s","00:01:59","00:02:02","","bud"
