video_id,lang,text,timecode
9ohis8hE9LM,English - Default,"- Hello deathlings, it's time to--",0:00 / 22:12
9ohis8hE9LM,English - Default,"- Hello deathlings, it's time to--",0:01 / 22:12
9ohis8hE9LM,English - Default,"- Hello deathlings, it's time to--",0:02 / 22:12
9ohis8hE9LM,English - Default,"- Water in mid April,",0:03 / 22:12
9ohis8hE9LM,English - Default,"- Water in mid April,",0:04 / 22:12
9ohis8hE9LM,English - Default,the fish or crabs would have nibbled away.,0:04 / 22:12
9ohis8hE9LM,English - Default,the fish or crabs would have nibbled away.,0:05 / 22:12
9ohis8hE9LM,English - Default,the fish or crabs would have nibbled away.,0:06 / 22:12
9ohis8hE9LM,English - Default,,0:07 / 22:12
9ohis8hE9LM,English - Default,- I wanna talk.,0:08 / 22:12
9ohis8hE9LM,English - Default,- I wanna talk.,0:09 / 22:12
9ohis8hE9LM,English - Default,You're fun.,0:10 / 22:12
9ohis8hE9LM,English - Default,Can I walk with you?,0:10 / 22:12
9ohis8hE9LM,English - Default,Can I walk with you?,0:11 / 22:12
9ohis8hE9LM,English - Default,- It's a (indistinct).,0:11 / 22:12
9ohis8hE9LM,English - Default,- It's a (indistinct).,0:12 / 22:12
9ohis8hE9LM,English - Default,- It's a (indistinct).,0:13 / 22:12
9ohis8hE9LM,English - Default,"- So we're hauling our bedraggled carcasses into 2021,",0:14 / 22:12
9ohis8hE9LM,English - Default,"- So we're hauling our bedraggled carcasses into 2021,",0:15 / 22:12
9ohis8hE9LM,English - Default,"- So we're hauling our bedraggled carcasses into 2021,",0:16 / 22:12
9ohis8hE9LM,English - Default,"- So we're hauling our bedraggled carcasses into 2021,",0:17 / 22:12
9ohis8hE9LM,English - Default,"- So we're hauling our bedraggled carcasses into 2021,",0:18 / 22:12
9ohis8hE9LM,English - Default,and indulging in another episode,0:19 / 22:12
9ohis8hE9LM,English - Default,and indulging in another episode,0:20 / 22:12
9ohis8hE9LM,English - Default,"of Everyone's Asking, No One's Asking,",0:20 / 22:12
9ohis8hE9LM,English - Default,"of Everyone's Asking, No One's Asking,",0:21 / 22:12
9ohis8hE9LM,English - Default,"of Everyone's Asking, No One's Asking,",0:22 / 22:12
9ohis8hE9LM,English - Default,"of Everyone's Asking, No One's Asking,",0:23 / 22:12
9ohis8hE9LM,English - Default,where first I offer you something,0:23 / 22:12
9ohis8hE9LM,English - Default,where first I offer you something,0:24 / 22:12
9ohis8hE9LM,English - Default,where first I offer you something,0:25 / 22:12
9ohis8hE9LM,English - Default,"you've been wanting,",0:26 / 22:12
9ohis8hE9LM,English - Default,and end with something you absolutely did not ask for.,0:27 / 22:12
9ohis8hE9LM,English - Default,and end with something you absolutely did not ask for.,0:28 / 22:12
9ohis8hE9LM,English - Default,and end with something you absolutely did not ask for.,0:29 / 22:12
9ohis8hE9LM,English - Default,and end with something you absolutely did not ask for.,0:30 / 22:12
9ohis8hE9LM,English - Default,and end with something you absolutely did not ask for.,0:31 / 22:12
9ohis8hE9LM,English - Default,Why give us something we didn't ask for?,0:31 / 22:12
9ohis8hE9LM,English - Default,Why give us something we didn't ask for?,0:32 / 22:12
9ohis8hE9LM,English - Default,Why give us something we didn't ask for?,0:33 / 22:12
9ohis8hE9LM,English - Default,Why give us something we didn't ask for?,0:34 / 22:12
9ohis8hE9LM,English - Default,"Listen, folks, I've been on YouTube for almost 10 years,",0:34 / 22:12
9ohis8hE9LM,English - Default,"Listen, folks, I've been on YouTube for almost 10 years,",0:35 / 22:12
9ohis8hE9LM,English - Default,"Listen, folks, I've been on YouTube for almost 10 years,",0:36 / 22:12
9ohis8hE9LM,English - Default,"Listen, folks, I've been on YouTube for almost 10 years,",0:37 / 22:12
9ohis8hE9LM,English - Default,"Listen, folks, I've been on YouTube for almost 10 years,",0:38 / 22:12
9ohis8hE9LM,English - Default,10 years.,0:38 / 22:12
9ohis8hE9LM,English - Default,10 years.,0:39 / 22:12
9ohis8hE9LM,English - Default,10 years.,0:40 / 22:12
9ohis8hE9LM,English - Default,10 years.,0:41 / 22:12
9ohis8hE9LM,English - Default,"And we all know YouTube years are like dog years,",0:41 / 22:12
9ohis8hE9LM,English - Default,"And we all know YouTube years are like dog years,",0:42 / 22:12
9ohis8hE9LM,English - Default,"And we all know YouTube years are like dog years,",0:43 / 22:12
9ohis8hE9LM,English - Default,"And we all know YouTube years are like dog years,",0:44 / 22:12
9ohis8hE9LM,English - Default,which means I've been on here for 70 years.,0:44 / 22:12
9ohis8hE9LM,English - Default,which means I've been on here for 70 years.,0:45 / 22:12
9ohis8hE9LM,English - Default,which means I've been on here for 70 years.,0:46 / 22:12
9ohis8hE9LM,English - Default,I know I'm supposed to say blessings,0:47 / 22:12
9ohis8hE9LM,English - Default,I know I'm supposed to say blessings,0:48 / 22:12
9ohis8hE9LM,English - Default,I know I'm supposed to say blessings,0:49 / 22:12
9ohis8hE9LM,English - Default,"to all have my subbies,",0:49 / 22:12
