video_id,lang,text,timecode
AhSl7uRrObw,English,,0:00 / 30:25
AhSl7uRrObw,English,,0:01 / 30:25
AhSl7uRrObw,English,,0:02 / 30:25
AhSl7uRrObw,English,,0:03 / 30:25
AhSl7uRrObw,English,,0:04 / 30:25
AhSl7uRrObw,English,right here?,0:05 / 30:25
AhSl7uRrObw,English,"okay, okay",0:05 / 30:25
AhSl7uRrObw,English,"okay, okay",0:06 / 30:25
AhSl7uRrObw,English,"okay, okay",0:07 / 30:25
AhSl7uRrObw,English,"okay, okay",0:08 / 30:25
AhSl7uRrObw,English,"wow, I can't believe we're doing this",0:08 / 30:25
AhSl7uRrObw,English,"wow, I can't believe we're doing this",0:09 / 30:25
AhSl7uRrObw,English,"wow, I can't believe we're doing this",0:10 / 30:25
AhSl7uRrObw,English,"wow, I can't believe we're doing this",0:11 / 30:25
AhSl7uRrObw,English,,0:11 / 30:25
AhSl7uRrObw,English,,0:12 / 30:25
AhSl7uRrObw,English,,0:13 / 30:25
AhSl7uRrObw,English,"okay, okay are you guys familiar with",0:13 / 30:25
AhSl7uRrObw,English,"okay, okay are you guys familiar with",0:14 / 30:25
AhSl7uRrObw,English,"okay, okay are you guys familiar with",0:15 / 30:25
AhSl7uRrObw,English,mafia?,0:16 / 30:25
AhSl7uRrObw,English,mafia?,0:17 / 30:25
AhSl7uRrObw,English,(Lilypichu) yes we're familiar with mafia,0:17 / 30:25
AhSl7uRrObw,English,(Lilypichu) yes we're familiar with mafia,0:18 / 30:25
AhSl7uRrObw,English,(Lilypichu) yes we're familiar with mafia,0:19 / 30:25
AhSl7uRrObw,English,(Lilypichu) yes we're familiar with mafia,0:20 / 30:25
AhSl7uRrObw,English,but we need a minimum of four people,0:20 / 30:25
AhSl7uRrObw,English,but we need a minimum of four people,0:21 / 30:25
AhSl7uRrObw,English,but we need a minimum of four people,0:22 / 30:25
AhSl7uRrObw,English,,0:22 / 30:25
AhSl7uRrObw,English,,0:23 / 30:25
AhSl7uRrObw,English,"okay, the game is called Among Us",0:24 / 30:25
AhSl7uRrObw,English,"okay, the game is called Among Us",0:25 / 30:25
AhSl7uRrObw,English,"okay, the game is called Among Us",0:26 / 30:25
AhSl7uRrObw,English,"okay, the game is called Among Us",0:27 / 30:25
AhSl7uRrObw,English,,0:28 / 30:25
AhSl7uRrObw,English,,0:29 / 30:25
AhSl7uRrObw,English,(Lilypichu) yeah Sykkuno said yes,0:30 / 30:25
AhSl7uRrObw,English,(Lilypichu) yeah Sykkuno said yes,0:31 / 30:25
AhSl7uRrObw,English,"I said ""wanna play Among Us with us?""",0:31 / 30:25
