video_id,lang,text,timecode
BaLHthRsqQk,English,[STREET SOUNDS],0:00 / 1:52
BaLHthRsqQk,English,[STREET SOUNDS],0:01 / 1:52
BaLHthRsqQk,English,[CASE OPENING],0:02 / 1:52
BaLHthRsqQk,English,[CASE OPENING],0:03 / 1:52
BaLHthRsqQk,English,,0:03 / 1:52
BaLHthRsqQk,English,,0:04 / 1:52
BaLHthRsqQk,English,"♪“Fallin' Apart"" (feat. Denzel Curry and Pell) by Young Franco♪",0:05 / 1:52
BaLHthRsqQk,English,"♪“Fallin' Apart"" (feat. Denzel Curry and Pell) by Young Franco♪",0:06 / 1:52
BaLHthRsqQk,English,"♪“Fallin' Apart"" (feat. Denzel Curry and Pell) by Young Franco♪",0:07 / 1:52
BaLHthRsqQk,English,♪,0:08 / 1:52
BaLHthRsqQk,English,♪,0:09 / 1:52
BaLHthRsqQk,English,"♪Young Filipe,♪",0:10 / 1:52
BaLHthRsqQk,English,"♪Never been concerned about the he say she say,♪",0:11 / 1:52
BaLHthRsqQk,English,"♪Never been concerned about the he say she say,♪",0:12 / 1:52
BaLHthRsqQk,English,♪Look inside my bank account you see its my Bday♪,0:13 / 1:52
BaLHthRsqQk,English,♪Look inside my bank account you see its my Bday♪,0:14 / 1:52
BaLHthRsqQk,English,♪Look inside my bank account you see its my Bday♪,0:15 / 1:52
BaLHthRsqQk,English,"♪Everyday, all day, but I do not eat cake,♪",0:16 / 1:52
BaLHthRsqQk,English,"♪Everyday, all day, but I do not eat cake,♪",0:17 / 1:52
BaLHthRsqQk,English,♪And I do not see hate♪,0:17 / 1:52
BaLHthRsqQk,English,♪And I do not see hate♪,0:18 / 1:52
BaLHthRsqQk,English,"♪Stink meaner, my demeanor with the Nina♪",0:19 / 1:52
BaLHthRsqQk,English,"♪Stink meaner, my demeanor with the Nina♪",0:20 / 1:52
BaLHthRsqQk,English,♪Señoritas wanna meet me at the Catalina♪,0:21 / 1:52
BaLHthRsqQk,English,♪Señoritas wanna meet me at the Catalina♪,0:22 / 1:52
BaLHthRsqQk,English,"♪Wine mixer, mix it up with my elixir♪",0:23 / 1:52
BaLHthRsqQk,English,"♪Wine mixer, mix it up with my elixir♪",0:24 / 1:52
BaLHthRsqQk,English,♪Overlooking the ocean I'm hoping I see Flipper♪,0:25 / 1:52
BaLHthRsqQk,English,♪Overlooking the ocean I'm hoping I see Flipper♪,0:26 / 1:52
BaLHthRsqQk,English,♪Overlooking the ocean I'm hoping I see Flipper♪,0:27 / 1:52
BaLHthRsqQk,English,"♪Young Filipe,♪",0:27 / 1:52
BaLHthRsqQk,English,"♪Young Filipe,♪",0:28 / 1:52
BaLHthRsqQk,English,"♪Moving like its GTA, but not CJ more like Tommy,♪",0:29 / 1:52
BaLHthRsqQk,English,"♪Moving like its GTA, but not CJ more like Tommy,♪",0:30 / 1:52
BaLHthRsqQk,English,"♪Copy, Facts♪",0:31 / 1:52
BaLHthRsqQk,English,"♪Copy, Facts♪",0:32 / 1:52
BaLHthRsqQk,English,♪Spacy homie you can call me Drax♪,0:32 / 1:52
BaLHthRsqQk,English,♪Spacy homie you can call me Drax♪,0:33 / 1:52
BaLHthRsqQk,English,"♪Win every single track and you know its bout to slap, uh♪",0:34 / 1:52
BaLHthRsqQk,English,"♪Win every single track and you know its bout to slap, uh♪",0:35 / 1:52
BaLHthRsqQk,English,"♪Win every single track and you know its bout to slap, uh♪",0:36 / 1:52
BaLHthRsqQk,English,"♪Things are falling apart,♪",0:36 / 1:52
BaLHthRsqQk,English,"♪Things are falling apart,♪",0:37 / 1:52
BaLHthRsqQk,English,"♪Things are falling apart,♪",0:38 / 1:52
BaLHthRsqQk,English,"♪Things are falling apart,♪",0:39 / 1:52
BaLHthRsqQk,English,♪,0:40 / 1:52
BaLHthRsqQk,English,♪,0:41 / 1:52
BaLHthRsqQk,English,♪,0:42 / 1:52
BaLHthRsqQk,English,♪,0:43 / 1:52
BaLHthRsqQk,English,♪,0:44 / 1:52
BaLHthRsqQk,English,[YO!],0:45 / 1:52
BaLHthRsqQk,English,[YO!],0:46 / 1:52
