video_id,lang,text,timecode
Bj6ulLJGPB8,English (United States) - eng,(light crackling) (siren blaring),0:00 / 29:22
Bj6ulLJGPB8,English (United States) - eng,(light crackling) (siren blaring),0:01 / 29:22
Bj6ulLJGPB8,English (United States) - eng,(light crackling) (siren blaring),0:02 / 29:22
Bj6ulLJGPB8,English (United States) - eng,(light crackling) (siren blaring),0:03 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"- This week on Buzzfeed Unsolved,",0:03 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"- This week on Buzzfeed Unsolved,",0:04 / 29:22
Bj6ulLJGPB8,English (United States) - eng,we look into the legendary life and suspicious death,0:04 / 29:22
Bj6ulLJGPB8,English (United States) - eng,we look into the legendary life and suspicious death,0:05 / 29:22
Bj6ulLJGPB8,English (United States) - eng,we look into the legendary life and suspicious death,0:06 / 29:22
Bj6ulLJGPB8,English (United States) - eng,we look into the legendary life and suspicious death,0:07 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"of history's most famous magician, Harry Houdini.",0:07 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"of history's most famous magician, Harry Houdini.",0:08 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"of history's most famous magician, Harry Houdini.",0:09 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"of history's most famous magician, Harry Houdini.",0:10 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"of history's most famous magician, Harry Houdini.",0:11 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"of history's most famous magician, Harry Houdini.",0:12 / 29:22
Bj6ulLJGPB8,English (United States) - eng,- I thought you were gonna say David Blaine.,0:12 / 29:22
Bj6ulLJGPB8,English (United States) - eng,- I thought you were gonna say David Blaine.,0:13 / 29:22
Bj6ulLJGPB8,English (United States) - eng,- You think David Blaine's more famous than Harry Houdini?,0:14 / 29:22
Bj6ulLJGPB8,English (United States) - eng,- You think David Blaine's more famous than Harry Houdini?,0:15 / 29:22
Bj6ulLJGPB8,English (United States) - eng,- You think David Blaine's more famous than Harry Houdini?,0:16 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"- You saw the balloons, right?",0:17 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"- You saw the balloons, right?",0:18 / 29:22
Bj6ulLJGPB8,English (United States) - eng,- I was a little bit of a freaky kid.,0:19 / 29:22
Bj6ulLJGPB8,English (United States) - eng,- I was a little bit of a freaky kid.,0:20 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"- Well, I mean that's a given.",0:20 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"- Well, I mean that's a given.",0:21 / 29:22
Bj6ulLJGPB8,English (United States) - eng,"- Well, I mean that's a given.",0:22 / 29:22
