"video_id","min_timecode","max_timecode","text.user","text.auto"
"CMkYw4dp_NI","00:00:00","00:00:03","","[Music]"
"CMkYw4dp_NI","00:00:04","00:00:05","- Hey, gang.","hey gang what's"
"CMkYw4dp_NI","00:00:05","00:00:07","What's going on, everyone?","going on everyone haven't been here"
"CMkYw4dp_NI","00:00:07","00:00:08","Haven't been here in a second.","in a second"
"CMkYw4dp_NI","00:00:09","00:00:09","How we all doing?","um how are we all doing"
"CMkYw4dp_NI","00:00:10","00:00:13","This is Craig's birthday video, right,","well this is craig's how are we all doing well this is craig's birthday video right in accounting"
"CMkYw4dp_NI","00:00:14","00:00:16","- [Kyle] Uh, no, no, this is a promo shoot for Oreos,","uh no no this is a promo shoot for oreos"
"CMkYw4dp_NI","00:00:17","00:00:18","for the product that we make.","for the product that we make"
"CMkYw4dp_NI","00:00:19","00:00:19","- Oh.","oh"
"CMkYw4dp_NI","00:00:20","00:00:20","","uh"
"CMkYw4dp_NI","00:00:21","00:00:22","Okay, yeah, of course.","okay yeah of course hey gang"
"CMkYw4dp_NI","00:00:22","00:00:24","Hey, gang, my name is Carl Box,","my name is carl box and i'm the"
"CMkYw4dp_NI","00:00:24","00:00:27","and I'm the proud CEO of Oreos, milk's favorite cookie.","proud ceo of oreos milk's favorite cookie"
"CMkYw4dp_NI","00:00:28","00:00:30","We want you, our loyal customers,","we want you our loyal customers to know that here"
"CMkYw4dp_NI","00:00:30","00:00:31","to know that here at Oreos,","at oreos we"
"CMkYw4dp_NI","00:00:32","00:00:33","we don't take our position for granted","don't take our position for granted"
"CMkYw4dp_NI","00:00:34","00:00:37","and we will never rest on our laurels.","and we will never and we will never rest on our laurels"
"CMkYw4dp_NI","00:00:38","00:00:39","That's why we've been hard at work","that's why we've been hard at work innovating"
"CMkYw4dp_NI","00:00:40","00:00:41","innovating brand, new ways","brand new ways to"
"CMkYw4dp_NI","00:00:42","00:00:43","to enjoy your favorite cookie,","enjoy your favorite cookie from"
"CMkYw4dp_NI","00:00:43","00:00:45","from Minis, to Double Stuf,","minnie's to double stuff all"
"CMkYw4dp_NI","00:00:46","00:00:47","and all of your favorite flavor varietals,","of your favorite flavor varietals"
"CMkYw4dp_NI","00:00:48","00:00:51","like Golden, Mint, and Halloween. (laughs)","like golden mint and the halloween"
"CMkYw4dp_NI","00:00:51","00:00:54","Yeah, ah, sorry, gang, can we stop here,","ah sorry gang can we stop here can we pause down"
"CMkYw4dp_NI","00:00:54","00:00:55","can we pause down for a second?","for a second"
"CMkYw4dp_NI","00:00:56","00:00:56","- [Kyle] Oh, yeah, sure.","oh yeah sure"
"CMkYw4dp_NI","00:00:57","00:00:57","What's up?","yeah what's up sorry okay"
"CMkYw4dp_NI","00:00:58","00:00:59","- Sorry, okay, number one, just like,","number one just like"
"CMkYw4dp_NI","00:01:00","00:01:02","we can agree that Halloween is not a flavor, right?","we can agree that halloween is not a flavor right"
"CMkYw4dp_NI","00:01:03","00:01:05","And kinda to zoom out for a second,","and kind of to zoom out for a second we should"
"CMkYw4dp_NI","00:01:05","00:01:09","we should absolutely be resting on our laurels, right?","absolutely be resting on our laurels right excuse me"
"CMkYw4dp_NI","00:01:10","00:01:12","- I'm not gonna narc on you guys.","i'm not gonna narc on you guys just keep"
"CMkYw4dp_NI","00:01:12","00:01:14","Just keep cashing the checks.","cashing the checks"
"CMkYw4dp_NI","00:01:15","00:01:16","You don't have to come into work.","you don't have to come into"
"CMkYw4dp_NI","00:01:17","00:01:18","It's Oreos, we work at a money factory.","work it's oreos we work at a money factory"
"CMkYw4dp_NI","00:01:19","00:01:20","Like, go home.","like go home"
"CMkYw4dp_NI","00:01:21","00:01:21","- [Kyle] Can we hold?","can we hold can we hold real"
"CMkYw4dp_NI","00:01:22","00:01:23","- Yeah, let's go to, let's go home, let's stop.","quick yeah let's go to let's go home let's"
"CMkYw4dp_NI","00:01:24","00:01:24","Yeah, what's up.","stop yeah a lot of"
"CMkYw4dp_NI","00:01:25","00:01:27","- [Kyle] A lot of people have worked really hard.","people have worked really hard"
"CMkYw4dp_NI","00:01:28","00:01:28","- Why?","why"
"CMkYw4dp_NI","00:01:29","00:01:30","We could just make Oreos.","we could just make oreos we"
"CMkYw4dp_NI","00:01:30","00:01:31","","are we"
"CMkYw4dp_NI","00:01:32","00:01:32","- [Man On Left] We are just making Oreos.","are just making oreos"
"CMkYw4dp_NI","00:01:33","00:01:34","- No, we're making crazy bullshit.","no we're making crazy [ __ ]"
"CMkYw4dp_NI","00:01:35","00:01:36","Kyle, please run me through the new,","kyle please run me through the new approved"
"CMkYw4dp_NI","00:01:36","00:01:38","approved Oreo varietals.","oreo varietals"
"CMkYw4dp_NI","00:01:39","00:01:39","- [Kyle] Okay.","okay um well"
"CMkYw4dp_NI","00:01:40","00:01:42","Well, you got your Double Stuff Oreo.","we got your your double stuff oreo cool uh"
"CMkYw4dp_NI","00:01:43","00:01:45","- [Kyle] Your Football Oreo, which is football-shaped.","your football oreo which is football shaped"
"CMkYw4dp_NI","00:01:46","00:01:49","Your Big Stuf Oreo, which is even more--","your your big stuff oreo which is which is even more"
"CMkYw4dp_NI","00:01:50","00:01:51","- How is Big Stuf different from Double Stuf?","how is big stuff different from double stuff it's bigger"
"CMkYw4dp_NI","00:01:53","00:01:54","- (stammers) Oh, fuck.","uh oh [ __ ]"
