video_id,lang,text,timecode
CZJvBfoHDk0,English (United States),,0:00 / 7:32
CZJvBfoHDk0,English (United States),,0:01 / 7:32
CZJvBfoHDk0,English (United States),,0:02 / 7:32
CZJvBfoHDk0,English (United States),,0:03 / 7:32
CZJvBfoHDk0,English (United States),- Hi. - Hello.,0:04 / 7:32
CZJvBfoHDk0,English (United States),- Hi. How are you?,0:04 / 7:32
CZJvBfoHDk0,English (United States),- Hi. How are you?,0:05 / 7:32
CZJvBfoHDk0,English (United States),- Hi. How are you?,0:06 / 7:32
CZJvBfoHDk0,English (United States),- I'm awesome. I'm so happy to be here.,0:06 / 7:32
CZJvBfoHDk0,English (United States),- I'm awesome. I'm so happy to be here.,0:07 / 7:32
CZJvBfoHDk0,English (United States),"- Well, we're happy you are. What's your name?",0:08 / 7:32
CZJvBfoHDk0,English (United States),"- Well, we're happy you are. What's your name?",0:09 / 7:32
CZJvBfoHDk0,English (United States),"- Well, we're happy you are. What's your name?",0:10 / 7:32
CZJvBfoHDk0,English (United States),"- My name is Jane. When I sing, I go by Nightbirde.",0:10 / 7:32
CZJvBfoHDk0,English (United States),"- My name is Jane. When I sing, I go by Nightbirde.",0:11 / 7:32
CZJvBfoHDk0,English (United States),"- My name is Jane. When I sing, I go by Nightbirde.",0:12 / 7:32
CZJvBfoHDk0,English (United States),"- My name is Jane. When I sing, I go by Nightbirde.",0:13 / 7:32
CZJvBfoHDk0,English (United States),"- Aw, that's nice. - Nightbirde?",0:14 / 7:32
CZJvBfoHDk0,English (United States),- That's right. - Do you sing for a living?,0:15 / 7:32
CZJvBfoHDk0,English (United States),- That's right. - Do you sing for a living?,0:16 / 7:32
CZJvBfoHDk0,English (United States),- That's right. - Do you sing for a living?,0:17 / 7:32
CZJvBfoHDk0,English (United States),- That's right. - Do you sing for a living?,0:18 / 7:32
CZJvBfoHDk0,English (United States),,0:18 / 7:32
CZJvBfoHDk0,English (United States),"- Not recently, but-- - Where are you from?",0:19 / 7:32
CZJvBfoHDk0,English (United States),"- Not recently, but-- - Where are you from?",0:20 / 7:32
CZJvBfoHDk0,English (United States),"- I'm from Zanesville, Ohio.",0:21 / 7:32
CZJvBfoHDk0,English (United States),"- I'm from Zanesville, Ohio.",0:22 / 7:32
CZJvBfoHDk0,English (United States),- Okay. How old are you?,0:23 / 7:32
CZJvBfoHDk0,English (United States),"- I'm 30. - 30 years old,",0:24 / 7:32
CZJvBfoHDk0,English (United States),"- I'm 30. - 30 years old,",0:25 / 7:32
CZJvBfoHDk0,English (United States),"- I'm 30. - 30 years old,",0:26 / 7:32
CZJvBfoHDk0,English (United States),and the dream is to be a singer?,0:26 / 7:32
CZJvBfoHDk0,English (United States),and the dream is to be a singer?,0:27 / 7:32
CZJvBfoHDk0,English (United States),and the dream is to be a singer?,0:28 / 7:32
CZJvBfoHDk0,English (United States),What are you going to be singing for us tonight?,0:28 / 7:32
CZJvBfoHDk0,English (United States),What are you going to be singing for us tonight?,0:29 / 7:32
CZJvBfoHDk0,English (United States),- I'm singing an original song,0:30 / 7:32
CZJvBfoHDk0,English (United States),- I'm singing an original song,0:31 / 7:32
CZJvBfoHDk0,English (United States),"called ""It's OK."" - ""It's OK.""",0:32 / 7:32
CZJvBfoHDk0,English (United States),"called ""It's OK."" - ""It's OK.""",0:33 / 7:32
CZJvBfoHDk0,English (United States),- Yeah. - It is.,0:34 / 7:32
CZJvBfoHDk0,English (United States),- Yeah. - It is.,0:35 / 7:32
CZJvBfoHDk0,English (United States),- Yeah. - It's okay.,0:36 / 7:32
CZJvBfoHDk0,English (United States),"- It's okay. - What is ""It's OK"" about?",0:37 / 7:32
CZJvBfoHDk0,English (United States),"- It's okay. - What is ""It's OK"" about?",0:38 / 7:32
CZJvBfoHDk0,English (United States),"- ""It's OK"" is the story of the last year of my life.",0:39 / 7:32
CZJvBfoHDk0,English (United States),"- ""It's OK"" is the story of the last year of my life.",0:40 / 7:32
CZJvBfoHDk0,English (United States),"- ""It's OK"" is the story of the last year of my life.",0:41 / 7:32
CZJvBfoHDk0,English (United States),"- ""It's OK"" is the story of the last year of my life.",0:42 / 7:32
CZJvBfoHDk0,English (United States),- All right. And who you here with?,0:43 / 7:32
CZJvBfoHDk0,English (United States),- All right. And who you here with?,0:44 / 7:32
CZJvBfoHDk0,English (United States),- All right. And who you here with?,0:45 / 7:32
CZJvBfoHDk0,English (United States),,0:45 / 7:32
