"video_id","min_timecode","max_timecode","text.user","text.auto"
"CZJvBfoHDk0","00:00:00","00:00:03","","[Applause]"
"CZJvBfoHDk0","00:00:04","00:00:04","- Hi. - Hello.","hi hello"
"CZJvBfoHDk0","00:00:04","00:00:06","- Hi. How are you?","how are you i'm awesome"
"CZJvBfoHDk0","00:00:06","00:00:07","- I'm awesome. I'm so happy to be here.","i'm so happy to be"
"CZJvBfoHDk0","00:00:08","00:00:10","- Well, we're happy you are. What's your name?","here oh we're happy you are what's your name my name's jane"
"CZJvBfoHDk0","00:00:10","00:00:13","- My name is Jane. When I sing, I go by Nightbirde.","when i sing i go by night bird oh"
"CZJvBfoHDk0","00:00:14","00:00:14","- Aw, that's nice. - Nightbirde?","that's nice night bird"
"CZJvBfoHDk0","00:00:15","00:00:18","- That's right. - Do you sing for a living?","that's right did you sing do you sing for a living um"
"CZJvBfoHDk0","00:00:19","00:00:20","- Not recently, but-- - Where are you from?","not not recently where you from"
"CZJvBfoHDk0","00:00:21","00:00:22","- I'm from Zanesville, Ohio.","i'm from zanesville ohio okay"
"CZJvBfoHDk0","00:00:23","00:00:23","- Okay. How old are you?","how old are you"
"CZJvBfoHDk0","00:00:24","00:00:26","- I'm 30. - 30 years old,","i'm 30. 30 years old and"
"CZJvBfoHDk0","00:00:26","00:00:28","and the dream is to be a singer?","the dream is to be a singer what are you going"
"CZJvBfoHDk0","00:00:28","00:00:29","What are you going to be singing for us tonight?","to be singing"
"CZJvBfoHDk0","00:00:30","00:00:31","- I'm singing an original song","for us tonight i'm singing an original song called"
"CZJvBfoHDk0","00:00:32","00:00:33","called ""It's OK."" - ""It's OK.""","it's okay"
"CZJvBfoHDk0","00:00:34","00:00:35","- Yeah. - It is.","yeah it is it's okay"
"CZJvBfoHDk0","00:00:36","00:00:36","- Yeah. - It's okay.","it's okay what"
"CZJvBfoHDk0","00:00:37","00:00:38","- It's okay. - What is ""It's OK"" about?","is it's okay about uh it's"
"CZJvBfoHDk0","00:00:39","00:00:42","- ""It's OK"" is the story of the last year of my life.","okay is the story of the last year of my life all"
"CZJvBfoHDk0","00:00:43","00:00:45","- All right. And who you here with?","right and who you here with i'm here by"
"CZJvBfoHDk0","00:00:45","00:00:45","",""
"CZJvBfoHDk0","00:00:46","00:00:46","- I'm here by myself.","myself"
"CZJvBfoHDk0","00:00:47","00:00:48","- It's okay. [laughter]","it's okay"
"CZJvBfoHDk0","00:00:49","00:00:51","And what do you do for a living?","and what do you do for a living um"
"CZJvBfoHDk0","00:00:51","00:00:53","- I have not been working for quite a few years.","i have not been working for quite a few years i've been dealing"
"CZJvBfoHDk0","00:00:53","00:00:54","I've been dealing with cancer.","with cancer"
"CZJvBfoHDk0","00:00:55","00:00:56","- Oh, sorry. - [laughs]","oh sorry"
"CZJvBfoHDk0","00:00:57","00:00:58","No, it's okay. - Okay.","no it's okay okay yeah i'm"
"CZJvBfoHDk0","00:00:59","00:01:01","- Yeah. I'm okay. - All right.","okay all right"
"CZJvBfoHDk0","00:01:02","00:01:03","- Can I ask you a question?","can i ask you a question how are"
"CZJvBfoHDk0","00:01:04","00:01:05","How are you now?","you now uh last"
"CZJvBfoHDk0","00:01:05","00:01:07","- Last time I checked, I had some cancer in my lungs","time i checked i had some cancer in my lungs"
"CZJvBfoHDk0","00:01:08","00:01:10","and my spine and my liver.","my spine and my liver some cancer in my lungs my spine and my liver"
"CZJvBfoHDk0","00:01:11","00:01:13","- Wow. - So you're not okay?","wow so you're not okay"
"CZJvBfoHDk0","00:01:14","00:01:16","- Well, not in every way, no.","well well not in every way no"
"CZJvBfoHDk0","00:01:16","00:01:18","- You've got a beautiful smile and a beautiful glow.","you got a beautiful smile and a beautiful glow"
"CZJvBfoHDk0","00:01:19","00:01:19","- Mm-hmm. You do.","and"
"CZJvBfoHDk0","00:01:20","00:01:21","- And nobody would know. - I appreciate it. Thank you.","nobody would know thank you it's important"
"CZJvBfoHDk0","00:01:22","00:01:24","It's important that everyone knows I'm so much more","that uh everyone knows them so much more than the bad"
"CZJvBfoHDk0","00:01:24","00:01:25","than the bad things that happen to me.","things to me"
"CZJvBfoHDk0","00:01:26","00:01:30","- Yes. - Yes.","all right"
"CZJvBfoHDk0","00:01:30","00:01:32","- All right. Sing for us.","sing for us good"
"CZJvBfoHDk0","00:01:33","00:01:35","- Good luck, Nightbirde.","luck night"
"CZJvBfoHDk0","00:01:36","00:01:43","","bird"
"CZJvBfoHDk0","00:01:47","00:01:55","","[Music]"
"CZJvBfoHDk0","00:02:01","00:02:06","- ♪ I moved to California in the summertime ♪","i moved to california in the summertime"
"CZJvBfoHDk0","00:02:10","00:02:14","♪ I changed my name thinking that it would change my mind ♪","i changed my name thinking that it would change my mind [Music] change my mind [Music]"
"CZJvBfoHDk0","00:02:18","00:02:19","♪ I thought that all my problems ♪","i thought that all my problems"
"CZJvBfoHDk0","00:02:20","00:02:23","♪ They would stay behind ","they would stay behind [Music] would stay behind [Music]"
"CZJvBfoHDk0","00:02:23","00:02:26","♪ I was a stick of dynamite and it just was ♪","i was a stick of dynamite and it just was"
"CZJvBfoHDk0","00:02:26","00:02:31","♪ A matter of time, yeah ♪","a matter of time yeah"
"CZJvBfoHDk0","00:02:31","00:02:35","♪ Oh, dang, oh, my, now I can't hide ♪","all day oh my now i can't hide"
"CZJvBfoHDk0","00:02:36","00:02:39","♪ Said I knew myself but I guess I lied ♪","i said i knew myself but i guess i lie"
"CZJvBfoHDk0","00:02:40","00:02:43","♪ It's okay, it's okay it's okay, it's okay ♪","it's okay it's okay it's okay it's okay"
"CZJvBfoHDk0","00:02:43","00:02:45","♪ If you're lost ","if you're lost we're all a little"
"CZJvBfoHDk0","00:02:45","00:02:47","♪ We're all a little lost, and it's all right ♪","lost and it's all right"
"CZJvBfoHDk0","00:02:48","00:02:51","♪ It's okay, it's okay it's okay, it's okay ♪","it's okay it's okay it's okay"
"CZJvBfoHDk0","00:02:51","00:02:52","♪ If you're lost ","if you're lost we're"
"CZJvBfoHDk0","00:02:53","00:02:55","♪ We're all a little lost, and it's all right ♪","all a little lost and it's all right"
"CZJvBfoHDk0","00:02:57","00:02:59","♪ It's all right, it's all right ♪","it's all right it's all right"
"CZJvBfoHDk0","00:02:59","00:03:01","♪ It's all right ","it's all"
"CZJvBfoHDk0","00:03:02","00:03:05","♪ ","right"
"CZJvBfoHDk0","00:03:06","00:03:10","♪ I wrote a hundred pages, but I burned them all ♪","i wrote a hundred pages but i burned them all"
"CZJvBfoHDk0","00:03:10","00:03:10","",""
"CZJvBfoHDk0","00:03:11","00:03:13","♪ Yeah, I burned them all ","yeah i burned them all"
"CZJvBfoHDk0","00:03:14","00:03:17","♪ I blow through yellow lights and don't look back at all ♪","i blow for yellow lights and don't look back at [Music]"
"CZJvBfoHDk0","00:03:28","00:03:31","♪ It's okay, it's okay it's okay, it's okay ♪","it's okay it's okay it's okay it's okay if"
"CZJvBfoHDk0","00:03:32","00:03:32","♪ If you're lost ","you're lost"
"CZJvBfoHDk0","00:03:33","00:03:35","♪ We're all a little lost, and it's all right ♪","we're all a little lost and it's all right"
"CZJvBfoHDk0","00:03:36","00:03:39","♪ It's okay, it's okay it's okay, it's okay ♪","it's okay it's okay it's okay it's okay if"
"CZJvBfoHDk0","00:03:39","00:03:40","♪ If you're lost ","you're lost"
"CZJvBfoHDk0","00:03:41","00:03:44","♪ We're all a little lost, and it's all right ♪","we're all a little lost and it's all"
"CZJvBfoHDk0","00:03:44","00:03:49","♪ Oh-oh-oh-oh, it's all right ♪","right [Music]"
"CZJvBfoHDk0","00:03:56","00:03:57","",""
"CZJvBfoHDk0","00:03:59","00:04:01","[cheers and applause]","wow"
"CZJvBfoHDk0","00:04:04","00:04:24","",""
"CZJvBfoHDk0","00:04:24","00:04:27","- You know, it's funny, because singers come on,","you know it's funny because singers come on and i"
"CZJvBfoHDk0","00:04:28","00:04:31","and I think about authenticity, you know, when you feel it,","and i think about authenticity you know when you feel it when it"
"CZJvBfoHDk0","00:04:31","00:04:32","when it moves you. That felt like","moves you that felt"
"CZJvBfoHDk0","00:04:33","00:04:35","the most authentic thing I've heard this season.","like the most authentic thing i have heard this season"
"CZJvBfoHDk0","00:04:35","00:04:37","[cheers and applause]","that was"
"CZJvBfoHDk0","00:04:37","00:04:39","- That was surprisingly beautiful.","surprisingly beautiful it was"
"CZJvBfoHDk0","00:04:39","00:04:40","It was powerful.","powerful"
