"video_id","min_timecode","max_timecode","text.user","text.auto"
"DLNValm4yQ8","00:00:00","00:00:02","- Hello, welcome to our wonderful sponsor, Micro Center","hello welcome to our wonderful sponsor micro center where we"
"DLNValm4yQ8","00:00:02","00:00:05","where we have a Broke versus Pro challenge.","have a broke versus pro challenge obviously"
"DLNValm4yQ8","00:00:05","00:00:07","Obviously as a professional at Broke versus Pro,","as a professional at broke versus pro"
"DLNValm4yQ8","00:00:08","00:00:12","I've invited a broke person BitWit Kyle,","i've invited a broke person bit with kyle i apologize for"
"DLNValm4yQ8","00:00:12","00:00:13","I apologize for calling you broke.","calling you broke however"
"DLNValm4yQ8","00:00:13","00:00:16","However, today we have free reign of Micro Center,","today i am we have free reign of micro center"
"DLNValm4yQ8","00:00:17","00:00:19","we're here before it opens to the way that it works today","we're here before it opens so the way that it works today"
"DLNValm4yQ8","00:00:20","00:00:24","is that we each have two minutes to walk through the store","is that we each have two minutes to walk through the store and well"
"DLNValm4yQ8","00:00:24","00:00:27","and get, well, I should say, run through the store","i should say run through the store and get all"
"DLNValm4yQ8","00:00:27","00:00:30","and get all of the components for our PC built.","of the components for our pc builds so micro center"
"DLNValm4yQ8","00:00:30","00:00:31","So Micro Center are giving us","are giving us"
"DLNValm4yQ8","00:00:31","00:00:36","both the exact same MSI RTX 3060Ti graphics cards","both the exact same msi rtx 3060 ti graphics cards but the rest of the video"
"DLNValm4yQ8","00:00:36","00:00:38","but the rest of the video is up to us.","is up to us these are hard to"
"DLNValm4yQ8","00:00:38","00:00:39","- These are hard to get.","get"
"DLNValm4yQ8","00:00:39","00:00:40","- Well, you've got one in your hand.","well you've got one in your hand i"
"DLNValm4yQ8","00:00:41","00:00:43","- I feel like I already won. (Austin laughing)","feel like i already won [Laughter] like i already won [Laughter] now we"
"DLNValm4yQ8","00:00:44","00:00:44","- Now, we do get the opportunity","do get the opportunity"
"DLNValm4yQ8","00:00:45","00:00:46","to walk the store beforehand","to walk the store beforehand to take"
"DLNValm4yQ8","00:00:47","00:00:49","to take closer look at any of the deals that they have","a closer look at any of the deals that they have any"
"DLNValm4yQ8","00:00:50","00:00:51","any of the parts that they have in store","of the parts that they have in store"
"DLNValm4yQ8","00:00:52","00:00:54","without spoiling their strategy.","without spoiling your strategy"
"DLNValm4yQ8","00:00:55","00:00:55","What are you thinking?","what are you thinking"
"DLNValm4yQ8","00:00:56","00:00:59","Are you thinking of going bigger, higher end?","are you it'll go on what are you thinking are you it'll go on bigger higher end are you going to try to go"
"DLNValm4yQ8","00:00:59","00:01:00","Are you gonna try to go for the aesthetic side?","for the aesthetic"
"DLNValm4yQ8","00:01:01","00:01:03","Are you gonna go, try to go for the budget?","side you're going to go try to go for the budget"
"DLNValm4yQ8","00:01:04","00:01:04","- You know what?","um you know what i'm"
"DLNValm4yQ8","00:01:05","00:01:06","I'm still casing out the place.","i'm uh still casing out the place"
"DLNValm4yQ8","00:01:07","00:01:08","I gotta look over the inventory","okay i gotta look over the inventory"
"DLNValm4yQ8","00:01:08","00:01:10","and I also don't want to give you too much","and i also don't want to give you too much uh too many crumbs"
