video_id,lang,text,timecode
DoOOPelMaYY,English (auto-generated),,0:00 / 9:17
DoOOPelMaYY,English (auto-generated),"- Hey everybody,",0:00 / 9:17
DoOOPelMaYY,English (auto-generated),welcome to this year's special holiday edition,0:01 / 9:17
DoOOPelMaYY,English (auto-generated),welcome to this year's special holiday edition,0:02 / 9:17
DoOOPelMaYY,English (auto-generated),Magic of the Month.,0:03 / 9:17
DoOOPelMaYY,English (auto-generated),Let's get into it.,0:03 / 9:17
DoOOPelMaYY,English (auto-generated),Let's get into it.,0:04 / 9:17
DoOOPelMaYY,English (auto-generated),(laughing),0:04 / 9:17
DoOOPelMaYY,English (auto-generated),(laughing),0:05 / 9:17
DoOOPelMaYY,English (auto-generated),Cut the snow machine.,0:06 / 9:17
DoOOPelMaYY,English (auto-generated),Cut the snow machine.,0:07 / 9:17
DoOOPelMaYY,English (auto-generated),(upbeat holiday music),0:07 / 9:17
DoOOPelMaYY,English (auto-generated),(upbeat holiday music),0:08 / 9:17
DoOOPelMaYY,English (auto-generated),(upbeat holiday music),0:09 / 9:17
DoOOPelMaYY,English (auto-generated),(upbeat holiday music),0:10 / 9:17
DoOOPelMaYY,English (auto-generated),This is how you Chrisify a room.,0:10 / 9:17
DoOOPelMaYY,English (auto-generated),This is how you Chrisify a room.,0:11 / 9:17
DoOOPelMaYY,English (auto-generated),This is how you Chrisify a room.,0:12 / 9:17
DoOOPelMaYY,English (auto-generated),"Diijon, heads up.",0:12 / 9:17
DoOOPelMaYY,English (auto-generated),"Diijon, heads up.",0:13 / 9:17
DoOOPelMaYY,English (auto-generated),(shouting),0:13 / 9:17
DoOOPelMaYY,English (auto-generated),(shouting),0:14 / 9:17
DoOOPelMaYY,English (auto-generated),(explosion),0:15 / 9:17
DoOOPelMaYY,English (auto-generated),(explosion),0:16 / 9:17
DoOOPelMaYY,English (auto-generated),- Snowball fight!,0:17 / 9:17
DoOOPelMaYY,English (auto-generated),- Snowball fight!,0:18 / 9:17
DoOOPelMaYY,English (auto-generated),(laughter),0:19 / 9:17
DoOOPelMaYY,English (auto-generated),(laughter),0:20 / 9:17
DoOOPelMaYY,English (auto-generated),,0:21 / 9:17
DoOOPelMaYY,English (auto-generated),,0:22 / 9:17
DoOOPelMaYY,English (auto-generated),- How much for the painting?,0:22 / 9:17
DoOOPelMaYY,English (auto-generated),- How much for the painting?,0:23 / 9:17
DoOOPelMaYY,English (auto-generated),"- [Man] Oh, a hundred dollars.",0:24 / 9:17
DoOOPelMaYY,English (auto-generated),"- Cool, it's super great.",0:25 / 9:17
DoOOPelMaYY,English (auto-generated),- Thank you.,0:26 / 9:17
DoOOPelMaYY,English (auto-generated),- You bet.,0:27 / 9:17
DoOOPelMaYY,English (auto-generated),Have a good night.,0:28 / 9:17
DoOOPelMaYY,English (auto-generated),(upbeat music),0:29 / 9:17
DoOOPelMaYY,English (auto-generated),(upbeat music),0:30 / 9:17
DoOOPelMaYY,English (auto-generated),(upbeat music),0:31 / 9:17
DoOOPelMaYY,English (auto-generated),"This is a really good deal, actually.",0:32 / 9:17
DoOOPelMaYY,English (auto-generated),"This is a really good deal, actually.",0:33 / 9:17
DoOOPelMaYY,English (auto-generated),,0:34 / 9:17
DoOOPelMaYY,English (auto-generated),,0:35 / 9:17
DoOOPelMaYY,English (auto-generated),,0:36 / 9:17
DoOOPelMaYY,English (auto-generated),,0:37 / 9:17
DoOOPelMaYY,English (auto-generated),,0:38 / 9:17
DoOOPelMaYY,English (auto-generated),(grunting),0:38 / 9:17
DoOOPelMaYY,English (auto-generated),(grunting),0:39 / 9:17
DoOOPelMaYY,English (auto-generated),(grunting),0:40 / 9:17
DoOOPelMaYY,English (auto-generated),,0:40 / 9:17
DoOOPelMaYY,English (auto-generated),,0:41 / 9:17
DoOOPelMaYY,English (auto-generated),,0:42 / 9:17
DoOOPelMaYY,English (auto-generated),,0:43 / 9:17
DoOOPelMaYY,English (auto-generated),(whimsical music),0:44 / 9:17
DoOOPelMaYY,English (auto-generated),(whimsical music),0:45 / 9:17
DoOOPelMaYY,English (auto-generated),(whimsical music),0:46 / 9:17
DoOOPelMaYY,English (auto-generated),,0:46 / 9:17
DoOOPelMaYY,English (auto-generated),,0:47 / 9:17
DoOOPelMaYY,English (auto-generated),"Hey Macho, you want a banana?",0:48 / 9:17
DoOOPelMaYY,English (auto-generated),"Hey Macho, you want a banana?",0:49 / 9:17
DoOOPelMaYY,English (auto-generated),,0:50 / 9:17
DoOOPelMaYY,English (auto-generated),Here you go.,0:51 / 9:17
DoOOPelMaYY,English (auto-generated),Here you go.,0:52 / 9:17
DoOOPelMaYY,English (auto-generated),,0:52 / 9:17
DoOOPelMaYY,English (auto-generated),,0:53 / 9:17
DoOOPelMaYY,English (auto-generated),,0:54 / 9:17
DoOOPelMaYY,English (auto-generated),,0:55 / 9:17
DoOOPelMaYY,English (auto-generated),,0:56 / 9:17
DoOOPelMaYY,English (auto-generated),"Hey Macho, you want a banana?",0:57 / 9:17
DoOOPelMaYY,English (auto-generated),"Hey Macho, you want a banana?",0:58 / 9:17
DoOOPelMaYY,English (auto-generated),,0:59 / 9:17
DoOOPelMaYY,English (auto-generated),,1:00 / 9:17
DoOOPelMaYY,English (auto-generated),Here you go.,1:01 / 9:17
DoOOPelMaYY,English (auto-generated),,1:01 / 9:17
DoOOPelMaYY,English (auto-generated),,1:02 / 9:17
DoOOPelMaYY,English (auto-generated),,1:03 / 9:17
DoOOPelMaYY,English (auto-generated),,1:04 / 9:17
DoOOPelMaYY,English (auto-generated),,1:05 / 9:17
DoOOPelMaYY,English (auto-generated),(horn honking),1:06 / 9:17
DoOOPelMaYY,English (auto-generated),(horn honking),1:07 / 9:17
DoOOPelMaYY,English (auto-generated),"Don't honk at me, they're blocking the intersection.",1:07 / 9:17
DoOOPelMaYY,English (auto-generated),"Don't honk at me, they're blocking the intersection.",1:08 / 9:17
DoOOPelMaYY,English (auto-generated),"Don't honk at me, they're blocking the intersection.",1:09 / 9:17
DoOOPelMaYY,English (auto-generated),"Don't honk at me, they're blocking the intersection.",1:10 / 9:17
DoOOPelMaYY,English (auto-generated),"Come on, it's a red light.",1:10 / 9:17
DoOOPelMaYY,English (auto-generated),"Come on, it's a red light.",1:11 / 9:17
DoOOPelMaYY,English (auto-generated),,1:11 / 9:17
DoOOPelMaYY,English (auto-generated),,1:12 / 9:17
DoOOPelMaYY,English (auto-generated),,1:13 / 9:17
DoOOPelMaYY,English (auto-generated),I hate to do this.,1:13 / 9:17
DoOOPelMaYY,English (auto-generated),I hate to do this.,1:14 / 9:17
DoOOPelMaYY,English (auto-generated),,1:14 / 9:17
DoOOPelMaYY,English (auto-generated),,1:15 / 9:17
DoOOPelMaYY,English (auto-generated),,1:16 / 9:17
