video_id,lang,text,timecode
Dti7i1z6DNo,English (United States),,0:00 / 10:36
Dti7i1z6DNo,English (United States),,0:01 / 10:36
Dti7i1z6DNo,English (United States),,0:02 / 10:36
Dti7i1z6DNo,English (United States),,0:03 / 10:36
Dti7i1z6DNo,English (United States),,0:04 / 10:36
Dti7i1z6DNo,English (United States),,0:05 / 10:36
Dti7i1z6DNo,English (United States),,0:06 / 10:36
Dti7i1z6DNo,English (United States),"When talking about the war on drugs in Mexico,",0:07 / 10:36
Dti7i1z6DNo,English (United States),"When talking about the war on drugs in Mexico,",0:08 / 10:36
Dti7i1z6DNo,English (United States),"When talking about the war on drugs in Mexico,",0:09 / 10:36
Dti7i1z6DNo,English (United States),the word “cartel” gets thrown around a lot.,0:09 / 10:36
Dti7i1z6DNo,English (United States),the word “cartel” gets thrown around a lot.,0:10 / 10:36
Dti7i1z6DNo,English (United States),the word “cartel” gets thrown around a lot.,0:11 / 10:36
Dti7i1z6DNo,English (United States),...round the cartels.,0:12 / 10:36
Dti7i1z6DNo,English (United States),...to keep the cartels.,0:12 / 10:36
Dti7i1z6DNo,English (United States),...to keep the cartels.,0:13 / 10:36
Dti7i1z6DNo,English (United States),...to fight the cartels.,0:13 / 10:36
Dti7i1z6DNo,English (United States),...to fight the cartels.,0:14 / 10:36
Dti7i1z6DNo,English (United States),"Sinaloa, Juarez, Los Zetas, La Familia,",0:15 / 10:36
Dti7i1z6DNo,English (United States),"Sinaloa, Juarez, Los Zetas, La Familia,",0:16 / 10:36
Dti7i1z6DNo,English (United States),"Sinaloa, Juarez, Los Zetas, La Familia,",0:17 / 10:36
Dti7i1z6DNo,English (United States),"Sinaloa, Juarez, Los Zetas, La Familia,",0:18 / 10:36
Dti7i1z6DNo,English (United States),the list of names goes on and on.,0:19 / 10:36
Dti7i1z6DNo,English (United States),the list of names goes on and on.,0:20 / 10:36
Dti7i1z6DNo,English (United States),,0:21 / 10:36
Dti7i1z6DNo,English (United States),But who are these organizations that have turned Mexican cities,0:22 / 10:36
Dti7i1z6DNo,English (United States),But who are these organizations that have turned Mexican cities,0:23 / 10:36
Dti7i1z6DNo,English (United States),But who are these organizations that have turned Mexican cities,0:24 / 10:36
Dti7i1z6DNo,English (United States),into seven of the top ten deadliest in the world?,0:25 / 10:36
Dti7i1z6DNo,English (United States),into seven of the top ten deadliest in the world?,0:26 / 10:36
Dti7i1z6DNo,English (United States),into seven of the top ten deadliest in the world?,0:27 / 10:36
Dti7i1z6DNo,English (United States),How did Mexico get to a point,0:28 / 10:36
Dti7i1z6DNo,English (United States),How did Mexico get to a point,0:29 / 10:36
Dti7i1z6DNo,English (United States),where paramilitary drug trafficking networks,0:29 / 10:36
Dti7i1z6DNo,English (United States),where paramilitary drug trafficking networks,0:30 / 10:36
Dti7i1z6DNo,English (United States),where paramilitary drug trafficking networks,0:31 / 10:36
Dti7i1z6DNo,English (United States),where paramilitary drug trafficking networks,0:32 / 10:36
Dti7i1z6DNo,English (United States),"bring in billions of dollars in revenue,",0:32 / 10:36
Dti7i1z6DNo,English (United States),"bring in billions of dollars in revenue,",0:33 / 10:36
Dti7i1z6DNo,English (United States),,0:34 / 10:36
Dti7i1z6DNo,English (United States),"murder tens of thousands of people a year,",0:34 / 10:36
Dti7i1z6DNo,English (United States),"murder tens of thousands of people a year,",0:35 / 10:36
Dti7i1z6DNo,English (United States),"murder tens of thousands of people a year,",0:36 / 10:36
Dti7i1z6DNo,English (United States),"murder tens of thousands of people a year,",0:37 / 10:36
Dti7i1z6DNo,English (United States),and often operate as semi-autonomous states within the country?,0:37 / 10:36
Dti7i1z6DNo,English (United States),and often operate as semi-autonomous states within the country?,0:38 / 10:36
Dti7i1z6DNo,English (United States),and often operate as semi-autonomous states within the country?,0:39 / 10:36
Dti7i1z6DNo,English (United States),and often operate as semi-autonomous states within the country?,0:40 / 10:36
Dti7i1z6DNo,English (United States),,0:41 / 10:36
Dti7i1z6DNo,English (United States),"In this episode, we’re taking apart who the cartels are",0:41 / 10:36
Dti7i1z6DNo,English (United States),"In this episode, we’re taking apart who the cartels are",0:42 / 10:36
Dti7i1z6DNo,English (United States),"In this episode, we’re taking apart who the cartels are",0:43 / 10:36
Dti7i1z6DNo,English (United States),"In this episode, we’re taking apart who the cartels are",0:44 / 10:36
Dti7i1z6DNo,English (United States),and how they went from working together to killing each other.,0:45 / 10:36
Dti7i1z6DNo,English (United States),and how they went from working together to killing each other.,0:46 / 10:36
Dti7i1z6DNo,English (United States),and how they went from working together to killing each other.,0:47 / 10:36
Dti7i1z6DNo,English (United States),[The War on Drugs Show],0:48 / 10:36
Dti7i1z6DNo,English (United States),[The War on Drugs Show],0:49 / 10:36
Dti7i1z6DNo,English (United States),[The War on Drugs Show],0:50 / 10:36
Dti7i1z6DNo,English (United States),[The Mexican Cartels],0:50 / 10:36
Dti7i1z6DNo,English (United States),[The Mexican Cartels],0:51 / 10:36
Dti7i1z6DNo,English (United States),[The Mexican Cartels],0:52 / 10:36
Dti7i1z6DNo,English (United States),"In the late 1970s, cocaine use exploded across America.",0:53 / 10:36
Dti7i1z6DNo,English (United States),"In the late 1970s, cocaine use exploded across America.",0:54 / 10:36
Dti7i1z6DNo,English (United States),"In the late 1970s, cocaine use exploded across America.",0:55 / 10:36
Dti7i1z6DNo,English (United States),"In the late 1970s, cocaine use exploded across America.",0:56 / 10:36
Dti7i1z6DNo,English (United States),"In the late 1970s, cocaine use exploded across America.",0:57 / 10:36
Dti7i1z6DNo,English (United States),,0:57 / 10:36
Dti7i1z6DNo,English (United States),The main smuggling route was straight from the jungles of Colombia,0:58 / 10:36
Dti7i1z6DNo,English (United States),The main smuggling route was straight from the jungles of Colombia,0:59 / 10:36
Dti7i1z6DNo,English (United States),The main smuggling route was straight from the jungles of Colombia,1:00 / 10:36
Dti7i1z6DNo,English (United States),"into Florida,",1:01 / 10:36
Dti7i1z6DNo,English (United States),as made famous by movies like  Scarface  and  Blow. ,1:02 / 10:36
Dti7i1z6DNo,English (United States),as made famous by movies like  Scarface  and  Blow. ,1:03 / 10:36
Dti7i1z6DNo,English (United States),as made famous by movies like  Scarface  and  Blow. ,1:04 / 10:36
Dti7i1z6DNo,English (United States),as made famous by movies like  Scarface  and  Blow. ,1:05 / 10:36
Dti7i1z6DNo,English (United States),,1:06 / 10:36
Dti7i1z6DNo,English (United States),"To disrupt this traffic,",1:07 / 10:36
Dti7i1z6DNo,English (United States),"in 1982, Ronald Reagan set up the South Florida Task Force",1:08 / 10:36
Dti7i1z6DNo,English (United States),"in 1982, Ronald Reagan set up the South Florida Task Force",1:09 / 10:36
Dti7i1z6DNo,English (United States),"in 1982, Ronald Reagan set up the South Florida Task Force",1:10 / 10:36
Dti7i1z6DNo,English (United States),"in 1982, Ronald Reagan set up the South Florida Task Force",1:11 / 10:36
Dti7i1z6DNo,English (United States),under the command of then Vice President George Bush.,1:12 / 10:36
Dti7i1z6DNo,English (United States),under the command of then Vice President George Bush.,1:13 / 10:36
Dti7i1z6DNo,English (United States),under the command of then Vice President George Bush.,1:14 / 10:36
Dti7i1z6DNo,English (United States),,1:15 / 10:36
Dti7i1z6DNo,English (United States),"But for a guy who claimed to love capitalism,",1:15 / 10:36
Dti7i1z6DNo,English (United States),"But for a guy who claimed to love capitalism,",1:16 / 10:36
Dti7i1z6DNo,English (United States),"But for a guy who claimed to love capitalism,",1:17 / 10:36
Dti7i1z6DNo,English (United States),"But for a guy who claimed to love capitalism,",1:18 / 10:36
Dti7i1z6DNo,English (United States),"when it came to the drug trade,",1:18 / 10:36
Dti7i1z6DNo,English (United States),"when it came to the drug trade,",1:19 / 10:36
Dti7i1z6DNo,English (United States),Reagan didn’t seem to understand much about how business actually works.,1:20 / 10:36
Dti7i1z6DNo,English (United States),Reagan didn’t seem to understand much about how business actually works.,1:21 / 10:36
Dti7i1z6DNo,English (United States),Reagan didn’t seem to understand much about how business actually works.,1:22 / 10:36
Dti7i1z6DNo,English (United States),Reagan didn’t seem to understand much about how business actually works.,1:23 / 10:36
Dti7i1z6DNo,English (United States),Reagan didn’t seem to understand much about how business actually works.,1:24 / 10:36
Dti7i1z6DNo,English (United States),Instead of giving up their billion dollar industry,1:24 / 10:36
Dti7i1z6DNo,English (United States),Instead of giving up their billion dollar industry,1:25 / 10:36
Dti7i1z6DNo,English (United States),Instead of giving up their billion dollar industry,1:26 / 10:36
Dti7i1z6DNo,English (United States),"because a few shipments had been busted in the Caribbean,",1:26 / 10:36
Dti7i1z6DNo,English (United States),"because a few shipments had been busted in the Caribbean,",1:27 / 10:36
Dti7i1z6DNo,English (United States),"because a few shipments had been busted in the Caribbean,",1:28 / 10:36
Dti7i1z6DNo,English (United States),"because a few shipments had been busted in the Caribbean,",1:29 / 10:36
Dti7i1z6DNo,English (United States),,1:29 / 10:36
Dti7i1z6DNo,English (United States),the Colombian cocaine producers,1:30 / 10:36
Dti7i1z6DNo,English (United States),the Colombian cocaine producers,1:31 / 10:36
Dti7i1z6DNo,English (United States),"decided to make use of Mexico’s 2,000-mile land border with the US.",1:31 / 10:36
Dti7i1z6DNo,English (United States),"decided to make use of Mexico’s 2,000-mile land border with the US.",1:32 / 10:36
Dti7i1z6DNo,English (United States),"decided to make use of Mexico’s 2,000-mile land border with the US.",1:33 / 10:36
Dti7i1z6DNo,English (United States),"decided to make use of Mexico’s 2,000-mile land border with the US.",1:34 / 10:36
Dti7i1z6DNo,English (United States),"decided to make use of Mexico’s 2,000-mile land border with the US.",1:35 / 10:36
