video_id,lang,text,timecode
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:00 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:01 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:02 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:03 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:04 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:05 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:06 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:07 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:08 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:09 / 8:05
EYXvWIITuMQ,English (United States),"So I never break phones on accident, but last week  I broke my personal phone twice doing very normal  ",0:10 / 8:05
EYXvWIITuMQ,English (United States),"things. This crack over here wasn't a big deal, I  was just lifting a chair out of the back of a car,  ",0:10 / 8:05
EYXvWIITuMQ,English (United States),"things. This crack over here wasn't a big deal, I  was just lifting a chair out of the back of a car,  ",0:11 / 8:05
EYXvWIITuMQ,English (United States),"things. This crack over here wasn't a big deal, I  was just lifting a chair out of the back of a car,  ",0:12 / 8:05
EYXvWIITuMQ,English (United States),"things. This crack over here wasn't a big deal, I  was just lifting a chair out of the back of a car,  ",0:13 / 8:05
EYXvWIITuMQ,English (United States),"things. This crack over here wasn't a big deal, I  was just lifting a chair out of the back of a car,  ",0:14 / 8:05
EYXvWIITuMQ,English (United States),"things. This crack over here wasn't a big deal, I  was just lifting a chair out of the back of a car,  ",0:15 / 8:05
EYXvWIITuMQ,English (United States),"which is something I do often. As I lift the chair  out of the vehicle, the chair rests on my pocket  ",0:16 / 8:05
EYXvWIITuMQ,English (United States),"which is something I do often. As I lift the chair  out of the vehicle, the chair rests on my pocket  ",0:17 / 8:05
EYXvWIITuMQ,English (United States),"which is something I do often. As I lift the chair  out of the vehicle, the chair rests on my pocket  ",0:18 / 8:05
EYXvWIITuMQ,English (United States),"which is something I do often. As I lift the chair  out of the vehicle, the chair rests on my pocket  ",0:19 / 8:05
EYXvWIITuMQ,English (United States),"which is something I do often. As I lift the chair  out of the vehicle, the chair rests on my pocket  ",0:20 / 8:05
EYXvWIITuMQ,English (United States),"which is something I do often. As I lift the chair  out of the vehicle, the chair rests on my pocket  ",0:21 / 8:05
EYXvWIITuMQ,English (United States),"which is something I do often. As I lift the chair  out of the vehicle, the chair rests on my pocket  ",0:22 / 8:05
EYXvWIITuMQ,English (United States),"which has my phone in it. And after two years  of doing that repetitively, it broke my screen.  ",0:22 / 8:05
EYXvWIITuMQ,English (United States),"which has my phone in it. And after two years  of doing that repetitively, it broke my screen.  ",0:23 / 8:05
EYXvWIITuMQ,English (United States),"which has my phone in it. And after two years  of doing that repetitively, it broke my screen.  ",0:24 / 8:05
EYXvWIITuMQ,English (United States),"which has my phone in it. And after two years  of doing that repetitively, it broke my screen.  ",0:25 / 8:05
EYXvWIITuMQ,English (United States),"which has my phone in it. And after two years  of doing that repetitively, it broke my screen.  ",0:26 / 8:05
EYXvWIITuMQ,English (United States),"which has my phone in it. And after two years  of doing that repetitively, it broke my screen.  ",0:27 / 8:05
EYXvWIITuMQ,English (United States),I was just going to leave it since it's cosmetic  and everything still works. But a couple days  ,0:28 / 8:05
EYXvWIITuMQ,English (United States),I was just going to leave it since it's cosmetic  and everything still works. But a couple days  ,0:29 / 8:05
EYXvWIITuMQ,English (United States),I was just going to leave it since it's cosmetic  and everything still works. But a couple days  ,0:30 / 8:05
EYXvWIITuMQ,English (United States),I was just going to leave it since it's cosmetic  and everything still works. But a couple days  ,0:31 / 8:05
EYXvWIITuMQ,English (United States),I was just going to leave it since it's cosmetic  and everything still works. But a couple days  ,0:32 / 8:05
