video_id,lang,text,timecode
ElVShISbYS4,English (United States) - Captions,[light music],0:00 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],0:01 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],0:02 / 4:55
ElVShISbYS4,English (United States) - Captions,- That was 10 things.,0:02 / 4:55
ElVShISbYS4,English (United States) - Captions,- That was 10 things.,0:03 / 4:55
ElVShISbYS4,English (United States) - Captions,What's up?,0:04 / 4:55
ElVShISbYS4,English (United States) - Captions,I'm Lil' Baby,0:05 / 4:55
ElVShISbYS4,English (United States) - Captions,and these are my essentials.,0:06 / 4:55
ElVShISbYS4,English (United States) - Captions,,0:07 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],0:07 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],0:08 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],0:09 / 4:55
ElVShISbYS4,English (United States) - Captions,,0:10 / 4:55
ElVShISbYS4,English (United States) - Captions,My main and first essential would be God or the most high.,0:11 / 4:55
ElVShISbYS4,English (United States) - Captions,My main and first essential would be God or the most high.,0:12 / 4:55
ElVShISbYS4,English (United States) - Captions,My main and first essential would be God or the most high.,0:13 / 4:55
ElVShISbYS4,English (United States) - Captions,My main and first essential would be God or the most high.,0:14 / 4:55
ElVShISbYS4,English (United States) - Captions,And I say that because I wouldn't be able to do,0:14 / 4:55
ElVShISbYS4,English (United States) - Captions,And I say that because I wouldn't be able to do,0:15 / 4:55
ElVShISbYS4,English (United States) - Captions,And I say that because I wouldn't be able to do,0:16 / 4:55
ElVShISbYS4,English (United States) - Captions,And I say that because I wouldn't be able to do,0:17 / 4:55
ElVShISbYS4,English (United States) - Captions,nuttin' that I'm doin' without 'em.,0:17 / 4:55
ElVShISbYS4,English (United States) - Captions,nuttin' that I'm doin' without 'em.,0:18 / 4:55
ElVShISbYS4,English (United States) - Captions,nuttin' that I'm doin' without 'em.,0:19 / 4:55
ElVShISbYS4,English (United States) - Captions,nuttin' that I'm doin' without 'em.,0:20 / 4:55
ElVShISbYS4,English (United States) - Captions,So my next essential item would be money.,0:20 / 4:55
ElVShISbYS4,English (United States) - Captions,So my next essential item would be money.,0:21 / 4:55
ElVShISbYS4,English (United States) - Captions,So my next essential item would be money.,0:22 / 4:55
ElVShISbYS4,English (United States) - Captions,So my next essential item would be money.,0:23 / 4:55
ElVShISbYS4,English (United States) - Captions,,0:23 / 4:55
ElVShISbYS4,English (United States) - Captions,,0:24 / 4:55
ElVShISbYS4,English (United States) - Captions,,0:25 / 4:55
ElVShISbYS4,English (United States) - Captions,A lot of money.,0:26 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],0:27 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],0:28 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],0:29 / 4:55
ElVShISbYS4,English (United States) - Captions,So that's that.,0:30 / 4:55
ElVShISbYS4,English (United States) - Captions,So that's that.,0:31 / 4:55
ElVShISbYS4,English (United States) - Captions,,0:31 / 4:55
ElVShISbYS4,English (United States) - Captions,,0:32 / 4:55
ElVShISbYS4,English (United States) - Captions,My next essential item would be my kids.,0:33 / 4:55
ElVShISbYS4,English (United States) - Captions,My next essential item would be my kids.,0:34 / 4:55
ElVShISbYS4,English (United States) - Captions,They wasn't able to be here with me today,0:34 / 4:55
ElVShISbYS4,English (United States) - Captions,They wasn't able to be here with me today,0:35 / 4:55
ElVShISbYS4,English (United States) - Captions,"but I have each one of 'em on a chain,",0:36 / 4:55
ElVShISbYS4,English (United States) - Captions,"but I have each one of 'em on a chain,",0:37 / 4:55
ElVShISbYS4,English (United States) - Captions,picture of them on a chain.,0:38 / 4:55
ElVShISbYS4,English (United States) - Captions,picture of them on a chain.,0:39 / 4:55
ElVShISbYS4,English (United States) - Captions,So my kids and my family would be my next essential item.,0:39 / 4:55
ElVShISbYS4,English (United States) - Captions,So my kids and my family would be my next essential item.,0:40 / 4:55
ElVShISbYS4,English (United States) - Captions,So my kids and my family would be my next essential item.,0:41 / 4:55
ElVShISbYS4,English (United States) - Captions,So my kids and my family would be my next essential item.,0:42 / 4:55
ElVShISbYS4,English (United States) - Captions,"Most high, gotta get the money first",0:42 / 4:55
ElVShISbYS4,English (United States) - Captions,"Most high, gotta get the money first",0:43 / 4:55
ElVShISbYS4,English (United States) - Captions,"Most high, gotta get the money first",0:44 / 4:55
ElVShISbYS4,English (United States) - Captions,to take care of my kids.,0:44 / 4:55
ElVShISbYS4,English (United States) - Captions,to take care of my kids.,0:45 / 4:55
ElVShISbYS4,English (United States) - Captions,"My next essential item, my phone, my phone charger.",0:46 / 4:55
ElVShISbYS4,English (United States) - Captions,"My next essential item, my phone, my phone charger.",0:47 / 4:55
ElVShISbYS4,English (United States) - Captions,"My next essential item, my phone, my phone charger.",0:48 / 4:55
ElVShISbYS4,English (United States) - Captions,"My next essential item, my phone, my phone charger.",0:49 / 4:55
ElVShISbYS4,English (United States) - Captions,A majority of my life is on the phone,0:50 / 4:55
ElVShISbYS4,English (United States) - Captions,so I gotta keep the phone.,0:51 / 4:55
ElVShISbYS4,English (United States) - Captions,so I gotta keep the phone.,0:52 / 4:55
ElVShISbYS4,English (United States) - Captions,Sometimes I keep two phones but I lose one so much,0:53 / 4:55
ElVShISbYS4,English (United States) - Captions,Sometimes I keep two phones but I lose one so much,0:54 / 4:55
ElVShISbYS4,English (United States) - Captions,Sometimes I keep two phones but I lose one so much,0:55 / 4:55
ElVShISbYS4,English (United States) - Captions,Sometimes I keep two phones but I lose one so much,0:56 / 4:55
ElVShISbYS4,English (United States) - Captions,so the majority of the time I just keep one phone,0:56 / 4:55
ElVShISbYS4,English (United States) - Captions,so the majority of the time I just keep one phone,0:57 / 4:55
ElVShISbYS4,English (United States) - Captions,so the majority of the time I just keep one phone,0:58 / 4:55
ElVShISbYS4,English (United States) - Captions,"and a good charger, so the phone and the charger",0:59 / 4:55
ElVShISbYS4,English (United States) - Captions,are essentials that I definitely need.,1:00 / 4:55
ElVShISbYS4,English (United States) - Captions,are essentials that I definitely need.,1:01 / 4:55
ElVShISbYS4,English (United States) - Captions,are essentials that I definitely need.,1:02 / 4:55
ElVShISbYS4,English (United States) - Captions,,1:02 / 4:55
ElVShISbYS4,English (United States) - Captions,,1:03 / 4:55
ElVShISbYS4,English (United States) - Captions,"All right, food.",1:04 / 4:55
ElVShISbYS4,English (United States) - Captions,"All right, food.",1:05 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],1:05 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],1:06 / 4:55
ElVShISbYS4,English (United States) - Captions,[light music],1:07 / 4:55
ElVShISbYS4,English (United States) - Captions,My favorite food is hot wings.,1:07 / 4:55
ElVShISbYS4,English (United States) - Captions,My favorite food is hot wings.,1:08 / 4:55
ElVShISbYS4,English (United States) - Captions,"Right now, the best hot wings in Atlanta",1:09 / 4:55
ElVShISbYS4,English (United States) - Captions,"Right now, the best hot wings in Atlanta",1:10 / 4:55
ElVShISbYS4,English (United States) - Captions,"Right now, the best hot wings in Atlanta",1:11 / 4:55
ElVShISbYS4,English (United States) - Captions,"are at the West End Mall, I love 'em.",1:11 / 4:55
ElVShISbYS4,English (United States) - Captions,"are at the West End Mall, I love 'em.",1:12 / 4:55
ElVShISbYS4,English (United States) - Captions,"are at the West End Mall, I love 'em.",1:13 / 4:55
ElVShISbYS4,English (United States) - Captions,"The lady in there who I actually call my mom,",1:13 / 4:55
ElVShISbYS4,English (United States) - Captions,"The lady in there who I actually call my mom,",1:14 / 4:55
ElVShISbYS4,English (United States) - Captions,"The lady in there who I actually call my mom,",1:15 / 4:55
ElVShISbYS4,English (United States) - Captions,"she sells the hot wings, she's been workin' there",1:15 / 4:55
ElVShISbYS4,English (United States) - Captions,"she sells the hot wings, she's been workin' there",1:16 / 4:55
ElVShISbYS4,English (United States) - Captions,"since I was young, hot wings definitely my essential.",1:17 / 4:55
ElVShISbYS4,English (United States) - Captions,"since I was young, hot wings definitely my essential.",1:18 / 4:55
ElVShISbYS4,English (United States) - Captions,"since I was young, hot wings definitely my essential.",1:19 / 4:55
ElVShISbYS4,English (United States) - Captions,"Lemon pepper with milk sauce, both of 'em together.",1:20 / 4:55
ElVShISbYS4,English (United States) - Captions,"Lemon pepper with milk sauce, both of 'em together.",1:21 / 4:55
ElVShISbYS4,English (United States) - Captions,"Lemon pepper with milk sauce, both of 'em together.",1:22 / 4:55
ElVShISbYS4,English (United States) - Captions,"Not lemon pepper sprinkles,",1:23 / 4:55
ElVShISbYS4,English (United States) - Captions,but lemon pepper sauce with the mild sauce.,1:24 / 4:55
ElVShISbYS4,English (United States) - Captions,but lemon pepper sauce with the mild sauce.,1:25 / 4:55
ElVShISbYS4,English (United States) - Captions,but lemon pepper sauce with the mild sauce.,1:26 / 4:55
ElVShISbYS4,English (United States) - Captions,but lemon pepper sauce with the mild sauce.,1:27 / 4:55
ElVShISbYS4,English (United States) - Captions,Everyday routine.,1:27 / 4:55
ElVShISbYS4,English (United States) - Captions,,1:28 / 4:55
ElVShISbYS4,English (United States) - Captions,,1:29 / 4:55
ElVShISbYS4,English (United States) - Captions,"My car keys and my house keys,",1:29 / 4:55
ElVShISbYS4,English (United States) - Captions,"My car keys and my house keys,",1:30 / 4:55
ElVShISbYS4,English (United States) - Captions,all the keys to my life.,1:31 / 4:55
ElVShISbYS4,English (United States) - Captions,all the keys to my life.,1:32 / 4:55
ElVShISbYS4,English (United States) - Captions,Favorite car that I own right now,1:33 / 4:55
ElVShISbYS4,English (United States) - Captions,Favorite car that I own right now,1:34 / 4:55
ElVShISbYS4,English (United States) - Captions,"would have to be the Lamborghini car, not the truck.",1:35 / 4:55
ElVShISbYS4,English (United States) - Captions,"would have to be the Lamborghini car, not the truck.",1:36 / 4:55
ElVShISbYS4,English (United States) - Captions,"would have to be the Lamborghini car, not the truck.",1:37 / 4:55
ElVShISbYS4,English (United States) - Captions,"would have to be the Lamborghini car, not the truck.",1:38 / 4:55
ElVShISbYS4,English (United States) - Captions,That'd be my favorite car right now.,1:38 / 4:55
ElVShISbYS4,English (United States) - Captions,That'd be my favorite car right now.,1:39 / 4:55
