"video_id","min_timecode","max_timecode","text.user","text.auto"
"EseMm_vP8Qc","00:00:00","00:00:02","Apple’s September 15th event just ended and they left us with the brand new Apple","apple just released the brand new apple watch"
"EseMm_vP8Qc","00:00:02","00:00:08","Watch Series 6, and the absolute most important question people have on their minds is if","series 6 and the absolute most important question people have on their minds is if they should"
"EseMm_vP8Qc","00:00:08","00:00:12","they should actually upgrade to it, because it’s available to order right now!","actually upgrade to it because it's available to order right now"
"EseMm_vP8Qc","00:00:13","00:00:19","The answer is actually different depending on which Apple Watch you currently own and","the answer is actually different depending on which apple watch you currently own right now if you do own one and"
"EseMm_vP8Qc","00:00:19","00:00:24","how important the new features they introduced are to you. Now Apple also released the Apple","how important the new features they just introduced are to you now apple also released the apple"
"EseMm_vP8Qc","00:00:25","00:00:28","Watch SE, but we’ll leave that for another video.","watch se but we'll leave that for another video"
"EseMm_vP8Qc","00:00:29","00:00:32","So before we go ahead and answer the original question, let me quickly go through everything","so before we go ahead and answer that question let me quickly go through everything"
"EseMm_vP8Qc","00:00:33","00:00:41","Apple announced about the Apple Watch Series 6.","the apple announced about the apple watch series 6 but first be sure to check out our apple products shirt and our mask down in the merch shelf below the biggest change"
"EseMm_vP8Qc","00:00:41","00:00:47","The biggest change is the new finishes, and this time, we have 3 of them, blue aluminum,","is the new finishes and this time we have three of them blue aluminum"
"EseMm_vP8Qc","00:00:48","00:00:53","product Red aluminum, and Graphite stainless steel, and we actually ordered the Red model,","product red aluminum and graphite stainless steel and we actually just ordered the"
"EseMm_vP8Qc","00:00:54","00:00:56","so subscribe right now if you want to see that.","red model so subscribe right now if you want to see us test"
"EseMm_vP8Qc","00:00:57","00:01:01","There’s also a couple of new bands, which are very interesting this year.","it out there's also a couple of brand new bands which are very interesting this year"
"EseMm_vP8Qc","00:01:02","00:01:07","There’s the new Solo loop band that lacks any type of clasp or buckle, it’s simply","there's the new solo loop band that lacks any type of clasp or buckle it's simply"
"EseMm_vP8Qc","00:01:07","00:01:12","one piece that you stretch and slip over your wrist, and Apple actually has you print out","one piece that you stretch and slip over your wrist and apple actually has you print out"
"EseMm_vP8Qc","00:01:13","00:01:17","a template that you can wrap around your wrist so you can order the perfect size for your","a template that you can wrap wrist so you can order the perfect band size"
"EseMm_vP8Qc","00:01:18","00:01:19","band.","there's also a totally unique"
"EseMm_vP8Qc","00:01:19","00:01:23","There’s also a totally unique braided solo loop band which is made out of Yarn with silicon","braided solo loop band which is made out of yarn with"
"EseMm_vP8Qc","00:01:24","00:01:28","threads to keep it stretchy, so we’re excited to get our hands on that.","silicone threads to keep it stretchy so we're excited to get our hands on that band"
"EseMm_vP8Qc","00:01:29","00:01:34","Apple did mention some new watch faces including the GMT face, the chronograph Pro face, the","apple did mention some new watch faces including the gmt face the chronograph pro face"
"EseMm_vP8Qc","00:01:34","00:01:39","Art face, the new Memoji face and more, but it seems like those Faces are available on","the new memoji face and more but it seems like those faces are available on all"
"EseMm_vP8Qc","00:01:40","00:01:44","all Apple Watches that support WatchOS 7, which is available tomorrow.","apple watches that support watchos 7 which is available tomorrow"
"EseMm_vP8Qc","00:01:45","00:01:51","By far the biggest new feature of the Series 6 is the new Blood Oxygen sensor, which uses","by far the most important new feature of this series 6 is the new blood oxygen sensor which uses"
"EseMm_vP8Qc","00:01:52","00:01:55","infrared light to measure your blood oxygen levels.","infrared light to measure your blood oxygen levels you can"
"EseMm_vP8Qc","00:01:55","00:02:00","You can use it by going into the new Blood Oxygen app and taking a 15 second measurement,","use it by going into the new blood oxygen app and taking a 15 second measurement but what's really"
"EseMm_vP8Qc","00:02:01","00:02:04","but what’s really great is that it actually takes background readings every once in a","great about it is that it actually takes background readings every"
"EseMm_vP8Qc","00:02:05","00:02:10","while so it can warn you if your blood oxygen levels are low, and it even works while you","once in a while so we can warn you if your blood oxygen levels are too low and it even works while you sleep"
"EseMm_vP8Qc","00:02:11","00:02:13","sleep, which is a huge deal for those with sleep issues.","which is a huge deal for those with sleep issues"
"EseMm_vP8Qc","00:02:14","00:02:19","There’s also the new S6 chip which is said to be more energy efficient and 20% faster","there's also the new s6 chip which is said to be more efficient and 20 which is said to be more efficient and 20"
"EseMm_vP8Qc","00:02:20","00:02:22","than the previous S5 chip.","faster than the previous s5 chip this is"
"EseMm_vP8Qc","00:02:22","00:02:26","This is gonna help balance out the battery life because a pretty huge feature this year","going to help balance out the battery life because a pretty huge new feature this year"
"EseMm_vP8Qc","00:02:27","00:02:32","is that the always-on display is now 2.5X brighter when outdoors, which was one of our","is that the always on display is now 2.5 times brighter when outdoors which was"
"EseMm_vP8Qc","00:02:33","00:02:36","biggest issues with the Series 5 Apple Watch.","one of the biggest issues that we had with the apple watch series 5. and"
"EseMm_vP8Qc","00:02:37","00:02:40","And then there’s also the new Oximeter sensor which detects elevation, which can be useful","then there's also a new sensor which detects elevation which can be very"
"EseMm_vP8Qc","00:02:41","00:02:41","for hiking.","useful for hiking"
"EseMm_vP8Qc","00:02:42","00:02:47","Now apart from what Apple mentioned, there are a couple of spec differences as well.","now there are a couple of things that apple didn't really mention and those are some spec differences the"
