"video_id","min_timecode","max_timecode","text.user","text.auto"
"F24DV_Og5ug","00:00:00","00:00:03","There’s something very… modular about fairy  tales. The individual building blocks are  ","there's something very modular about fairy tales the individual building blocks"
"F24DV_Og5ug","00:00:04","00:00:07","firmly established and don’t tend to change -  it’s just the way they’re arranged that makes  ","are firmly established and don't tend to change it's just the way they're arranged that makes"
"F24DV_Og5ug","00:00:08","00:00:11","a story unique. You got dashing princes,  beautiful princesses, questing knights,  ","a story unique you got dashing princes beautiful princesses questing knights"
"F24DV_Og5ug","00:00:12","00:00:16","benevolent kings and queens, evil magic  people, good magic people, heroic peasants,  ","benevolent kings and queens evil magic people good magic people heroic peasants cruel step"
"F24DV_Og5ug","00:00:16","00:00:20","cruel step-parents, clever tricksters, talking  animals, dragons, trolls, the works. Spin a  ","parents clever tricksters talking animals dragons trolls the works"
"F24DV_Og5ug","00:00:21","00:00:26","few wheels and out pops a fairy tale. The Frog  Prince? A [dashing prince] is [cursed] by an [evil  ","spin a few wheels and throw a few darts and out pops a fairy tale the frog prince a dashing prince is cursed by an evil"
"F24DV_Og5ug","00:00:27","00:00:30","witch] to become a [friendly talking animal]  until he is saved by a [beautiful princess].  ","witch to become a friendly talking animal until he is saved by a beautiful princess"
"F24DV_Og5ug","00:00:31","00:00:34","It’s pretty telling that most of these  stories don’t even bother to name any of the  ","it's pretty telling that most of these stories don't even bother to name the characters stories don't even bother to name the characters"
"F24DV_Og5ug","00:00:34","00:00:37","characters - the role they fill matters a lot  more than their actual individual character. ","the role they film matters a lot more than their actual individual"
"F24DV_Og5ug","00:00:38","00:00:41","But despite how basic these archetypes are,  the stories they slot into can still be really  ","character but despite how basic the archetypes are the stories they slide into can still be"
"F24DV_Og5ug","00:00:42","00:00:45","interesting - and while most of us have a passing  knowledge of the big names like Red Riding Hood,  ","really unique and while most of us have a passing knowledge of the big names like red riding hood"
"F24DV_Og5ug","00:00:46","00:00:49","Hansel and Gretel, and anything Disney ever  monetized, there’s a lot of really neat stuff  ","hansel and gretel and anything disney ever monetized there's a lot of really neat stuff out there that doesn't"
