video_id,lang,text,timecode
GyCagepF_T4,English,,0:00 / 11:52
GyCagepF_T4,English,,0:01 / 11:52
GyCagepF_T4,English,,0:02 / 11:52
GyCagepF_T4,English,,0:03 / 11:52
GyCagepF_T4,English,,0:04 / 11:52
GyCagepF_T4,English,,0:05 / 11:52
GyCagepF_T4,English,,0:06 / 11:52
GyCagepF_T4,English,,0:07 / 11:52
GyCagepF_T4,English,,0:08 / 11:52
GyCagepF_T4,English,,0:09 / 11:52
GyCagepF_T4,English,,0:10 / 11:52
GyCagepF_T4,English,,0:11 / 11:52
GyCagepF_T4,English,,0:12 / 11:52
GyCagepF_T4,English,,0:13 / 11:52
GyCagepF_T4,English,,0:14 / 11:52
GyCagepF_T4,English,,0:15 / 11:52
GyCagepF_T4,English,,0:16 / 11:52
GyCagepF_T4,English,,0:17 / 11:52
GyCagepF_T4,English,,0:18 / 11:52
GyCagepF_T4,English,,0:19 / 11:52
GyCagepF_T4,English,,0:20 / 11:52
GyCagepF_T4,English,,0:21 / 11:52
GyCagepF_T4,English,,0:22 / 11:52
GyCagepF_T4,English,,0:23 / 11:52
GyCagepF_T4,English,,0:24 / 11:52
GyCagepF_T4,English,,0:25 / 11:52
GyCagepF_T4,English,,0:26 / 11:52
GyCagepF_T4,English,"Penny: Hi, welcome to Bigtop Burger!",0:26 / 11:52
GyCagepF_T4,English,"Penny: Hi, welcome to Bigtop Burger!",0:27 / 11:52
GyCagepF_T4,English,Where our m-motto is:,0:28 / 11:52
GyCagepF_T4,English,Where our m-motto is:,0:29 / 11:52
GyCagepF_T4,English,Hot Tires... Hot Burgers!,0:30 / 11:52
GyCagepF_T4,English,Hot Tires... Hot Burgers!,0:31 / 11:52
GyCagepF_T4,English,Customer: Woah-hoh!,0:32 / 11:52
GyCagepF_T4,English,Customer: Woah-hoh!,0:33 / 11:52
GyCagepF_T4,English,Interesting motto!,0:33 / 11:52
GyCagepF_T4,English,Interesting motto!,0:34 / 11:52
GyCagepF_T4,English,"Uh, may I have a simple burger, please?",0:35 / 11:52
GyCagepF_T4,English,"Uh, may I have a simple burger, please?",0:36 / 11:52
GyCagepF_T4,English,"Uh, may I have a simple burger, please?",0:37 / 11:52
GyCagepF_T4,English,"Penny: Oh, coming right up!",0:37 / 11:52
GyCagepF_T4,English,"Penny: Oh, coming right up!",0:38 / 11:52
GyCagepF_T4,English,"Hey, uh, Tim!",0:38 / 11:52
GyCagepF_T4,English,"Hey, uh, Tim!",0:39 / 11:52
GyCagepF_T4,English,"Hey, uh, Tim!",0:40 / 11:52
GyCagepF_T4,English,"Can I get a, uh, a simple burger?",0:40 / 11:52
GyCagepF_T4,English,"Can I get a, uh, a simple burger?",0:41 / 11:52
GyCagepF_T4,English,"Can I get a, uh, a simple burger?",0:42 / 11:52
GyCagepF_T4,English,Tim: You may not!,0:43 / 11:52
GyCagepF_T4,English,*Dun*,0:44 / 11:52
GyCagepF_T4,English,"Penny: Uh, on-one second sir!",0:45 / 11:52
GyCagepF_T4,English,"Penny: Uh, on-one second sir!",0:46 / 11:52
GyCagepF_T4,English,"He-hey Tim, wh-what's s- what's up?",0:47 / 11:52
GyCagepF_T4,English,"He-hey Tim, wh-what's s- what's up?",0:48 / 11:52
GyCagepF_T4,English,Tim: The whole stove's gone!,0:48 / 11:52
GyCagepF_T4,English,Tim: The whole stove's gone!,0:49 / 11:52
GyCagepF_T4,English,,0:50 / 11:52
GyCagepF_T4,English,Penny: Ohhhhh...,0:50 / 11:52
GyCagepF_T4,English,Penny: Ohhhhh...,0:51 / 11:52
GyCagepF_T4,English,Tim: Someone just ripped it out of the wall!,0:51 / 11:52
GyCagepF_T4,English,Tim: Someone just ripped it out of the wall!,0:52 / 11:52
GyCagepF_T4,English,Tim: Someone just ripped it out of the wall!,0:53 / 11:52
GyCagepF_T4,English,"Billy: I mean, it was probably Steve.",0:53 / 11:52
GyCagepF_T4,English,"Billy: I mean, it was probably Steve.",0:54 / 11:52
GyCagepF_T4,English,"Billy: I mean, it was probably Steve.",0:55 / 11:52
GyCagepF_T4,English,Penny: Wh-w-why do you say that Billy?,0:55 / 11:52
GyCagepF_T4,English,Penny: Wh-w-why do you say that Billy?,0:56 / 11:52
GyCagepF_T4,English,Penny: Wh-w-why do you say that Billy?,0:57 / 11:52
GyCagepF_T4,English,"Billy: There's, like, a trail of grease leading to his office.",0:57 / 11:52
GyCagepF_T4,English,"Billy: There's, like, a trail of grease leading to his office.",0:58 / 11:52
GyCagepF_T4,English,"Billy: There's, like, a trail of grease leading to his office.",0:59 / 11:52
GyCagepF_T4,English,"Billy: There's, like, a trail of grease leading to his office.",1:00 / 11:52
GyCagepF_T4,English,,1:00 / 11:52
GyCagepF_T4,English,"Penny: Uh, ju-just one more second, sir!",1:01 / 11:52
GyCagepF_T4,English,"Penny: Uh, ju-just one more second, sir!",1:02 / 11:52
GyCagepF_T4,English,,1:02 / 11:52
GyCagepF_T4,English,"Tim: Steve, you didn't happen to see the stove, did you?",1:03 / 11:52
GyCagepF_T4,English,"Tim: Steve, you didn't happen to see the stove, did you?",1:04 / 11:52
GyCagepF_T4,English,"Tim: Steve, you didn't happen to see the stove, did you?",1:05 / 11:52
GyCagepF_T4,English,Ah! There it is!,1:06 / 11:52
GyCagepF_T4,English,Ah! There it is!,1:07 / 11:52
GyCagepF_T4,English,"Billy: Steve, what are you doing?",1:07 / 11:52
