video_id,lang,text,timecode
HRPaFOs4vu4,English,,0:00 / 9:08
HRPaFOs4vu4,English,,0:01 / 9:08
HRPaFOs4vu4,English,[water splashing],0:01 / 9:08
HRPaFOs4vu4,English,[water splashing],0:02 / 9:08
HRPaFOs4vu4,English,[water splashing],0:03 / 9:08
HRPaFOs4vu4,English,,0:04 / 9:08
HRPaFOs4vu4,English,,0:05 / 9:08
HRPaFOs4vu4,English,,0:06 / 9:08
HRPaFOs4vu4,English,,0:07 / 9:08
HRPaFOs4vu4,English,,0:08 / 9:08
HRPaFOs4vu4,English,,0:09 / 9:08
HRPaFOs4vu4,English,,0:10 / 9:08
HRPaFOs4vu4,English,,0:11 / 9:08
HRPaFOs4vu4,English,,0:12 / 9:08
HRPaFOs4vu4,English,,0:13 / 9:08
HRPaFOs4vu4,English,,0:14 / 9:08
HRPaFOs4vu4,English,,0:15 / 9:08
HRPaFOs4vu4,English,">> Cormier: What is it, the PlayStation 5 or 4?",0:16 / 9:08
HRPaFOs4vu4,English,">> Cormier: What is it, the PlayStation 5 or 4?",0:17 / 9:08
HRPaFOs4vu4,English,>> That's an Xbox.,0:18 / 9:08
HRPaFOs4vu4,English,>> That's an Xbox?,0:19 / 9:08
HRPaFOs4vu4,English,>> Yeah.,0:20 / 9:08
HRPaFOs4vu4,English,>> Yeah.,0:21 / 9:08
HRPaFOs4vu4,English,>> Yeah.,0:22 / 9:08
HRPaFOs4vu4,English,>> What?,0:22 / 9:08
HRPaFOs4vu4,English,>> What?,0:23 / 9:08
HRPaFOs4vu4,English,When'd they start making Xboxes like this?,0:24 / 9:08
HRPaFOs4vu4,English,When'd they start making Xboxes like this?,0:25 / 9:08
HRPaFOs4vu4,English,"The moment I got a hold of that Xbox, that was my Xbox.",0:25 / 9:08
HRPaFOs4vu4,English,"The moment I got a hold of that Xbox, that was my Xbox.",0:26 / 9:08
HRPaFOs4vu4,English,"The moment I got a hold of that Xbox, that was my Xbox.",0:27 / 9:08
HRPaFOs4vu4,English,"The moment I got a hold of that Xbox, that was my Xbox.",0:28 / 9:08
HRPaFOs4vu4,English,"The moment I got a hold of that Xbox, that was my Xbox.",0:29 / 9:08
HRPaFOs4vu4,English,Every time I create a fighter.,0:30 / 9:08
HRPaFOs4vu4,English,Why?,0:31 / 9:08
HRPaFOs4vu4,English,Why?,0:32 / 9:08
HRPaFOs4vu4,English,I know who I'm playing with.,0:33 / 9:08
HRPaFOs4vu4,English,I know who I'm playing with.,0:34 / 9:08
HRPaFOs4vu4,English,"You know what I'm saying, Ro?",0:35 / 9:08
HRPaFOs4vu4,English,,0:35 / 9:08
HRPaFOs4vu4,English,[Cackling],0:36 / 9:08
HRPaFOs4vu4,English,[Cackling],0:37 / 9:08
HRPaFOs4vu4,English,,0:38 / 9:08
HRPaFOs4vu4,English,"Oh, yeah. Oh, yeah.",0:39 / 9:08
HRPaFOs4vu4,English,"Oh, yeah.",0:40 / 9:08
HRPaFOs4vu4,English,"Oh, yeah.",0:41 / 9:08
HRPaFOs4vu4,English,"Oh, yeah.",0:42 / 9:08
HRPaFOs4vu4,English,[Laughing],0:43 / 9:08
HRPaFOs4vu4,English,[Laughing],0:44 / 9:08
HRPaFOs4vu4,English,,0:44 / 9:08
HRPaFOs4vu4,English,,0:45 / 9:08
HRPaFOs4vu4,English,,0:46 / 9:08
HRPaFOs4vu4,English,,0:47 / 9:08
HRPaFOs4vu4,English,"Oh, could it be-- get it!",0:47 / 9:08
HRPaFOs4vu4,English,"Oh, could it be-- get it!",0:48 / 9:08
HRPaFOs4vu4,English,Yup! Yup! Yup! Yup!,0:48 / 9:08
HRPaFOs4vu4,English,Yup! Yup! Yup! Yup!,0:49 / 9:08
HRPaFOs4vu4,English,There it is! There it is!,0:50 / 9:08
HRPaFOs4vu4,English,There it is! There it is!,0:51 / 9:08
