video_id,lang,text,timecode
HZryl5nJr00,English (United States) - eng,(sirens blaring),0:00 / 26:00
HZryl5nJr00,English (United States) - eng,(sirens blaring),0:01 / 26:00
HZryl5nJr00,English (United States) - eng,(sirens blaring),0:02 / 26:00
HZryl5nJr00,English (United States) - eng,"- [Narrator] This week on ""BuzzFeed Unsolved,""",0:03 / 26:00
HZryl5nJr00,English (United States) - eng,we fog through the way a web of heists and robberies,0:04 / 26:00
HZryl5nJr00,English (United States) - eng,we fog through the way a web of heists and robberies,0:05 / 26:00
HZryl5nJr00,English (United States) - eng,"that have been ongoing for 25 years,",0:06 / 26:00
HZryl5nJr00,English (United States) - eng,"that have been ongoing for 25 years,",0:07 / 26:00
HZryl5nJr00,English (United States) - eng,"that have been ongoing for 25 years,",0:08 / 26:00
HZryl5nJr00,English (United States) - eng,most recently in 2018.,0:09 / 26:00
HZryl5nJr00,English (United States) - eng,most recently in 2018.,0:10 / 26:00
HZryl5nJr00,English (United States) - eng,The Pink Panther network of jewel thieves.,0:11 / 26:00
HZryl5nJr00,English (United States) - eng,The Pink Panther network of jewel thieves.,0:12 / 26:00
HZryl5nJr00,English (United States) - eng,- Is that why you wore this little shirt?,0:13 / 26:00
HZryl5nJr00,English (United States) - eng,- Is that why you wore this little shirt?,0:14 / 26:00
HZryl5nJr00,English (United States) - eng,- Is that why you wore this little shirt?,0:15 / 26:00
HZryl5nJr00,English (United States) - eng,- I respect it.,0:15 / 26:00
HZryl5nJr00,English (United States) - eng,"- It's pretty good, right?",0:16 / 26:00
HZryl5nJr00,English (United States) - eng,- That's some fun flare.,0:17 / 26:00
HZryl5nJr00,English (United States) - eng,"You're still having fun, even in 2020.",0:18 / 26:00
HZryl5nJr00,English (United States) - eng,"You're still having fun, even in 2020.",0:19 / 26:00
HZryl5nJr00,English (United States) - eng,"Let's hear about a little crime, huh?",0:20 / 26:00
HZryl5nJr00,English (United States) - eng,"Let's hear about a little crime, huh?",0:21 / 26:00
HZryl5nJr00,English (United States) - eng,"- Well, not a little crime.",0:22 / 26:00
