"video_id","min_timecode","max_timecode","text.user","text.auto"
"H_akzwzghWQ","00:00:00","00:00:02","This video was made possible by Brilliant.","this video was made possible by brilliant learn complex"
"H_akzwzghWQ","00:00:02","00:00:10","Learn complex topics simply for 20% off by being one of the first 200 to sign up at brilliant.org/Wendover.","topics simply for 20 off by being one of the first 200 to sign up at brilliant.org wendover the airline"
"H_akzwzghWQ","00:00:10","00:00:13","The airline business model is broken.","business model is broken back"
"H_akzwzghWQ","00:00:14","00:00:17","Back in late-2019, COVID-19 came along.","in late 2019 kovit 19 came along"
"H_akzwzghWQ","00:00:18","00:00:22","Borders worldwide closed down.","borders worldwide closed down businesses halted work"
"H_akzwzghWQ","00:00:22","00:00:23","Businesses halted work travel.","travel all but"
"H_akzwzghWQ","00:00:24","00:00:27","All but a select few individuals cancelled their trips.","a select few individuals cancelled their trips in the"
"H_akzwzghWQ","00:00:27","00:00:31","In the time when all but the most critical contact was to be avoided to hold the virus","time when all but the most critical contact was to be avoided to hold the virus"
"H_akzwzghWQ","00:00:32","00:00:36","at bay, travel was just not a risk worth taking for most.","at bay travel was just not a risk worth taking for most one of the most"
"H_akzwzghWQ","00:00:36","00:00:42","One of the most major issues, for the airline industry, though, is not that demand is lower.","major issues for the airline industry though is not that demand is lower lower demand"
"H_akzwzghWQ","00:00:42","00:00:48","Lower demand is bad, it’s wreaking havoc on the industry, but it is a potentially surmountable","is bad it's wreaking havoc on the industry but it is a potentially surmountable problem"
"H_akzwzghWQ","00:00:48","00:00:49","problem.","if an airline"
"H_akzwzghWQ","00:00:49","00:00:57","If an airline knew that 2020 would be 75% down, 2021 55% down, and 2022 30% down, the","knew that 2020 would be 75 down 2021 55 down and 2022 30 down the solution"
"H_akzwzghWQ","00:00:58","00:00:58","solution would be simple.","would be simple"
"H_akzwzghWQ","00:00:59","00:01:02","They’d downsize their schedule, cut back on routes, unload assets, furlough employees,","they downsize their schedule cut back on routes unload assets"
"H_akzwzghWQ","00:01:03","00:01:07","and just become a smaller airline for the next few years.","for low employees and just become a smaller airline for the next few years these are"
"H_akzwzghWQ","00:01:08","00:01:12","These are, in fact, the tactics airlines are using regardless, but they don’t fully solve","in fact the tactics airlines are using regardless but they don't fully solve"
"H_akzwzghWQ","00:01:13","00:01:14","the overall problem.","the overall problem that's"
"H_akzwzghWQ","00:01:14","00:01:18","That’s because, even after airlines solve the problem of being too big for what the","because even after airlines solved the problem of being too big for what"
"H_akzwzghWQ","00:01:19","00:01:23","travel market has become, the true issue, the one that will plague the industry for","the travel market has become too big for what the travel market has become the true issue the one that will plague the industry"
"H_akzwzghWQ","00:01:24","00:01:29","the entirety of its period of recovery, is that even after they downsize, they just don’t","for the entirety of its period of recovery for the entirety of its period of recovery is that even after they downsize they just don't know"
"H_akzwzghWQ","00:01:29","00:01:32","know how many people want to fly.","how many people want to fly now"
"H_akzwzghWQ","00:01:32","00:01:36","Now, think back to travel in the time before Coronavirus.","think back to travel in the time before coronavirus how"
"H_akzwzghWQ","00:01:36","00:01:39","How full were the planes you were on?","full were the planes you were on how"
"H_akzwzghWQ","00:01:39","00:01:41","How often was that seat next to you free?","often was that seat next to you free the"
"H_akzwzghWQ","00:01:42","00:01:46","The answer is almost certainly sometimes, but not that often.","answer is almost certainly sometimes but not that often on average"
"H_akzwzghWQ","00:01:47","00:01:52","On average, 85% of airplane seats in the US were filled in 2019—slightly higher than","85 percent of airplane seats in the us were filled in 2019 slightly higher than the world"
"H_akzwzghWQ","00:01:52","00:01:54","the world average of 83%.","average of 83 percent"
"H_akzwzghWQ","00:01:55","00:01:57","Some airlines achieved even better than this.","some airlines achieved even better than this ryanair"
"H_akzwzghWQ","00:01:57","00:02:01","Ryanair, for example, filled 96% of its seats in 2019.","for example filled 96 of its seats in 2019."
"H_akzwzghWQ","00:02:02","00:02:07","Now, simultaneously, when was the last time that you've gone to buy a ticket for a flight,","now simultaneously when was the last time that you've gone to buy a ticket for a flight"
"H_akzwzghWQ","00:02:08","00:02:09","but there were none available?","but there were none available"
"H_akzwzghWQ","00:02:10","00:02:13","This too certainly happens, but it's quite rare.","this too certainly happens but it's quite rare"
"H_akzwzghWQ","00:02:14","00:02:18","It might cost quite a lot, but if you want to buy a ticket to a flight, it’ll almost","it might cost quite a lot but if you want to buy a ticket to a flight it'll almost always"
"H_akzwzghWQ","00:02:19","00:02:22","always be available, no matter how close to departure it is.","be available no matter how close to departure it is this"
"H_akzwzghWQ","00:02:23","00:02:25","This is very, very intentional.","is very intentional"
"H_akzwzghWQ","00:02:26","00:02:30","Now, normally, the day-to-day job of adjusting the price of flights to extract every potential","now normally the day-to-day job of adjusting the price of flights to extract every potential"
"H_akzwzghWQ","00:02:31","00:02:36","dollar out of them is handled by computers—specifically, the complex revenue management software on","dollar out of them is handled by computers specifically the complex revenue management software"
"H_akzwzghWQ","00:02:37","00:02:37","them.","on them around"
"H_akzwzghWQ","00:02:38","00:02:42","Around early-March, 2020, though, the computers started to go haywire.","early march 2020 though the computers started to go haywire"
"H_akzwzghWQ","00:02:43","00:02:47","People weren’t booking like they were supposed to, so the computers lowered the price.","people weren't booking like they were supposed to so the computers lowered the price that"
"H_akzwzghWQ","00:02:47","00:02:51","That should lead to bookings picking up, but they didn’t, which confused the computers","should lead to bookings picking up but they didn't which confused the computers even"
"H_akzwzghWQ","00:02:51","00:02:54","even more, which lowered the price further.","more which lowered the price further this"
"H_akzwzghWQ","00:02:54","00:02:59","This went on and on and on until the point where you could book flights from New York","went on and on and on until the point where you could book flights from new york to"
"H_akzwzghWQ","00:02:59","00:03:05","to London, for example, for just $100 or $200 round-trip, hours before departure.","london for example for just one or two hundred dollars round trip hours before departure it'd"
"H_akzwzghWQ","00:03:05","00:03:10","It’d be easy to say prices were low because demand was, but that’s not exactly the truth.","be easy to say prices were low because demand was but that's not exactly the truth it's"
"H_akzwzghWQ","00:03:10","00:03:13","It’s just a byproduct of the truth.","just a byproduct of the truth the computers"
"H_akzwzghWQ","00:03:13","00:03:19","The computers and their revenue management software were tasked to extract the most revenue","and their revenue management software were tasked to extract the most revenue possible regardless"
"H_akzwzghWQ","00:03:19","00:03:23","possible, regardless of demand, but in this case, they failed.","of demand but in this case they failed"
"H_akzwzghWQ","00:03:24","00:03:30","Now, normally, businesses focus more on matching supply to demand, not demand to supply, because","now normally businesses focus more on matching supply to demand not demand to supply because regulating"
"H_akzwzghWQ","00:03:30","00:03:33","regulating demand is very, very difficult.","demand not demand to supply because regulating demand is very very difficult"
"H_akzwzghWQ","00:03:34","00:03:37","Airlines, however, do both simultaneously.","airlines however do both simultaneously"
"H_akzwzghWQ","00:03:38","00:03:43","This is because they just can’t regulate supply to match demand that well.","this is because they just can't regulate supply to match demand that well demand for travel"
"H_akzwzghWQ","00:03:43","00:03:48","Demand for travel fluctuates depending on which hour of which day of which year it is—airlines","fluctuates depending on which hour of which day of which year it is airlines"
"H_akzwzghWQ","00:03:49","00:03:51","just can’t fluctuate their schedule to match that entirely.","just can't fluctuate their schedule to match that entirely"
"H_akzwzghWQ","00:03:52","00:03:59","For example, airlines in the US making their 2020 schedules knew that last year, 2,487,398","for example airlines in the us making their 2020 schedules knew that last year 2 million 487 398"
"H_akzwzghWQ","00:04:00","00:04:07","people travelled in the US on the second Thursday in April while 2,616,158 people did on the","people traveled in the u.s on the second thursday in april well 2 million 616 1558 people did on the"
"H_akzwzghWQ","00:04:08","00:04:08","third Thursday.","third thursday"
"H_akzwzghWQ","00:04:09","00:04:14","For the most part, though, airlines will operate the same schedules on both of those Thursdays.","for the most part though airlines will operate the same schedules on both of those thursdays"
"H_akzwzghWQ","00:04:15","00:04:20","That’s because the complexity of adjusting the schedule to such small changes just isn’t","that's because the complexity of adjusting the schedule to such small changes just isn't worth the money it would"
"H_akzwzghWQ","00:04:20","00:04:23","worth the money it would save by operating slightly fuller flights.","save by operating slightly fuller flights therefore"
"H_akzwzghWQ","00:04:24","00:04:29","Therefore, rather than rapidly adjusting supply to match demand, they rapidly adjust demand","by operating slightly fuller flights therefore rather than rapidly adjusting supply to match demand they rapidly adjust demand"
"H_akzwzghWQ","00:04:30","00:04:31","to fit supply.","to fit supply you"
"H_akzwzghWQ","00:04:31","00:04:34","You can see this in action by looking at travel trends.","can see this in action by looking at travel trends"
"H_akzwzghWQ","00:04:35","00:04:40","In the US, the least busy quarter in 2019 for air travel was the first—January, February,","in the u.s the least busy quarter in 2019 for air travel was the first january february"
"H_akzwzghWQ","00:04:40","00:04:43","and March—with 210 million passengers.","and march with 210 million passengers"
"H_akzwzghWQ","00:04:44","00:04:49","The most busy quarter, meanwhile, was the third—July, August, and September—with","the most busy quarter meanwhile was the third july august and september with 243 million"
"H_akzwzghWQ","00:04:49","00:04:50","243 million passengers.","passengers"
"H_akzwzghWQ","00:04:50","00:04:54","Now, that’s not that much of a difference.","now that's not that much of a difference the third"
"H_akzwzghWQ","00:04:55","00:04:59","The third quarter, including the height of the summer travel season, was only 16% busier","quarter including the height of the summer travel season was only 16 percent"
"H_akzwzghWQ","00:05:00","00:05:03","than the first quarter, encompassing the depths of winter.","busier than the first quarter encompassing the depths of winter but"
"H_akzwzghWQ","00:05:03","00:05:09","But is it truly that demand is only 16% higher in the summer than winter, or is it that airlines","is it truly that demand is only 16 higher in the summer than winter or is it that airlines are regulating"
"H_akzwzghWQ","00:05:09","00:05:14","are regulating demand to increase it in the winter and suppress it in the summer?","demand to increase it in the winter and suppress it in the summer all evidence points"
"H_akzwzghWQ","00:05:14","00:05:16","All evidence points to the latter.","to the latter so"
"H_akzwzghWQ","00:05:17","00:05:19","So, airlines have this balancing act to perform.","airlines have this balancing act to perform"
"H_akzwzghWQ","00:05:20","00:05:24","They want to make sure that they can capture as much of the high demand in the summer as","they want to be sure that they can capture as much of the high demand in the summer as possible"
"H_akzwzghWQ","00:05:24","00:05:28","possible, but they also don’t want to have a bunch of planes and staff sitting around","but they also don't want to have a bunch of planes and staff sitting around in the lower"
"H_akzwzghWQ","00:05:28","00:05:31","in the lower-demand winter, as that costs quite a lot.","demand winter as that costs quite a lot"
"H_akzwzghWQ","00:05:32","00:05:36","Rather than flying a stable number of flights year-round or regulating demand to keep it","rather than flying a stable number of flights year round or regulating demand to keep it stable year round"
"H_akzwzghWQ","00:05:36","00:05:40","stable year-round, they do a little of both and meet in the middle.","they do a little of both and meet in the middle"
"H_akzwzghWQ","00:05:41","00:05:43","The supply side is the easy bit.","the supply side is the easy bit there"
"H_akzwzghWQ","00:05:43","00:05:47","There is a certain predictable ebb and flow to the yearly cycle of travel for a given","is a certain predictable ebb and flow to the yearly cycle of travel for a"
"H_akzwzghWQ","00:05:48","00:05:50","market for a given type of traveller.","given market for a given type of traveler for a given market for a given type of traveler"
"H_akzwzghWQ","00:05:50","00:05:54","For example, take the American business traveler.","for example take the american business traveler airlines know that"
"H_akzwzghWQ","00:05:54","00:05:57","Airlines know that the week with the lowest demand for travel from this demographic is","the week with the lowest demand for travel from this demographic"
"H_akzwzghWQ","00:05:58","00:06:02","the last of the year, after Christmas, followed by the first of the year, the second to last","is the last of the year after christmas followed by the first of the year the second to last of the year"
"H_akzwzghWQ","00:06:03","00:06:06","of the year, the week of the Fourth of July, then the week of Thanksgiving.","the week of the fourth of july then the week of thanksgiving"
"H_akzwzghWQ","00:06:07","00:06:12","With this info, airlines can craft a schedule that, over those weeks, emphasizes leisure-focused","with this info airlines can craft a schedule that over those weeks emphasizes leisure focused destinations"
"H_akzwzghWQ","00:06:12","00:06:14","destinations over business-ones.","over business ones they might decide"
"H_akzwzghWQ","00:06:15","00:06:18","They might decide that, in the last week of the year, they’ll fly more flights to Florida","that in the last week of the year they'll fly more flights to florida and"
"H_akzwzghWQ","00:06:19","00:06:20","and fewer to Chicago.","fewer to chicago simultaneously"
"H_akzwzghWQ","00:06:20","00:06:25","Simultaneously, though, airlines know that September, October, and the week before Thanksgiving","though airlines know that september october and the week before thanksgiving"
"H_akzwzghWQ","00:06:25","00:06:29","are the strongest period of the year for business travel, so they might increase the number","are the strongest period of the year for business travel so they might increase the number"
"H_akzwzghWQ","00:06:29","00:06:32","of flights on common business routes over that time.","of flights on common business routes over that time"
"H_akzwzghWQ","00:06:33","00:06:38","So, airlines tweak their schedule mostly on a month-to-month or week-to-week basis, but","so airlines tweak their schedule mostly on a month to month or week to week basis on a month to month or week to week basis but for"
"H_akzwzghWQ","00:06:38","00:06:45","for those day-to-day or hour-to-hour shifts in demand, they rely on regulating demand.","those day-to-day or hour-to-hour shifts in demand they rely on regulating demand the number"
"H_akzwzghWQ","00:06:45","00:06:50","The number one tool used to do this is pricing, and we can see this in action.","one tool used to do this is pricing and we can see this in action"
"H_akzwzghWQ","00:06:51","00:06:55","Currently, if you want to book a ticket to fly United Airlines from Newark to Eagle County","currently if you want to book a ticket to fly united airlines from newark to eagle county airport in colorado"
"H_akzwzghWQ","00:06:55","00:07:01","Airport in Colorado on January 1st, 2021, it would cost you $353.","on january 1st 2021 it would cost you 353 dollars if you were"
"H_akzwzghWQ","00:07:01","00:07:05","If you were to book United Airlines from Newark Airport to Denver International Airport on","to book united airlines from newark airport to denver international airport on january"
"H_akzwzghWQ","00:07:05","00:07:08","January 1st, though, it would cost you $134.","1st though it would cost you 134"
"H_akzwzghWQ","00:07:09","00:07:15","So, flying to Eagle County is two and half times more expensive than flying to Denver,","so flying to eagle county is two and a half times more expensive than flying to denver half times more expensive than flying to denver even though it"
"H_akzwzghWQ","00:07:16","00:07:18","even though it is only 120 miles further from New York.","is only 120 miles further from new york"
"H_akzwzghWQ","00:07:19","00:07:23","To United, the costs of operating these two flights are nearly identical—it’s the","to united the cost of operating these two flights are nearly identical it's"
"H_akzwzghWQ","00:07:24","00:07:27","same aircraft type and roughly the same flight length.","the same aircraft type and roughly the same flight length there might"
"H_akzwzghWQ","00:07:27","00:07:31","There might be slight economies of scale by flying to Denver as it’s a bigger airport,","be slight economies of scale by flying to denver as it's a baker airport"
"H_akzwzghWQ","00:07:32","00:07:35","and there’s a greater potential of a flight diversion at Eagle County airport since it’s","and there's a greater potential of a flight diversion at eagle county airport sentence"
"H_akzwzghWQ","00:07:36","00:07:40","in the mountains, but overall, the costs are very similar.","in the mountains but overall the costs are very similar what accounts for the difference"
"H_akzwzghWQ","00:07:40","00:07:44","What accounts for the difference in price is demand, not cost.","in price is demand not cost"
"H_akzwzghWQ","00:07:45","00:07:49","United Airlines thinks it knows that four months prior to the flight, it can charge","united airlines thinks it knows that four months prior to the flight it can charge 353"
"H_akzwzghWQ","00:07:49","00:07:54","$353 for the flight to Eagle County and still end up with a full plane.","dollars for the flight to eagle county and still end up with a full plane"
"H_akzwzghWQ","00:07:55","00:08:01","Meanwhile, to end up with a full plane to Denver, it has to price it at $134.","meanwhile to end up with a full plane to denver it has to price it at 134 these prices"
"H_akzwzghWQ","00:08:01","00:08:05","These prices will increase as it gets closer to departure, but just because of the way","will increase as it gets closer to departure but just because of the way people book"
"H_akzwzghWQ","00:08:05","00:08:12","people book their travel to Eagle County Airport, $353 is the right price right now.","their travel to eagle county airport 353 eagle county airport 353 dollars is the right price right now"
"H_akzwzghWQ","00:08:13","00:08:15","So, how does United know this?","so how does united know this"
"H_akzwzghWQ","00:08:16","00:08:19","Well, because it’s what it did last year, and it worked.","well because it's what it did last year and it worked"
"H_akzwzghWQ","00:08:20","00:08:23","Airlines’ greatest asset truly is their data.","airlines greatest asset truly is their data united"
"H_akzwzghWQ","00:08:24","00:08:27","United Airlines knows exactly how much they need to price their flights at a certain level","airlines knows exactly how much they need to price their flights at a certain level"
"H_akzwzghWQ","00:08:28","00:08:31","of fullness and a certain number of days before departure, and that means they can eke out","of fullness and a certain number of days before departure and that means they can eke"
"H_akzwzghWQ","00:08:32","00:08:36","every single bit of potential revenue from a given flight.","out every single bit of potential revenue from a given flight if united priced"
"H_akzwzghWQ","00:08:36","00:08:40","If United priced the Eagle County flight too high, they might end up with empty seats,","the eagle county flight too high they might end up with empty seats which"
"H_akzwzghWQ","00:08:41","00:08:43","which is terrible for an airline.","is terrible for an airline every time a plane"
"H_akzwzghWQ","00:08:43","00:08:47","Every time a plane takes off with an empty seat, the airline is loosing out on potential","takes off with an empty seat the airline is losing out on potential"
"H_akzwzghWQ","00:08:48","00:08:48","revenue.","revenue"
"H_akzwzghWQ","00:08:49","00:08:53","Aside from taxes, airport fees, and catering costs, there's essentially no extra cost to","aside from taxes airport fees and catering costs there's essentially no extra cost"
"H_akzwzghWQ","00:08:54","00:08:58","carrying an additional passenger so selling a cheap ticket over no ticket is always worth","to carrying an additional passenger so selling a cheap ticket over no ticket is always worth"
"H_akzwzghWQ","00:08:59","00:08:59","it.","it"
"H_akzwzghWQ","00:09:00","00:09:04","Simultaneously, though, if an airline prices a flight too low, they might sell out of seats","simultaneously though if an airline prices a flight too low they might sell out of seats too"
"H_akzwzghWQ","00:09:04","00:09:08","too early—loosing out on the potential to sell high-priced tickets to last-minute travelers,","early losing out on the potential to sell high-priced tickets to last-minute travelers"
"H_akzwzghWQ","00:09:09","00:09:13","who generally are those traveling for work who aren’t paying for themselves.","who generally are those traveling for work who aren't paying for themselves so themselves so"
"H_akzwzghWQ","00:09:13","00:09:18","So, airlines rely on these price fluctuations to end up with a plane exactly full, exactly","airlines rely on these price fluctuations to end up with a plane exactly full exactly"
"H_akzwzghWQ","00:09:19","00:09:23","at departure, therefore, in theory, extracting the exact highest potential level of revenue","a departure therefore exactly full exactly a departure therefore in theory extracting the exact highest potential level of revenue"
"H_akzwzghWQ","00:09:24","00:09:29","from the flight This makes the problem rather obvious.","from the flight this makes the problem rather obvious airlines simply don't"
"H_akzwzghWQ","00:09:29","00:09:32","Airlines simply don’t know what the recovery will look like.","know what the recovery will look like specifically"
"H_akzwzghWQ","00:09:32","00:09:36","Specifically, the computers don’t know how people will respond to changes in pricing,","the computers don't know how people will respond to changes in pricing"
"H_akzwzghWQ","00:09:37","00:09:41","so they don’t know how to extract the most possible revenue from a flight by ending up","so they don't know how to extract the most possible revenue from a flight by ending"
"H_akzwzghWQ","00:09:42","00:09:45","with an exactly full flight, exactly at departure.","up with an exactly full flight exactly at departure the airline"
"H_akzwzghWQ","00:09:45","00:09:50","The airline industry has had sharp drop offs in demand before, but typically only in response","industry has had sharp drop-offs in demand before but typically only in response"
"H_akzwzghWQ","00:09:51","00:09:53","to financial crises or terrorist attacks.","to financial crises or terrorist attacks"
"H_akzwzghWQ","00:09:54","00:10:00","In this case, in a pandemic, the closest equivalent happened one hundred years ago, in 1918, when","in this case in a pandemic the closest equivalent happened 100 years ago in 1918 when the commercial"
"H_akzwzghWQ","00:10:00","00:10:03","the commercial aviation industry was only in its infancy.","aviation industry was only in its infancy"
"H_akzwzghWQ","00:10:04","00:10:08","Therefore, the aviation industry as a whole, and especially individual airlines, have no","therefore the aviation industry as a whole and especially individual airlines"
"H_akzwzghWQ","00:10:09","00:10:15","data and no idea what the demand patterns during and after a pandemic will be like.","have no data and no idea what the demand patterns during and after a pandemic will be like"
"H_akzwzghWQ","00:10:16","00:10:19","After the initial drop-off in travel, and the plummet in pricing in response, airlines","after the initial drop off in travel and the plummet in pricing and response airlines"
"H_akzwzghWQ","00:10:20","00:10:24","essentially turned off the computers—shut down the revenue management algorithms.","essentially turned off the computers airlines essentially turned off the computers shut down the revenue management algorithms"
