video_id,lang,text,timecode
ICuqzhViWAI,English (United States),,0:00 / 1:00
ICuqzhViWAI,English (United States),"X-WING PILOT:  Razor Crest, stand down!",0:01 / 1:00
ICuqzhViWAI,English (United States),[engines roar],0:02 / 1:00
ICuqzhViWAI,English (United States),[engines roar],0:03 / 1:00
ICuqzhViWAI,English (United States),,0:03 / 1:00
ICuqzhViWAI,English (United States),,0:04 / 1:00
ICuqzhViWAI,English (United States),,0:05 / 1:00
ICuqzhViWAI,English (United States),,0:06 / 1:00
ICuqzhViWAI,English (United States),,0:07 / 1:00
ICuqzhViWAI,English (United States),,0:08 / 1:00
ICuqzhViWAI,English (United States),♪♪,0:09 / 1:00
ICuqzhViWAI,English (United States),♪♪,0:10 / 1:00
ICuqzhViWAI,English (United States),,0:10 / 1:00
ICuqzhViWAI,English (United States),,0:11 / 1:00
ICuqzhViWAI,English (United States),,0:12 / 1:00
ICuqzhViWAI,English (United States),,0:13 / 1:00
ICuqzhViWAI,English (United States),THE MANDALORIAN: I’m here on business. I need your help.,0:14 / 1:00
ICuqzhViWAI,English (United States),THE MANDALORIAN: I’m here on business. I need your help.,0:15 / 1:00
ICuqzhViWAI,English (United States),I’ve been quested to bring this one back to his kind.,0:15 / 1:00
ICuqzhViWAI,English (United States),I’ve been quested to bring this one back to his kind.,0:16 / 1:00
ICuqzhViWAI,English (United States),I’ve been quested to bring this one back to his kind.,0:17 / 1:00
ICuqzhViWAI,English (United States),,0:18 / 1:00
ICuqzhViWAI,English (United States),,0:19 / 1:00
ICuqzhViWAI,English (United States),,0:20 / 1:00
ICuqzhViWAI,English (United States),,0:21 / 1:00
ICuqzhViWAI,English (United States),"If I can locate other Mandalorians,",0:22 / 1:00
ICuqzhViWAI,English (United States),"If I can locate other Mandalorians,",0:23 / 1:00
ICuqzhViWAI,English (United States),"If I can locate other Mandalorians,",0:24 / 1:00
ICuqzhViWAI,English (United States),they can guide me.,0:24 / 1:00
ICuqzhViWAI,English (United States),they can guide me.,0:25 / 1:00
ICuqzhViWAI,English (United States),,0:26 / 1:00
ICuqzhViWAI,English (United States),,0:27 / 1:00
ICuqzhViWAI,English (United States),ALIEN: This is no place for a child.,0:27 / 1:00
ICuqzhViWAI,English (United States),ALIEN: This is no place for a child.,0:28 / 1:00
ICuqzhViWAI,English (United States),,0:29 / 1:00
ICuqzhViWAI,English (United States),[blaster clicks],0:30 / 1:00
ICuqzhViWAI,English (United States),,0:31 / 1:00
ICuqzhViWAI,English (United States),[vambrace activates],0:32 / 1:00
ICuqzhViWAI,English (United States),"THE MANDALORIAN: Wherever I go, he goes.",0:32 / 1:00
ICuqzhViWAI,English (United States),"THE MANDALORIAN: Wherever I go, he goes.",0:33 / 1:00
ICuqzhViWAI,English (United States),,0:33 / 1:00
ICuqzhViWAI,English (United States),,0:34 / 1:00
ICuqzhViWAI,English (United States),,0:35 / 1:00
ICuqzhViWAI,English (United States),,0:36 / 1:00
ICuqzhViWAI,English (United States),,0:37 / 1:00
ICuqzhViWAI,English (United States),,0:38 / 1:00
ICuqzhViWAI,English (United States),,0:39 / 1:00
ICuqzhViWAI,English (United States),,0:40 / 1:00
ICuqzhViWAI,English (United States),,0:41 / 1:00
ICuqzhViWAI,English (United States),CARA DUNE: Woo!,0:42 / 1:00
ICuqzhViWAI,English (United States),,0:42 / 1:00
ICuqzhViWAI,English (United States),,0:43 / 1:00
ICuqzhViWAI,English (United States),♪♪,0:44 / 1:00
ICuqzhViWAI,English (United States),,0:45 / 1:00
