video_id,lang,text,timecode
IohwvUl7x08,English (United States),,0:00 / 5:29
IohwvUl7x08,English (United States),,0:01 / 5:29
IohwvUl7x08,English (United States),,0:02 / 5:29
IohwvUl7x08,English (United States),,0:03 / 5:29
IohwvUl7x08,English (United States),,0:04 / 5:29
IohwvUl7x08,English (United States),,0:05 / 5:29
IohwvUl7x08,English (United States),,0:06 / 5:29
IohwvUl7x08,English (United States),,0:07 / 5:29
IohwvUl7x08,English (United States),,0:08 / 5:29
IohwvUl7x08,English (United States),,0:09 / 5:29
IohwvUl7x08,English (United States),,0:10 / 5:29
IohwvUl7x08,English (United States),,0:11 / 5:29
IohwvUl7x08,English (United States),,0:12 / 5:29
IohwvUl7x08,English (United States),This pandemic has really changed everything...,0:13 / 5:29
IohwvUl7x08,English (United States),This pandemic has really changed everything...,0:14 / 5:29
IohwvUl7x08,English (United States),This pandemic has really changed everything...,0:15 / 5:29
IohwvUl7x08,English (United States),-But not for us!,0:16 / 5:29
IohwvUl7x08,English (United States),We built a big dome over the f--king mansion!,0:17 / 5:29
IohwvUl7x08,English (United States),We built a big dome over the f--king mansion!,0:18 / 5:29
IohwvUl7x08,English (United States),We built a big dome over the f--king mansion!,0:19 / 5:29
IohwvUl7x08,English (United States),What happens when 800 of the world's most elite footballers,0:19 / 5:29
IohwvUl7x08,English (United States),What happens when 800 of the world's most elite footballers,0:20 / 5:29
IohwvUl7x08,English (United States),What happens when 800 of the world's most elite footballers,0:21 / 5:29
IohwvUl7x08,English (United States),What happens when 800 of the world's most elite footballers,0:22 / 5:29
IohwvUl7x08,English (United States),and their managers live together under one roof?,0:22 / 5:29
IohwvUl7x08,English (United States),and their managers live together under one roof?,0:23 / 5:29
IohwvUl7x08,English (United States),and their managers live together under one roof?,0:24 / 5:29
IohwvUl7x08,English (United States),and their managers live together under one roof?,0:25 / 5:29
IohwvUl7x08,English (United States),Players stop being polite,0:26 / 5:29
IohwvUl7x08,English (United States),Players stop being polite,0:27 / 5:29
IohwvUl7x08,English (United States),and start getting Re-al.,0:27 / 5:29
IohwvUl7x08,English (United States),and start getting Re-al.,0:28 / 5:29
IohwvUl7x08,English (United States),and start getting Re-al.,0:29 / 5:29
IohwvUl7x08,English (United States),This is,0:30 / 5:29
IohwvUl7x08,English (United States),The Champions.,0:30 / 5:29
IohwvUl7x08,English (United States),The Champions.,0:31 / 5:29
IohwvUl7x08,English (United States),-They say form is temporary and class is permanent.,0:31 / 5:29
IohwvUl7x08,English (United States),-They say form is temporary and class is permanent.,0:32 / 5:29
IohwvUl7x08,English (United States),-They say form is temporary and class is permanent.,0:33 / 5:29
IohwvUl7x08,English (United States),-They say form is temporary and class is permanent.,0:34 / 5:29
IohwvUl7x08,English (United States),"I hope they’re right, because my form has been...not good.",0:34 / 5:29
IohwvUl7x08,English (United States),"I hope they’re right, because my form has been...not good.",0:35 / 5:29
IohwvUl7x08,English (United States),"I hope they’re right, because my form has been...not good.",0:36 / 5:29
IohwvUl7x08,English (United States),"I hope they’re right, because my form has been...not good.",0:37 / 5:29
IohwvUl7x08,English (United States),-Sometimes I like to pretend I’m Cinderella.,0:38 / 5:29
IohwvUl7x08,English (United States),-Sometimes I like to pretend I’m Cinderella.,0:39 / 5:29
IohwvUl7x08,English (United States),-Sometimes I like to pretend I’m Cinderella.,0:40 / 5:29
IohwvUl7x08,English (United States),,0:41 / 5:29
IohwvUl7x08,English (United States),,0:42 / 5:29
IohwvUl7x08,English (United States),It fits!,0:42 / 5:29
IohwvUl7x08,English (United States),It fits!,0:43 / 5:29
IohwvUl7x08,English (United States),,0:44 / 5:29
IohwvUl7x08,English (United States),-Terrible things are happening at Barcelona right now. ,0:44 / 5:29
IohwvUl7x08,English (United States),-Terrible things are happening at Barcelona right now. ,0:45 / 5:29
IohwvUl7x08,English (United States),-Terrible things are happening at Barcelona right now. ,0:46 / 5:29
IohwvUl7x08,English (United States),You hate to see it.,0:47 / 5:29
IohwvUl7x08,English (United States),You hate to see it.,0:48 / 5:29
IohwvUl7x08,English (United States),Me? I love to see it.,0:48 / 5:29
IohwvUl7x08,English (United States),Me? I love to see it.,0:49 / 5:29
IohwvUl7x08,English (United States),Me? I love to see it.,0:50 / 5:29
IohwvUl7x08,English (United States),,0:51 / 5:29
IohwvUl7x08,English (United States),-Hi. I hope this message finds you well.,0:52 / 5:29
IohwvUl7x08,English (United States),-Hi. I hope this message finds you well.,0:53 / 5:29
IohwvUl7x08,English (United States),-Hi. I hope this message finds you well.,0:54 / 5:29
IohwvUl7x08,English (United States),Just a gentle reminder that I still exist and would like a job.,0:54 / 5:29
IohwvUl7x08,English (United States),Just a gentle reminder that I still exist and would like a job.,0:55 / 5:29
IohwvUl7x08,English (United States),Just a gentle reminder that I still exist and would like a job.,0:56 / 5:29
IohwvUl7x08,English (United States),Just a gentle reminder that I still exist and would like a job.,0:57 / 5:29
IohwvUl7x08,English (United States),,0:58 / 5:29
IohwvUl7x08,English (United States),,0:59 / 5:29
IohwvUl7x08,English (United States),,1:00 / 5:29
IohwvUl7x08,English (United States),,1:01 / 5:29
IohwvUl7x08,English (United States),,1:02 / 5:29
IohwvUl7x08,English (United States),,1:03 / 5:29
IohwvUl7x08,English (United States),,1:04 / 5:29
IohwvUl7x08,English (United States),,1:05 / 5:29
IohwvUl7x08,English (United States),,1:06 / 5:29
IohwvUl7x08,English (United States),,1:07 / 5:29
IohwvUl7x08,English (United States),,1:08 / 5:29
IohwvUl7x08,English (United States),,1:09 / 5:29
IohwvUl7x08,English (United States),,1:10 / 5:29
IohwvUl7x08,English (United States),,1:11 / 5:29
IohwvUl7x08,English (United States),,1:12 / 5:29
IohwvUl7x08,English (United States),,1:13 / 5:29
IohwvUl7x08,English (United States),,1:14 / 5:29
IohwvUl7x08,English (United States),,1:15 / 5:29
IohwvUl7x08,English (United States),"-So far, life in The Dome is pretty good.",1:16 / 5:29
IohwvUl7x08,English (United States),"-So far, life in The Dome is pretty good.",1:17 / 5:29
IohwvUl7x08,English (United States),"Every day, us cool, young bros make crazy pool parties,",1:18 / 5:29
IohwvUl7x08,English (United States),"Every day, us cool, young bros make crazy pool parties,",1:19 / 5:29
IohwvUl7x08,English (United States),"Every day, us cool, young bros make crazy pool parties,",1:20 / 5:29
IohwvUl7x08,English (United States),"Every day, us cool, young bros make crazy pool parties,",1:21 / 5:29
IohwvUl7x08,English (United States),the Farmers’ League is teaching us to grow our own food.,1:22 / 5:29
IohwvUl7x08,English (United States),the Farmers’ League is teaching us to grow our own food.,1:23 / 5:29
IohwvUl7x08,English (United States),the Farmers’ League is teaching us to grow our own food.,1:24 / 5:29
IohwvUl7x08,English (United States),and anything else we need is delivered by drone!,1:25 / 5:29
IohwvUl7x08,English (United States),and anything else we need is delivered by drone!,1:26 / 5:29
IohwvUl7x08,English (United States),and anything else we need is delivered by drone!,1:27 / 5:29
IohwvUl7x08,English (United States),[Shouting],1:28 / 5:29
IohwvUl7x08,English (United States),-Give it to Kevin!,1:29 / 5:29
IohwvUl7x08,English (United States),[Shouting],1:30 / 5:29
IohwvUl7x08,English (United States),[Shouting],1:31 / 5:29
IohwvUl7x08,English (United States),[Shouting],1:32 / 5:29
IohwvUl7x08,English (United States),,1:32 / 5:29
IohwvUl7x08,English (United States),,1:33 / 5:29
IohwvUl7x08,English (United States),,1:34 / 5:29
IohwvUl7x08,English (United States),,1:35 / 5:29
IohwvUl7x08,English (United States),,1:36 / 5:29
IohwvUl7x08,English (United States),[Shouting],1:37 / 5:29
IohwvUl7x08,English (United States),[Shouting],1:38 / 5:29
IohwvUl7x08,English (United States),"-Oh, no! My scrunchies were in there!",1:38 / 5:29
IohwvUl7x08,English (United States),"-Oh, no! My scrunchies were in there!",1:39 / 5:29
IohwvUl7x08,English (United States),"-Oh, no! My scrunchies were in there!",1:40 / 5:29
IohwvUl7x08,English (United States),-Our toothpaste! -Our toothpaste!,1:41 / 5:29
IohwvUl7x08,English (United States),-My brass knuckles polish!,1:42 / 5:29
IohwvUl7x08,English (United States),-My brass knuckles polish!,1:43 / 5:29
IohwvUl7x08,English (United States),"-Whoa, whoa! What's the problem, lads?",1:43 / 5:29
IohwvUl7x08,English (United States),"-Whoa, whoa! What's the problem, lads?",1:44 / 5:29
IohwvUl7x08,English (United States),-Allow me to interpret.,1:45 / 5:29
IohwvUl7x08,English (United States),-Allow me to interpret.,1:46 / 5:29
IohwvUl7x08,English (United States),Our delivery box has crashed into the cornfield.,1:46 / 5:29
IohwvUl7x08,English (United States),Our delivery box has crashed into the cornfield.,1:47 / 5:29
