"video_id","min_timecode","max_timecode","text.user","text.auto"
"IxXaizglscw","00:00:00","00:00:03","",""
"IxXaizglscw","00:00:05","00:00:07","I made a 2D version of a greedy cup siphon recently,","i made a 2d version of i made a 2d version a greedy cup siphon of a greedy cup recently and matt parker siphon recently and matt"
"IxXaizglscw","00:00:07","00:00:08","and Matt Parker suggested that I might","suggested that i parker"
"IxXaizglscw","00:00:09","00:00:11","be able to build a water computer","might be able suggested that i might be able to build to build a water computer by a water"
"IxXaizglscw","00:00:12","00:00:14","by chaining together a number of these siphons.","chaining computer by chaining together together a number of a number these siphons for of these siphons"
"IxXaizglscw","00:00:15","00:00:17","For example, maybe I could use these siphons","example for example maybe maybe i could use these i could use these siphons to add numbers siphons to add"
"IxXaizglscw","00:00:17","00:00:18","to add numbers together.","together numbers"
"IxXaizglscw","00:00:19","00:00:21","Computers add numbers by chaining together","these siphons to add numbers together computers add numbers by chaining together computers add numbers by chaining"
"IxXaizglscw","00:00:22","00:00:23","a series of logic gates.","a series of together a series logic gates for of logic gates"
"IxXaizglscw","00:00:24","00:00:24","For example, these logic gates","example these logic for example"
"IxXaizglscw","00:00:25","00:00:27","add two digit binary numbers together.","gates add these logic gates add two-digit two-digit binary numbers together i'll get into the details binary numbers together i'll get into the"
"IxXaizglscw","00:00:27","00:00:29","I'll get into the details of that diagram later,","of that diagram later but"
"IxXaizglscw","00:00:30","00:00:32","but what are the logic gates made out of?","what are the logic gates later but what are the logic gates made out made out of well"
"IxXaizglscw","00:00:33","00:00:35","Well, in a computer, they're made out of transistors,","in a computer in a computer they're they're made out of transistors"
"IxXaizglscw","00:00:36","00:00:37","but they don't have to be.","but they don't have to be made out of transistors but they don't have to if you're familiar with matt be if you're"
"IxXaizglscw","00:00:37","00:00:39","If you're familiar with Matt Parker's channel,","parker's channel familiar with matt parker's you'll know that logic channel you'll"
"IxXaizglscw","00:00:39","00:00:40","you'll know that logic gates","gates can be know that logic gates can be made out of"
"IxXaizglscw","00:00:40","00:00:42","can be made out of dominoes, for example.","made out of dominoes for example dominoes for"
"IxXaizglscw","00:00:43","00:00:46","But what about using the flow of water instead?","but what example but what about using about using the flow of water instead using the flow of water instead this was"
"IxXaizglscw","00:00:46","00:00:48","This was my first attempt.","my first the flow of water instead this was attempt if both my first attempt if both inputs"
"IxXaizglscw","00:00:48","00:00:49","If both inputs are turned on,","inputs are turned on they"
"IxXaizglscw","00:00:50","00:00:52","they collide in the middle, filling up this central bucket,","collide in the are turned on they collide in the middle middle filling up this central bucket and water"
"IxXaizglscw","00:00:52","00:00:55","and water flows out of the middle hole there.","flows filling up this central bucket and water out of the middle hole flows out of the middle there if only"
"IxXaizglscw","00:00:55","00:00:58","If only one input is turned on, there's no collision,","one input hole there if only one is turned on there's input is turned on there's no collision and"
