video_id,lang,text,timecode
J0mZYeb4C8k,English,(upbeat music),0:00 / 27:57
J0mZYeb4C8k,English,(upbeat music),0:01 / 27:57
J0mZYeb4C8k,English,(upbeat music),0:02 / 27:57
J0mZYeb4C8k,English,,0:02 / 27:57
J0mZYeb4C8k,English,,0:03 / 27:57
J0mZYeb4C8k,English,,0:04 / 27:57
J0mZYeb4C8k,English,"- Hello, friends,",0:04 / 27:57
J0mZYeb4C8k,English,"- Hello, friends,",0:05 / 27:57
J0mZYeb4C8k,English,and welcome to another video.,0:06 / 27:57
J0mZYeb4C8k,English,and welcome to another video.,0:07 / 27:57
J0mZYeb4C8k,English,and welcome to another video.,0:08 / 27:57
J0mZYeb4C8k,English,"Today, I'm gonna be mixing",0:09 / 27:57
J0mZYeb4C8k,English,"Today, I'm gonna be mixing",0:10 / 27:57
J0mZYeb4C8k,English,and melting my own custom lipstick from scratch.,0:11 / 27:57
J0mZYeb4C8k,English,and melting my own custom lipstick from scratch.,0:12 / 27:57
J0mZYeb4C8k,English,and melting my own custom lipstick from scratch.,0:13 / 27:57
J0mZYeb4C8k,English,and melting my own custom lipstick from scratch.,0:14 / 27:57
J0mZYeb4C8k,English,and melting my own custom lipstick from scratch.,0:15 / 27:57
J0mZYeb4C8k,English,That's right. It's the return,0:15 / 27:57
J0mZYeb4C8k,English,That's right. It's the return,0:16 / 27:57
J0mZYeb4C8k,English,"of the lipstick fiend baby, that's me.",0:17 / 27:57
J0mZYeb4C8k,English,"of the lipstick fiend baby, that's me.",0:18 / 27:57
J0mZYeb4C8k,English,"of the lipstick fiend baby, that's me.",0:19 / 27:57
J0mZYeb4C8k,English,"of the lipstick fiend baby, that's me.",0:20 / 27:57
J0mZYeb4C8k,English,"- Now, as you guys might know,",0:21 / 27:57
J0mZYeb4C8k,English,"- Now, as you guys might know,",0:22 / 27:57
J0mZYeb4C8k,English,"I do have a weird obsession with lipsticks, dark lipsticks,",0:22 / 27:57
J0mZYeb4C8k,English,"I do have a weird obsession with lipsticks, dark lipsticks,",0:23 / 27:57
J0mZYeb4C8k,English,"I do have a weird obsession with lipsticks, dark lipsticks,",0:24 / 27:57
J0mZYeb4C8k,English,"I do have a weird obsession with lipsticks, dark lipsticks,",0:25 / 27:57
J0mZYeb4C8k,English,"nude lipsticks, liquid lipsticks,",0:26 / 27:57
J0mZYeb4C8k,English,"nude lipsticks, liquid lipsticks,",0:27 / 27:57
J0mZYeb4C8k,English,"nude lipsticks, liquid lipsticks,",0:28 / 27:57
J0mZYeb4C8k,English,"edible lipsticks, you name it.",0:28 / 27:57
J0mZYeb4C8k,English,"edible lipsticks, you name it.",0:29 / 27:57
J0mZYeb4C8k,English,"edible lipsticks, you name it.",0:30 / 27:57
J0mZYeb4C8k,English,"I like to buy it, wear it, melt it and yes, eat it.",0:31 / 27:57
J0mZYeb4C8k,English,"I like to buy it, wear it, melt it and yes, eat it.",0:32 / 27:57
J0mZYeb4C8k,English,"I like to buy it, wear it, melt it and yes, eat it.",0:33 / 27:57
J0mZYeb4C8k,English,"I like to buy it, wear it, melt it and yes, eat it.",0:34 / 27:57
J0mZYeb4C8k,English,- That's amazing.,0:35 / 27:57
J0mZYeb4C8k,English,- That's amazing.,0:36 / 27:57
J0mZYeb4C8k,English,- [Tyler] Oh yeah.,0:36 / 27:57
J0mZYeb4C8k,English,- [Tyler] Oh yeah.,0:37 / 27:57
J0mZYeb4C8k,English,(both laughing),0:38 / 27:57
J0mZYeb4C8k,English,"- And over the years,",0:38 / 27:57
J0mZYeb4C8k,English,"- And over the years,",0:39 / 27:57
J0mZYeb4C8k,English,I have made a fair amount of lipsticks for myself,0:39 / 27:57
J0mZYeb4C8k,English,I have made a fair amount of lipsticks for myself,0:40 / 27:57
J0mZYeb4C8k,English,I have made a fair amount of lipsticks for myself,0:41 / 27:57
J0mZYeb4C8k,English,I have made a fair amount of lipsticks for myself,0:42 / 27:57
J0mZYeb4C8k,English,from multiple different Frankenlipsticks,0:42 / 27:57
J0mZYeb4C8k,English,from multiple different Frankenlipsticks,0:43 / 27:57
J0mZYeb4C8k,English,from multiple different Frankenlipsticks,0:44 / 27:57
J0mZYeb4C8k,English,to a few custom lip colors,0:45 / 27:57
J0mZYeb4C8k,English,to a few custom lip colors,0:46 / 27:57
J0mZYeb4C8k,English,"from the Bite Lip Lab in New York,",0:47 / 27:57
J0mZYeb4C8k,English,"from the Bite Lip Lab in New York,",0:48 / 27:57
J0mZYeb4C8k,English,as well as the Anastasia Beverly Hills lip palette.,0:49 / 27:57
J0mZYeb4C8k,English,as well as the Anastasia Beverly Hills lip palette.,0:50 / 27:57
J0mZYeb4C8k,English,as well as the Anastasia Beverly Hills lip palette.,0:51 / 27:57
J0mZYeb4C8k,English,So one could say that I have really been,0:52 / 27:57
J0mZYeb4C8k,English,So one could say that I have really been,0:53 / 27:57
J0mZYeb4C8k,English,So one could say that I have really been,0:54 / 27:57
J0mZYeb4C8k,English,around the lipstick block.,0:54 / 27:57
J0mZYeb4C8k,English,around the lipstick block.,0:55 / 27:57
J0mZYeb4C8k,English,around the lipstick block.,0:56 / 27:57
J0mZYeb4C8k,English,One could also say that I have issues.,0:56 / 27:57
J0mZYeb4C8k,English,One could also say that I have issues.,0:57 / 27:57
J0mZYeb4C8k,English,One could also say that I have issues.,0:58 / 27:57
J0mZYeb4C8k,English,But one thing I have not done before,0:59 / 27:57
J0mZYeb4C8k,English,But one thing I have not done before,1:00 / 27:57
J0mZYeb4C8k,English,"is make a lipstick from scratch,",1:01 / 27:57
J0mZYeb4C8k,English,"is make a lipstick from scratch,",1:02 / 27:57
J0mZYeb4C8k,English,"is make a lipstick from scratch,",1:03 / 27:57
J0mZYeb4C8k,English,"a.k.a raw ingredients like waxes, oils",1:04 / 27:57
J0mZYeb4C8k,English,"a.k.a raw ingredients like waxes, oils",1:05 / 27:57
J0mZYeb4C8k,English,"a.k.a raw ingredients like waxes, oils",1:06 / 27:57
J0mZYeb4C8k,English,"a.k.a raw ingredients like waxes, oils",1:07 / 27:57
J0mZYeb4C8k,English,"and many pigments, oh my, which would",1:08 / 27:57
J0mZYeb4C8k,English,"and many pigments, oh my, which would",1:09 / 27:57
J0mZYeb4C8k,English,"and many pigments, oh my, which would",1:10 / 27:57
J0mZYeb4C8k,English,hopefully let me both get a custom color as well,1:11 / 27:57
J0mZYeb4C8k,English,hopefully let me both get a custom color as well,1:12 / 27:57
J0mZYeb4C8k,English,hopefully let me both get a custom color as well,1:13 / 27:57
J0mZYeb4C8k,English,as learn what the heck actually goes in a lipstick.,1:14 / 27:57
J0mZYeb4C8k,English,as learn what the heck actually goes in a lipstick.,1:15 / 27:57
J0mZYeb4C8k,English,as learn what the heck actually goes in a lipstick.,1:16 / 27:57
J0mZYeb4C8k,English,as learn what the heck actually goes in a lipstick.,1:17 / 27:57
J0mZYeb4C8k,English,"And as luck would have it a couple of months ago,",1:17 / 27:57
J0mZYeb4C8k,English,"And as luck would have it a couple of months ago,",1:18 / 27:57
J0mZYeb4C8k,English,"And as luck would have it a couple of months ago,",1:19 / 27:57
J0mZYeb4C8k,English,"And as luck would have it a couple of months ago,",1:20 / 27:57
J0mZYeb4C8k,English,"while I was jonesing to melt something,",1:20 / 27:57
J0mZYeb4C8k,English,"while I was jonesing to melt something,",1:21 / 27:57
J0mZYeb4C8k,English,"while I was jonesing to melt something,",1:22 / 27:57
