video_id,lang,text,timecode
KmonRFILyUk,English,Hey there! Welcome to Life Nugget! Noggin! Ah man!,0:00 / 3:33
KmonRFILyUk,English,Hey there! Welcome to Life Nugget! Noggin! Ah man!,0:01 / 3:33
KmonRFILyUk,English,Hey there! Welcome to Life Nugget! Noggin! Ah man!,0:02 / 3:33
KmonRFILyUk,English,Hey there! Welcome to Life Nugget! Noggin! Ah man!,0:03 / 3:33
KmonRFILyUk,English,Hey there! Welcome to Life Nugget! Noggin! Ah man!,0:04 / 3:33
KmonRFILyUk,English,"It's been a long road from the first  single-celled organism to the walking,  ",0:05 / 3:33
KmonRFILyUk,English,"It's been a long road from the first  single-celled organism to the walking,  ",0:06 / 3:33
KmonRFILyUk,English,"It's been a long road from the first  single-celled organism to the walking,  ",0:07 / 3:33
KmonRFILyUk,English,"It's been a long road from the first  single-celled organism to the walking,  ",0:08 / 3:33
KmonRFILyUk,English,"It's been a long road from the first  single-celled organism to the walking,  ",0:09 / 3:33
KmonRFILyUk,English,"talking, problem-solving (sometimes),  internet-obsessed humans of today. Along the way,  ",0:09 / 3:33
KmonRFILyUk,English,"talking, problem-solving (sometimes),  internet-obsessed humans of today. Along the way,  ",0:10 / 3:33
KmonRFILyUk,English,"talking, problem-solving (sometimes),  internet-obsessed humans of today. Along the way,  ",0:11 / 3:33
KmonRFILyUk,English,"talking, problem-solving (sometimes),  internet-obsessed humans of today. Along the way,  ",0:12 / 3:33
KmonRFILyUk,English,"talking, problem-solving (sometimes),  internet-obsessed humans of today. Along the way,  ",0:13 / 3:33
KmonRFILyUk,English,our bodies have adapted and evolved  to survive in different environments.,0:14 / 3:33
KmonRFILyUk,English,our bodies have adapted and evolved  to survive in different environments.,0:15 / 3:33
KmonRFILyUk,English,our bodies have adapted and evolved  to survive in different environments.,0:16 / 3:33
KmonRFILyUk,English,our bodies have adapted and evolved  to survive in different environments.,0:17 / 3:33
KmonRFILyUk,English,our bodies have adapted and evolved  to survive in different environments.,0:18 / 3:33
KmonRFILyUk,English,But some of these changes have  led to some noticeable problems.,0:18 / 3:33
KmonRFILyUk,English,But some of these changes have  led to some noticeable problems.,0:19 / 3:33
KmonRFILyUk,English,But some of these changes have  led to some noticeable problems.,0:20 / 3:33
KmonRFILyUk,English,But some of these changes have  led to some noticeable problems.,0:21 / 3:33
KmonRFILyUk,English,But some of these changes have  led to some noticeable problems.,0:22 / 3:33
KmonRFILyUk,English,"I brought in a friend to help me trash  talk humans for a little, he's known for  ",0:23 / 3:33
KmonRFILyUk,English,"I brought in a friend to help me trash  talk humans for a little, he's known for  ",0:24 / 3:33
KmonRFILyUk,English,"I brought in a friend to help me trash  talk humans for a little, he's known for  ",0:25 / 3:33
KmonRFILyUk,English,"I brought in a friend to help me trash  talk humans for a little, he's known for  ",0:26 / 3:33
KmonRFILyUk,English,"I brought in a friend to help me trash  talk humans for a little, he's known for  ",0:27 / 3:33
KmonRFILyUk,English,gamifying the animal kingdom over on  his channel and his name is Tierzoo.,0:27 / 3:33
KmonRFILyUk,English,gamifying the animal kingdom over on  his channel and his name is Tierzoo.,0:28 / 3:33
KmonRFILyUk,English,gamifying the animal kingdom over on  his channel and his name is Tierzoo.,0:29 / 3:33
KmonRFILyUk,English,gamifying the animal kingdom over on  his channel and his name is Tierzoo.,0:30 / 3:33
KmonRFILyUk,English,gamifying the animal kingdom over on  his channel and his name is Tierzoo.,0:31 / 3:33
KmonRFILyUk,English,gamifying the animal kingdom over on  his channel and his name is Tierzoo.,0:32 / 3:33
KmonRFILyUk,English,Hey Blocko!,0:32 / 3:33
KmonRFILyUk,English,Hey Blocko!,0:33 / 3:33
KmonRFILyUk,English,"Animator, you didn't give him a  face!? That's just his channel icon!",0:33 / 3:33
KmonRFILyUk,English,"Animator, you didn't give him a  face!? That's just his channel icon!",0:34 / 3:33
KmonRFILyUk,English,"Animator, you didn't give him a  face!? That's just his channel icon!",0:35 / 3:33
KmonRFILyUk,English,"Animator, you didn't give him a  face!? That's just his channel icon!",0:36 / 3:33
KmonRFILyUk,English,T: Just so you know there's some odd looking  character stuck floating through your portal.,0:37 / 3:33
KmonRFILyUk,English,T: Just so you know there's some odd looking  character stuck floating through your portal.,0:38 / 3:33
KmonRFILyUk,English,T: Just so you know there's some odd looking  character stuck floating through your portal.,0:39 / 3:33
KmonRFILyUk,English,"Blocko: oh yeah, don't worry he'll find  his way back in like a month or so,  ",0:40 / 3:33
KmonRFILyUk,English,"Blocko: oh yeah, don't worry he'll find  his way back in like a month or so,  ",0:41 / 3:33
KmonRFILyUk,English,"Blocko: oh yeah, don't worry he'll find  his way back in like a month or so,  ",0:42 / 3:33
KmonRFILyUk,English,"Blocko: oh yeah, don't worry he'll find  his way back in like a month or so,  ",0:43 / 3:33
KmonRFILyUk,English,"Blocko: oh yeah, don't worry he'll find  his way back in like a month or so,  ",0:44 / 3:33
KmonRFILyUk,English,"anyway, you're one of those  squishy meat puppets called humans,  ",0:45 / 3:33
KmonRFILyUk,English,"anyway, you're one of those  squishy meat puppets called humans,  ",0:46 / 3:33
KmonRFILyUk,English,"anyway, you're one of those  squishy meat puppets called humans,  ",0:47 / 3:33
KmonRFILyUk,English,you wanna give some insight on how badly  the devs messed these characters up?,0:48 / 3:33
KmonRFILyUk,English,you wanna give some insight on how badly  the devs messed these characters up?,0:49 / 3:33
KmonRFILyUk,English,you wanna give some insight on how badly  the devs messed these characters up?,0:50 / 3:33
KmonRFILyUk,English,T: Gladly!,0:51 / 3:33
KmonRFILyUk,English,T: Gladly!,0:52 / 3:33
KmonRFILyUk,English,Humans are definitely one of the most over powered  creatures to ever walk the earth. But even humans  ,0:52 / 3:33
KmonRFILyUk,English,Humans are definitely one of the most over powered  creatures to ever walk the earth. But even humans  ,0:53 / 3:33
KmonRFILyUk,English,Humans are definitely one of the most over powered  creatures to ever walk the earth. But even humans  ,0:54 / 3:33
KmonRFILyUk,English,Humans are definitely one of the most over powered  creatures to ever walk the earth. But even humans  ,0:55 / 3:33
KmonRFILyUk,English,Humans are definitely one of the most over powered  creatures to ever walk the earth. But even humans  ,0:56 / 3:33
KmonRFILyUk,English,"aren’t flawless. If we're talking about human  problems that desperately need a patch, we have  ",0:57 / 3:33
KmonRFILyUk,English,"aren’t flawless. If we're talking about human  problems that desperately need a patch, we have  ",0:58 / 3:33
KmonRFILyUk,English,"aren’t flawless. If we're talking about human  problems that desperately need a patch, we have  ",0:59 / 3:33
KmonRFILyUk,English,"aren’t flawless. If we're talking about human  problems that desperately need a patch, we have  ",1:00 / 3:33
KmonRFILyUk,English,"aren’t flawless. If we're talking about human  problems that desperately need a patch, we have  ",1:01 / 3:33
KmonRFILyUk,English,to talk about our backs and internal organs.  Transitioning from walking on all fours to just  ,1:01 / 3:33
KmonRFILyUk,English,to talk about our backs and internal organs.  Transitioning from walking on all fours to just  ,1:02 / 3:33
KmonRFILyUk,English,to talk about our backs and internal organs.  Transitioning from walking on all fours to just  ,1:03 / 3:33
KmonRFILyUk,English,to talk about our backs and internal organs.  Transitioning from walking on all fours to just  ,1:04 / 3:33
KmonRFILyUk,English,to talk about our backs and internal organs.  Transitioning from walking on all fours to just  ,1:05 / 3:33
KmonRFILyUk,English,to talk about our backs and internal organs.  Transitioning from walking on all fours to just  ,1:06 / 3:33
KmonRFILyUk,English,two feet was a huge adjustment for our bodies. Our  backs went from being arched with our intestines  ,1:07 / 3:33
KmonRFILyUk,English,two feet was a huge adjustment for our bodies. Our  backs went from being arched with our intestines  ,1:08 / 3:33
KmonRFILyUk,English,two feet was a huge adjustment for our bodies. Our  backs went from being arched with our intestines  ,1:09 / 3:33
KmonRFILyUk,English,two feet was a huge adjustment for our bodies. Our  backs went from being arched with our intestines  ,1:10 / 3:33
KmonRFILyUk,English,two feet was a huge adjustment for our bodies. Our  backs went from being arched with our intestines  ,1:11 / 3:33
KmonRFILyUk,English,"hanging down and supported by stomach muscles, to  an s-shape in order to simultaneously support our  ",1:11 / 3:33
KmonRFILyUk,English,"hanging down and supported by stomach muscles, to  an s-shape in order to simultaneously support our  ",1:12 / 3:33
KmonRFILyUk,English,"hanging down and supported by stomach muscles, to  an s-shape in order to simultaneously support our  ",1:13 / 3:33
KmonRFILyUk,English,"hanging down and supported by stomach muscles, to  an s-shape in order to simultaneously support our  ",1:14 / 3:33
KmonRFILyUk,English,"hanging down and supported by stomach muscles, to  an s-shape in order to simultaneously support our  ",1:15 / 3:33
KmonRFILyUk,English,"hanging down and supported by stomach muscles, to  an s-shape in order to simultaneously support our  ",1:16 / 3:33
KmonRFILyUk,English,"weight and accommodate the birth canal, with our  intestines now resting on top of other organs.",1:17 / 3:33
KmonRFILyUk,English,"weight and accommodate the birth canal, with our  intestines now resting on top of other organs.",1:18 / 3:33
KmonRFILyUk,English,"weight and accommodate the birth canal, with our  intestines now resting on top of other organs.",1:19 / 3:33
KmonRFILyUk,English,"weight and accommodate the birth canal, with our  intestines now resting on top of other organs.",1:20 / 3:33
KmonRFILyUk,English,"weight and accommodate the birth canal, with our  intestines now resting on top of other organs.",1:21 / 3:33
KmonRFILyUk,English,Not only does this result in back pain from  having to support so much weight in a not very  ,1:22 / 3:33
KmonRFILyUk,English,Not only does this result in back pain from  having to support so much weight in a not very  ,1:23 / 3:33
KmonRFILyUk,English,Not only does this result in back pain from  having to support so much weight in a not very  ,1:24 / 3:33
KmonRFILyUk,English,Not only does this result in back pain from  having to support so much weight in a not very  ,1:25 / 3:33
KmonRFILyUk,English,sturdy configuration--humans happen to be the only  mammals where the vertebrae will spontaneously  ,1:26 / 3:33
KmonRFILyUk,English,sturdy configuration--humans happen to be the only  mammals where the vertebrae will spontaneously  ,1:27 / 3:33
KmonRFILyUk,English,sturdy configuration--humans happen to be the only  mammals where the vertebrae will spontaneously  ,1:28 / 3:33
KmonRFILyUk,English,sturdy configuration--humans happen to be the only  mammals where the vertebrae will spontaneously  ,1:29 / 3:33
