video_id,lang,text,timecode
Kr8JPcAjqWc,English,"Mal:  Through many years our love was tried,",0:00 / 0:15
Kr8JPcAjqWc,English,"Mal:  Through many years our love was tried,",0:01 / 0:15
Kr8JPcAjqWc,English,"Mal:  Through many years our love was tried,",0:02 / 0:15
Kr8JPcAjqWc,English,but our connection could not be denied.,0:03 / 0:15
Kr8JPcAjqWc,English,but our connection could not be denied.,0:04 / 0:15
Kr8JPcAjqWc,English,but our connection could not be denied.,0:05 / 0:15
Kr8JPcAjqWc,English,"A million moments led to this,",0:06 / 0:15
Kr8JPcAjqWc,English,"A million moments led to this,",0:07 / 0:15
Kr8JPcAjqWc,English,"A million moments led to this,",0:08 / 0:15
Kr8JPcAjqWc,English,where bride and groom will share a kiss.,0:08 / 0:15
Kr8JPcAjqWc,English,where bride and groom will share a kiss.,0:09 / 0:15
Kr8JPcAjqWc,English,where bride and groom will share a kiss.,0:10 / 0:15
Kr8JPcAjqWc,English,,0:11 / 0:15
Kr8JPcAjqWc,English,,0:12 / 0:15
Kr8JPcAjqWc,English,,0:13 / 0:15
Kr8JPcAjqWc,English,,0:14 / 0:15
Kr8JPcAjqWc,English,,0:15 / 0:15
Kr8JPcAjqWc,English (auto-generated),,0:00 / 0:15
Kr8JPcAjqWc,English (auto-generated),through many years,0:01 / 0:15
Kr8JPcAjqWc,English (auto-generated),through many years our love,0:01 / 0:15
Kr8JPcAjqWc,English (auto-generated),through many years our love was tried,0:02 / 0:15
Kr8JPcAjqWc,English (auto-generated),through many years our love was tried but,0:03 / 0:15
Kr8JPcAjqWc,English (auto-generated),through many years our love was tried but our connection,0:04 / 0:15
Kr8JPcAjqWc,English (auto-generated),through many years our love was tried but our connection could not be,0:04 / 0:15
Kr8JPcAjqWc,English (auto-generated),through many years our love was tried but our connection could not be denied,0:05 / 0:15
Kr8JPcAjqWc,English (auto-generated),but our connection could not be denied a million,0:06 / 0:15
Kr8JPcAjqWc,English (auto-generated),but our connection could not be denied a million moments,0:07 / 0:15
Kr8JPcAjqWc,English (auto-generated),but our connection could not be denied a million moments led to this,0:07 / 0:15
Kr8JPcAjqWc,English (auto-generated),but our connection could not be denied a million moments led to this,0:08 / 0:15
Kr8JPcAjqWc,English (auto-generated),but our connection could not be denied a million moments led to this where,0:08 / 0:15
Kr8JPcAjqWc,English (auto-generated),million moments led to this where bride and groom,0:09 / 0:15
Kr8JPcAjqWc,English (auto-generated),million moments led to this where bride and groom will,0:09 / 0:15
Kr8JPcAjqWc,English (auto-generated),million moments led to this where bride and groom will share a,0:10 / 0:15
Kr8JPcAjqWc,English (auto-generated),million moments led to this where bride and groom will share a,0:11 / 0:15
Kr8JPcAjqWc,English (auto-generated),million moments led to this where bride and groom will share a,0:12 / 0:15
Kr8JPcAjqWc,English (auto-generated),million moments led to this where bride and groom will share a,0:13 / 0:15
Kr8JPcAjqWc,English (auto-generated),million moments led to this where bride and groom will share a kiss,0:14 / 0:15
Kr8JPcAjqWc,English (auto-generated),,0:15 / 0:15
