video_id,lang,text,timecode
Ks5rAUSAiPw,English - Default,"- No, I wasn't talking about your hair.",0:00 / 17:40
Ks5rAUSAiPw,English - Default,"- No, I wasn't talking about your hair.",0:01 / 17:40
Ks5rAUSAiPw,English - Default,"- No, I wasn't talking about your hair.",0:02 / 17:40
Ks5rAUSAiPw,English - Default,I was just saying in general that I...,0:02 / 17:40
Ks5rAUSAiPw,English - Default,I was just saying in general that I...,0:03 / 17:40
Ks5rAUSAiPw,English - Default,I was just saying in general that I...,0:04 / 17:40
Ks5rAUSAiPw,English - Default,I was just saying in general that I...,0:05 / 17:40
Ks5rAUSAiPw,English - Default,,0:05 / 17:40
Ks5rAUSAiPw,English - Default,,0:06 / 17:40
Ks5rAUSAiPw,English - Default,"Dad, I'm gonna have to call you back.",0:06 / 17:40
Ks5rAUSAiPw,English - Default,"Dad, I'm gonna have to call you back.",0:07 / 17:40
Ks5rAUSAiPw,English - Default,"Dad, I'm gonna have to call you back.",0:08 / 17:40
Ks5rAUSAiPw,English - Default,"(""Oh Yeah"" by Yello)",0:09 / 17:40
Ks5rAUSAiPw,English - Default,"(""Oh Yeah"" by Yello)",0:10 / 17:40
Ks5rAUSAiPw,English - Default,"Hello there. ♪ Oh, yeah ♪",0:11 / 17:40
Ks5rAUSAiPw,English - Default,"Hello there. ♪ Oh, yeah ♪",0:12 / 17:40
Ks5rAUSAiPw,English - Default,"- God damn, you look good.",0:13 / 17:40
Ks5rAUSAiPw,English - Default,"- God damn, you look good.",0:14 / 17:40
Ks5rAUSAiPw,English - Default,"What's your name? ♪ Oh, yeah ♪",0:15 / 17:40
Ks5rAUSAiPw,English - Default,"What's your name? ♪ Oh, yeah ♪",0:16 / 17:40
Ks5rAUSAiPw,English - Default,- The quiet type.,0:17 / 17:40
Ks5rAUSAiPw,English - Default,I can work with that.,0:18 / 17:40
Ks5rAUSAiPw,English - Default,I can work with that.,0:19 / 17:40
Ks5rAUSAiPw,English - Default,Has anyone ever told you how sexy you are?,0:20 / 17:40
Ks5rAUSAiPw,English - Default,Has anyone ever told you how sexy you are?,0:21 / 17:40
Ks5rAUSAiPw,English - Default,Has anyone ever told you how sexy you are?,0:22 / 17:40
Ks5rAUSAiPw,English - Default,- [Poster] Literally all the time.,0:23 / 17:40
Ks5rAUSAiPw,English - Default,- [Poster] Literally all the time.,0:24 / 17:40
Ks5rAUSAiPw,English - Default,"Look, bitch, I have no interest in talking to you.",0:24 / 17:40
Ks5rAUSAiPw,English - Default,"Look, bitch, I have no interest in talking to you.",0:25 / 17:40
Ks5rAUSAiPw,English - Default,"Look, bitch, I have no interest in talking to you.",0:26 / 17:40
Ks5rAUSAiPw,English - Default,I am merely here to advertise my services.,0:27 / 17:40
Ks5rAUSAiPw,English - Default,I am merely here to advertise my services.,0:28 / 17:40
Ks5rAUSAiPw,English - Default,I am merely here to advertise my services.,0:29 / 17:40
Ks5rAUSAiPw,English - Default,- What kind of services?,0:29 / 17:40
Ks5rAUSAiPw,English - Default,- What kind of services?,0:30 / 17:40
Ks5rAUSAiPw,English - Default,- What kind of services?,0:31 / 17:40
Ks5rAUSAiPw,English - Default,"- [Poster] Oh my God, shut up.",0:31 / 17:40
Ks5rAUSAiPw,English - Default,"- [Poster] Oh my God, shut up.",0:32 / 17:40
Ks5rAUSAiPw,English - Default,"I am here to tell people that my gorgeous, glossy print",0:33 / 17:40
Ks5rAUSAiPw,English - Default,"I am here to tell people that my gorgeous, glossy print",0:34 / 17:40
Ks5rAUSAiPw,English - Default,is now available to be purchased at pictureofhotdog.com.,0:35 / 17:40
Ks5rAUSAiPw,English - Default,is now available to be purchased at pictureofhotdog.com.,0:36 / 17:40
Ks5rAUSAiPw,English - Default,is now available to be purchased at pictureofhotdog.com.,0:37 / 17:40
Ks5rAUSAiPw,English - Default,,0:38 / 17:40
Ks5rAUSAiPw,English - Default,- Is that even a real website?,0:38 / 17:40
Ks5rAUSAiPw,English - Default,- Is that even a real website?,0:39 / 17:40
Ks5rAUSAiPw,English - Default,"- [Poster] Yes, you idiot, you made it.",0:40 / 17:40
Ks5rAUSAiPw,English - Default,"- Yeah, I did.",0:41 / 17:40
Ks5rAUSAiPw,English - Default,"- [Poster] And don't worry, I also come naked.",0:41 / 17:40
Ks5rAUSAiPw,English - Default,"- [Poster] And don't worry, I also come naked.",0:42 / 17:40
Ks5rAUSAiPw,English - Default,"- [Poster] And don't worry, I also come naked.",0:43 / 17:40
Ks5rAUSAiPw,English - Default,"- [Poster] And don't worry, I also come naked.",0:44 / 17:40
Ks5rAUSAiPw,English - Default,- Holy Shit!,0:44 / 17:40
Ks5rAUSAiPw,English - Default,- Holy Shit!,0:45 / 17:40
Ks5rAUSAiPw,English - Default,"Hey guys, good news, the movies are back.",0:46 / 17:40
Ks5rAUSAiPw,English - Default,"Hey guys, good news, the movies are back.",0:47 / 17:40
Ks5rAUSAiPw,English - Default,"Hey guys, good news, the movies are back.",0:48 / 17:40
Ks5rAUSAiPw,English - Default,After a year and a half of exclusively watching TV shows,0:49 / 17:40
Ks5rAUSAiPw,English - Default,After a year and a half of exclusively watching TV shows,0:50 / 17:40
Ks5rAUSAiPw,English - Default,After a year and a half of exclusively watching TV shows,0:51 / 17:40
Ks5rAUSAiPw,English - Default,After a year and a half of exclusively watching TV shows,0:52 / 17:40
Ks5rAUSAiPw,English - Default,"I've already seen, we're finally able",0:53 / 17:40
Ks5rAUSAiPw,English - Default,"I've already seen, we're finally able",0:54 / 17:40
Ks5rAUSAiPw,English - Default,to go to the theater again.,0:55 / 17:40
Ks5rAUSAiPw,English - Default,to go to the theater again.,0:56 / 17:40
Ks5rAUSAiPw,English - Default,"Bad news, although the movies out right now are terrible.",0:57 / 17:40
Ks5rAUSAiPw,English - Default,"Bad news, although the movies out right now are terrible.",0:58 / 17:40
Ks5rAUSAiPw,English - Default,"Bad news, although the movies out right now are terrible.",0:59 / 17:40
Ks5rAUSAiPw,English - Default,"Whether it's an ""Escape Room"" sequel",1:00 / 17:40
Ks5rAUSAiPw,English - Default,"Whether it's an ""Escape Room"" sequel",1:01 / 17:40
Ks5rAUSAiPw,English - Default,"Whether it's an ""Escape Room"" sequel",1:02 / 17:40
Ks5rAUSAiPw,English - Default,"or a ""G.I. Joe"" prequel,",1:02 / 17:40
Ks5rAUSAiPw,English - Default,"or a ""G.I. Joe"" prequel,",1:03 / 17:40
Ks5rAUSAiPw,English - Default,the one thing all these movies have in common,1:04 / 17:40
Ks5rAUSAiPw,English - Default,the one thing all these movies have in common,1:05 / 17:40
Ks5rAUSAiPw,English - Default,the one thing all these movies have in common,1:06 / 17:40
Ks5rAUSAiPw,English - Default,is that most people wouldn't be watching them,1:06 / 17:40
Ks5rAUSAiPw,English - Default,is that most people wouldn't be watching them,1:07 / 17:40
Ks5rAUSAiPw,English - Default,if they weren't just excited to leave the house.,1:08 / 17:40
Ks5rAUSAiPw,English - Default,if they weren't just excited to leave the house.,1:09 / 17:40
Ks5rAUSAiPw,English - Default,if they weren't just excited to leave the house.,1:10 / 17:40
Ks5rAUSAiPw,English - Default,But no film has gotten more attention and criticism,1:10 / 17:40
Ks5rAUSAiPw,English - Default,But no film has gotten more attention and criticism,1:11 / 17:40
Ks5rAUSAiPw,English - Default,But no film has gotten more attention and criticism,1:12 / 17:40
Ks5rAUSAiPw,English - Default,But no film has gotten more attention and criticism,1:13 / 17:40
Ks5rAUSAiPw,English - Default,"in the past couple of weeks than ""Space Jam 2.""",1:13 / 17:40
Ks5rAUSAiPw,English - Default,"in the past couple of weeks than ""Space Jam 2.""",1:14 / 17:40
Ks5rAUSAiPw,English - Default,"in the past couple of weeks than ""Space Jam 2.""",1:15 / 17:40
Ks5rAUSAiPw,English - Default,"To be fair, a lot of people enjoyed this movie.",1:16 / 17:40
Ks5rAUSAiPw,English - Default,"To be fair, a lot of people enjoyed this movie.",1:17 / 17:40
Ks5rAUSAiPw,English - Default,There's a pretty wide gap,1:18 / 17:40
Ks5rAUSAiPw,English - Default,There's a pretty wide gap,1:19 / 17:40
Ks5rAUSAiPw,English - Default,between what audiences liked about it,1:19 / 17:40
