"video_id","min_timecode","max_timecode","text.user","text.auto"
"LHRw3sDQH1w","00:00:00","00:00:01","- Jamie Oliver,","jamie oliver aka"
"LHRw3sDQH1w","00:00:01","00:00:04","A.K.A Mr. Chili Jam is back.","mr chili jam is back and this time"
"LHRw3sDQH1w","00:00:04","00:00:06","And this time, he making Ramen.","he making ramen"
"LHRw3sDQH1w","00:00:06","00:00:09","- [Jamie] We are gonna make the mighty Ramen.","we are gonna make the mighty ramen"
"LHRw3sDQH1w","00:00:09","00:00:12","- Uncle Roger have bad feeling about this?","uncle roger have bad feeling about this"
"LHRw3sDQH1w","00:00:12","00:00:15","The two biggest thing, Asian people fear right now","the two biggest thing asian people fear right"
"LHRw3sDQH1w","00:00:16","00:00:19","is COVID hate crime and Jamie Oliver making Asian food.","now is cold with hate crime and jaime oliver making asian"
"LHRw3sDQH1w","00:00:20","00:00:22","Will he make our ancestor cry again?","food will he make our ancestor cry again"
"LHRw3sDQH1w","00:00:23","00:00:24","Let's see. Let's see.","let's see let's see"
"LHRw3sDQH1w","00:00:25","00:00:25","(end of joyful music)","niece"
"LHRw3sDQH1w","00:00:25","00:00:26","Niece and nephew.","and nephew speaking"
"LHRw3sDQH1w","00:00:26","00:00:29","Speaking of COVID hate crime nephew Nigel","of cold weed hate crime nephew nigel got punched"
"LHRw3sDQH1w","00:00:29","00:00:31","got punch in face a few month ago","in face a few months ago"
"LHRw3sDQH1w","00:00:32","00:00:34","but he found way to make his hate crime story","but he found way to make his hate crime story"
"LHRw3sDQH1w","00:00:35","00:00:36","Super funny on his podcast.","super funny on his podcast"
"LHRw3sDQH1w","00:00:37","00:00:37","Go check it out.","go check it out link"
"LHRw3sDQH1w","00:00:38","00:00:38","Link in description.","in description it"
"LHRw3sDQH1w","00:00:39","00:00:40","It is Uncle Roger","is uncle roger favorite"
"LHRw3sDQH1w","00:00:40","00:00:42","Favorite podcast of all time.","podcast of all time"
"LHRw3sDQH1w","00:00:43","00:00:43","Uncle Roger","uncle roger"
"LHRw3sDQH1w","00:00:44","00:00:46","I reviewed Jamie Oliver two time now.","i reviewed jamie oliver two time now"
"LHRw3sDQH1w","00:00:46","00:00:48","Still haven't heard back from him.","still haven't heard back from him"
"LHRw3sDQH1w","00:00:49","00:00:50","I think Jamie Oliver don't like me.","i think jamie oliver don't like me"
"LHRw3sDQH1w","00:00:51","00:00:53","Haiyaa, it just comedy video","hi yeah just comedy wee joe"
"LHRw3sDQH1w","00:00:54","00:00:57","Jamie, you can roast Uncle Roger back.","jamie you can roast uncle roger back if you"
"LHRw3sDQH1w","00:00:58","00:01:00","If you want come, come leave comment to roast me.","want come come leave comment to roast me uncle"
"LHRw3sDQH1w","00:01:00","00:01:03","Uncle Roger, pin it and heart it for you.","roger pinned it and hud it for you even"
"LHRw3sDQH1w","00:01:03","00:01:06","Even Uncle Gordon left comment on my video","uncle gordon left comment on my video it's"
"LHRw3sDQH1w","00:01:06","00:01:07","It's your turn now.","your turn now"
"LHRw3sDQH1w","00:01:08","00:01:09","Let's see how Jamie do on Ramen.","let's see how jaime do"
"LHRw3sDQH1w","00:01:10","00:01:12","Is it gonna be haiyaa?","on ramen is it gonna be high yeah or is"
"LHRw3sDQH1w","00:01:12","00:01:14","Or is it going to be yeyaah!","it gonna be yeah yeah"
"LHRw3sDQH1w","00:01:15","00:01:17","(upbeat vibrant music)","we are gonna"
"LHRw3sDQH1w","00:01:17","00:01:19","- [Jamie] We are gonna make the Mighty Ramen.","make the mighty ramen"
"LHRw3sDQH1w","00:01:20","00:01:22","It's one of Japan's most treasured dishes","it's one of japan's most treasured dishes"
"LHRw3sDQH1w","00:01:23","00:01:24","slow-cooked and packed with flavor.","slow cooked and packed with"
"LHRw3sDQH1w","00:01:25","00:01:26","We're talking about the most beaut...","flavor we're talking about the most beautiful"
"LHRw3sDQH1w","00:01:27","00:01:28","(tapping sound)","czech [ __ ] again i think"
"LHRw3sDQH1w","00:01:29","00:01:31","I think because Jamie restaurant all close down","because jaime restaurant all closed down"
"LHRw3sDQH1w","00:01:32","00:01:33","and now he has so many extra table cloth","and now he have so many extra"
"LHRw3sDQH1w","00:01:34","00:01:35","he can wear a shirt.","table cloth he can wear as shirt"
"LHRw3sDQH1w","00:01:36","00:01:36","(DJ airhorn sound effect plays)","jamie"
"LHRw3sDQH1w","00:01:36","00:01:38","Jamie never cook anywhere normal.","never cooked anywhere normal"
"LHRw3sDQH1w","00:01:39","00:01:40","Last time he cooked in shed.","last time he cooked in [ __ ]"
"LHRw3sDQH1w","00:01:40","00:01:42","Now he cooked outside trailer.","now he cooked outside trailer hi"
"LHRw3sDQH1w","00:01:43","00:01:47","Haiyaa, is he going through divorce or something?","yeah is he going through the walls or something did your wife"
"LHRw3sDQH1w","00:01:48","00:01:49","Did your wife take your house? With every video","take your house with every weejo"
"LHRw3sDQH1w","00:01:50","00:01:52","His location getting worse and worse.","his location get worse and worse i"
"LHRw3sDQH1w","00:01:53","00:01:55","I think next video, Jamie gonna be cooking in prison.","think next video jamie gonna be cooking in"
"LHRw3sDQH1w","00:01:56","00:01:56","","prison and"
"LHRw3sDQH1w","00:01:57","00:01:59","- And it all starts here with some humble bones","it all starts here with some humble buns the broth"
"LHRw3sDQH1w","00:01:59","00:02:02","the broth in a pan fry off a handful of pork bones,","in a pan fry off a handful of pork bones eight"
"LHRw3sDQH1w","00:02:03","00:02:03","eight chicken wings,","chicken wings okay pop"
"LHRw3sDQH1w","00:02:03","00:02:05","- Okay pork bone, correct.","bone correct is a ginger and five"
"LHRw3sDQH1w","00:02:06","00:02:07","- Chicken wing, okay also.","cloves chicken wing okay also drizzle"
"LHRw3sDQH1w","00:02:08","00:02:08","(taps)","of sesame oil"
"LHRw3sDQH1w","00:02:09","00:02:12","- A bit weird that he adding aromatic in the beginning.","a bit weird that he adding aromatic in the beginning usually"
