video_id,lang,text,timecode
LP6ppSM3xq4,English (United States),Today we're going to durability test the iPhone 12  Pro and it's ceramic shield covered front screen.  ,0:00 / 9:11
LP6ppSM3xq4,English (United States),Today we're going to durability test the iPhone 12  Pro and it's ceramic shield covered front screen.  ,0:01 / 9:11
LP6ppSM3xq4,English (United States),Today we're going to durability test the iPhone 12  Pro and it's ceramic shield covered front screen.  ,0:02 / 9:11
LP6ppSM3xq4,English (United States),Today we're going to durability test the iPhone 12  Pro and it's ceramic shield covered front screen.  ,0:03 / 9:11
LP6ppSM3xq4,English (United States),Today we're going to durability test the iPhone 12  Pro and it's ceramic shield covered front screen.  ,0:04 / 9:11
LP6ppSM3xq4,English (United States),Today we're going to durability test the iPhone 12  Pro and it's ceramic shield covered front screen.  ,0:05 / 9:11
LP6ppSM3xq4,English (United States),,0:05 / 9:11
LP6ppSM3xq4,English (United States),,0:06 / 9:11
LP6ppSM3xq4,English (United States),,0:07 / 9:11
LP6ppSM3xq4,English (United States),,0:08 / 9:11
LP6ppSM3xq4,English (United States),,0:09 / 9:11
LP6ppSM3xq4,English (United States),You might have noticed that the box  is a little bit smaller this year.  ,0:10 / 9:11
LP6ppSM3xq4,English (United States),You might have noticed that the box  is a little bit smaller this year.  ,0:11 / 9:11
LP6ppSM3xq4,English (United States),You might have noticed that the box  is a little bit smaller this year.  ,0:12 / 9:11
LP6ppSM3xq4,English (United States),You know how Apple has slowly been removing  things with each new product launch.  ,0:13 / 9:11
LP6ppSM3xq4,English (United States),You know how Apple has slowly been removing  things with each new product launch.  ,0:14 / 9:11
LP6ppSM3xq4,English (United States),You know how Apple has slowly been removing  things with each new product launch.  ,0:15 / 9:11
LP6ppSM3xq4,English (United States),You know how Apple has slowly been removing  things with each new product launch.  ,0:16 / 9:11
LP6ppSM3xq4,English (United States),,0:16 / 9:11
LP6ppSM3xq4,English (United States),"First was the headphone jack, then the HDMI  on their laptops, and now it's the charging  ",0:17 / 9:11
LP6ppSM3xq4,English (United States),"First was the headphone jack, then the HDMI  on their laptops, and now it's the charging  ",0:18 / 9:11
LP6ppSM3xq4,English (United States),"First was the headphone jack, then the HDMI  on their laptops, and now it's the charging  ",0:19 / 9:11
LP6ppSM3xq4,English (United States),"First was the headphone jack, then the HDMI  on their laptops, and now it's the charging  ",0:20 / 9:11
LP6ppSM3xq4,English (United States),"First was the headphone jack, then the HDMI  on their laptops, and now it's the charging  ",0:21 / 9:11
LP6ppSM3xq4,English (United States),brick itself that's gone. It's always exciting  to find out what's going to disappear next.  ,0:22 / 9:11
LP6ppSM3xq4,English (United States),brick itself that's gone. It's always exciting  to find out what's going to disappear next.  ,0:23 / 9:11
LP6ppSM3xq4,English (United States),brick itself that's gone. It's always exciting  to find out what's going to disappear next.  ,0:24 / 9:11
LP6ppSM3xq4,English (United States),brick itself that's gone. It's always exciting  to find out what's going to disappear next.  ,0:25 / 9:11
LP6ppSM3xq4,English (United States),,0:25 / 9:11
LP6ppSM3xq4,English (United States),,0:26 / 9:11
LP6ppSM3xq4,English (United States),,0:27 / 9:11
LP6ppSM3xq4,English (United States),"Apple definitely keeps you on your toes. Honestly  though, it's probably a good thing. Their 5 watt  ",0:28 / 9:11
LP6ppSM3xq4,English (United States),"Apple definitely keeps you on your toes. Honestly  though, it's probably a good thing. Their 5 watt  ",0:29 / 9:11
LP6ppSM3xq4,English (United States),"Apple definitely keeps you on your toes. Honestly  though, it's probably a good thing. Their 5 watt  ",0:30 / 9:11
LP6ppSM3xq4,English (United States),"Apple definitely keeps you on your toes. Honestly  though, it's probably a good thing. Their 5 watt  ",0:31 / 9:11
LP6ppSM3xq4,English (United States),"Apple definitely keeps you on your toes. Honestly  though, it's probably a good thing. Their 5 watt  ",0:32 / 9:11
LP6ppSM3xq4,English (United States),inbox charger was the slowest charger of any phone  anywhere. And now there's no reason not to upgrade  ,0:33 / 9:11
LP6ppSM3xq4,English (United States),inbox charger was the slowest charger of any phone  anywhere. And now there's no reason not to upgrade  ,0:34 / 9:11
LP6ppSM3xq4,English (United States),inbox charger was the slowest charger of any phone  anywhere. And now there's no reason not to upgrade  ,0:35 / 9:11
LP6ppSM3xq4,English (United States),inbox charger was the slowest charger of any phone  anywhere. And now there's no reason not to upgrade  ,0:36 / 9:11
LP6ppSM3xq4,English (United States),inbox charger was the slowest charger of any phone  anywhere. And now there's no reason not to upgrade  ,0:37 / 9:11
LP6ppSM3xq4,English (United States),,0:38 / 9:11
LP6ppSM3xq4,English (United States),"to the faster charging Anker Nano, which costs  less while still charging three times faster...all  ",0:39 / 9:11
LP6ppSM3xq4,English (United States),"to the faster charging Anker Nano, which costs  less while still charging three times faster...all  ",0:40 / 9:11
LP6ppSM3xq4,English (United States),"to the faster charging Anker Nano, which costs  less while still charging three times faster...all  ",0:41 / 9:11
LP6ppSM3xq4,English (United States),"to the faster charging Anker Nano, which costs  less while still charging three times faster...all  ",0:42 / 9:11
LP6ppSM3xq4,English (United States),"to the faster charging Anker Nano, which costs  less while still charging three times faster...all  ",0:43 / 9:11
LP6ppSM3xq4,English (United States),"to the faster charging Anker Nano, which costs  less while still charging three times faster...all  ",0:44 / 9:11
LP6ppSM3xq4,English (United States),while keeping the same size as the old brick.  Thanks to Anker for sponsoring this video.  ,0:45 / 9:11
LP6ppSM3xq4,English (United States),while keeping the same size as the old brick.  Thanks to Anker for sponsoring this video.  ,0:46 / 9:11
LP6ppSM3xq4,English (United States),while keeping the same size as the old brick.  Thanks to Anker for sponsoring this video.  ,0:47 / 9:11
LP6ppSM3xq4,English (United States),while keeping the same size as the old brick.  Thanks to Anker for sponsoring this video.  ,0:48 / 9:11
LP6ppSM3xq4,English (United States),while keeping the same size as the old brick.  Thanks to Anker for sponsoring this video.  ,0:49 / 9:11
LP6ppSM3xq4,English (United States),Now iPhone users will get to experience  the fast charging that Androids have had  ,0:49 / 9:11
LP6ppSM3xq4,English (United States),Now iPhone users will get to experience  the fast charging that Androids have had  ,0:50 / 9:11
LP6ppSM3xq4,English (United States),Now iPhone users will get to experience  the fast charging that Androids have had  ,0:51 / 9:11
LP6ppSM3xq4,English (United States),Now iPhone users will get to experience  the fast charging that Androids have had  ,0:52 / 9:11
LP6ppSM3xq4,English (United States),Now iPhone users will get to experience  the fast charging that Androids have had  ,0:53 / 9:11
LP6ppSM3xq4,English (United States),for years. I'll leave a link down in the video  description that will give you a 10% discount  ,0:53 / 9:11
LP6ppSM3xq4,English (United States),for years. I'll leave a link down in the video  description that will give you a 10% discount  ,0:54 / 9:11
LP6ppSM3xq4,English (United States),for years. I'll leave a link down in the video  description that will give you a 10% discount  ,0:55 / 9:11
LP6ppSM3xq4,English (United States),for years. I'll leave a link down in the video  description that will give you a 10% discount  ,0:56 / 9:11
LP6ppSM3xq4,English (United States),for years. I'll leave a link down in the video  description that will give you a 10% discount  ,0:57 / 9:11
LP6ppSM3xq4,English (United States),"off the Anker Nano...because you know, if Apple  isn't going to hook you up, Anker for sure will.",0:58 / 9:11
LP6ppSM3xq4,English (United States),"off the Anker Nano...because you know, if Apple  isn't going to hook you up, Anker for sure will.",0:59 / 9:11
LP6ppSM3xq4,English (United States),"off the Anker Nano...because you know, if Apple  isn't going to hook you up, Anker for sure will.",1:00 / 9:11
LP6ppSM3xq4,English (United States),"off the Anker Nano...because you know, if Apple  isn't going to hook you up, Anker for sure will.",1:01 / 9:11
LP6ppSM3xq4,English (United States),,1:02 / 9:11
LP6ppSM3xq4,English (United States),,1:03 / 9:11
LP6ppSM3xq4,English (United States),Now it's time for the durability  test. Let's get started.,1:04 / 9:11
LP6ppSM3xq4,English (United States),Now it's time for the durability  test. Let's get started.,1:05 / 9:11
LP6ppSM3xq4,English (United States),Now it's time for the durability  test. Let's get started.,1:06 / 9:11
LP6ppSM3xq4,English (United States),,0:00 / 4:40
LP6ppSM3xq4,English (United States),Now it's time for the durability  test. Let's get started.,1:07 / 9:11
LP6ppSM3xq4,English (United States),[Intro],1:08 / 9:11
LP6ppSM3xq4,English (United States),[Intro],1:09 / 9:11
LP6ppSM3xq4,English (United States),[Intro],1:10 / 9:11
LP6ppSM3xq4,English (United States),[Intro],1:11 / 9:11
LP6ppSM3xq4,English (United States),[Intro],1:12 / 9:11
LP6ppSM3xq4,English (United States),[Intro],1:13 / 9:11
LP6ppSM3xq4,English (United States),"Personally, I think it's a bit sus that Apple got  rid of the free inbox charger at the exact same  ",1:14 / 9:11
LP6ppSM3xq4,English (United States),"Personally, I think it's a bit sus that Apple got  rid of the free inbox charger at the exact same  ",1:15 / 9:11
LP6ppSM3xq4,English (United States),"Personally, I think it's a bit sus that Apple got  rid of the free inbox charger at the exact same  ",1:16 / 9:11
LP6ppSM3xq4,English (United States),"Personally, I think it's a bit sus that Apple got  rid of the free inbox charger at the exact same  ",1:17 / 9:11
LP6ppSM3xq4,English (United States),"Personally, I think it's a bit sus that Apple got  rid of the free inbox charger at the exact same  ",1:18 / 9:11
LP6ppSM3xq4,English (United States),"Personally, I think it's a bit sus that Apple got  rid of the free inbox charger at the exact same  ",1:19 / 9:11
LP6ppSM3xq4,English (United States),"time they came out with a new type of magnetic  charging...which conveniently costs $40, by the  ",1:19 / 9:11
LP6ppSM3xq4,English (United States),"time they came out with a new type of magnetic  charging...which conveniently costs $40, by the  ",1:20 / 9:11
LP6ppSM3xq4,English (United States),"time they came out with a new type of magnetic  charging...which conveniently costs $40, by the  ",1:21 / 9:11
LP6ppSM3xq4,English (United States),"time they came out with a new type of magnetic  charging...which conveniently costs $40, by the  ",1:22 / 9:11
LP6ppSM3xq4,English (United States),"time they came out with a new type of magnetic  charging...which conveniently costs $40, by the  ",1:23 / 9:11
LP6ppSM3xq4,English (United States),"time they came out with a new type of magnetic  charging...which conveniently costs $40, by the  ",1:24 / 9:11
LP6ppSM3xq4,English (United States),way. I'm sure it's all just a coincidence though.  Just like how the headphone jack disappeared at  ,1:25 / 9:11
LP6ppSM3xq4,English (United States),way. I'm sure it's all just a coincidence though.  Just like how the headphone jack disappeared at  ,1:26 / 9:11
LP6ppSM3xq4,English (United States),way. I'm sure it's all just a coincidence though.  Just like how the headphone jack disappeared at  ,1:27 / 9:11
LP6ppSM3xq4,English (United States),way. I'm sure it's all just a coincidence though.  Just like how the headphone jack disappeared at  ,1:28 / 9:11
LP6ppSM3xq4,English (United States),way. I'm sure it's all just a coincidence though.  Just like how the headphone jack disappeared at  ,1:29 / 9:11
LP6ppSM3xq4,English (United States),"the same time the wireless airpods came  out. You know, totally normal behavior.  ",1:30 / 9:11
LP6ppSM3xq4,English (United States),"the same time the wireless airpods came  out. You know, totally normal behavior.  ",1:31 / 9:11
LP6ppSM3xq4,English (United States),"the same time the wireless airpods came  out. You know, totally normal behavior.  ",1:32 / 9:11
